ID,n_ID,name,Con_Cl,u_Con_Cl,RAh,RAm,DE-,DEd,DEm,GLON,n_GLON,GLAT,ABS_LAW,A(B),D(0.9),u_D(0.9),Bmean,Dmod,n_Dmod,r,x,y,z,Btot,B-V,M(B),(B-V)o,Sp,n_Sp,RV
6760,--,--,9,:,19,8.6,+,0,57,36,--,-4,3.44,3.96,8.9,--,17.15,17.95,--,8.4,6.8,4.8,-0.6,10.8,1.64,-7.3,0.78,G0,:,--
6779,--,M56,10,--,19,14.6,+,30,5,62,--,9,1.53,1.08,10.1,--,15.54,16.34,--,10.5,4.8,9.1,1.7,9.14,0.81,-7.5,0.43,F6,--,-145
Pal 10,--,--,12,--,19,16.0,+,18,28,53,--,3,6.88,--,--,--,20.7,21.5,--,8.3,5.0,6.6,0.4,--,--,--,--,--,--,--
Anon,--,--,--,--,19,25.6,-,30,27,8,--,-20,0.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6809,--,M55,11,--,19,36.9,-,31,3,9,--,-24,0.59,0.27,21.1,--,13.68,14.48,--,6.0,5.4,1.2,-2.4,6.72,0.63,-7.8,0.48,F5,:,170
Pal 11,--,--,11,--,19,42.6,-,8,9,32,--,-16,0.87,--,--,--,17.4,18.2,--,28.8,23.3,14.7,-7.9,--,--,--,--,--,--,--
6838,--,M71,--,--,19,51.5,+,18,39,56,--,-5,2.75,1.31,10.2,--,15.0,14.15,1,2.6,1.4,2.1,-0.2,7.9,1.01,-7.0,0.32,G6,--,-80
6864,--,M75,1,--,20,3.2,-,22,4,20,--,-26,0.55,0.81,4.9,--,17.47,18.27,--,35.1,29.6,10.8,-15.3,9.09,0.78,-9.2,0.64,G2,--,-198
6934,--,--,8,--,20,31.7,+,7,14,52,--,-19,0.74,0.27,3.3,--,16.06,16.86,--,18.3,10.6,13.6,-6.0,9.58,0.7,-7.5,0.51,G0,--,-360
6981,--,M72,9,--,20,50.7,-,12,44,35,--,-33,0.44,0.0,6.4,--,16.15,16.95,--,21.1,14.5,10.2,-11.4,9.8,0.65,-7.3,0.54,G3,--,-255
7006,--,--,1,--,20,59.1,+,16,0,64,--,-19,0.74,0.54,3.0,--,17.51,18.6,1,39.8,16.5,33.8,-13.0,11.01,0.69,-7.7,0.5,F2,--,-348
7078,--,M15,4,--,21,27.6,+,11,57,65,--,-27,0.53,0.27,9.4,--,14.44,15.5,1,10.5,4.0,8.4,-4.8,6.96,0.67,-8.7,0.54,F2,--,-107
7089,--,M2,2,--,21,30.9,-,1,3,54,--,-36,0.41,0.27,6.8,--,14.77,15.75,1,12.3,5.8,8.1,-7.2,6.94,0.67,-8.9,0.55,F4,--,-5
7099,--,M30,5,--,21,37.5,-,23,25,27,--,-47,0.33,0.0,6.8,--,14.79,15.59,--,13.3,8.1,4.1,-9.8,8.19,0.56,-7.8,0.48,A7,6,-174
Pal 12,--,--,12,--,21,43.7,-,21,28,31,--,-48,0.32,--,--,--,17.4,18.2,--,38.0,21.8,13.1,-28.2,--,--,--,--,--,--,--
Pal 13,--,--,12,--,23,4.2,+,12,28,87,--,-43,0.36,--,--,--,19.6,20.4,--,100.0,3.8,73.0,-68.2,--,--,--,--,--,--,--
7492,--,--,12,--,23,5.7,-,15,54,53,--,-63,0.27,--,--,--,17.2,18.0,--,34.7,9.5,12.6,-30.9,--,--,--,--,--,--,--
