004.8-05.0 |      |       | 16.9  | 17.2  |D| 91..1502                  |                            |                                                                  |
004.8-22.7 |      |       |       |       | |                           |                            |WC 4-5        91.30002                                            |
004.9+04.9 |      |       | 17.9  |       |D| 91..1502                  |                            |WC 5-6        91.30002                                            |
004.9-04.9 |302   |       |       |       | |                           |                            |K2 III        77..1136                                            |SS73 150
005.0+03.0 |258   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
005.0-03.9 |295   |       | 20.6  |       |P| 67.30013                  |                            |                                                                  |
005.1-03.0 |      |       | 18.5  | 17.4  |C| 91..1502                  |                            |                                                                  |
005.1-08.9 |315   |       | 18.0  |       |P| 67.30013                  |                            |                                                                  |
005.5+06.1 |      |       | 17.9  | 17.2  |C| 91..1502                  |                            |                                                                  |
005.5-04.0 |      |       | 18.2  | 17.4  |C| 91..1502                  |                            |                                                                  |
005.7-05.3 |      |       | 18.5  | 17.4  |C| 91..1502                  |                            |                                                                  |
005.8-06.1 |      |       |       | 19.6  |D| 89..2255                  |                            |                                                                  |
006.0+03.1 |      |       | 21.6  | 20.8  |D| KJL 88                    |                            |                                                                  |
006.0-03.6 |      |       |       |       | |                           |                            |WC            91.30002                                            |
006.0-41.9 |      |       | 17.2  | 17.5  |C| 91..1502                  |                            |                                                                  |
006.1+08.3 |242   |       | 17.7  | 17.1  |C| SK 89   ,91..1502         |    field star?             |                                                                  |
006.4+02.0 |      |       | 19.0  |       |D| 91..1502                  |                            |WC ?          91.30002                                            |
006.4-04.6 |      |       | 19.0  | 17.3  |D| 91..1502                  |                            |                                                                  |
006.7-02.2 |289   |       |       |       | |                           |                            |(WN) ?        77..4052                                            |
006.8+04.1 |      |       |       |       | |                           |                            |WC            91.50001                                            |
006.8-03.4 |      |       | 18.2  | 17.4  |C| 91..1502                  |                            |                                                                  |
006.8-08.6 |321   |       |>18.   |       | | 74..9009                  |                            |                                                                  |
007.0+06.3 |      |       | 16.4  | 16.0  |C| 91..1502                  |                            |                                                                  |
007.0-06.8 |      |       | 16.6  |       |D| 91..1502                  |                            |WC ?          91.30002                                            |
007.2+01.8 |271   |       |>16.4  |>14.7  | | 72.30001                  |                            |                                                                  |AS Sgr;HV 1146;AN 265.1904
007.5+04.3 |      |       | 18.6  | 18.2  |D| 91..1502                  |                            |                                                                  |
007.8-03.7 |      |       |       |       | |                           |                            |WC 4-5        91.30002                                            |
007.8-04.4 |      |       | 15.09 | 14.67 |B| 91..1502                  |                            |                                                                  |
007.9+10.1 |      |       | 17.3  | 16.4  |C| 91..1502                  |                            |                                                                  |
008.0+03.9 |266   |       | 19.04 | 19.00 |B| 88..1306,89..2255         |                            |Contin.       68..9091                                            |HD 161944;CSI -20 -17462
008.1-04.7 |      |       | 16.2  | 15.8  |C| 91..1502                  |                            |                                                                  |
008.2+06.8 |      |       | 14.48 | 14.27 |A| 91..1502                  |                            |                                                                  |
008.2-04.8 |      |       | 18.2  |       |D| 91..1502                  |                            |                                                                  |
008.3-01.1 |288   |       | 19.0  | 18.3  |D| SK 89                     |                            |                                                                  |
008.3-07.3 |316   |       | 16.6  | 15.6  |D| SK 89                     |                            |                                                                  |CD -25 13223;GCRV 10995;HD 170839
009.4-05.0 |308   |       | 13.26 | 12.93 |A| 88..1306,SK 89 ,91..1502  |                            |Of(H)         91.50001                                            |CD -23 14350;GCRV 10893;HD 169460
009.4-09.8 |      |       | 17.4  | 17.1  |C| 91..1502                  |                            |                                                                  |
009.6+10.5 |245   |       | 16.56 | 16.53 |B| 88..1306,SK 89            | close binary               |sdO + MV      89.50118|O(H)        91.50001                       |CSI -15 -17262;UBV 14903;MT Ser;NSV 8841
009.6+14.8 |234   |       | 16.58 |       |B| 88..1306                  |                            |                                                                  |CSI -12-17112 0;HD 155752
009.6-10.6 |      |       | 15.7  | 15.9  |C| 91..1502                  |                            |                                                                  |
009.8-07.5 |      |  13.5 | 14.8  | 14.3  |C| 89...191                  |                            |                                                                  |
010.1+00.7 |284   |       |>19.8  |>18.8  | | 88..1306,89..2255         |                            |                                                                  |HD 312582;GCRV 10524;CSI -19 -18023
010.6+03.2 |      |       | 18.5  | 18.3  |D| 91..1502                  |                            |                                                                  |
010.7-06.4 |320   |       |>16.5  |>16.2  | | SK 85                     |                            |                                                                  |BD -22 18309;HD 171131;NSV 11021;CSI -22 -18309
010.7-06.7 |      |       | 18.0  | 17.3  |C| 91..1502                  |                            |                                                                  |
010.8+18.0 |227   |       | 16.29 | 15.65 |B| SK 89                     |                            |Descr.        72..9022                                            |
010.8-01.8 |303   |       | 16.30 | 15.82 |B| 88..1306,SK 89   ,91..1502|                            |WC early      91.50001                                            |
011.0+05.8 |265   |       | 20.2  |       |D| 88..1306                  |                            |                                                                  |HD 161801;CSI -16 -17453
011.0+06.2 |      |       | 17.8  | 18.2  |D| SK 89                     |                            |                                                                  |
011.0-05.1 |      |       | 15.4  | 15.3  |C| 91..1502                  |                            |                                                                  |
011.1+07.0 |      |       | 16.08 | 15.50 |B| 91..1502                  |                            |                                                                  |
011.1+11.5 |241   |       | 19.4  | 18.8  |D| SK 89                     |                            |                                                                  |
011.3-09.4 |      |       | 13.78 | 13.41 |B| 91..1502                  |                            |                                                                  |
011.7-00.0 |      |       | 17.2  | 16.0  |C| 91..1502                  |                            |                                                                  |
011.7-00.6 |297   |       | 14.42 | 14.36 |A| 88..1306,SK 89   ,91..1502|                            |WC            91.50001                                            |BD -19 18107;HD 166935;CSI -19 -18107
011.7-06.6 |      |       | 13.94 | 13.90 |A| 91..1502                  |                            |O ?           91.30002             91.50001                       |
011.9+04.2 |274   |       | 18.3  | 17.0  |C| 91..1502                  |                            |WC 4-6        91.30002                                            |
012.2+04.9 |      |       | 15.42 | 14.60 | | 90..1005                  |                            |(WC 11)       90..1005                                            |
012.5-09.8 |      |       | 16.9  | 17.4  |D| 91..1502                  |                            |WC ?          91.30002                                            |
012.6-02.7 |      |       | 18.0  | 16.8  |C| 91..1502                  |                            |                                                                  |
013.1+04.1 |      |       | 18.6  |       |D| 91..1502                  |                            |                                                                  |
013.3+32.7 |205   |       | 14.50 | 14.72 |A| 91..1502,SK 89            |                            |                                                                  |
