043.1+37.7 | 9.79  10.40   9.86   6.69  N      87.35005, 87.13590            86..1262, 84...265, 83..9040
043.3+11.6 |             > 9.8                 74...295
044.0+05.2 |             > 9.5                 74...326
045.4-02.7 |10.11  10.52   9.69   7.54  N      87.35005, 87.13590, 74...326
045.9-01.9 |             > 9.1                 74...326
046.4-04.1 |11.34  11.82  10.95         N      85..2580                      86..1262, 83..9040
048.0-02.3 |             > 9.0                 74...326
048.1+01.1 |             >10.2                 74...326
048.5+04.2 |             > 8.3                 74...326
048.7+01.9 |             > 9.9                 74...326
049.3+88.1 |             >11.5                 74...326
050.1+03.3 | 8.28   8.01   7.61   7.2   S      74...326
050.4-01.6 |             > 9.7                 74...326
051.0+03.0 |             > 9.6                 74...771
051.4+09.6 |10.46  11.05  10.31   8.81  N      87.35005, 86...228            86..2654
052.2+07.6 |             > 9.2                 74...326
052.2-04.0 |              12.8                 74...771
052.9+02.7 |             > 9.7                 74...326
052.9-02.7 |             > 9.4                 74...326
054.1-12.1 |10.84  11.12  10.55         N      85..2580                      86..1262
054.4-02.5 |             > 9.7                 74...326
055.2+02.8 |             > 9.8                 74...326
056.8-06.9 |             > 9.9                 74...326
057.9-01.5 |             > 9.6                 74...326
058.3-10.9 | 9.84  10.26   9.43         N      87.13590, 85..2580            83..9040
058.9+01.3 |             > 8.6                 74...326
059.4+02.3 |             > 9.2                 74...326
059.9+02.0 |             > 9.3                 74...326
060.1-07.7 |11.36  12.02  11.21         N      87.35005                      86..2654, 86..1262
060.3-07.3 |        7.3    7.1                 74...771
060.5+01.8 |        8.9    9.0          S      74...326
061.4-09.5 |                                                                 86..1262
063.1+13.9 |                                                                 86..1262
063.8-03.3 |             > 9.3                 74...771
064.6+48.2 |                                                                 86..1262
064.7+05.0 | 8.90   8.73   7.77         N      87.13590                      87..1381, 86..1262, 86...187
064.9-02.1 |             >10.0                 74...326
066.9+02.2 |             > 9.3                 74...326
067.9-00.2 |             > 9.5                 74...326
068.3-02.7 |             > 9.8                 74...771                      86..2654
068.7+01.9 |             >10.5                 74...326
068.7+03.0 |             > 9.2                 74...326
069.2+02.8 |             > 9.6                 74...326
071.6-02.3 |11.42  11.16   9.97   7.87' N      86...228
074.5+02.1 |11.62  11.96  11.03   8.53  N      87.35005                      86..2654, 86..1262
077.5+03.7 |             > 9.3                 74...326
079.9+06.4 |             > 9.2                 74...326
082.1+07.0 |10.62  11.15  10.29         N      87.35005, 87.13590            86..2654, 86..1262, 83..9040
082.5+11.3 |12.26  12.61  11.98  10.65' N      86...228, 74...771
083.5+12.7 | 9.94  10.18   9.8  > 7.5   N      87.13590, 74...771            86..1262, 85...226, 84...265
083.9-08.4 |             > 9.2                 74...326
084.9-03.4 | 7.44   7.47   6.47         N      87.13590                      87..1381, 86...187, 85...269
086.5-08.8 |11.37  11.76  11.18         N      87.35005, 87.13590
089.0+00.3 |10.56  10.86  10.00 > 8.2   N      87.13590, 74...771            86..1262
089.3-02.2 |10.69  10.20   9.30   7.46  D      87.35005
089.8-05.1 |12.08  11.82  10.58         N      86...228                      86...187, 82..2556
093.4+05.4 |                                                                 86..1262
093.5+01.4 |                                                                 86..1262
095.1-02.0 |             > 8.1                 74...771
095.2+00.7 |12.42  12.00  10.89         N      86...228, 74...771
096.4+29.9 | 8.28   8.99   8.44         N      87.35005, 87.13590            87..1381, 86..1262, 85...226
098.2+04.9 |             > 8.4                 74...326
100.6-05.4 |11.75  12.29  11.51         N      87.13590, 74...771            86..2654, 83..9040
104.1+01.0 |             > 9.2                 74...326
106.5-17.6 | 9.19   9.40   8.89   7.8   N      87.35005, 87.13590, 74...771  84...265, 83...453
107.8+02.3 |                                                                 86..1262, 83...453
111.2+07.0 |             > 8.8                 74...326
111.8-02.8 | 9.40   9.66   8.74   6.27  N      87.35005, 87.13590            87..1381, 79....19
118.0-08.6 |12.56  12.74  12.08         N      87.35005
118.8-74.7 |                                                                 86..1262
120.0+09.8 |                                                                 86..1262
123.6+34.5 |10.80  10.48  10.46         N      87.35005                      83..9040
