ESO 264-53     |*283+12 1 | 10 57.3 -46 10 |283.14 +12.26 | Emission-line galaxy (a - c)
ESO 280-02     |*349-10 1 | 18 04.5 -43 24 |349.28 -10.48 | Galaxy (a - b)
ESO 281-07     |*348-16 1 | 18 33.5 -46 15 |348.86 -16.34 | Emission-line galaxy (b - c)
ESO 289-19     |*353-55 1 | 22 21.1 -43 53 |353.89 -55.53 | Galaxy (a - b)
ESO 308-08     |*249-22 1 | 06 25.9 -41 11 |249.16 -22.00 | Plate fault (a)
ESO 311-18     |*254- 6 1 | 07 54.0 -39 50 |254.87 -06.19 | Emission line galaxy (b - c)
ESO 314-12     |*265+ 5 1 | 09 19.2 -41 11 |265.72 +05.86 | Galaxy (a - b)
ESO 328-04     |*327+14 1 | 15 01.4 -41 55 |327.35 +14.71 | Galaxy (a - b)
ESO 328-40     |*329+12 1 | 15 17.7 -42 37 |329.61 +12.55 | Galaxy (a)
ESO 337-04     |*356-18 1 | 18 58.4 -39 54 |356.77 -18.26 | Galaxy ? (b)
ESO 367-03     |*248-12 1 | 07 10.4 -37 19 |248.63 -12.60 | Bar-galaxy (a)
ESO 369-01     |*251- 4 1 | 07 52.3 -36 27 |251.77 -04.76 | Plate fault (a)
ESO 369-03     |          | 08 02.5 -34 30 |251.19 -01.97 | HII region ? (b)
ESO 369-06     |          | 08 10.4 -34 17 |251.88 -00.47 | HII region ? (b)
ESO 372-03     |          | 09 08.1 -34 01 |258.94 +09.17 | Galaxy ? (b)
ESO 386-19     |          | 14 46.2 -37 41 |326.75 +19.82 | Galaxy ? (b)
ESO 390-05     |*345+10 1 | 16 24.4 -34 15 |345.28 +10.58 | Emission-line galaxy (a - b - c)
ESO 391-02     |*347+ 7 1 | 16 41.8 -34 17 |347.69 +07.89 | Plate fault (a)
ESO 426-13     |*239-18 1 | 06 27.5 -31 12 |239.23 -18.39 | Galaxy (a)
ESO 428-22     |          | 07 20.3 -28 59 |241.96 -07.07 | Galaxy ? (b)
ESO 429-04     |*242- 3 1 | 07 35.5 -28 09 |242.78 -03.74 | Galaxy (a)
ESO 429-17     |          | 07 44.9 -30 18 |245.67 -03.00 | No emission-line object detected (b)
ESO 450-16     |*341+17 1 | 15 48.7 -32 07 |341.22 +17.27 | Galaxy (a)
ESO 451-03     |*343+16 1 | 15 59.1 -31 12 |343.58 +16.49 | Galaxy ? (b)
ESO 456-64     |*  3- 4 10| 18 10.6 -27 51 |003.68 -04.21 | Plate fault (a)
ESO 456-73     |          | 18 12.6 -32 06 |000.14 -06.62 | Plate fault (a)
ESO 490-15     |          | 06 34.1 -25 41 |234.47 -14.96 | Galaxy ? (b)
ESO 493-13     |*241+ 0 1 | 07 48.1 -25 14 |241.64 +00.15 | Galaxy (a - c)
ESO 515-19     |*346+19 1 | 16 00.0 -27 14 |346.58 +19.24 | No emission-line object detected (b)
ESO 520-12     |          | 17 38.8 -23 54 |003.49 +03.94 | Star (b)
ESO 520-13     |*  0+ 2 2 | 17 39.4 -27 16 |000.70 +02.05 | Plate fault (a)
ESO 522-29     |*  9- 6 1 | 18 29.1 -23 51 |009.18 -06.03 | Plate fault (a)
ESO 524-02     |          | 19 01.5 -24 34 |011.76 -13.00 | Galaxy ? (b)
ESO 560-01     |          | 07 35.6 -18 46 |234.58 +00.84 | HII region ? (b)
H 1-25         | 358+ 1 3 | 17 35.4 -29 45 |358.12 +01.46 | Symbiotic star ? (a)
H 1-49         | 358- 5 2 | 18 03.4 -32 42 |358.67 -05.20 | Symbiotic or peculiar star (a)
H 2-2          | 351+ 3 1 | 17 07.4 -34 05 |351.17 +03.89 | Symbiotic star (a)
H 2-3          | 345- 0 1 | 17 09.6 -41 36 |345.40 -00.95 | Diffuse nebula or HII region ? (a)
H 2-4          | 352+ 3 1 | 17 12.2 -32 38 |352.95 +03.93 | Symbiotic star (a)
H 2-5          | 354+ 4 2 | 17 15.3 -31 34 |354.20 +04.02 | Symbiotic star (a)
H 2-6          | 348- 0 1 | 17 18.4 -39 19 |348.23 -00.98 | HII region ? (a)
H 2-19         | 351- 4 1 | 17 45.2 -38 17 |351.96 -04.79 | Late-type emission-line star (a)
H 2-21         | 356- 2 1 | 17 47.4 -32 50 |356.87 -02.35 | No emission-line object detected (a)
H 2-28         |   6+ 2 2 | 17 51.0 -22 20 |006.29 +02.37 | Symbiotic star (a)
H 2-34         |   1- 2 1 | 17 58.5 -28 34 |001.76 -02.23 | Symbiotic star (a)
H 2-38         |   2- 3 4 | 18 06.0 -28 17 |002.82 -03.54 | Symbiotic star ? (a)
H 2-47         |   8- 6 1 | 18 28.9 -24 32 |008.55 -06.30 | H alpha emission star (a)
He 2-10        | 248+ 8 1 | 08 36.3 -26 25 |248.57 +08.58 | Emission-line galaxy (a - c)
He 2-38        | 280- 2 1 | 09 54.7 -57 19 |280.81 -02.24 | Symbiotic star (a)
He 2-61        | 288+ 5 1 | 11 06.5 -54 49 |288.12 +05.02 | Emission-line star (a)
He 2-79        | 298- 1 1 | 12 15.3 -63 39 |298.94 -01.06 | Peculiar emission-line star (a)
He 2-80        | 299- 0 1 | 12 22.4 -63 17 |299.67 -00.60 | Emission-line star (a)
He 2-87        | 302- 0 1 | 12 45.8 -63 00 |302.29 -00.14 | Me star ? (a)
He 2-91        | 305- 0 1 | 13 10.1 -63 11 |305.03 -00.40 | Emission-line star (a)
He 2-127       | 325+ 4 2 | 15 25.0 -51 50 |325.56 +04.17 | Symbiotic star (b)
He 2-134       | 319- 9 1 | 15 47.2 -66 29 |319.22 -09.35 | Symbiotic star (a)
He 2-139       | 326- 1 1 | 15 54.8 -55 30 |326.91 -01.40 | Symbiotic star (a)
He 2-156       | 338+ 5 2 | 16 21.1 -42 24 |338.94 +05.36 | Symbiotic star ? (a)
He 2-173       | 342+ 5 1 | 16 36.4 -39 52 |342.77 +05.01 | Symbiotic or Me star (a)
He 2-174       | 338+ 1 1 | 16 38.5 -45 24 |338.91 +01.03 | H alpha emission star (a)
He 2-176       | 339+ 0 1 | 16 41.5 -45 13 |339.40 +00.74 | Symbiotic star (a)
He 2-179       | 339+ 0 2 | 16 43.3 -46 01 |339.00 -00.01 | Peculiar emission-line star (a)
He 2-183       | 341- 0 1 | 16 53.4 -44 53 |341.01 -00.64 | H alpha emission-line star (a)
He 2-269       | 328-17 1 | 17 47.1 -64 38 |328.56 -17.85 | Emission-line galaxy (a - c)
He 2-275       | 351- 5 1 | 17 45.5 -38 40 |351.67 -05.03 | Symbiotic star (a)
He 2-294       | 357- 3 1 | 17 51.7 -32 55 |357.26 -03.18 | Symbiotic star (a)
He 2-325       |   3- 1 1 | 18 01.1 -26 21 |003.96 -01.64 | Mep star ? (a)
He 2-349       | 356- 7 1 | 18 07.7 -36 06 |356.09 -07.60 | V 615 Sgr, symbiotic star (a)
He 2-354       | 358- 6 1 | 18 09.9 -33 20 |358.77 -06.69 | Peculiar emission-line star (b)
He 2-370       |   2- 5 1 | 18 14.6 -29 49 |002.36 -05.92 | Symbiotic star ? (a)
He 2-374       |   9- 2 1 | 18 15.5 -21 35 |009.73 -02.21 | Symbiotic star (a)
He 2-376       |   4- 5 2 | 18 15.8 -27 54 |004.19 -05.24 | Emission-line star (a)
He 2-390       |   5- 5 2 | 18 21.0 -26 48 |005.70 -05.76 | Symbiotic star ? (a)
He 2-396       |  10- 3 1 | 18 23.5 -21 53 |010.34 -03.99 | M star (a - b)
He 2-417       |  12- 7 1 | 18 42.6 -21 18 |012.89 -07.67 | Symbiotic star (a)
He 2-446       |  59- 0 1 | 19 44.1 +23 27 |059.65 -00.26 | H alpha emission star (a)
He 2-467       |  63-12 1 | 20 36.0 +20 12 |063.40 -12.15 | Symbiotic star ? (a)
He 2-468       |  75- 4 1 | 20 41.4 +34 44 |075.94 -04.46 | Symbiotic star (a)
K 1-5          |   9-21 1 | 19 32.4 -29 25 |009.79 -21.22 | Galaxy (a - c)
K 1-8          | 223- 2 1 | 07 03.3 -10 35 |223.70 -02.21 | HII region ? (a)
K 1-9          | 219+ 1 1 | 07 07.3 -05 10 |219.33 +01.15 | H II region (a - b)
K 1-25         |* 38+ 7 1 | 18 33.2 +08 18 |038.30 +07.82 | No emission-line object detected (b)
K 2-6          |  56+14 1 | 18 41.1 +26 56 |056.30 +14.03 | No emission-line object detected (a - b)
K 2-8          |  10+18 1 | 17 05.5 -10 06 |010.92 +18.11 | No emission-line object detected (a)
K 2-9          |   4- 5 4 | 18 18.7 -28 09 |004.26 -05.94 | No emission-line object detected (a)
K 2-10         |  32- 6 1 | 19 13.0 -03 32 |032.24 -06.41 | No emission line object detected (b)
K 2-11         |  38- 3 3 | 19 14.3 +03 35 |038.73 -03.44 | No emission-line object detected (b)
K 2-13         |*247-21 1 | 06 25.5 -39 52 |247.77 -21.68 | Plate fault (a)
K 2-14         |*210- 0 2 | 06 44.6 +01 19 |210.98 -00.92 | No emission-line object detected (a)
K 3-8          |  35+ 5 1 | 18 34.9 +05 05 |035.59 +05.99 | M star (b)
K 3-9          |  23- 1 1 | 18 40.4 -08 44 |023.91 -01.54 | Symbiotic star (a)
K 3-10         |  44+ 8 1 | 18 40.1 +14 12 |044.40 +08.89 | M star (a - b)
K 3-12         |  37+ 4 1 | 18 44.7 +06 07 |037.63 +04.27 | Symbiotic star (b)
K 3-23         |  44+ 1 1 | 19 09.8 +11 05 |044.87 +01.03 | H alpha emission star (a)
K 3-25         |  37- 3 3 | 19 13.5 +02 18 |037.51 -03.85 | Symbiotic star (a - b)
K 3-28         |  37- 4 1 | 19 15.3 +02 33 |037.94 -04.14 | M star (a)
K 3-32         |  56+ 4 1 | 19 19.6 +22 35 |056.16 +04.26 | No emission-line object detected (a)
K 3-44         |  55- 1 2 | 19 40.9 +18 45 |055.19 -01.95 | M star (a - b)
K 3-47         |  64+ 0 1 | 19 50.4 +28 12 |064.46 +00.90 | Me star ? (a)
K 3-48         |  63+ 0 1 | 19 52.2 +27 19 |063.89 +00.12 | H II region
K 3-50         |  70+ 1 1 | 20 01.7 +33 33 |070.29 +01.61 | Compact HII region in Sh 2-100 (a)
K 3-59         |  81+ 3 1 | 20 25.2 +43 53 |081.44 +03.49 | Me star (a)
K 3-85         |*108+ 0 1 | 22 50.9 +59 30 |108.17 +00.13 | Possible Me star (b)
K 4-1          |  30+ 8 1 | 18 16.5 +01 53 |030.62 +08.62 | Star (b)
K 4-2          |  37+ 7 1 | 18 32.2 +07 14 |037.23 +07.54 | M star (b)
K 4-3          |  36+ 6 1 | 18 33.8 +05 53 |036.19 +06.59 | M star (b)
K 4-4          |  38+ 4 1 | 18 44.2 +06 47 |038.17 +04.68 | No emission-line object detected (a)
K 4-6          |  34+ 1 1 | 18 48.3 +01 43 |034.10 +01.48 | H alpha emission star (b)
K 4-7          |  26- 2 2 | 18 48.6 -06 41 |026.65 -02.41 | Symbiotic star (a)
K 4-9          |  58+12 1 | 18 53.7 +28 32 |058.96 +12.13 | M star (a - b)
K 4-11         |  42+ 1 1 | 19 03.6 +08 44 |042.09 +01.30 | Red continuum (a)
K 4-12         |  48+ 4 1 | 19 03.7 +16 27 |048.97 +04.77 | Symbiotic star (a - b)
K 4-13         |  43+ 1 1 | 19 04.2 +10 11 |043.43 +01.83 | M star (a - b)
K 4-14         |  35- 2 1 | 19 04.6 +01 23 |035.66 -02.31 | Late-type star (a)
K 4-15         |  34- 2 1 | 19 04.9 +00 20 |034.77 -02.84 | M star (b)
K 4-18         |  37- 3 1 | 19 12.1 +02 38 |037.64 -03.39 | M star (a - b)
K 4-20         |  42- 1 1 | 19 13.5 +07 27 |042.07 -01.49 | No emission-line object detected (b)
K 4-21         |  45- 0 1 | 19 14.5 +10 51 |045.20 -00.10 | M star (a - b)
K 4-22         |  38- 4 1 | 19 17.8 +02 49 |038.47 -04.57 | M star (a)
K 4-23         |  49+ 0 1 | 19 18.6 +15 00 |049.33 +00.94 | M star (a - b)
K 4-24         |  48- 0 1 | 19 21.2 +14 07 |048.85 -00.03 | M star (a - b)
