PK,f_PK,Name,RAh,RAm,DE-,DEd,DEm,List,Disc,Note,ImFile,Page
037-02.1,M,Ap 3-1,19,8.1,+,2,45,--,M S3 (Apriamashvili 1962),--,--,--
037-03.1,M,K 4-18,19,9.6,+,2,33,--,M S3 (Kohoutek 1964),--,--,--
037-03.2,--,A 56,19,10.6,+,2,48,--,Abell 1955,--,--,--
037-03.3,*,K 3-25,19,11.0,+,2,13,--,Kohoutek 1964,*,--,--
037-04.1,M,K 3-28,19,12.8,+,2,28,--,M S4 (Kohoutek 1964),--,--,--
037-05.1,--,A 58,19,15.8,+,1,41,--,Abell 1955,*,bb031-035,5
037-06.1,--,NGC 6790,19,20.4,+,1,25,--,Pickering 1882,*,--,--
037-06.2,M,K 4-26,19,21.0,+,0,32,--,M S4 (Kohoutek 1964),*,--,--
037-34.1,--,NGC 7009,21,1.5,-,11,34,--,W. Herschel 1782,*,bb036-040,1
038+12.1,--,Cn 3-1,18,15.2,+,10,8,--,Cannon 1926,--,--,--
038+07.1,*,K 1-25,18,30.8,+,8,16,S1,Kohoutek 1971,*,bb036-040,1
038+04.1,M,K 4-4,18,41.8,+,6,44,--,M S4 (Kohoutek 1964),--,--,--
038+02.1,--,YM 16,18,52.5,+,5,59,--,Sharpless 1959,--,--,--
038-00.1,*,HtTr 12,19,1.3,+,5,5,S3,"Hartl, Tritton 1983",--,bb036-040,1
038-03.1,*,K 4-19,19,10.9,+,3,20,--,Kohoutek 1964,--,--,--
038-03.2,--,M 1-69,19,11.4,+,3,33,--,Minkowski 1946,--,--,--
038-03.3,M,K 2-11,19,11.8,+,3,30,--,M S6 (Kohoutek 1964),--,--,--
038-04.1,M,K 4-22,19,15.3,+,2,44,--,M S4 (Kohoutek 1964),--,--,--
038-25.1,--,A 70,20,28.9,-,7,16,--,Abell 1955,--,--,--
039+02.1,--,K 3-17,18,53.9,+,7,3,--,Kohoutek 1964,--,--,--
039-02.1,--,M 2-47,19,11.1,+,4,33,--,Minkowski 1947,--,--,--
039-02.2,*,PN 1908+0422,19,8.4,+,4,22,S6,Van de Steene etal. 1996a,*,bb036-040,1
040+07.1,M,Y-C 46,18,34.0,+,10,16,S3,M S4 (Cesco etal. 1984),--,--,--
040-00.1,--,A 53,19,4.3,+,6,19,--,Abell 1955,--,--,--
