PK,f_PK,Name,RAh,RAm,DE-,DEd,DEm,List,Disc,Note,ImFile,Page
079+05.1,--,M 4-17,20,7.4,+,43,35,--,Minkowski 1948,--,--,--
079+00.1,*,KJPN 4,20,26.5,+,40,10,S1,"Kazaryan, Parsamyan 1971",*,bb041-045,5
080-10.1,*,RXJ 2117+34,21,15.1,+,34,0,S5,Werner etal. 1993,*,bb041-045,5
081+03.1,M,K 3-59,20,23.5,+,43,43,--,M S4 (Kohoutek 1964),--,--,--
081-14.1,--,A 78,21,33.3,+,31,28,--,Abell 1955,*,--,--
082+11.1,--,NGC 6833,19,48.3,+,48,50,--,Pickering 1883,--,--,--
082+07.1,--,NGC 6884,20,8.8,+,46,19,--,Copeland 1884,*,--,--
083+12.1,--,NGC 6826,19,43.5,+,50,24,--,W. Herschel 1793,*,--,--
083+05.1,--,KLW 7,20,20.7,+,46,54,S6,Kerber etal. 1996,--,bb041-045,5
083-08.1,--,K 3-81,21,20.3,+,37,54,S1,Kohoutek 1972,--,bb041-045,5
084+09.1,--,K 3-73,20,2.5,+,49,11,S1,Kohoutek 1972,--,bb041-045,5
084+02.1,M,K 4-54,20,41.2,+,45,46,S1,M S4 (Kohoutek 1972),--,--,--
084+01.1,--,K 4-55,20,43.4,+,44,28,S1,Kohoutek 1972,--,bb041-045,5
084-03.1,--,NGC 7027,21,5.2,+,42,2,--,Webb 1879,--,--,--
084-04.1,--,K 3-80,21,5.8,+,40,46,S1,Kohoutek 1972,--,bb046-050,1
085+52.1,*,PG 1520+525,15,20.3,+,52,33,S5,"Jacoby, van de Steene 1993",*,bb046-050,1
085+04.1,--,A 71,20,30.8,+,47,11,--,Abell 1955,--,--,--
086+05.1,--,We 1-10,20,30.3,+,48,43,S1,Weinberger 1977,--,bb046-050,1
086+00.1,*,K 4-56,20,54.0,+,46,22,S1,Kohoutek 1972,*,bb046-050,1
086-08.1,--,Hu 1-2,21,31.1,+,39,25,--,Humason 1921,--,--,--
087-03.1,*,We 2-245,21,16.2,+,43,36,S1,Weinberger 1977,--,bb046-050,1
088+06.1,M,Kr 1-2,20,34.1,+,51,23,--,M S1 (Krasnogorskaya 1962),--,--,--
088+04.1,--,K 3-78,20,43.8,+,50,12,S1,Kohoutek 1972,--,bb046-050,1
088-01.1,--,NGC 7048,21,12.5,+,46,5,--,Curtis 1919,--,--,--
089+00.1,--,NGC 7026,21,4.6,+,47,39,--,Copeland 1880,*,--,--
089-00.1,--,Sh 1-89,21,12.4,+,47,34,--,Sharpless 1959,--,--,--
089-02.1,*,M 1-77,21,17.3,+,46,6,--,Minkowski 1946,*,--,--
089-05.1,--,IC 5117,21,30.6,+,44,22,--,Fleming 1905,--,--,--
091+01.1,--,We 1-11,21,9.2,+,50,35,S1,Weinberger 1977,--,bb046-050,2
091-04.1,--,K 3-84,21,36.9,+,45,47,S1,Kohoutek 1972,--,bb046-050,2
092+05.1,--,K 3-79,20,51.8,+,53,34,S1,Kohoutek 1972,--,bb046-050,2
093+05.1,M,K 4-44,20,59.0,+,54,21,--,M S1 (Kohoutek 1964),--,--,--
093+05.2,--,NGC 7008,20,59.1,+,54,21,--,Pease 1917,*,--,--
093+01.1,M,M 1-78,21,19.1,+,51,41,--,M S6 (Minkowski 1946),--,--,--
093-00.1,--,K 3-82,21,29.1,+,49,47,S1,Kohoutek 1972,--,bb046-050,2
093-00.2,*,IRAS21282+5050,21,28.3,+,50,51,S4,"Cohen, Jones 1987",*,bb046-050,2
093-02.1,--,M 1-79,21,35.2,+,48,43,--,Minkowski 1946,--,--,--
094+38.1,*,EL 1647+64,16,47.1,+,64,13,S3,Ellis etal. 1984,--,bb046-050,2
094+27.1,--,K 1-16,18,21.6,+,64,20,--,Kohoutek 1963,*,--,--
094-00.1,--,K 3-83,21,34.0,+,50,41,S1,Kohoutek 1972,--,bb046-050,3
095+07.1,--,A 73,20,55.1,+,57,14,--,Abell 1955,--,--,--
095+00.1,--,K 3-62,21,30.1,+,52,21,--,Kohoutek 1964,--,--,--
095-02.1,--,M 2-49,21,41.5,+,50,11,--,Minkowski 1947,--,--,--
096+29.1,--,NGC 6543,17,58.6,+,66,38,--,W. Herschel 1786,*,bb046-050,3
096+02.1,--,K 3-61,21,28.4,+,54,14,--,Kohoutek 1964,--,--,--
096+01.1,M,K 4-45,21,33.7,+,53,34,--,M S4 (Kohoutek 1964),--,--,--
097+03.1,M,A 77,21,30.6,+,55,40,--,M S3 (Abell 1955),--,--,--
097-02.1,--,M 2-50,21,55.9,+,51,27,--,Minkowski 1947,--,--,--
098+04.1,--,K 3-60,21,26.0,+,57,26,--,Kohoutek 1964,--,--,--
098+02.1,--,K 3-63,21,37.6,+,55,32,--,Kohoutek 1964,--,--,--
099-08.1,*,HtDe 13,22,28.5,+,47,16,S3,Hartl etal. 1983,--,bb046-050,3
100+04.1,*,IRAS21394+5844,21,39.5,+,58,45,S6,Condon etal. 1999,*,bb046-050,3
100-05.1,--,IC 5217,22,21.9,+,50,43,--,Fleming 1904,--,--,--
100-08.1,--,Me 2-2,22,29.6,+,47,33,--,Merrill 1941,--,--,--
101+08.1,--,A 75,21,25.2,+,62,40,--,Abell 1964,--,--,--
102-02.1,--,A 79,22,24.4,+,54,34,--,Abell 1955,--,--,--
102-05.1,--,A 80,22,32.7,+,52,11,--,Abell 1955,--,--,--
103+00.1,--,M 2-51,22,14.3,+,57,14,--,Minkowski 1947,--,--,--
103+00.2,--,M 2-52,22,18.7,+,57,21,--,Minkowski 1947,--,--,--
104+07.1,--,NGC 7139,21,44.8,+,63,34,--,Curtis 1918,--,--,--
104+00.1,--,Bl 2-1,22,18.5,+,57,59,--,Blanco 1964,--,--,--
104-01.1,--,M 2-53,22,30.4,+,55,55,--,Minkowski 1947,--,--,--
104-01.2,--,KLW 8,22,28.2,+,55,56,S6,Kerber etal. 1996,--,bb046-050,3
104-06.1,M,M 2-54,22,49.5,+,51,35,--,M S4 (Minkowski 1947),*,--,--
104-29.1,--,Jn 1,23,33.4,+,30,11,--,Jones 1941,*,--,--
105+00.1,*,IRAS22331+5809,22,33.1,+,58,9,S6,Condon etal. 1999,--,bb046-050,3
106-04.1,--,K 3-86,22,52.6,+,54,40,S1,Kohoutek 1972,--,bb046-050,4
106-17.1,--,NGC 7662,23,23.5,+,42,16,--,W. Herschel 1784,*,bb046-050,4
107+21.1,--,K 1-6,20,5.1,+,74,18,--,Kohoutek 1962,--,--,--
107+07.1,*,IsWe 2,22,11.9,+,65,39,S4,"Ishida, Weinberger 1987",*,bb046-050,4
107+02.1,--,NGC 7354,22,38.5,+,61,1,--,Lord Rosse 1862,--,--,--
107-00.1,*,K 4-57,22,46.6,+,58,13,S1,Kohoutek 1972,--,bb046-050,4
107-02.1,--,M 1-80,22,54.2,+,56,53,--,Minkowski 1946,--,--,--
107-02.2,--,K 3-87,22,53.0,+,56,26,S1,Kohoutek 1972,--,bb046-050,4
107-13.1,--,Vy 2-3,23,20.6,+,46,38,--,Miller 1945,--,--,--
108+00.1,*,K 3-85,22,48.9,+,59,14,S1,Kohoutek 1972,*,bb046-050,5
108-05.1,M,K 4-46,23,7.1,+,54,29,--,M S1 (Kohoutek 1964),*,--,--
108-76.1,--,BOBN 1,0,34.7,-,13,59,S1,"Boeshaar, Bond 1977",--,bb046-050,5
110+01.1,*,IRAS22568+6141,22,56.9,+,61,42,S5,Manchado etal. 1989,*,bb046-050,5
110-00.1,M,We 1-12,23,10.0,+,59,20,S1,M S6 (Weinberger 1977),--,--,--
110-01.1,--,WeSb 6,23,10.9,+,59,1,S2,"Weinberger, Sabbadin 1981",--,bb046-050,5
110-12.1,--,K 1-20,23,36.7,+,47,56,--,Kohoutek 1963,--,--,--
111+11.1,*,DeHt 5,22,18.4,+,70,41,S2,Dengel etal. 1980,*,bb046-050,5
111+06.1,*,KJPN 6,22,47.3,+,66,46,S1,"Kazaryan, Parsamyan 1971",*,bb046-050,5
111-02.1,--,Hb 12,23,24.0,+,57,54,--,Hubble 1921,*,--,--
111-03.1,*,We 2-260,23,20.2,+,57,30,S1,Weinberger 1977,*,bb051-055,1
112+03.1,--,K 3-88,23,10.2,+,64,23,S1,Kohoutek 1972,--,bb051-055,1
112-00.1,--,KJPN 8,23,21.9,+,60,41,S1,"Kazaryan, Parsamyan 1971",*,bb051-055,1
112-10.1,--,A 84,23,45.3,+,51,7,--,Abell 1955,--,--,--
113+06.1,M,KJPN 7,23,5.7,+,66,43,S1,M S6 (Kazaryan Parsamyan 1971),*,--,--
113+05.1,M,KJ 2-2,23,7.2,+,66,32,S1,M S4 (Kazaryan 1976),--,--,--
113-06.1,--,A 83,23,44.3,+,54,28,--,Abell 1955,--,--,--
114+10.1,M,Kr 2-2,22,55.0,+,71,12,--,M S1 (Krasnogorskaya 1962),--,--,--
114+03.1,M,Anon.,23,33.2,+,64,36,--,M S4 (--),--,--,--
114-04.1,--,A 82,23,43.3,+,56,47,--,Abell 1955,--,--,--
116+08.1,--,M 2-55,23,29.7,+,70,6,--,Minkowski 1947,--,--,--
116+00.1,*,We 2-262,23,49.9,+,62,16,S1,Weinberger 1977,--,bb051-055,1
117+18.1,--,IC 1454,22,42.0,+,80,11,--,Abell 1955,--,--,--
118+08.1,*,M 2-56,23,54.1,+,70,32,--,Minkowski 1947,--,--,--
118+08.2,--,A 86,23,59.0,+,70,26,--,Abell 1955,--,--,--
118+02.1,M,Sh 1-118,0,5.0,+,64,41,--,M S4 (Sharpless 1959),--,--,--
118-08.1,--,Vy 1-1,0,16.0,+,53,36,--,Vyssotsky 1942,--,--,--
118-74.1,--,NGC 246,0,44.5,-,12,9,--,W. Herschel 1785,*,--,--
119+06.1,--,A 1,0,10.2,+,68,54,--,Abell 1955,--,--,--
119+00.1,--,BV 1,0,17.2,+,62,42,--,Boehm-Vitense 1956,--,--,--
119-06.1,--,Hu 1-1,0,25.5,+,55,41,--,Humason 1921,--,--,--
120+18.1,*,Sh 2-174,23,43.0,+,80,40,S5,"Napiwotzki, Schonberner 1993",*,bb051-055,1
120+09.1,--,NGC 40,0,10.3,+,72,15,--,Fleming 1912,*,--,--
120-05.1,--,Sh 2-176,0,29.0,+,57,6,S2,Sabbadin etal. 1977,--,bb051-055,1
121+03.1,--,We 1-1,0,35.9,+,66,7,S1,Weinberger 1977,--,bb051-055,2
121+00.1,--,BV 2,0,37.4,+,62,35,--,Boehm-Vitense 1956,--,--,--
121-02.1,M,Kr 1-1,0,35.8,+,60,0,--,M S1 (Krasnogorskaya 1962),--,--,--
122-04.1,--,A 2,0,42.7,+,57,41,--,Abell 1955,--,--,--
123+34.1,--,IC 3568,12,31.8,+,82,50,--,Aitken 1900,*,--,--
124+10.1,--,EL 0103+73,1,3.5,+,73,17,S3,Ellis etal. 1984,*,bb051-055,2
124+02.1,*,KLSS 2-7,0,59.2,+,65,30,S5,Kerber etal. 1994,*,bb051-055,2
124-07.1,--,WeSb 1,0,57.9,+,54,48,S2,"Weinberger, Sabbadin 1981",--,bb051-055,2
125-47.1,--,PHL 932,0,57.3,+,15,28,S1,"Arp, Scargle 1967",--,bb051-055,2
126+03.1,--,K 3-90,1,21.5,+,65,23,S1,Kohoutek 1972,--,bb051-055,2
127-01.1,M,K 4-59,1,27.2,+,60,16,S1,M S4 (Kohoutek 1972),--,--,--
128-04.1,*,S 22,1,27.3,+,58,9,S3,"Arkhipova, Lozinskaya 1978",*,bb051-055,3
129+04.1,--,K 3-91,1,54.8,+,66,19,S1,Kohoutek 1972,--,bb051-055,3
129-02.1,*,We 2-5,1,39.2,+,59,55,S1,Weinberger 1977,--,bb051-055,3
129-05.1,--,KLSS 2-8,1,36.8,+,56,20,S5,Kerber etal. 1994,*,bb051-055,3
130+03.1,--,K 3-92,1,59.9,+,64,43,S1,Kohoutek 1972,--,bb051-055,3
130+01.1,--,IC 1747,1,54.0,+,63,5,--,Fleming 1905,--,--,--
130-10.1,--,NGC 650-1,1,39.2,+,51,19,--,Curtis 1918,*,--,--
130-11.1,--,M 1-1,1,34.2,+,50,13,--,Minkowski 1946,--,--,--
131+02.1,--,A 3,2,8.3,+,63,55,--,Abell 1955,--,--,--
131-05.1,--,BV 3,1,49.7,+,56,10,--,Boehm-Vitense 1956,--,--,--
132+04.1,--,K 3-93,2,22.5,+,65,34,S1,Kohoutek 1972,--,bb051-055,3
132-00.1,M,K 4-60,2,4.5,+,60,32,S1,M S6 (Kohoutek 1972),--,--,--
133-08.1,*,M 1-2,1,55.5,+,52,39,--,Minkowski 1946,*,--,--
136+05.1,--,HEFE 1,2,59.6,+,64,42,S3,Heckathorn etal. 1982,*,bb051-055,4
136+04.1,--,A 6,2,54.5,+,64,18,--,Abell 1955,--,--,--
137+16.1,*,EL 0419+72,4,19.4,+,72,42,S3,Ellis etal. 1984,--,bb051-055,4
138+04.1,*,HtDe 2,3,6.9,+,62,37,S3,Hartl etal. 1983,--,bb051-055,4
138+02.1,--,IC 289,3,6.3,+,61,8,--,Hubble 1921,*,--,--
141-07.1,--,A 5,2,48.8,+,50,24,--,Abell 1955,--,--,--
142+03.1,--,K 3-94,3,32.0,+,59,54,S1,Kohoutek 1972,--,bb051-055,4
144+65.1,--,BE UMa,11,55.2,+,49,13,S6,Liebert etal. 1995,*,bb051-055,4
144+06.1,--,NGC 1501,4,2.7,+,60,47,--,W. Herschel 1787,*,--,--
144-15.1,--,A 4,2,42.2,+,42,21,--,Abell 1964,--,--,--
146+07.1,--,M 4-18,4,21.5,+,60,0,--,Minkowski 1959,*,--,--
147+04.1,--,M 2-2,4,9.2,+,56,49,--,Minkowski 1947,--,--,--
147-02.1,--,M 1-4,3,38.0,+,52,7,--,Minkowski 1946,--,--,--
147-09.1,*,HtWe 3,3,13.1,+,46,43,S4,"Hartl, Weinberger 1987",--,bb051-055,4
148+57.1,--,NGC 3587,11,11.9,+,55,17,--,Lord Rosse 1850,*,--,--
148-48.1,*,GR 0155+10,1,55.3,+,10,42,S3,Ellis etal. 1984,--,bb051-055,5
149+04.1,*,K 4-47,4,16.7,+,56,11,S1,Kohoutek 1969,--,bb051-055,5
149-01.1,M,Kr 2-1,3,47.9,+,51,20,--,M S1 (Krasnogorskaya 1962),--,--,--
149-03.1,*,IsWe 1,3,45.4,+,49,51,S4,"Ishida, Weinberger 1987",*,bb051-055,5
149-09.1,*,HtDe 3,3,23.8,+,45,14,S3,Hartl etal. 1983,*,bb051-055,5
151+02.1,M,V-V 1-2,4,15.9,+,52,59,--,M S1 (Vor.-Velyaminov 1961),--,--,--
151+00.1,--,K 3-64,4,9.6,+,51,43,S1,Kohoutek 1969,--,bb051-055,5
153+22.1,--,A 16,6,39.3,+,61,50,--,Abell 1955,--,--,--
153-01.1,--,K 3-65,4,12.2,+,48,42,S1,Kohoutek 1969,--,bb051-055,5
156+12.1,*,HtDe 4,5,33.8,+,55,30,S3,Hartl etal. 1983,*,bb056-060,1
156-13.1,*,HtWe 5,3,42.2,+,37,39,S4,"Hartl, Weinberger 1987",*,bb056-060,1
158+37.1,--,A 28,8,37.6,+,58,25,--,Abell 1955,--,--,--
158+17.1,--,PuWe 1,6,15.4,+,55,38,S2,"Purgathofer, Weinberger 1980",*,bb056-060,1
158+00.1,*,Sh 2-216,4,39.7,+,46,36,S3,Reynolds 1985,*,bb056-060,1
159-15.1,--,IC 351,3,44.3,+,34,54,--,Barnard 1891,--,--,--
160-00.1,--,We 1-2,4,43.1,+,44,23,S1,Weinberger 1977,--,bb056-060,1
160-02.1,--,WSLS 1,4,33.8,+,42,41,S5,Weinberger etal. 1994,--,bb056-060,1
161-14.1,--,IC 2003,3,53.2,+,33,44,--,Hubble 1920,--,--,--
163-00.1,--,We 1-3,4,51.0,+,42,12,S1,Weinberger 1977,--,bb056-060,2
164+31.1,--,JnEr 1,7,54.0,+,53,33,--,"Jones, Emberson 1939",*,bb056-060,2
165-06.1,--,K 3-67,4,36.5,+,36,40,S1,Kohoutek 1969,--,bb056-060,2
165-15.1,--,NGC 1514,4,6.1,+,30,39,--,Pickering 1879,*,--,--
166+10.1,--,IC 2149,5,52.7,+,46,6,--,Fleming 1906,*,--,--
166-06.1,*,CRL 618,4,39.6,+,36,1,S3,prob. Westbrook etal. 1975,*,bb056-060,2
167-00.1,--,A 8,5,3.2,+,39,4,--,Abell 1955,--,--,--
167-09.1,--,K 3-66,4,33.4,+,33,33,S1,Kohoutek 1969,--,bb056-060,2
169-00.1,M,IC 2120,5,14.8,+,37,33,--,M S4 (Minkowski 1947),--,--,--
170+15.1,--,NGC 2242,6,30.5,+,44,49,S4,Liu etal. 1986,*,bb056-060,2
170+04.1,--,K 3-69,5,37.9,+,39,14,S1,Kohoutek 1969,--,bb056-060,3
171-25.1,--,Ba 1,3,50.7,+,19,21,--,Baade 1935,--,--,--
172+00.1,*,A 9,5,25.6,+,36,1,--,Abell 1955,*,--,--
173+03.1,*,Pu 2,5,39.2,+,36,8,S2,Purgathofer 1980,*,bb056-060,3
173+02.1,M,PP 40,5,37.5,+,35,41,S3,"M S6 (Turner, Terzian 1985)",--,--,--
173-05.1,*,K 2-1,5,3.9,+,30,45,--,Kohoutek 1963,--,--,--
174-14.1,--,H 3-29,4,34.3,+,24,57,--,N.U. Mayall 1964,*,--,--
176+00.1,M,NGC 1985,5,34.5,+,31,57,--,M S2 (Sharpless 1959),--,--,--
178-02.1,--,K 3-68,5,28.4,+,28,57,S1,Kohoutek 1969,--,bb056-060,3
181+00.1,--,Pu 1,5,49.7,+,28,5,S2,Purgathofer 1978,--,bb056-060,3
183+05.1,--,WeSb 2,6,13.0,+,28,23,S2,"Weinberger, Sabbadin 1981",--,bb056-060,3
184+04.1,--,K 3-71,6,10.8,+,26,54,S1,Kohoutek 1969,--,bb056-060,3
184+00.1,--,K 3-70,5,55.7,+,25,19,S1,Kohoutek 1969,--,bb056-060,4
184-02.1,--,M 1-5,5,43.8,+,24,21,--,Minkowski 1946,--,--,--
189+19.1,--,NGC 2371-2,7,22.4,+,29,35,--,Pease 1917,*,--,--
189+07.1,--,M 1-7,6,34.3,+,24,3,--,Minkowski 1946,--,--,--
190-17.1,--,J 320,5,2.8,+,10,38,--,Jonckheere 1916,--,--,--
192+07.1,*,HtDe 6,6,37.2,+,21,28,S3,Hartl etal. 1983,--,bb056-060,4
193-04.1,--,KLSS 1-5,5,54.3,+,15,25,S5,Kerber etal. 1994,*,bb056-060,4
193-09.1,--,H 3-75,5,37.9,+,12,20,--,N.U. Mayall 1964,*,--,--
194+02.1,--,J 900,6,23.0,+,17,49,--,Jonckheere 1916,--,--,--
195-00.1,M,Sh 2-266,6,16.0,+,15,18,--,M S1 (Sharpless 1959),*,--,--
196-01.1,M,V-V 1-5,6,13.0,+,14,17,--,M S1 (Vor.-Velyaminov 1961),--,--,--
196-10.1,--,NGC 2022,5,39.4,+,9,4,--,W. Herschel 1785,--,--,--
196-12.1,M,A 11,5,34.6,+,8,14,--,M S3 (Abell 1964),--,--,--
197+17.1,--,NGC 2392,7,26.2,+,21,1,--,Lasell 1853,*,bb056-060,4
197+05.1,--,KLSS 1-6,6,40.5,+,16,52,S5,Kerber etal. 1994,*,bb056-060,4
197-02.1,M,V-V 1-4,6,12.4,+,12,23,--,M S1 (Vor.-Velyaminov 1961),--,--,--
197-02.2,M,KJ 1-1,6,10.0,+,12,24,S1,M S1 (Kazaryan 1966),--,--,--
197-03.1,--,A 14,6,8.4,+,11,48,--,Abell 1955,*,--,--
197-06.1,--,WeDe 1,5,56.6,+,10,42,S3,Weinberger etal. 1983,--,bb056-060,4
197-14.1,--,K 1-7,5,29.1,+,6,54,--,Kohoutek 1963,--,--,--
198-06.1,--,A 12,5,59.6,+,9,39,--,Abell 1964,*,--,--
199+14.1,*,IRAS07171+1823,7,17.1,+,18,23,S6,Vijapurkar etal. 1998,*,bb056-060,5
200+08.1,--,A 19,6,57.1,+,14,41,--,Abell 1955,--,--,--
201+02.1,--,K 4-48,6,37.2,+,11,9,S1,Kohoutek 1969,--,bb056-060,5
201-04.1,--,We 1-4,6,11.9,+,7,35,S1,Weinberger 1977,--,bb056-060,5
203-18.1,*,MaC 2-2,5,26.4,-,0,43,S3,MacConnell 1982,--,bb056-060,5
204+04.1,--,K 2-2,6,49.8,+,10,2,--,Kohoutek 1963,--,--,--
204-03.1,--,K 3-72,6,21.2,+,5,32,S1,Kohoutek 1969,--,bb056-060,5
204-08.1,--,A 13,6,2.2,+,3,57,--,Abell 1955,*,--,--
204-13.1,*,MaC 2-4,5,45.0,+,0,38,S3,MacConnell 1982,*,bb056-060,5
204-16.1,M,MaC 2-3,5,35.7,+,0,13,S3,M S6 (MacConnell 1982),--,--,--
205+14.1,*,A 21,7,26.2,+,13,21,S1,Abell 1955,*,bb061-065,1
205-26.1,*,MaC 2-1,5,1.3,-,6,14,S3,MacConnell 1982,--,bb061-065,1
206-40.1,--,NGC 1535,4,11.9,-,12,52,--,W. Herschel 1785,*,--,--
208+33.1,--,A 30,8,44.1,+,18,4,--,Abell 1964,*,--,--
208+01.1,*,K 4-50,6,44.4,+,4,41,S1,Kohoutek 1969,--,bb061-065,1
208-07.1,*,TuWe 2-1,6,13.7,+,0,1,S6,"Tamura, Weinberger 1995",*,bb061-065,1
210+03.1,*,We 2-34,6,57.8,+,4,25,S1,Weinberger 1977,--,bb061-065,1
210+01.1,--,M 1-8,6,50.9,+,3,12,--,Minkowski 1946,--,--,--
210-00.1,M,K 4-49,6,42.0,+,1,23,S1,M S4 (Kohoutek 1969),--,--,--
210-00.2,*,K 2-14,6,42.0,+,1,22,S1,Kohoutek 1971,*,bb061-065,1
211+22.1,*,BN 0808+11,8,8.5,+,11,6,S3,Ellis etal. 1984,--,bb061-065,2
211+18.1,*,HtDe 7,7,52.5,+,9,41,S3,Hartl etal. 1983,--,bb061-065,2
211-03.1,--,M 1-6,6,33.2,-,0,3,--,Minkowski 1946,--,--,--
212+04.1,--,M 1-9,7,2.7,+,2,52,--,Minkowski 1946,--,--,--
214+31.1,M,Y-C 42,8,43.2,+,12,48,S3,M S4 (Cesco etal. 1984),--,--,--
214+07.1,--,A 20,7,20.4,+,1,51,--,Abell 1955,*,--,--
215+11.1,--,K 1-11,7,33.5,+,2,49,--,Kohoutek 1963,--,--,--
215+03.1,--,NGC 2346,7,6.8,-,0,44,--,Minkowski 1946,*,--,--
215-24.1,--,IC 418,5,25.2,-,12,44,--,Fleming 1891,--,--,--
215-30.1,--,A 7,5,0.9,-,15,41,--,Abell 1955,*,--,--
216-00.1,--,A 18,6,53.7,-,2,49,--,Abell 1955,--,--,--
216-04.1,--,We 1-5,6,39.1,-,5,0,S1,Weinberger 1977,--,bb061-065,2
217+14.1,--,A 24,7,49.0,+,3,8,--,Abell 1955,*,--,--
217+02.1,--,SP 3-1,7,4.3,-,3,0,S2,Stephenson 1978,--,bb061-065,2
217-00.1,*,MaC 1-1,6,56.2,-,3,37,S2,M S4 (MacConnell 1978),--,bb061-065,2
217-00.1,*,MaC 1-1,6,56.2,-,3,37,S5,Garcia-Lario etal. 1993,*,--,--
218-10.1,--,HtDe 5,6,21.3,-,10,12,S3,Hartl etal. 1983,--,bb061-065,2
219+31.1,--,A 31,8,51.5,+,9,6,--,Abell 1955,*,--,--
219+07.1,--,RWT 152,7,27.4,-,2,0,S3,Pritchet 1984,--,bb061-065,3
219+01.1,M,K 1-9,7,4.8,-,5,5,--,M S4 (Kohoutek 1963),--,--,--
220-53.1,--,NGC 1360,3,31.1,-,26,2,--,Minkowski 1946,*,--,--
221+46.1,*,BN 0950+13,9,50.3,+,13,59,S3,Ellis etal. 1984,*,bb061-065,3
221+05.1,--,M 3-3,7,24.1,-,5,16,--,Minkowski 1948,--,--,--
221+05.2,*,Y-C 37,7,24.0,-,5,16,S3,Cesco etal. 1984,--,bb061-065,3
221+04.1,M,Y-C 36,7,19.7,-,5,50,S3,M S6 (Cesco etal. 1984),--,--,--
221-04.1,*,A 17,6,46.3,-,9,29,--,Abell 1955,*,--,--
221-12.1,--,IC 2165,6,19.4,-,12,58,--,Fleming 1898,--,--,--
222-04.1,*,IRAS06518-1041,6,51.9,-,10,42,S6,Garcia-Lario etal. 1996,*,bb061-065,3
223+04.1,M,Y-C 39,7,24.5,-,7,27,S3,M S6 (Cesco etal. 1984),--,--,--
223-02.1,M,K 1-8,7,1.0,-,10,30,--,M S4 (Kohoutek 1963),--,--,--
224+15.1,--,K 1-13,8,4.3,-,2,44,--,Kohoutek 1963,--,--,--
224+01.1,--,We 1-6,7,15.1,-,10,5,S1,Weinberger 1977,--,bb061-065,3
225+00.1,*,We 2-37,7,13.8,-,10,48,S1,Weinberger 1977,--,bb061-065,3
225-02.1,*,Sa 2-4,7,4.4,-,11,41,S1,Sanduleak 1975,--,bb061-065,4
226+05.1,--,M 1-16,7,34.9,-,9,32,--,Minkowski 1946,--,--,--
226-03.1,--,PB 1,7,0.5,-,13,38,--,"Peimbert, Batiz 1960",--,--,--
227+33.1,M,A 32,9,13.8,+,4,6,--,M S3 (Abell 1955),--,--,--
228+05.1,--,M 1-17,7,38.0,-,11,25,--,Minkowski 1946,--,--,--
228-11.1,*,KLSS 1-7,6,35.5,-,18,55,S5,Kerber etal. 1994,*,bb061-065,4
228-22.1,--,DeHt 1,5,53.0,-,22,54,S2,Dengel etal. 1980,*,bb061-065,4
229-02.1,--,K 1-10,7,10.3,-,16,1,--,Kohoutek 1963,--,--,--
231+04.1,--,M 1-18,7,39.8,-,14,14,--,Minkowski 1946,--,--,--
231+04.2,--,NGC 2438,7,39.5,-,14,37,--,J. Herschel 1827,*,--,--
231-08.1,M,Y-C 34,6,49.6,-,20,11,S3,M S6 (Cesco etal. 1984),*,--,--
232-01.1,--,M 1-13,7,19.0,-,18,3,--,Minkowski 1946,--,--,--
232-04.1,--,M 1-11,7,9.1,-,19,46,--,Minkowski 1946,*,--,--
233-00.1,M,Sa 3-5,7,26.0,-,17,51,S1,M S4 (Sanduleak 1976),--,--,--
233-10.1,--,SrWe 1,6,48.6,-,22,23,S4,"Saurer, Weinberger 1987",--,bb061-065,4
233-16.1,--,A 15,6,25.0,-,25,21,--,Abell 1964,*,--,--
234+02.1,--,NGC 2440,7,39.7,-,18,5,--,W. Herschel 1790,--,--,--
234-00.1,M,M 1-15,7,29.6,-,19,21,--,M S4 (Minkowski 1946),--,--,--
234-06.1,--,K 2-3,7,4.8,-,21,58,--,Kohoutek 1963,--,--,--
235+04.1,*,Y-C 40,7,47.8,-,17,44,S3,Cesco etal. 1984,--,bb061-065,4
235+01.1,M,V-V 1-7,7,39.0,-,18,52,--,M S1 (Vor.-Velyaminov 1961),*,--,--
235-01.1,--,M 1-14,7,25.8,-,20,7,--,Minkowski 1946,--,--,--
235-03.1,--,M 1-12,7,17.2,-,21,38,--,Minkowski 1946,--,--,--
236+03.1,--,K 1-12,7,48.0,-,19,11,--,Kohoutek 1963,--,--,--
236-10.1,*,HtWe 9,6,52.3,-,25,21,S4,"Hartl, Weinberger 1987",--,bb061-065,4
238+34.1,--,A 33,9,36.6,-,2,35,--,Abell 1955,*,--,--
238+07.1,M,Y-C 4,8,7.0,-,18,33,S1,"M S6 (Cesco, Gibson 1973)",--,--,--
238+07.2,--,Sa 2-21,8,6.5,-,19,5,S1,Sanduleak 1975,--,bb061-065,5
238-01.1,*,KLSS 1-8,7,31.3,-,23,20,S5,Kerber etal. 1994,*,bb061-065,5
239+13.1,--,NGC 2610,8,31.1,-,15,59,--,Reynolds 1914,*,--,--
239-12.1,*,ESO-427-19,6,53.2,-,29,4,S2,Holmberg etal. 1978,*,bb061-065,5
239-18.1,M,ESO-426-13,6,25.6,-,31,10,S2,M S3 (Holmberg etal. 1978),--,--,--
240+07.1,--,Y-C 5,8,8.5,-,20,23,S1,"Cesco, Gibson 1973",*,bb061-065,5
