11 -1 +1    1216+14    13 P             -314.   
11 +2 +1    N 4808      6A    -19.40     668.
11 +2 +1    N 4809     10 P   -17.63     843.
11 +2 +1    N 4810     10 P   -17.37     779.
11 +2 +1    N 4900      5B    -19.09     870.
11 +2 +1    U 7943      5     -17.59     743.
11 +2 +1    U 8053      8X    -17.43     621.
11 +2 +1    U 8074      9     -17.29     811.
11 -3 +1    N 4532     10B    -19.09    1909.
11 -3 +1    U 7739     10     -16.20    1931.
11 -4 +1    1229+04    10               1659.
11 -4 +1    N 4420      5     -18.22    1557.
11 -4 +1    N 4496      9B    -19.03    1625.
11 -4 +1    N 4527      4X    -19.72    1614.
11 -4 +1    N 4536      4X    -20.02    1748.
11 -4 +1    U 7512     10     -16.09    1379.
11 -4 +1    U 7612      9B    -16.82    1452.
11 +4 +1    N 4303      4X    -20.71    1464.
11 +4 +1    U 7354     -5     -16.52    1461.
11 +4 +1    U 7685      8B    -18.34    1405.
11 -5 +1    N 4339     -5     -19.68    1169.
11 -5 +1    N 4423      9     -18.21     984.
11 +5 +1    N 4061     -5     -16.62    1545.
11 +6 +1    N 4643      0B    -20.50    1233.
11 +6 +1    U 7911      9B    -18.16    1066.
11 +7 +1    N 4064      1BP   -19.32     959.
11 +7 +1    N 4065     -5     -17.52    1122.
11 -8 +1    N 4632      5A    -18.76    1572.
11 -8 +1    N 4666      5X    -19.77    1395.
11 +9 +1    N 4753     13     -20.05    1102.
11 +9 +1    U 8041      7B    -18.46    1218.
11 -0 +1    N 4037      5BP   -18.78     844.
11 -0 +1    N 4293      0B    -20.04     824.
11 -0 +1    N 4561      8B    -17.76    1430.
11 -0 +1    N 4580      4X    -19.44    1187.
11 -0 +1    N 4635      7A    -18.66     944.
11 -0 +1    N 4758      3BP   -18.15    1196.
11 -0 +1    N 4845      1A    -19.56    1124.
11 -0 +1    N 4866     -2A    -19.06    1912.
11 -0 +1    N 4880     -2A    -18.68    1499.
11 -0 +1    U 7239     10     -18.18    1126.
11 -0 +1    U 7332     10     -17.33     805.
11 -0 +1    U 7477     13 P   -17.59     657.
11 -0 +1    U 8011     10                747.
11 -0 +1    U 8036      5B    -19.21     893.
11 -0 +1    U 8285      9     -17.01     825.
11 -0 +1    U 8385      9X    -18.00    1079.
11-10+10    1242-08    10               1225.
11-10       1246-09     9B    -19.93    1164.
11-10       1252-10    10               1171.
11-10       1255-09     5               1341.
11-10       N 4699      3X    -21.74    1358.
11-10       N 4700      7B    -20.30    1248.
11-10       N 4742     -5     -19.81    1168.
11-10       N 4781      7B    -20.56    1113.
11-10       N 4790      5B    -19.57    1204.
11-11+10    1241-05     9     -19.33    1287.
11-11+10    1243-05    10               1337.
11-11+10    1246-04    10               1206.
11-11+10    1250-04    10               1278.
11-11+10    1250-06    10               1398.
11-11+10    N 4697     -5     -21.67    1169.
11-11+10    N 4731      6B    -21.17    1358.
11-11+10    N 4775      7A    -20.32    1426.
11-12+10    1302-073    9B               988.
11-12+10    N 4951      6X    -20.13    1048.
11-12+10    N 4958     -2B    -20.30     984.
11-13+10    1256-11    10               1153.
11-13+10    1257-12    10B              1428.
11-14+10    1233-07     9                838.
11-14+10    1251-11    10                667.
11-14+10    N 4487      6X    -20.19     878.
11-14+10    N 4504      6A    -19.94     847.
11-14+10    N 4594      1AP   -22.98     962.
11-15+10    1258-15    10               1220.
11-15+10    N 4856      0B    -20.27    1087.
11+16+10    1230-04     8               1151.
11+16+10    N 4546     -2B    -20.32     882.
11-17+10    1302-075    7B    -18.26    1417.
11-17+10    1309-06     8B              1359.
11-17+10    N 4942      6A              1617.
11-17+10    N 4981      4X    -20.42    1549.
11-17+10    N 4995      3X    -20.51    1577.
11 -0+10    1254-03    10               1411.
11 -0+10    1301-03     9               1249.
11 -0+10    1303-17    10               1296.
11 -0+10    1307-10     5               1073.
11 -0+10    1316-08    10     -18.01    1183.
11 -0+10    1335-09     9     -19.13    1184.
11 -0+10    N 4597      9B    -19.15     904.
11 -0+10    N 4684     -2B    -19.59    1461.
11 -0+10    N 4691      3BP   -20.12     989.
11 -0+10    N 4818      2X    -20.66    1012.
11 -0+10    N 4984      1X    -20.04    1101.
11 -0+10    N 5088      5A    -19.74    1324.
11-18+18    N 5170      3A    -21.00    1347.
11-18       N 5247      5A    -20.95    1216.
11-19+19    1312-22    10               1330.
11-19       N 5042      5X              1210.
11-20+20    N 5037      1A    -20.21    1730.
11-20       N 5054      3A    -21.18    1587.
11-21+21    1322-19     6X              1815.
11-21       1323-21    10               1273.
11-21       N 5084     -2     -20.41    1558.
11-21       N 5087     -2A    -20.51    1666.
11-21       N 5134      1A    -20.09    1532.
11-22+22    1321-24    10               1880.
11-22       1325-27    10               1656.
11-22       N 5061     -5     -21.19    1775.
11-22       N 5085      5A    -20.71    1780.
11-22       N 5101      0B    -20.95    1679.
11-23+22    1304-28     7B              2019.
11-23+22    N 4965      9A              2068.
11  0+22    1324-29    10 P             1705.
11-24+24    1212+06    -5 P   -17.73    1844.
11-24       N 4215     -2A    -19.63    1980.
11-24       N 4224      1A    -20.08    2543.
11-24       N 4233     -2     -19.65    2117.
11-24       N 4235      1A    -20.75    2487.
