notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,SDSS J00000+0037,0,0,2.3,--,0,37,39,O,--,2,--,--,--,0.248,S1,--,20.69,--,--,-20.3,--,--,2,23,57,28.5,--,0,20,57
*,SDSS J00000-0106,0,0,3.3,-,1,6,46,O,--,2,--,--,--,0.022,S1,--,19.58,--,--,-16.0,--,--,2,23,57,29.5,-,1,23,28
*,MS 23575-6352,0,0,8.0,-,63,35,36,--,--,--,--,--,--,0.136,S1,--,17.0,--,--,-22.6,1235,--,1960,23,57,33.5,-,63,52,18
*,RXS J00001+0523,0,0,11.7,--,5,23,17,O,--,--,--,--,--,0.04,S1n,--,16.4,--,--,-20.5,--,--,2337,23,57,38.0,--,5,6,35
*,SDSS J00002-0947,0,0,15.5,-,9,47,55,O,--,2,--,--,--,0.209,S1,--,19.67,--,--,-20.9,--,--,2,23,57,41.7,-,10,4,37
*,SDSS J00002-0013,0,0,16.1,-,0,13,58,O,--,2,--,--,--,0.11,S1,--,19.97,--,--,-19.2,--,--,2,23,57,42.3,-,0,30,40
*,SDSS J00002-0038,0,0,16.2,-,0,38,54,O,--,2,--,--,--,0.245,S1,--,20.71,--,--,-20.2,--,--,2,23,57,42.4,-,0,55,36
*,XMM J00003-2508,0,0,21.2,-,25,8,12,O,--,--,--,--,--,0.995,S1,R,20.9,--,--,-22.8,--,--,674,23,57,47.3,-,25,24,54
*,XMM J00004-2506,0,0,26.0,-,25,6,51,O,--,--,--,--,--,0.433,S1,R,20.3,--,--,-21.4,--,--,674,23,57,52.1,-,25,23,33
*,XMM J00004-2504,0,0,27.7,-,25,4,43,O,--,--,--,--,--,0.336,S1,R,19.1,--,--,-22.0,--,--,674,23,57,53.8,-,25,21,25
*,XMM J00006-2501,0,0,36.6,-,25,1,6,O,--,--,--,--,--,0.592,S2,R,21.2,--,--,-21.2,--,--,674,23,58,2.7,-,25,17,48
*,SDSS J00006-0016,0,0,37.7,-,0,16,38,O,--,2,--,--,--,0.195,S1,--,20.43,--,--,-20.0,--,--,2,23,58,3.9,-,0,33,20
*,SDSS J00006-0044,0,0,40.9,-,0,44,51,O,--,2,--,--,--,0.162,S1,--,20.69,--,--,-19.3,--,--,2,23,58,7.1,-,1,1,33
*,2QZ J000045-2726,0,0,45.9,-,27,26,24,O,--,--,--,--,--,0.382,S1,*,19.04,--,-1.65,-22.9,--,489,489,23,58,12.0,-,27,43,6
*,SDSS J00008-1112,0,0,48.0,-,11,12,2,O,--,2,--,--,--,0.106,S1,--,19.46,--,--,-19.6,--,--,2,23,58,14.2,-,11,28,44
*,SDSS J00008-0954,0,0,48.2,-,9,54,4,O,--,1,--,--,--,0.205,S1,--,19.71,--,--,-20.8,--,--,1,23,58,14.4,-,10,10,46
*,SDSS J00008+0109,0,0,48.3,--,1,9,24,O,--,2,--,--,--,0.25,S1,--,20.06,--,--,-20.9,--,--,2,23,58,14.5,--,0,52,42
*,CTS C16.16,0,0,53.6,-,44,39,33,O,--,--,--,--,--,0.076,S1,--,17.2,--,--,-21.1,1328,--,1668,23,58,19.7,-,44,56,15
*,KAZ 238,0,0,58.1,--,33,20,38,O,--,--,--,--,--,0.043,S2,--,15.9,--,--,-21.2,1036,--,1037,23,58,24.4,--,33,3,56
*,XMM J00009-2505,0,0,59.9,-,25,5,0,O,--,--,--,--,--,0.85,S1,R,21.9,--,--,-21.4,--,--,674,23,58,26.1,-,25,21,42
*,WEE 188,0,1,1.8,-,2,15,42,--,--,--,--,--,*,0.06,--,--,21.5,--,--,-16.3,--,--,2190,23,58,28.0,-,2,32,24
*,SDSS J00010-1023,0,1,2.2,-,10,23,27,O,--,1,--,--,--,0.294,S1,--,18.81,--,--,-22.5,--,--,1,23,58,28.4,-,10,40,9
*,XMM J00010-2458,0,1,2.4,-,24,58,49,O,--,--,--,--,--,0.433,S1,R,20.3,--,--,-21.4,--,--,674,23,58,28.6,-,25,15,31
*,2QZ J000107-3136,0,1,7.8,-,31,36,53,O,--,--,--,--,--,0.654,S1,*,20.8,--,-0.34,-22.3,--,487,487,23,58,34.0,-,31,53,35
*,SDSS J00011-0058,0,1,10.3,-,0,58,51,O,--,2,--,--,--,0.177,S1,--,20.03,--,--,-20.2,--,--,2,23,58,36.5,-,1,15,33
*,2QZ J000110-2737,0,1,10.8,-,27,37,2,O,--,--,--,--,--,0.567,S1,*,20.47,--,-1.14,-22.3,--,487,487,23,58,37.0,-,27,53,44
*,2QZ J000115-2741,0,1,15.9,-,27,41,14,O,--,--,--,--,--,0.427,S1,*,19.83,--,-0.55,-22.3,--,489,489,23,58,42.1,-,27,57,56
*,CT 601,0,1,27.6,-,29,55,14,O,--,--,--,--,--,0.38,--,--,19.2,--,--,-22.7,1333,--,1333,23,58,53.9,-,30,11,56
*,Q 2358+010,0,1,29.4,--,1,17,10,--,--,--,--,--,*,0.37,--,--,19.5,--,--,-22.4,2357,--,2358,23,58,55.6,--,1,0,28
*,2QZ J000130-2817,0,1,30.0,-,28,17,7,O,--,--,--,--,--,0.326,S1,*,19.74,--,-0.56,-21.8,--,487,487,23,58,56.3,-,28,33,49
*,2QZ J000141-3210,0,1,41.9,-,32,10,20,O,--,--,--,--,--,0.338,S1,*,19.71,--,-0.66,-21.9,--,489,489,23,59,8.2,-,32,27,2
*,SDSS J00018-1002,0,1,49.5,-,10,2,51,O,--,1,--,--,--,0.358,S1,--,19.34,--,--,-22.4,--,--,1,23,59,15.8,-,10,19,33
*,SDSS J00019+0007,0,1,54.3,--,0,7,33,O,--,1,--,--,--,0.14,S1,--,19.79,--,--,-19.9,--,--,1,23,59,20.5,-,0,9,9
--,Zw 517.014,0,1,58.4,--,36,38,56,O,0.027,778,--,--,--,0.032,S2,--,15.4,--,--,-21.0,--,--,2324,23,59,24.5,--,36,22,14
*,SDSS J00020+0036,0,2,3.2,--,0,36,28,O,--,2,--,--,--,0.099,S1,--,20.16,--,--,-18.7,--,--,2,23,59,29.4,--,0,19,46
*,SDSS J00020-0112,0,2,3.4,-,1,12,22,O,--,2,--,--,--,0.248,S1,--,20.77,--,--,-20.2,--,--,2,23,59,29.6,-,1,29,4
*,SDSS J00021-0110,0,2,11.7,-,1,10,43,O,--,2,--,--,--,0.226,S1,--,20.3,--,--,-20.4,--,--,2,23,59,37.9,-,1,27,25
*,SDSS J00023-1103,0,2,18.5,-,11,3,57,O,--,1,--,--,--,0.205,S1,--,20.12,--,--,-20.4,--,--,1,23,59,44.8,-,11,20,39
*,SDSS J00023+0035,0,2,23.9,--,0,35,5,O,--,2,--,--,--,0.141,S1,--,20.14,--,--,-19.5,--,--,2,23,59,50.1,--,0,18,23
*,CFHT 00.0207,0,2,24.5,-,0,41,29,O,--,--,--,--,--,1.352,--,--,22.1,--,--,-22.9,1766,--,1766,23,59,50.7,-,0,58,11
--,MARK  543,0,2,26.4,--,3,21,6,O,--,157,--,1452,--,0.026,S1.5,--,14.68,0.65,-0.09,-20.6,1279,2113,1615,23,59,52.6,--,3,4,24
*,SDSS J00024+0008,0,2,28.1,--,0,8,23,O,--,2,--,--,--,0.089,S1,--,19.44,--,--,-19.2,--,--,2,23,59,54.3,-,0,8,19
*,SDSS J00025+0057,0,2,30.9,--,0,57,27,O,--,2,--,--,--,0.265,S1,--,20.79,--,--,-20.3,--,--,2,23,59,57.1,--,0,40,45
*,SDSS J00026-0027,0,2,36.3,-,0,27,24,O,--,1,--,--,--,0.291,S1,--,19.79,--,--,-21.5,--,--,1,0,0,2.5,-,0,44,6
*,SDSS J00026-0916,0,2,39.7,-,9,16,49,O,--,2,--,--,--,0.104,S1,--,19.72,--,--,-19.3,--,--,2,0,0,6.0,-,9,33,31
*,SDSS J00026-0110,0,2,40.8,-,1,10,54,O,--,2,--,--,--,0.243,S1,--,20.49,--,--,-20.4,--,--,2,0,0,7.0,-,1,27,36
*,SDSS J00026-0045,0,2,41.4,-,0,45,51,O,--,2,--,--,--,0.14,S1,--,20.35,--,--,-19.3,--,--,2,0,0,7.6,-,1,2,33
*,SDSS J00027+0103,0,2,42.6,--,1,3,0,O,--,2,--,--,--,0.054,S1,--,19.48,--,--,-18.1,--,--,2,0,0,8.8,--,0,46,18
*,SDSS J00027-0039,0,2,45.4,-,0,39,47,O,--,2,--,--,--,0.247,S1,--,20.32,--,--,-20.6,--,--,2,0,0,11.6,-,0,56,29
--,SDSS J00028+0045,0,2,49.1,--,0,45,4,O,--,1,--,--,--,0.087,S1,--,18.82,--,--,-19.8,--,--,1,0,0,15.3,--,0,28,22
*,2QZ J000249-2726,0,2,49.8,-,27,26,8,O,--,--,--,--,--,0.366,S1,*,20.57,--,-1.15,-21.3,--,487,487,0,0,16.3,-,27,42,50
*,SDSS J00028+0008,0,2,51.6,--,0,8,1,O,--,1,--,--,--,0.107,S1,--,19.43,--,--,-19.6,--,--,1,0,0,17.8,-,0,8,41
*,SDSS J00028-0907,0,2,53.2,-,9,7,0,O,--,1,--,--,--,0.46,S1,--,19.55,--,--,-22.8,--,--,1,0,0,19.5,-,9,23,42
*,SDSS J00029+0055,0,2,54.9,--,0,55,7,O,--,2,--,--,--,0.255,S1,--,20.22,--,--,-20.8,--,--,2,0,0,21.1,--,0,38,25
*,SDSS J00029-0900,0,2,57.4,-,9,0,15,O,--,1,--,--,--,0.517,S1,--,19.76,--,--,-22.8,--,--,1,0,0,23.7,-,9,16,57
*,SDSS J00030-0907,0,3,0.5,-,9,7,36,O,--,2,--,--,--,0.358,S1,--,21.52,--,--,-20.3,--,--,2,0,0,26.8,-,9,24,18
*,SDSS J00030-1056,0,3,3.0,-,10,56,19,O,--,1,--,--,--,0.216,S1,--,20.12,--,--,-20.5,--,--,1,0,0,29.3,-,11,13,1
*,RXS J00031-0419,0,3,4.0,-,4,19,38,O,--,--,--,--,--,0.106,S1n,--,17.1,--,--,-22.0,2326,--,2326,0,0,30.3,-,4,36,20
--,MARK  334,0,3,9.6,--,21,57,36,O,0.011,597,--,--,--,0.022,S1.8,--,14.62,0.68,-0.08,-20.3,1050,1570,1500,0,0,35.6,--,21,40,54
*,UM  16,0,3,10.1,--,4,44,55,O,--,--,--,--,--,0.058,S2,--,17.0,--,--,-20.7,1232,--,1841,0,0,36.3,--,4,28,13
*,HE 0000-2813,0,3,16.9,-,27,56,27,O,--,--,--,--,--,0.103,S1,--,17.39,--,--,-21.6,--,--,2296,0,0,43.4,-,28,13,9
*,SDSS J00032+0047,0,3,17.4,--,0,47,23,O,--,2,--,--,--,0.106,S1,--,19.71,--,--,-19.3,--,--,2,0,0,43.6,--,0,30,41
*,2QZ J000317-3152,0,3,17.4,-,31,52,5,O,--,--,--,--,--,0.669,S1,*,20.31,--,-0.64,-22.8,--,487,487,0,0,44.0,-,32,8,47
*,SDSS J00033+0052,0,3,19.1,--,0,52,45,O,--,2,--,--,--,0.117,S1,--,19.97,--,--,-19.3,--,--,2,0,0,45.3,--,0,36,3
--,3EG J0003+2129,0,3,19.3,--,21,29,45,O,0.293,778,--,--,--,0.45,S2,--,21.1,--,--,-21.2,--,--,1885,0,0,45.3,--,21,13,3
--,PKS 0000-160,0,3,27.3,-,15,47,5,R,0.26,2157,0.3,2157,--,0.508,S,--,22.6,--,--,-19.9,983,--,927,0,0,53.7,-,16,3,47
*,NGC 7808,0,3,32.1,-,10,44,41,O,--,--,--,--,--,0.029,S1,--,15.4,--,--,-20.8,--,--,455,0,0,58.5,-,11,1,23
*,Q 0001+0214,0,3,36.1,--,2,30,49,--,--,--,--,--,--,0.232,--,R,21.23,--,--,-19.0,1795,--,1795,0,1,2.3,--,2,14,7
*,SDSS J00036-0016,0,3,38.0,-,0,16,1,O,--,2,--,--,--,0.061,S1,--,20.14,--,--,-17.7,--,--,2,0,1,4.2,-,0,32,43
*,SDSS J00036-0016,0,3,40.1,-,0,16,49,O,--,2,--,--,--,0.061,S1,--,18.55,--,--,-19.3,--,--,2,0,1,6.3,-,0,33,31
*,SDSS J00036-1028,0,3,41.2,-,10,28,10,O,--,2,--,--,--,0.204,S1,--,19.91,--,--,-20.6,--,--,2,0,1,7.6,-,10,44,52
*,2QZ J000343-2857,0,3,43.8,-,28,57,22,O,--,--,--,--,--,0.478,S1,*,20.34,--,-1.1,-22.1,--,487,487,0,1,10.4,-,29,14,4
*,SDSS J00037+0051,0,3,46.0,--,0,51,17,O,--,2,--,--,--,0.061,S1,--,19.89,--,--,-17.9,--,--,2,0,1,12.2,--,0,34,35
*,SDSS J00037+0030,0,3,47.5,--,0,30,27,O,--,2,--,--,--,0.194,S1,--,20.46,--,--,-19.9,--,--,2,0,1,13.7,--,0,13,45
*,SDSS J00038-0045,0,3,48.3,-,0,45,25,O,--,2,--,--,--,0.084,S1,--,20.23,--,--,-18.3,--,--,2,0,1,14.5,-,1,2,7
*,2QZ J000351-2849,0,3,51.8,-,28,49,6,O,--,--,--,--,--,0.649,S1,*,20.66,--,-0.67,-22.4,--,487,487,0,1,18.4,-,29,5,48
*,2QZ J000355-2727,0,3,55.9,-,27,27,21,O,--,--,--,--,--,0.343,S1,*,19.73,--,-0.99,-22.0,--,487,487,0,1,22.5,-,27,44,3
*,2QZ J000358-2830,0,3,58.3,-,28,30,11,O,--,--,--,--,--,0.573,S1,*,20.74,--,-0.39,-22.0,--,487,487,0,1,25.0,-,28,46,53
*,BG CFH  2,0,4,0.0,-,0,30,37,--,--,--,--,--,--,0.354,--,--,20.6,--,--,-21.2,717,--,2128,0,1,26.2,-,0,47,19
*,SDSS J00040+0056,0,4,4.6,--,0,56,20,O,--,2,--,--,--,0.191,S1,--,20.45,--,--,-19.9,--,--,2,0,1,30.8,--,0,39,38
*,SDSS J00041-0051,0,4,6.6,-,0,51,17,O,--,2,--,--,--,0.293,S1,--,20.28,--,--,-21.0,--,--,2,0,1,32.8,-,1,7,59
*,SDSS J00041-0015,0,4,7.7,-,0,15,15,O,--,2,--,--,--,0.187,S1,--,20.28,--,--,-20.0,--,--,2,0,1,33.9,-,0,31,57
--,RXS J00041+4526,0,4,9.5,--,45,26,25,--,--,157,--,--,--,0.12,S1,--,16.9,--,--,-22.4,157,--,157,0,1,34.9,--,45,9,43
*,SDSS J00041-1045,0,4,10.8,-,10,45,27,O,--,1,--,--,--,0.24,S1,--,18.09,--,--,-22.8,--,--,1,0,1,37.2,-,11,2,9
*,SDSS J00042-0049,0,4,12.7,-,0,49,36,O,--,2,--,--,--,0.16,S1,--,19.87,--,--,-20.1,--,--,2,0,1,38.9,-,1,6,18
*,SDSS J00043+0054,0,4,19.7,--,0,54,58,O,--,1,--,--,--,0.329,S1,--,21.16,--,--,-20.4,--,--,1,0,1,45.9,--,0,38,16
*,SDSS J00045-1011,0,4,30.3,-,10,11,29,O,--,1,--,--,--,0.239,S1,--,20.53,--,--,-20.3,--,--,1,0,1,56.7,-,10,28,11
*,Q 0002+0118A,0,4,34.9,--,1,34,56,--,--,--,--,--,--,0.087,--,R,19.88,--,--,-18.2,1795,--,1795,0,2,1.1,--,1,18,14
*,SDSS J00046-1009,0,4,39.3,-,10,9,9,O,--,2,--,--,--,0.108,S1,--,19.41,--,--,-19.7,--,--,2,0,2,5.7,-,10,25,51
*,SDSS J00047+0009,0,4,46.6,--,0,9,45,O,--,2,--,--,--,0.788,S1,--,22.29,--,--,-21.3,--,--,2,0,2,12.8,-,0,6,57
*,2QZ J000447-3158,0,4,47.9,-,31,58,2,O,--,--,--,--,--,0.638,S1,*,20.74,--,-0.43,-22.3,--,487,487,0,2,14.8,-,32,14,44
*,SDSS J00048+0008,0,4,52.0,--,0,8,41,O,--,2,--,--,--,0.187,S1,--,20.54,--,--,-19.8,--,--,2,0,2,18.2,-,0,8,1
*,SDSS J00048+0050,0,4,53.5,--,0,50,18,O,--,2,--,--,--,0.139,S1,--,19.86,--,--,-19.8,--,--,2,0,2,19.7,--,0,33,36
*,SDSS J00048+0101,0,4,53.6,--,1,1,50,O,--,2,--,--,--,0.295,S1,--,20.96,--,--,-20.4,--,--,2,0,2,19.8,--,0,45,8
*,SDSS J00049+0010,0,4,54.3,--,0,10,47,O,--,2,--,--,--,0.095,S1,--,20.26,--,--,-18.6,--,--,2,0,2,20.5,-,0,5,55
*,SDSS J00049+0004,0,4,55.4,--,0,4,37,O,--,2,--,--,--,0.063,S1,--,20.02,--,--,-17.9,--,--,2,0,2,21.6,-,0,12,5
*,UGC    32,0,4,58.6,--,11,42,4,O,--,--,--,--,--,0.074,S1.9,--,17.0,--,--,-21.3,157,--,197,0,2,24.6,--,11,25,22
*,MS 00025-4205,0,5,4.2,-,41,48,29,--,--,1960,--,--,--,0.154,S1,--,17.9,--,--,-22.0,1235,--,1960,0,2,31.4,-,42,5,11
*,SDSS J00051+0058,0,5,11.4,--,0,58,20,O,--,2,--,--,--,0.363,S1,--,20.01,--,--,-21.8,--,--,2,0,2,37.6,--,0,41,38
*,SDSS J00051+0103,0,5,11.7,--,1,3,38,O,--,2,--,--,--,0.103,S1,--,19.98,--,--,-19.0,--,--,2,0,2,37.9,--,0,46,56
*,SDSS J00052+0003,0,5,12.5,--,0,3,35,O,--,2,--,--,--,0.214,S1,--,20.61,--,--,-20.0,--,--,2,0,2,38.7,-,0,13,7
*,HE 0002-4118,0,5,13.6,-,41,1,49,O,--,--,--,--,--,0.114,S1,--,17.36,--,--,-21.9,--,--,2296,0,2,40.8,-,41,18,31
*,Q 0002+0118B,0,5,15.1,--,1,34,53,--,--,--,--,--,--,0.022,--,R,17.78,--,--,-17.3,1795,--,1795,0,2,41.3,--,1,18,11
*,2QZ J000516-2852,0,5,16.5,-,28,52,54,O,--,--,--,--,--,0.704,S1,*,20.35,--,-0.64,-22.9,--,487,487,0,2,43.4,-,29,9,36
*,2QZ J000517-2849,0,5,17.1,-,28,49,2,O,--,--,--,--,--,0.248,S1,*,19.54,--,-0.36,-21.4,--,489,489,0,2,44.0,-,29,5,44
*,BG CFH 10,0,5,19.7,-,0,35,18,O,--,--,--,--,--,0.44,--,O,19.3,--,--,-22.9,717,--,1645,0,2,45.9,-,0,52,0
*,--,0,5,24.3,-,42,22,49,--,--,--,--,--,--,0.12,--,--,20.1,--,--,-19.2,917,--,1474,0,2,51.6,-,42,39,31
*,SDSS J00054-0112,0,5,26.6,-,1,12,52,O,--,1,--,--,--,0.324,S1,--,20.75,--,--,-20.8,--,--,1,0,2,52.9,-,1,29,34
*,2QZ J000532-2907,0,5,32.4,-,29,7,36,O,--,--,--,--,--,0.31,S1,*,19.59,--,-0.36,-21.9,--,487,487,0,2,59.3,-,29,24,18
*,SDSS J00055+0112,0,5,35.0,--,1,12,57,O,--,2,--,--,--,0.186,S1,--,20.25,--,--,-20.1,--,--,2,0,3,1.2,--,0,56,15
*,SDSS J00056-0034,0,5,37.0,-,0,34,17,O,--,2,--,--,--,0.118,S1,--,19.39,--,--,-19.9,--,--,2,0,3,3.2,-,0,50,59
*,SDSS J00056+0021,0,5,37.7,--,0,21,36,O,--,2,--,--,--,0.094,S1,--,19.93,--,--,-18.9,--,--,2,0,3,3.9,--,0,4,54
*,RXS J00057-5007,0,5,43.0,-,50,6,55,O,--,--,--,--,--,0.033,S1,--,14.0,--,--,-22.5,--,--,582,0,3,10.8,-,50,23,37
*,SDSS J00057+0009,0,5,43.6,--,0,10,0,O,--,2,--,--,--,0.139,S1,--,20.17,--,--,-19.5,--,--,2,0,3,9.8,-,0,6,42
*,RXS J00058+1022,0,5,49.5,--,10,22,37,O,--,--,--,--,--,0.095,S1,--,16.7,--,--,-22.1,--,--,2206,0,3,15.5,--,10,5,55
*,SDSS J00058+0002,0,5,50.5,--,0,2,4,O,--,2,--,--,--,0.166,S1,--,20.35,--,--,-19.7,--,--,2,0,3,16.7,-,0,14,38
*,2QZ J000550-3004,0,5,50.8,-,30,4,2,O,--,--,--,--,--,0.527,S1,*,20.49,--,-0.91,-22.1,--,487,487,0,3,17.8,-,30,20,44
*,2QZ J000553-2807,0,5,53.8,-,28,7,1,O,--,--,--,--,--,0.355,S1,*,20.39,--,-0.73,-21.4,--,487,487,0,3,20.8,-,28,23,43
*,SDSS J00059-0112,0,5,55.9,-,1,12,10,O,--,2,--,--,--,0.11,S1,--,19.89,--,--,-19.2,--,--,2,0,3,22.2,-,1,28,52
--,S4 0003+38,0,5,57.1,--,38,20,14,O,0.568,778,0.61,1532,--,0.229,S,--,19.9,--,--,-20.9,1014,--,1940,0,3,22.3,--,38,3,32
*,PB 5725,0,5,57.2,--,0,28,38,O,--,--,--,--,--,0.259,--,--,18.1,--,--,-22.9,--,--,892,0,3,23.4,--,0,11,56
--,S4 0003+38,0,5,58.1,--,38,20,15,O,0.504,1532,0.61,1532,--,0.229,--,--,19.4,--,--,-21.4,1014,--,1940,0,3,23.3,--,38,3,33
*,2QZ J000607-3150,0,6,7.1,-,31,50,4,O,--,--,--,--,--,0.536,S1,*,20.65,--,-0.64,-22.0,--,489,489,0,3,34.2,-,32,6,46
*,SDSS J00061-0042,0,6,8.5,-,0,42,36,O,--,2,--,--,--,0.253,S1,--,20.66,--,--,-20.3,--,--,2,0,3,34.7,-,0,59,18
*,SDSS J00061-1028,0,6,8.8,-,10,28,32,O,--,2,--,--,--,0.077,S1,--,19.01,--,--,-19.3,--,--,2,0,3,35.3,-,10,45,14
*,SDSS J00062-0108,0,6,14.3,-,1,8,46,O,--,1,--,--,--,0.09,S1,--,18.51,--,--,-20.2,--,--,1,0,3,40.6,-,1,25,28
*,SDSS J00062+0045,0,6,14.9,--,0,45,23,O,--,2,--,--,--,0.128,S1,--,19.63,--,--,-19.8,--,--,2,0,3,41.1,--,0,28,41
*,SDSS J00062-0903,0,6,14.9,-,9,3,16,O,--,2,--,--,--,0.43,S1,--,19.81,--,--,-22.3,--,--,2,0,3,41.4,-,9,19,58
*,SDSS J00062+0111,0,6,15.0,--,1,11,29,O,--,1,--,--,--,0.114,S1,--,19.26,--,--,-20.0,--,--,1,0,3,41.2,--,0,54,47
*,SDSS J00062-0058,0,6,16.8,-,0,58,14,O,--,2,--,--,--,0.105,S1,--,19.8,--,--,-19.2,--,--,2,0,3,43.1,-,1,14,56
--,MARK  335,0,6,19.5,--,20,12,11,O,0.003,597,--,636,--,0.025,S1.2,--,13.85,0.34,-0.75,-21.7,1277,10,243,0,3,45.2,--,19,55,29
*,SDSS J00063+0026,0,6,21.8,--,0,26,9,O,--,2,--,--,--,0.094,S1,--,19.75,--,--,-19.0,--,--,2,0,3,48.0,--,0,9,27
*,SDSS J00063-0043,0,6,23.4,-,0,43,2,O,--,2,--,--,--,0.11,S1,--,20.23,--,--,-18.9,--,--,2,0,3,49.6,-,0,59,44
*,SDSS J00064+0059,0,6,25.0,--,0,59,29,O,--,2,--,--,--,0.178,S1,--,20.25,--,--,-20.0,--,--,2,0,3,51.2,--,0,42,47
*,SDSS J00065-0107,0,6,33.9,-,1,7,44,O,--,2,--,--,--,0.114,S1,--,19.82,--,--,-19.4,--,--,2,0,4,0.2,-,1,24,26
*,SDSS J00065-1102,0,6,34.8,-,11,2,43,O,--,1,--,--,--,0.228,S1,--,19.95,--,--,-20.8,--,--,1,0,4,1.3,-,11,19,25
*,SDSS J00065-0007,0,6,35.4,-,0,6,59,O,--,2,--,--,--,0.077,S1,--,19.25,--,--,-19.1,--,--,2,0,4,1.6,-,0,23,41
*,SDSS J00066-0032,0,6,37.7,-,0,32,40,O,--,2,--,--,--,0.091,S1,--,19.85,--,--,-18.9,--,--,2,0,4,3.9,-,0,49,22
*,SDSS J00066+0034,0,6,39.3,--,0,34,10,O,--,2,--,--,--,0.062,S1,--,19.86,--,--,-18.0,--,--,2,0,4,5.5,--,0,17,28
*,SDSS J00067+0014,0,6,42.3,--,0,14,20,O,--,1,--,--,--,0.188,S1,--,19.47,--,--,-20.9,--,--,1,0,4,8.5,-,0,2,22
*,2QZ J000645-3108,0,6,45.4,-,31,8,59,O,--,--,--,--,--,0.737,S1,*,20.84,--,-1.49,-22.6,--,487,487,0,4,12.6,-,31,25,41
*,Q 0004+0215,0,6,48.1,--,2,31,57,--,--,--,--,--,--,0.148,--,R,21.02,--,--,-18.2,1795,--,1795,0,4,14.3,--,2,15,15
*,2QZ J000650-2726,0,6,50.8,-,27,26,31,O,--,--,--,--,--,0.392,S1,*,20.76,--,-0.82,-21.2,--,487,487,0,4,17.9,-,27,43,13
*,SDSS J00068+0107,0,6,51.0,--,1,7,40,O,--,2,--,--,--,0.176,S1,--,19.59,--,--,-20.6,--,--,2,0,4,17.2,--,0,50,58
*,SDSS J00069+0051,0,6,57.0,--,0,51,26,O,--,2,--,--,--,0.074,S1,--,19.27,--,--,-19.0,--,--,2,0,4,23.2,--,0,34,44
*,SDSS J00070-0034,0,7,4.0,-,0,34,47,O,--,2,--,--,--,0.121,S1,--,19.43,--,--,-19.9,--,--,2,0,4,30.2,-,0,51,29
*,SDSS J00070-0104,0,7,5.7,-,1,4,16,O,--,2,--,--,--,0.288,S1,--,20.37,--,--,-20.9,--,--,2,0,4,32.0,-,1,20,58
*,SDSS J00071-0850,0,7,6.6,-,8,50,51,O,--,2,--,--,--,0.036,S1,--,18.78,--,--,-17.9,--,--,2,0,4,33.1,-,9,7,33
*,SDSS J00071+0017,0,7,10.9,--,0,17,18,O,--,2,--,--,--,0.113,S1,--,20.05,--,--,-19.1,--,--,2,0,4,37.1,--,0,0,36
*,2QZ J000713-2950,0,7,13.4,-,29,50,27,O,--,--,--,--,--,0.52,S1,*,20.39,--,-1.21,-22.2,--,487,487,0,4,40.6,-,30,7,9
*,SDSS J00072-0001,0,7,15.7,-,0,1,16,O,--,2,--,--,--,0.065,S1,--,20.09,--,--,-17.9,--,--,2,0,4,41.9,-,0,17,58
*,SDSS J00073-0020,0,7,22.6,-,0,20,9,O,--,2,--,--,--,0.076,S1,--,19.9,--,--,-18.4,--,--,2,0,4,48.8,-,0,36,51
*,SDSS J00074-0015,0,7,24.5,-,0,15,55,O,--,2,--,--,--,0.105,S1,--,19.57,--,--,-19.5,--,--,2,0,4,50.7,-,0,32,37
*,SDSS J00074-0054,0,7,30.0,-,0,54,27,O,--,1,--,--,--,0.145,S1,--,19.64,--,--,-20.1,--,--,1,0,4,56.3,-,1,11,9
*,SDSS J00075-0052,0,7,33.2,-,0,52,39,O,--,2,--,--,--,0.101,S1,--,19.29,--,--,-19.7,--,--,2,0,4,59.5,-,1,9,21
*,SDSS J00076-0911,0,7,37.1,-,9,11,14,O,--,2,--,--,--,0.207,S1,--,20.08,--,--,-20.5,--,--,2,0,5,3.6,-,9,27,56
--,SDSS J00076+0048,0,7,39.0,--,0,48,56,O,0.001,2,--,--,--,0.093,S1,--,19.79,--,--,-19.0,--,--,2,0,5,5.2,--,0,32,14
*,SDSS J00078+0103,0,7,53.1,--,1,3,14,O,--,2,--,--,--,0.128,S1,--,19.75,--,--,-19.7,--,--,2,0,5,19.3,--,0,46,32
*,SDSS J00079+0110,0,7,55.3,--,1,11,0,O,--,2,--,--,--,0.129,S1,--,20.2,--,--,-19.3,--,--,2,0,5,21.5,--,0,54,18
*,SDSS J00079-0000,0,7,56.3,-,0,0,34,O,--,2,--,--,--,0.102,S1,--,19.13,--,--,-19.8,--,--,2,0,5,22.5,-,0,17,16
*,SDSS J00079-0100,0,7,56.3,-,1,0,6,O,--,2,--,--,--,0.075,S1,--,19.6,--,--,-18.7,--,--,2,0,5,22.6,-,1,16,48
*,SDSS J00079+0104,0,7,59.9,--,1,4,23,O,--,1,--,--,--,0.128,S1,--,19.13,--,--,-20.3,--,--,1,0,5,26.1,--,0,47,41
