notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,2QZ J112027-0131,11,20,27.2,-,1,31,46,O,--,--,--,--,--,0.37,S1,*,20.44,--,-0.56,-21.4,--,487,487,11,17,53.7,-,1,15,20
--,TEX 1117+592,11,20,27.4,--,58,56,11,O,0.046,778,--,--,--,0.158,--,--,18.5,--,--,-21.4,--,--,1159,11,17,33.8,--,59,12,37
*,2QZ J112028-0124,11,20,28.1,-,1,24,6,O,--,--,--,--,--,0.456,S1,*,20.04,--,-0.95,-22.2,--,487,487,11,17,54.6,-,1,7,40
*,Q 1117+4643,11,20,31.9,--,46,26,56,--,--,--,--,--,--,0.275,--,R,18.91,--,--,-21.7,1795,--,1795,11,17,45.6,--,46,43,22
*,2QZ J112034-0102,11,20,34.9,-,1,2,40,O,--,--,--,--,--,0.55,S1,*,20.74,--,-0.53,-21.9,--,487,487,11,18,1.3,-,0,46,14
*,SDSS J11206+0008,11,20,38.4,--,0,8,7,O,--,2,--,--,--,0.204,S1,--,19.97,--,--,-20.5,--,--,2,11,18,4.6,--,0,24,33
*,1WGA J1120.6+1336,11,20,39.7,--,13,36,20,O,--,--,--,--,--,0.408,--,R,19.1,--,--,-22.4,1320,--,1320,11,18,3.1,--,13,52,46
*,SDSS J11206+6746,11,20,40.4,--,67,46,43,O,--,2,--,--,--,0.054,S1,--,19.85,--,--,-17.7,--,--,2,11,17,37.5,--,68,3,9
*,2QZ J112046-0252,11,20,46.6,-,2,52,22,O,--,--,--,--,--,0.764,S1,*,20.69,--,-0.53,-22.8,--,489,489,11,18,13.4,-,2,35,56
*,ESO 265-G23,11,20,47.9,-,43,15,51,--,--,--,--,--,--,0.057,S1.5,--,15.0,0.6,-0.77,-22.1,1638,279,1082,11,18,25.1,-,42,59,24
*,SDSS J11208+6656,11,20,49.9,--,66,56,44,O,--,1,--,--,--,0.167,S1,--,18.8,--,--,-21.3,--,--,1,11,17,48.3,--,67,13,10
*,2QZ J112057+0101,11,20,58.0,--,1,1,34,O,--,--,--,--,--,0.679,S1,*,20.75,--,-0.36,-22.4,--,489,489,11,18,24.0,--,1,18,1
*,2QZ J112101-0051,11,21,1.5,-,0,51,7,O,--,--,--,--,--,0.423,S1,*,19.75,--,-0.27,-22.4,--,487,487,11,18,27.9,-,0,34,40
*,2QZ J112101-0040,11,21,1.5,-,0,40,46,O,--,--,--,--,--,0.575,S1,*,20.43,--,-1.06,-22.4,--,487,487,11,18,27.9,-,0,24,19
*,SDSS J11210-0048,11,21,4.6,-,0,48,46,O,--,2,--,--,--,0.045,S1,--,19.95,--,--,-17.2,--,--,2,11,18,31.0,-,0,32,19
*,SDSS J11211+6747,11,21,8.6,--,67,47,45,O,--,2,--,--,--,0.207,S1,--,19.98,--,--,-20.6,--,--,2,11,18,6.0,--,68,4,11
--,SBS 1118+541,11,21,8.7,--,53,51,17,O,--,157,--,--,--,0.104,S1n,--,16.0,0.41,--,-22.6,157,370,1925,11,18,18.9,--,54,7,43
*,Q 1118+4640,11,21,31.8,--,46,23,58,--,--,--,--,--,--,0.032,--,R,17.91,--,--,-17.9,1795,--,1795,11,18,45.8,--,46,40,25
*,SDSS J11216+0032,11,21,36.3,--,0,32,49,O,--,2,--,--,--,0.229,S1,--,19.29,--,--,-21.5,--,--,2,11,19,2.4,--,0,49,16
*,2QZ J112140+0015,11,21,40.6,--,0,15,15,O,--,--,--,--,--,0.54,S1,*,20.08,--,-1.05,-22.6,--,489,489,11,19,6.8,--,0,31,42
*,SDSS J11217-0001,11,21,45.2,-,0,1,22,O,--,2,--,--,--,0.099,S1,--,18.36,--,--,-20.5,--,--,2,11,19,11.4,--,0,15,5
--,MARK  734,11,21,47.1,--,11,44,19,O,0.001,1059,--,--,--,0.049,S1.2,--,14.93,0.45,-0.71,-22.0,1281,2113,243,11,19,10.9,--,12,0,46
--,SDSS J11218-0007,11,21,52.9,-,0,7,32,O,0.001,2,--,--,--,0.145,S1,--,19.14,--,--,-20.6,--,--,2,11,19,19.1,--,0,8,55
*,2QZ J112155+0025,11,21,55.9,--,0,25,20,O,--,--,--,--,--,0.049,S1,*,20.6,--,-0.16,-16.8,--,487,487,11,19,22.0,--,0,41,47
*,SDSS J11219-0010,11,21,56.2,-,0,10,26,O,--,2,--,--,--,0.299,S1,--,19.23,--,--,-22.1,--,--,2,11,19,22.4,--,0,6,1
*,2QZ J112157-0121,11,21,57.5,-,1,21,30,O,--,--,--,--,--,0.365,S1,*,19.19,--,-0.44,-22.6,--,487,487,11,19,24.0,-,1,5,3
*,2QZ J112201+0044,11,22,1.5,--,0,44,17,O,--,--,--,--,--,0.581,S1,*,20.39,--,-0.65,-22.4,--,487,487,11,19,27.6,--,1,0,44
*,2QZ J112211-0102,11,22,11.4,-,1,2,52,O,--,--,--,--,--,0.61,S1,*,20.75,--,-0.5,-22.2,--,487,487,11,19,37.8,-,0,46,25
*,Q 1119+4750A,11,22,16.4,--,47,34,17,--,--,--,--,--,--,0.076,--,R,17.83,--,--,-19.9,1795,--,1795,11,19,30.2,--,47,50,44
