notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,XMM J00005-2554,0,0,31.7,-,25,54,59,--,--,--,--,--,--,0.283,BL,--,--,--,--,--,--,--,1578,23,57,57.8,-,26,11,41
*,RXS J00031-1805,0,3,7.9,-,18,5,50,O,--,--,--,--,--,0.054,BL,--,13.28,--,--,-24.3,--,--,1811,0,0,34.3,-,18,22,32
--,3EG J0004+2019,0,4,35.7,--,20,19,42,O,0.151,778,--,--,--,0.677,BL,--,20.81,--,--,-22.4,--,--,1885,0,2,1.6,--,20,3,0
--,NRAO   5,0,6,13.9,-,6,23,36,O,1.58,2157,1.46,2157,--,0.347,--,--,18.5,--,--,-23.2,423,--,1944,0,3,40.3,-,6,40,18
--,RXS J00063+1052,0,6,20.3,--,10,51,51,O,--,157,--,--,--,0.168,BL?,--,17.3,--,--,-22.8,157,--,157,0,3,46.2,--,10,35,9
--,RX J00079+4711,0,7,59.9,--,47,12,7,--,0.063,776,--,--,--,0.28,BL,--,18.3,--,--,-22.9,1169,--,1094,0,5,24.0,--,46,55,26
--,RXS J00085-2339,0,8,35.3,-,23,39,27,--,--,157,--,--,--,0.147,BL?,--,17.9,--,--,-21.9,157,--,157,0,6,2.5,-,23,56,9
*,2QZ J001037-2904,0,10,37.5,-,29,4,3,O,--,--,--,--,--,0.0,BL?,*,19.99,--,-0.63,--,--,489,489,0,8,5.3,-,29,20,44
--,MCG 00.01.036,0,11,39.6,-,0,28,27,R,--,165,--,--,--,0.059,BL,--,15.6,--,--,-22.2,--,--,165,0,9,5.9,-,0,45,8
*,RXS J00141-5022,0,14,11.0,-,50,22,35,--,--,--,--,--,--,--,BL,--,18.5,--,--,--,--,--,2017,0,11,41.8,-,50,39,16
--,MS 00117+0837,0,14,19.7,--,8,54,4,--,0.179,778,--,--,--,0.162,BL,--,17.5,--,--,-22.5,735,--,1624,0,11,45.3,--,8,37,24
*,RXS J00184+2947,0,18,27.8,--,29,47,32,O,--,--,--,--,--,0.1,BL,--,19.1,--,--,-19.8,157,--,675,0,15,51.2,--,29,30,53
*,2QZ J001935-3125,0,19,35.1,-,31,25,46,O,--,--,--,--,--,0.0,BL?,*,19.29,--,-0.61,--,--,489,489,0,17,4.6,-,31,42,25
--,PKS 0017+200,0,19,37.9,--,20,21,46,O,0.52,1840,0.38,1840,--,--,HP,--,20.6,--,--,--,378,--,706,0,17,2.2,--,20,5,7
*,2QZ J002120-2826,0,21,20.6,-,28,26,45,O,--,--,--,--,--,0.0,BL?,*,20.67,--,-0.83,--,--,489,489,0,18,50.0,-,28,43,23
--,RXS J00220+0006,0,22,1.0,--,0,6,59,O,--,278,--,--,--,0.306,BL?,--,20.8,--,--,-20.6,--,--,278,0,19,27.2,-,0,9,39
--,PKS 0019+058,0,22,32.5,--,6,8,5,O,0.54,1840,0.48,1840,--,--,--,--,19.5,--,--,--,1840,--,701,0,19,58.1,--,5,51,27
*,2QZ J002347-2754,0,23,47.6,-,27,54,11,O,--,--,--,--,--,0.0,BL?,*,19.69,--,-0.71,--,--,489,489,0,21,17.3,-,28,10,48
*,Q J00253-2840,0,25,22.8,-,28,40,35,O,--,--,--,--,--,--,BL,*,18.95,--,-1.33,--,--,1209,1209,0,22,52.9,-,28,57,12
*,2QZ J002529-3104,0,25,29.9,-,31,4,33,O,--,--,--,--,--,0.0,BL?,*,19.45,--,-0.51,--,--,489,489,0,23,0.4,-,31,21,10
--,RXS J00261-0005,0,26,8.3,-,0,5,46,R,--,278,--,--,--,0.107,BL?,--,18.7,--,--,-20.4,--,--,278,0,23,34.6,-,0,22,22
--,RXS J00266-4601,0,26,35.4,-,46,1,11,--,0.047,777,--,--,--,--,BL,--,17.8,--,--,--,--,--,2017,0,24,9.3,-,46,17,47
*,2QZ J002707-2919,0,27,7.8,-,29,19,34,O,--,--,--,--,--,0.0,BL?,*,19.08,--,-0.63,--,--,489,489,0,24,38.3,-,29,36,10
*,RXS J00271-2709,0,27,9.7,-,27,9,18,--,--,--,--,--,--,0.14,BL,--,20.3,--,--,-19.4,--,--,1811,0,24,39.8,-,27,25,54
--,RXS J00274+2607,0,27,27.1,--,26,7,7,--,0.054,778,--,--,--,0.36,BL,--,19.0,--,--,-22.8,--,--,333,0,24,49.6,--,25,50,32
*,Q J00277-2933,0,27,46.7,-,29,33,8,O,--,--,--,--,--,0.063,BL,*,19.08,--,-1.09,-18.8,--,1209,489,0,25,17.3,-,29,49,44
*,Q J00278-2935,0,27,51.6,-,29,35,7,O,--,--,--,--,--,--,BL,*,18.83,--,-0.84,--,--,1209,1209,0,25,22.2,-,29,51,42
*,2QZ J002913-2812,0,29,13.6,-,28,12,49,O,--,--,--,--,--,0.0,BL?,*,20.77,--,-1.44,--,--,489,489,0,26,44.2,-,28,29,24
*,Q J00309-2756,0,30,58.3,-,27,56,30,O,--,--,--,--,--,1.577,BL,*,19.03,--,-0.73,-26.3,--,1209,1209,0,28,29.1,-,28,13,4
--,1WGA J0032.5-2849,0,32,33.1,-,28,49,19,--,0.146,787,--,--,--,0.324,BL,--,18.8,--,--,-22.8,--,--,1549,0,30,4.4,-,29,5,52
*,KUV 00311-1938,0,33,34.3,-,19,21,34,O,--,1207,--,--,--,--,BL,--,16.3,--,--,--,1107,--,1207,0,31,3.9,-,19,38,6
--,RXS J03252+1515,0,35,14.9,--,15,15,4,O,--,157,--,--,--,--,BL,--,16.3,--,--,--,157,--,675,0,32,38.5,--,14,58,33
--,1ES 0033+595,0,35,52.6,--,59,50,4,R,0.119,776,--,--,--,--,BL,--,19.5,--,--,--,1763,--,1548,0,33,1.7,--,59,33,34
--,1ES 0037+405,0,40,13.8,--,40,50,4,R,0.018,1548,--,--,--,--,?,--,19.3,--,--,--,1548,--,1548,0,37,30.3,--,40,33,37
--,RXS J00402-2719,0,40,16.5,-,27,19,12,--,--,157,--,--,--,0.172,BL?,--,19.2,--,--,-20.9,157,--,157,0,37,48.6,-,27,35,40
--,PKS 0038-326,0,40,30.6,-,32,25,21,R,0.69,1835,0.43,1835,--,--,BL,--,21.5,--,--,--,983,--,927,0,38,4.1,-,32,41,49
*,Q J00411-2911,0,41,6.9,-,29,11,15,O,--,--,--,--,--,--,BL,*,18.97,--,-0.71,--,--,1209,1209,0,38,39.6,-,29,27,42
--,RXS J00421+3641,0,42,8.2,--,36,41,12,--,--,157,--,--,--,--,BL,--,17.5,--,--,--,157,--,157,0,39,25.7,--,36,24,46
--,RXS J00453+2127,0,45,19.1,--,21,27,43,--,0.049,778,--,--,--,--,BL,--,17.8,--,--,--,157,--,1440,0,42,40.4,--,21,11,19
--,B3 0045+395,0,47,55.2,--,39,48,57,O,0.06,776,--,--,--,0.252,--,--,16.0,--,--,-25.0,2135,--,556,0,45,10.3,--,39,32,36
--,PKS 0047+023,0,49,43.3,--,2,37,4,O,0.28,1833,0.32,2155,--,--,BL,--,19.0,--,--,--,574,--,2116,0,47,8.9,--,2,20,44
