RefCode,f_RefCode,Text
486,=,2000A&A...359..489C
487,--,"Croom S.M.,Smith R.J.,Boyle B.J. et al. 2001,MNRAS 322,L29."
487,=,2001MNRAS.322L..29C
488,--,"Croom S.M.,Warren S.J.,Glazebrook K. 2001,MNRAS 328,150."
488,=,2001MNRAS.328..150C
489,--,"Croom S.M.,Smith R.J.,Boyle B.J. et al. 2003,MNRAS, The 2dF QSO redshift survey."
489,--,XII. The catalogue and luminosity function'
489,=,2003MNRAS..........
490,--,"Crotts A.P.S. 1989,ApJ 336,550."
490,=,1989ApJ...336..550C
491,--,"Crotts A.P.S.,Fang Y. 1998,ApJ 502,16."
491,=,1998ApJ...502...16C
492,--,"Cruz-Gonzalez I.,Huchra J.P. 1984,AJ 89,441."
492,=,1984AJ.....89..441C
493,--,"Cruz-Gonzalez I.,Carrasco L.,Serrrano A. et al. 1994,ApJS 94,47."
493,=,1994ApJS...94...47C
494,--,"Cutri R.M.,Huchra J.P.,Low F.J.,Brown R.L.,van den Bout P.A. 1994,ApJ 424,L65."
494,=,1994ApJ...424L..65C
495,--,"Dahari O. 1985,ApJS 57,643."
495,=,1985ApJS...57..643D
496,--,"Dahari O.,de Robertis M.M. 1988,ApJS 67,249."
496,=,1988ApJS...67..249D
497,--,"Danziger I.J.,Goss W.M. 1979,MNRAS 186,93."
497,=,1979MNRAS.186...93D
498,--,"Danziger I.J.,Goss W.M. 1983,MNRAS 202,703."
498,=,1983MNRAS.202..703D
499,--,"Danziger I.J.,Fosbury R.A.E.,Penston M.V. 1977,MNRAS 179,41P."
499,=,1977MNRAS.179p..41D
500,--,"Danziger I.J.,Fosbury R.A.E.,Goss W.M.,Bland J.,Boksenberg A. 1984,MNRAS 208,589."
500,=,1984MNRAS.208..589D
501,--,"Danziger I.J.,Gilmozzi R. 1997,A&A 323,47."
501,=,1997A&A...323...47D
502,--,"Darling G.W.,Wegner G. 1994,AJ 108,2025."
502,=,1994AJ....108.2025D
503,--,"Darling G.W.,Wegner G. 1996,AJ 111,865."
503,=,1996AJ....111..865D
504,--,"Davidson K. 1980,PASP 91,817."
504,=,1979PASP...91..817D
505,--,"Davidson K.,Kinman T.D. 1978,ApJ 225,776."
505,=,1978ApJ...225..776D
506,--,"Davis M.M. 1971,AJ 76,980."
506,=,1971AJ.....76..980D
507,--,"Davoust E.,Considere S. 1995,A&AS 110,19."
507,=,1995A&AS..110...19D
508,--,"Davoust E.,Considere S.,Poulain P. 1991,A&A 252,69."
508,=,1991A&A...252...69D
509,--,"Debehogne H. 1992,Astron. Nachr. 313,57."
509,=,1992AN....313...57D
510,--,"de Breuck C.,Brotherton M.S.,Tran H.D.,van Breugel W.,Rottgering H.J.A. 1998,"
510,--,"AJ 116,13."
510,=,1998AJ....116...13D
511,--,"de Breuck C.,van Breugel W.,Rottgering H. et al. 2001,AJ 121,1241."
511,=,2001AJ....121.1241D
512,--,"de Bruijne J.H.J.,Reynolds A.P.,Perryman M.A.C. et al. 2002,A&A 381,L57."
512,=,2002A&A...381L..57D
513,--,"de Grijp M.H.K.,Miley G.K.,Lub J.,de Jong T. 1985,Nat 314,240."
513,=,1985Natur.314..240D
514,--,"de Grijp M.H.K.,Miley G.K.,Lub J. 1987,A&AS 70,95."
514,=,1987A&AS...70...95D
515,--,"de Grijp M.H.K.,Keel K.C.,Miley G.K.,Goudfrooij P.,Lub J. 1992,A&AS 96,389."
515,=,1992A&AS...96..389D
516,--,"Della Ceca R.,Zamorani G.,Maccacaro T. et al. 1994,ApJ 430,533."
516,=,1994ApJ...430..533D
517,--,"Della Ceca R.,Maccacaro T.,Rosati P.,Braito V. 2000,A&A 355,121."
517,=,2000A&A...355..121D
518,--,"Della Ceca R.,Ballo L.,Tavecchio F. et al. 2002,ApJ 581,L9."
518,=,2002ApJ...581L...9D
519,--,"Della Ceca R.,Braito V.,Beckmann V. et al. 2003,A&A 406,555."
519,=,2003A&A...406..555D
520,--,"del Olmo,A.,Moles M. 1991,A&A 245,27."
520,=,1991A&A...245...27D
521,--,"Denisyuk E.K.,Lipovetski V.A. 1974,Astrophysics 10,195."
521,=,1974Ap.....10..195D
522,--,"Dennett-Thorpes J.,de Bruyn A.G. 2000,ApJ 529,L65."
522,=,2000ApJ...529L..65D
523,--,"de Robertis M.M.,Osterbrock D.E. 1986,ApJ 301,98."
523,=,1986ApJ...301...98D
524,--,"de Robertis M.M.,Yee H.K.C. 1990,AJ 100,84."
524,=,1990AJ....100...84D
525,--,"de Robertis M.M.,Hayhoe K.,Yee K.K.C. 1998,ApJS 115,163."
525,=,1998ApJS..115..163D
526,--,"de Vaucouleurs G.  1961,ApJS 5,233."
526,=,1961ApJS....5..233D
527,--,"de Vaucouleurs G.,de Vaucouleurs A. 1968,AJ 73,858."
527,=,1968AJ.....73..858D
528,--,"de Vaucouleurs G.,de Vaucouleurs A. 1972,Mem. R. Astron. Soc. 77,1."
528,=,1972MmRAS..77....1D
529,--,"de Vaucouleurs G.,de Vaucouleurs A. 1975,ApJ 197,L1."
529,=,1975ApJ...197L...1D
530,--,"de Vaucouleurs G.,de Vaucouleurs A.,Corwin H.G. 1978,AJ 83,1331."
530,=,1978AJ.....83.1331D
531,--,"Dewangan G.C.,Singh K.P.,Szkody P.,Hoard D.W. 2000,A&A 360,107."
531,=,2000A&A...360..107D
532,--,"Dewangan G.C.,Singh K.P.,Mayya Y.D.,Anuparma G.C. 2000,MNRAS 318,309."
532,=,2000MNRAS.318..309D
533,--,"Dewangan G.C.,Singh K.P.,Jones L.R. et al. 2001,MNRAS 325,1616."
533,=,2001MNRAS.325.1616D
534,--,"Dewangan G.C.,Singh K.P.,Gunn K.F. et al. 2002,MNRAS 337,693."
534,=,2002MNRAS.337..693D
535,--,"de Vries W.H.,O'Dea C.P.,Barthel P.D.,Thompson D.J. 2000,A&AS 143,181."
535,=,2000A&AS..143..181D
536,--,"Dey A.,van Breugel W.J.M. 1994,AJ 107,1977."
536,=,1994AJ....107.1977D
537,--,"Dey A.,Spinrad H. 1996,ApJ 459,133."
537,=,1996ApJ...459..133D
538,--,"Di Serego Alighieri S.,Cimatti A.,Fosbury R.A.E. 1994,ApJ 431,123."
538,=,1994ApJ...431..123D
539,--,"Di Serego Alighieri S.,Danziger I.J.,Morganti R.,Tadhunter C. 1994,MNRAS 269,998."
539,=,1994MNRAS.269..998D
540,--,"Diaz A.I.,Prieto M.A.,Wamsteker W. 1988,A&A 195,53."
540,=,1988A&A...195...53D
541,--,"Dibai E.A. 1970,Astrophysics 6,185."
541,=,1970Ap......6..185D
542,--,"Dibai E.A.,Doroshenko V.T.,Postnov K.A. 1981,SvA Letters 7,295."
542,=,1981SvAL....7..295D
543,--,"Dibai E.A.,Doroshenko V.T.,Postnov K.A. 1984,SvA 28,1."
543,=,1984SvA....28....1D
544,--,"Dietrich M.,Appenzeller I.,Wagner S.J. et al. 1999,A&A 352,L1."
544,=,1999A&A...352L...1D
545,--,"Dietrich M.,Wilhelm-Erkens U. 2000,A&A 354,17."
545,=,2000A&A...354...17D
546,--,"Dietrich M.,Appenzeller I.,Hamann F. et al. 2003,A&A 398,891."
546,=,2003A&A...398..891D
547,--,"Dinshaw N.,Impey C.D. 1996,ApJ 458,73."
547,=,1996ApJ...458...73D
548,--,"Dinshaw N.,Impey C.D.,Foltz C.B.,Weymann R.J.,Chaffee F.H. 1994,ApJ 437,L87."
548,=,1994ApJ...437L..87D
549,--,"Disney M.J. 1973,ApJ 181,L55."
549,=,1973ApJ...181L..55D
550,--,"Disney M.J. 1974,ApJ 193,L103."
550,=,1974ApJ...193L.103D
551,--,"Disney M.J.,Wall J.V. 1977,MNRAS 179,235."
551,=,1977MNRAS.179..235D
552,--,"Disney M.J.,Peterson B.A.,Rodgers A.W. 1974,ApJ 194,L79."
552,=,1974ApJ...194L..79D
553,--,"Dittmann O.J.,Koppen J. 1995,A&A 297,671."
553,=,1995A&A...297..671D
554,--,"Djorgovski S.,Perley R.,Meylan G.,McCarthy P. 1987,ApJ 321,L17."
554,=,1987ApJ...321L..17D
555,--,"Djorgovski S.,Thompson D.J.,Vigotti M.,Grueff G. 1990,PASP 102,113."
555,=,1990PASP..102..113D
556,--,"Djorgovski S.,Thompson D.J.,Maxfield L.,Vigotti M.,Grueff G. 1995,ApJS 101,255."
556,=,1995ApJS..101..255D
557,--,"Djorgovski S. 2001,WWW.astro.caltech.edu/~george/z4.qsos."
557,=,2001..............D
558,--,"Djorgovski S.G.,Mahabal A.A.,Brunner R. 2003,ApJ = astro-ph/0306423"
558,--,'Discovery of a clustered quasar pair at z~5: biased peaks in
558,--,early structure formation'.
558,=,2003ApJ............
559,--,"Dobrzycki A.,Engels D.,Hagen H.-J. 1999,A&A 439,L29."
559,=,1999A&A...349L..29D
560,--,"Dobrzycki A.,Groot P.J.,Macri L.M.,Stanek K.Z. 2002,ApJ 569,L15."
560,=,2002ApJ...569L..15D
561,--,"Dobrzycki A.,Macri L.M.,Stanek K.Z.,Groot P.J. 2003,AJ 125,1330."
561,=,2003AJ....125.1330D
562,--,"Dobrzycki A.,Stanek K.Z.,Macri L.M.,Groot P.J. 2003,AJ 126,734."
562,=,2003AJ....126..734D
563,--,"Dodonov S.N.,Pariiskii Y.N.,Goss W.M. et al. 1999,Astronomy Reports 43,275."
563,=,1999ARep...43..275D
564,--,"D'odorico V. 2000,private communication (24.09.00)."
564,=,2000Private........
565,--,"Donivan F.F.,Pollock J.T.,Smith A.G. et al. 1978,PASP 90,24."
565,=,1978PASP...90...24D
566,--,"Donley J.L.,Brandt W.N.,Eracleous M.,Boller T. 2002,AJ 124,1308."
566,=,2002AJ....124.1308D
567,--,"Donnelly R.H.,Partridge R.B.,Windhorst R.A. 1987,ApJ 321,94."
567,=,1987ApJ...321...94D
568,--,"Donzelli C.J.,Ferreiro D.L. 1998,A&AS 127,527."
568,=,1998A&AS..127..527D
569,--,"Donzelli C.J.,Pastoriza M.G. 2000,AJ 120,189."
569,=,2000AJ....120..189D
570,--,"Doroshenko V.T.,Terebizh V.Y. 1979,SvA Letters 5,305."
570,=,1979SvAL....5..305D
571,--,"Doroshenko V.T.,Terebizh V.Y. 1981,Astrophysics 17,358."
571,=,1981Ap.....17..358D
572,--,"Dottori H.A. 1979,A&AS 37,519."
572,=,1979A&AS...37..519D
573,--,"Douglas J.N.,Bash F.N.,Bozyan F.A.,Torrence G.W.,Wolfe C. 1996,AJ 111,1945."
573,=,1996AJ....111.1945D
574,--,"Downes A.J.B.,Peacock J.A.,Savage A.,Carrie D.R. 1986,MNRAS 218,31."
574,=,1986MNRAS.218...31D
575,--,"Downes D.,Neri R.,Wiklind T.,Wilner D.J.,Shaver P.A. 1999,ApJ 513,L1."
575,=,1999ApJ...513L...1D
576,--,"Downes R.A.,Margon B. 1981,AJ 86,19."
576,=,1981AJ.....86...19D
577,--,"Downes R.A.,Wallace D. 1996,PASP 108,134."
577,=,1996PASP..108..134D
578,--,"Doxsey R.,Bradt H.V.,McClintock J. et al. 1983,ApJ 264,L43."
578,=,1983ApJ...264L..43D
579,--,"Dressel L.L.,Condon J.J. 1978,ApJS 36,53."
579,=,1978ApJS...36...53D
580,--,"Dressler A.,Gunn J.E. 1983,ApJ 270,7."
580,=,1983ApJ...270....7D
581,--,"Dressler A.,Gunn J.E. 1992,ApJS 78,1."
581,=,1992ApJS...78....1D
582,--,"Dressler A.,Thompson J.B.,Schectman S.A. 1985,ApJ 288,481."
582,=,1985ApJ...288..481D
583,--,"Drinkwater M.J. 1987,'Quasar clustering on large scale',PhD,Cambridge."
583,=,1987...............
584,--,"Drinkwater M.J.,Webster R.L.,Francis P.J. et al. 1997,MNRAS 284,85."
584,=,1997MNRAS.284...85D
585,--,"Duc P.-A.,Mirabel I.F. 1994,A&A 289,83."
585,=,1994A&A...289...83D
586,--,"Duc P.-A.,Mirabel I.F.,Maza J. 1997,A&AS 124,533."
586,=,1997A&AS..124..533D
587,--,"Duc P.-A.,Hall P.B.,Fadda D. et al. 2002,A&A 389,L47."
587,=,2002A&A...389L..47D
588,--,"Dunlop J.S.,Downes A.J.B.,Peacock J.A. et al. 1986,Nat 319,564."
588,=,1986Natur.319..564D
589,--,"Dunlop J.S.,Peacock J.A.,Savage A. et al. 1989,MNRAS 238,1171."
589,=,1989MNRAS.238.1171D
590,--,"Dunlop J.S.,McLure R.J.,Kukula M.J. et al. 2003,MNRAS 340,1095."
590,=,2003MNRAS.340.1095D
591,--,"Durret F. 1994,A&AS 105,57."
591,=,1994A&AS..105...57D
592,--,"Durret F.,Bergeron J. 1988,A&AS 75,273."
592,=,1988A&AS...75..273D
593,--,"Durret F.,Boisson C.,Petitjean P.,Bergeron J. 1993,A&AS 98,365."
593,=,1993A&AS...98..365D
594,--,"Eales S.A.,Wynn-Williams C.G.,Beichman C.A. 1988,ApJ 328,530."
594,=,1988ApJ...328..530E
595,--,"Eckart A.,Witzel A.,Biermann P. et al. 1986,A&A 168,17."
595,=,1986A&A...168...17E
596,--,"Economou F.,Lawrence A.,Ward M.J.,Blanco P.R. 1995,MNRAS 272,L5."
596,=,1995MNRAS.272L...5E
597,--,"Edelson R.A. 1987,ApJ 313,651."
597,=,1987ApJ...313..651E
598,--,"Edmunds M.G.,Pagel B.E.J. 1982,MNRAS 198,1089."
598,=,1982MNRAS.198.1089E
599,--,"Edwards G.,Beauchemin M.,Borra E.F. 1988,PASP 100,266."
599,=,1988PASP..199..266E
600,--,"Edwards T.,Kronberg P.P.,Menard G. 1975,AJ 80,1005."
600,=,1975AJ.....80.1005E
601,--,"Eggen O.J. 1970,ApJ 159,L95."
601,=,1970ApJ...159L..95E
602,--,"Ekers J.A. 1969,Aust. J. Phys. Astrophys. Suppl. 7,1."
602,=,1969AuJPA...7....1E
603,--,"Ekers J.A.,Bolton J. 1965,Aust. J. Phys. 18,669."
603,=,1965AuJPh..18..669E
604,--,"Ekers R.D. 1970,Aust. J. Phys. 23,217."
604,=,1970AuJPh..23..217E
605,--,"Ellingson E.,Yee H.K.C.,Green R.F. 1991,ApJS 76,455."
605,=,1991ApJS...76..455E
606,--,"Ellis R.,Purvis A. 1985,Gemini 15,1."
606,=,1985Gemini.15....1E
607,--,"Elowitz R.M.,Green R.F.,Impey C.D. 1995,ApJ 440,458."
607,=,1995ApJ...440..458E
608,--,"Elsmore B.,Mackey C.D. 1969,MNRAS 146,361."
608,=,1969MNRAS.146..361E
609,--,"Elston R.,Cornell M.E.,Lebofsky M.J. 1985,ApJ 296,106."
609,=,1985ApJ...296..106E
610,--,"Elvis M.,Wilkes B.J.,McDowell J.C. et al. 1994,ApJS 95,1."
610,=,1994ApJS...95....1E
611,--,"Engels D.,Hagen H.-J.,Cordis L. et al. 1998,A&AS 128,507."
611,=,1998A&AS..128..507E
612,--,"Eracleous M.,Halpern J.P. 1994,ApJS 90,1."
612,=,1994ApJS...90....1E
613,--,"Eracleous M.,Halpern J.P. 2001,ApJ 554,240."
613,=,2001ApJ...554..240E
614,--,"Erculiani-Abati L.,Afanasjev V.L.,Spiridonova O.I.,Lorenz H. 1989,"
614,--,"Astron. Nachr. 310,97."
614,=,1989AN....310...97E
615,--,"Erkens U.,Appenzeller I.,Wagner S. 1997,A&A 323,707."
615,=,1997A&A...323..707E
616,--,"Espey B.R.,Turnshek D.A.,Lee L. et al. 1994,ApJ 434,484."
616,=,1994ApJ...434..484E
617,--,"Evans A.S.,Sanders D.B.,Cutri R.M. et al. 1998,ApJ 506,205."
617,=,1998ApJ...506..205E
618,--,"Everett M.E.,Wagner R.M. 1995,PASP 107,1059."
618,=,1995PASP..107.1059E
619,--,"Fabbiano G.,Gioia I.M.,Trinchieri G. 1989,ApJ 347,127."
619,=,1989ApJ...347..127F
620,--,"Fadda D.,Flores H.,Hasinger G. et al. 2002,A&A 383,838."
620,=,2002A&A...383..838F
621,--,"Fairall A.P. 1968,PASP 80,235."
621,=,1968PASP...80..235F
622,--,"Fairall A.P. 1978,Mon. Notes Astron. Soc. S. Afr. 37,41."
622,=,1978MNSSA..37...41F
623,--,"Fairall A.P. 1979,MNRAS 188,349."
623,=,1979MNRAS.188..349F
624,--,"Fairall A.P. 1980,MNRAS 191,391."
624,=,1980MNRAS.191..391F
625,--,"Fairall A.P. 1980,MNRAS 192,389."
625,=,1980MNRAS.192..389F
626,--,"Fairall A.P. 1981,MNRAS 196,417."
626,=,1981MNRAS.196..417F
627,--,"Fairall A.P. 1983,MNRAS 203,47."
627,=,1983MNRAS.203...47F
628,--,"Fairall A.P. 1984,MNRAS 210,69."
628,=,1984MNRAS.210...69F
629,--,"Fairall A.P. 1985,Observatory 105,129."
629,=,1985Obs...105..129F
630,--,"Fairall A.P. 1986,MNRAS 218,453."
630,=,1986MNRAS.218..453F
631,--,"Fairall A.P. 1988,MNRAS 230,69."
631,=,1988MNRAS.230...69F
632,--,"Fairall A.P. 1988,MNRAS 233,691."
632,=,1988MNRAS.233..691F
633,--,"Fairall A.P.,McHardy I.M.,Pye J.P. 1982,MNRAS 198,13P."
633,=,1982MNRAS.198p..13F
634,--,"Fairall A.P.,Woudt P.A.,Kraan-Korteweg R.C. 1998,A&AS 127,463."
634,=,1998A&AS..127..463F
635,--,"Faisse S. 1998,PhD Paris."
635,=,1998Thesis.........
636,--,"Falcke H.,Sherwood W.,Patnaik A.R. 1996,ApJ 471,106."
636,=,1996ApJ...471..106F
637,--,"Falcke H.,Nagar N.M.,Wilson A.S.,Ulvestad J.S. 2000,ApJ 542,197."
637,=,2000ApJ...542..197F
638,--,"Falco E.E.,Kochanek C.S.,Munoz J.A. 1998,ApJ 494,47."
638,=,1998ApJ...494...47F
639,--,"Falomo R. 1990,ApJ 353,114."
639,=,1990ApJ...353..114F
640,--,"Falomo R. 1991,AJ 101,821."
640,=,1991AJ....101..821F
641,--,"Falomo R. 1991,AJ 102,1991."
641,=,1991AJ....102.1991F
642,--,"Falomo R.,Pesce J.E.,Treves A. 1993,ApJ 411,L63."
642,=,1993ApJ...411L..63F
643,--,"Falomo R.,Scarpa R.,Bersanelli M. 1994,ApJS 93,125."
643,=,1994ApJS...93..125F
644,--,"Falomo R.,Pesce J.E.,Treves A. 1995,ApJ 438,L9."
644,=,1995ApJ...438L...9F
645,--,"Falomo R.,Ulrich M.-H. 2000,A&A 357,91."
645,=,2000A&A...357...91F
646,--,"Fan X.-M.,Tytler D. 1994,ApJS 94,17."
646,=,1994ApJS...94...17F
647,--,"Fan X.,Strauss M.A.,Schneider D.P. et al. 1999,AJ 118,1."
647,=,1999AJ....118....1F
648,--,"Fan X.,Strauss M.A.,Schneider D.P. et al. 2000,AJ 119,1."
648,=,2000AJ....119....1F
649,--,"Fan X.,Strauss M.A.,Gunn J.E. et al. 1999,ApJ 526,L57."
649,=,1999ApJ...526L..57F
650,--,"Fan X.,White R.L.,Davis M. et al. 2000,AJ 120,1167."
650,=,2000AJ....120.1167F
651,--,"Fan X.,Strauss M.A.,Richards G.T. et al. 2001,AJ 121,31."
651,=,2001AJ....121...31F
652,--,"Fan X.,Narayanan V.K.,Lupton R.H. et al. 2001,AJ 122,2833."
652,=,2001AJ....122.2833F
653,--,"Fan X.,Strauss M.A.,Schneider D.P. et al. 2003,AJ 125,1649."
653,=,2003AJ....125.1649F
654,--,"Fanaroff B.L.,Blake G.M. 1972,MNRAS 157,41."
654,=,1972MNRAS.157...41F
655,--,"Fanti C.,Fanti R.,Ficarra A. et al. 1975,A&AS 19,143."
655,=,1975A&AS...19..143F
656,--,"Fanti C.,Ficcara A.,Gregorini L.,Mantovani F.,Olori M.C. 1981,A&A 97,251."
656,=,1981A&A....97..251F
657,--,"Fanti R.,Padrielli L. 1977,A&AS 29,263."
657,=,1977A&AS...19..263F
658,--,"Fanti R.,Feretti L.,Giovannini G.,Padrielli L. 1979,A&A 73,40."
658,=,1979A&A....73...40F
659,--,"Fassnacht C.D.,Cohen J.G. 1998,AJ 115,377."
659,=,1998AJ....115..377F
660,--,"Fassnacht C.D.,Blandford R.D.,Cohen J.G. et al. 1999,AJ 117,658."
660,=,1999AJ....117..658F
661,--,"Fehmers G.C.,de Grijp M.H.K.,Miley G.K.,Keel W.C. 1994,A&AS 108,61."
661,=,1994A&AS..108...61F
662,--,"Feigelson E.D.,Maccacaro T.,Zamorani G. 1982,ApJ 255,392."
662,=,1982ApJ...255..392F
663,--,"Feigelson E.D.,Bradt H.V.,McClintock J. et al. 1986,ApJ 302,337."
663,=,1986ApJ...302..337F
664,--,"Feldmeier J.J.,Brandt W.N.,Elvis M. et al. 1999,ApJ 510,167."
664,=,1999ApJ...510..167F
665,--,"Feretti L.,Giovannini G.,Gregorini L.,Parma P. 1983,A&A 126,311."
665,=,1983A&A...126..311F
666,--,"Ficarra A.,Grueff G.,Tomassetti G. 1985,A&AS 59,255."
666,=,1985A&AS...59..255F
667,--,"Filippenko A.V.,Halpern J.P. 1984,ApJ 285,458."
667,=,1984ApJ...285..458F
668,--,"Filippenko A.V.,Sargent W.L.W. 1985,ApJS 57,503."
668,=,1985ApJS...57..503F
669,--,"Filippenko A.V.,Djorgovski S.,Spinrad H.,Sargent W.L.W. 1986,AJ 91,49."
669,=,1986AJ.....91...49F
670,--,"Filippenko A.V.,Matheson T.,Paerels F.,Mauche C. 1991,IAU Circ. 5328."
670,=,1991IAUC.5328....1F
671,--,"Filippenko A.V.,Matheson T.,Ho L.C. 1993,IAUC 5829."
671,=,1993IAUC.5829....1F
672,--,"Fiore F.,La Franca F.,Giommi P. et al. 1999,MNRAS 306,L55."
672,=,1999MNRAS.306L..55F
673,--,"Fiore F.,La Franca F.,Vignali C. et al. 2000,New Astronomy 5,143."
673,=,2000NewA....5..143F
674,--,"Fiore F.,Brusa M.,Cocchia F. et al. 2003,A&A = astro-ph/0306556"
674,--,'The HELLAS2XMM survey: IV. Optical identifications and the
674,--,evolution of the accretion luminosity in the universe'.
674,=,2003A&A............
675,--,"Fischer J.-U.,Hasinger G.,Schwope A.D. et al. 1998,AN 319,347."
675,=,1998AN....319..347F
676,--,"Fisher P.,Tyson J.A.,Bernstein G.M.,Guhathakurta P. 1994,ApJ 431,L71."
676,=,1994ApJ...431L..71F
677,--,"Foley A.R.,Barthel P.D. 1990,A&A 228,17."
677,=,1990A&A...228...17F
678,--,"Folsom G.H.,Smith A.G.,Hackney R.L. 1970,Astrophys. Letters 7,15."
678,=,1970ApL.....7...15F
679,--,"Folsom G.H.,Smith A.G.,Hackney R.L.,Hackney K.R.,Leacock R.J. 1971,"
679,--,"ApJ 169,L131."
679,=,1971ApJ...169L.131F
680,--,"Foltz C.B.,Wilkes B.J.,Weymann R.J.,Turnshek D.A. 1983,PASP 95,341."
680,=,1983PASP...95..341F
681,--,"Foltz C.B.,Wilkes B.J.,Weymann R.J.,Turnshek D.A. 1983,PASP 95,603."
681,=,1983PASP...95..603F
682,--,"Foltz C.B.,Weymann R.J.,Hazard C.,Turnshek D.A. 1983,PASP 95,117."
682,=,1983PASP...95..117F
683,--,"Foltz C.B.,Weymann R.J.,Peterson B.M. et al. 1986,ApJ 307,504."
683,=,1986ApJ...307..504F
684,--,"Foltz C.B.,Chaffee F.H.,Hewett P.C. et al. 1987,AJ 94,1423."
684,=,1987AJ.....94.1423F
685,--,"Foltz C.B.,Chaffee F.H.,Hewett P.C. et al. 1989,AJ 98,1959."
685,=,1989AJ.....98.1959F
686,--,"Foltz C.B.,Hewett P.C.,Chaffee F.H.,Hogan C.J. 1993,AJ 105,22."
686,=,1993AJ....105...22F
687,--,"Fomalont E.B.,Windhorst R.A.,Kristian J.A.,Kellermann K.I. 1991,AJ 102,1258."
687,=,1991AJ....102.1258F
688,--,"Ford H.,Ciardullo R.,Harms R. 1983,ApJ 266,451."
688,=,1983ApJ...266..451F
689,--,"Formiggini L.,Zitelli V.,Bonoli F.,Braccesi A. 1980,A&AS 39,129."
689,=,1980A&AS...39..129F
690,--,"Forster C.,Green P.J.,Aldcroft T.L. et al. 2001,ApJS 134,35."
690,=,2001ApJS..134...35F
691,--,"Fosbury R.A.E.,Wall J.V. 1979,MNRAS 189,79."
691,=,1979MNRAS.189...79F
692,--,"Fosbury R.A.E.,Mebold U.,Goss W.M.,van Woerden H. 1977,MNRAS 179,89."
692,=,1977MNRAS.179...89F
693,--,"Fosbury R.A.E.,Boksenberg A.,Snijders M.A.J. et al. 1982,MNRAS 201,991."
693,=,1982MNRAS.201..991F
694,--,"Fosbury R.A.E.,Bird M.C.,Nicholson W.,Wall J.V. 1987,MNRAS 225,761."
694,=,1987MNRAS.225..761F
695,--,"Foschini L.,Ho L.C.,Masetti N. et al. 2002,A&A 396,787."
695,=,2002A&A...396..787F
696,--,"Francis P.J. 1996,PASA 13,212."
696,=,1996PASA...13..212F
697,--,"Francis P.J.,Whiting M.T.,Webster R.L. 2000,PASA 17,56."
697,=,2000PASA...17...56F
698,--,"Fraquelli H.A.,Storchi-Bergman T.,Binette L. 2000,ApJ 532,867."
698,=,2000ApJ...532..867F
699,--,"French H.B. 1980,ApJ 240,41."
699,=,1980ApJ...240...41F
700,--,"French H.B.,Miller J.S. 1981,ApJ 248,468."
700,=,1981ApJ...248..468F
701,--,"Fricke K.J.,Kollatschny W.,Witzel A. 1983,A&A 117,60."
701,=,1983A&A...117...60F
702,--,"Fried J.W. 1998,A&A 331,L73."
702,=,1998A&A...331L..73F
703,--,"Frogel J.A.,Gillett F.C.,Terndrup D.M.,Vader J.P. 1989,ApJ 343,672."
703,=,1989ApJ...343..672F
704,--,"Frueh M.L.,Corwin H.G.,de Vaucouleurs G.,Buta R. 1996,AJ 111,722."
704,=,1996AJ....111..722F
705,--,"Fruscione A.,Griffiths R.E. 1991,ApJ 380,L13."
705,=,1991ApJ...380L..13F
706,--,"Fugmann W.,Meisenheimer K. 1988,A&AS 76,145."
706,=,1988A&AS...76..145F
707,--,"Fugmann W.,Meisenheimer K.,Roser H.-J. 1988,A&AS 75,173."
707,=,1988A&AS...75..173F
708,--,"Fynbo J.U.,Thomsen B.,Moller P. 2000,A&A 353,457."
708,=,2000A&A...353..457F
709,--,"Gallego J.,Zamorano J.,Rego M.,Vitores A.G. 1994,A&A 290,705."
709,=,1994A&A...290..705G
710,--,"Gallego J.,Zamorano J.,Rego M.,Alonso O.,Vitores A.G. 1996,A&AS 120,323."
710,=,1996A&AS..120..323G
711,--,"Gal-Yam A.,Ofek E.O.,Filippenko A.V.,Chornock R.,Li W. 2002,PASP 114,587."
711,=,2002PASP..114..587G
712,--,"Gandhi P.,Crawford C.S.,Fabian A.C. 2002,MNRAS 337,781."
712,=,2002MNRAS.337..781G
713,--,"Gardner F.F.,Whiteoak J.B.,Morris D. 1975,Aust. J. Phys. Astrophys. Suppl. 35,1."
713,=,1975AuJPA..35....1G
714,--,"Garilli B.,Bottini D.,Maccagni D.,Vettolani G.,Maccacaro T. 1992,AJ 104,1290."
714,=,1992AJ....104.1290G
715,--,"Garnavich P.,Challis P. 1996,IAUC 6358."
715,=,1996IAUC.6358....1G
716,--,"Gaston B. 1983,'Luminosty function of high redshift quasars'."
716,=,1983...............
717,--,"Gaston B. 1983,ApJ 272,411."
717,=,1983ApJ...272..411G
718,--,"Gavazzi G.,Boselli A.,Kennicutt R. 1991,AJ 101,1207."
718,=,1991AJ....101.1207G
719,--,"Gavazzi G.,Boselli A. 1996,Astrophys. Letters & Communications 35,1."
719,=,1996ApL....35....1G
720,--,"Gearhart M.R.,Pacht E. 1977,Nat 266,819."
720,=,1977Natur.266..819G
721,--,"Gearhart M.R.,Lund J.M.,Frantz D.J.,Kraus J.D. 1972,AJ 77,557."
721,=,1972AJ.....77..557G
722,--,"Geha M.,Alcock C.,Allsman R.A. et al. 2003,AJ 125,1."
722,=,2003AJ....125....1G
723,--,"Gelderman R.,Whittle M. 1994,ApJS 91,491."
