1954IzKry..11...39G Gaze & Shajn                (Simeiz)
1990A&A...235L...9G Geballe & van der Veen
1986ApJ...300..722G Gillett et al.              (IRAS)
1986ApJ...310..842G Gillett et al.
1989ApJ...338..862G Gillett et al.              (IRAS)
1984ApJ...277..211G Grauer & Bond
1987RMxAA..14..344G Gutierrez-Moreno et al.     (PC 11)
                    Habing et al.                                                    1987, Late stage of stellar evolution, Astrophys. Space Sci. Library (eds. S.Kwok, S.R.Pottasch), Vol. 132, 91
1951PASP...63..144H Haro                        (H4)
1952BOTT....1a..93H Haro                        (H1,H2)
1953BOTT....1h...3H Haro et al.                 (H3)
1996A&AS..119...61H Harries & Howarth
1983MitAG..60..328H Hartl & Tritton             (HtTr)
1987A&AS...69..519H Hartl & Weinberger          (HtWe)
1983MitAG..60..325H Hartl et al.                (HtDe)
                    Hawkins et al.                                                   1994, Conference on Infrared Astronomy with Arrays: the Next Generation, p.203.
1984MitAG..62..252H Heber & Drilling            (HBDS)
1982A&A...114..414H Heckathorn et al.           (HEFE)
1992ApJS...80..211H Helfand et al.              (K 6-2,K 6-14)
                    Henize                      (He2,NGC)                            1964, priv. communication to CGPN
1959AJ.....64...51H Henize                      (NGC 6164-5)
1961PASP...73..159H Henize                      (He1)
1976ApJS...30..491H Henize                      (He3)
1983IAUS..103..544H Henize & Fairall            (HeFa)
1953AnHar.119...37H Hoffleit                    (Hf,Hf2,NGC)
1970IBVS..469.....H Hoffleit                    (to He 2-370)
1961Stern..37..204H Hoffmeister                 (IC)
1974A&AS...18..463H Holmberg et al.                                                  and 1974A&AS...18..463H
1975A&AS...22..327H Holmberg et al.             (ESO)
1977A&AS...27..295H Holmberg et al.             (ESO)
1978A&AS...31...15H Holmberg et al.             (ESO)
1978A&AS...34..285H Holmberg et al.             (ESO)
1980A&AS...39..173H Holmberg et al.             (ESO)
1991ApJ...371..631H Hrivnak & Kwok
1999ApJ...513..421H Hrivnak et al
1985ApJ...294L.113H Hrivnak et al.
1987BAAS...19.1091H Hrivnak et al.
1989ApJ...346..265H Hrivnak et al.
1997BAAS...29.1233H Hrivnak et al.
1999ApJ...524..849H Hrivnak et al.
1990A&A...234..435H Hu & Bibo                   (IRAS)
                    Hu & Dong                   (IRAS)                               1992, Chin. Sci. Bull. 37, 213
1993A&A...273..185H Hu et al.                                                        1993b
1993A&AS..100..413H Hu et al.                                                        1993a
1994A&AS..103..301H Hu et al.
1921PASP...33..174H Hubble                      (Hb,NGC,IC)
1921PASP...33..175H Humason                     (Hu1)
1922PASP...34..296H Humason                     (Hu2)
1985PASP...97..328H Hutchings & Cowley          (to BE UMa)
1987A&A...178..227I Ishida & Weinberger         (IsWe)
                    Jacoby & Van de Steene      (JaSt)                               1997, in Supplement 1 to SECGPN (Acker et al., Observatoire de Strasbourg, 1996, See Cat. <V/84>)
1993BAAS...25.1369J Jacoby & Van de Steene      (PG)
1995AJ....110.1285J Jacoby & Van de Steene      (PG)
1997AJ....114.2611J Jacoby et al.               (JaFu)
1955ApJ...121..604J Johnson                     (YM)
