007-06.1  H 1-66         Coordinates 08.114.108 not correct.
008+05.1  Th 4-2         Coordinates 54.134.034 probably not correct.
008-01.1  M 1-40         Coordinates CGPN/Mi 59 not correct.
008-03.1  H 1-64         IRAS 18153-2326 nearby.
008-04.1  M 2-39         Coordinates CGPN/Mi 59 not correct.
008-04.2  M 2-42         Coordinates CGPN/Mi 59 not correct.
008-07.2  NGC 6644       Coordinates CGPN/Sr 30 probably not correct.
009+10.1  A 41           IRAS 17262-1510 nearby.
009+02.1  Th 4-9         Coordinates 18.133.025 probably only approximate.
009+02.1  Th 4-9         Coordinates 70.002.006 rad: deviation in DEC from
009+02.1  Th 4-9         optical position.
010+00.1  NGC 6537       Coordinates 09.133.025 probably not correct.
010+00.1  NGC 6537       IRAS 18021-1950 nearby.
010-01.1  NGC 6578       Also IRAS 18133-2028 nearby.
010-06.1  IC 4732        Coordinates CGPN/Koal 65 not correct.
011+05.1  NGC 6439       Not GSC 06249-00626, not AC 2517978, not TYC 624906261.
011-00.1  M 1-43         Coordinates 70.002.006 rad: deviation in DEC from
011-00.1  M 1-43         optical position.
011-07.1 *V348 Sgr       SB 17 (71.134.030).
012-02.1  M 1-45         IRAS 18201-1918 nearby.
013-02.1  SrWe 3         Coordinates 43.134.030 probably not correct.
013-02.1  SrWe 3         Ko,Ku (1999): suspected central star measured.
013-03.1  M 1-48         Probably printing error in coordinates CGPN/Koal 65.
013-04.2  V-V 3-4        Ko,Ku (1999): identif. corresponds with that of the 
013-04.2  V-V 3-4        disc. paper. Our coordinates differ from others.
013-15.1 *We 4-5         Ko,Ku (1999): coordinates somewhat uncertain because
013-15.1 *We 4-5         no central star known.
014+06.1  K 2-5          Coordinates 70.002.006 probably not correct.
014-05.1  V-V 3-5        IRAS 18335-1922 nearby.
014-11.1  SrWe 4         Ko,Ku (1999): identif. very uncertain because the 
014-11.1  SrWe 4         object is not visible on our FC.
016-02.1  Sa 3-134       Ko,Ku (1999): identif. corresponds with that of SECGPN.
016-02.1  Sa 3-134       Coordinates 70.002.006 rad: deviation in DEC from
016-02.1  Sa 3-134       optical position.
016-07.1  SB 21          IRAS 18452-1832 nearby.
016-07.2  SB 22          Ko,Ku (1999): identification uncertain.
017+11.1  IRAS17395-08   Companion in the distance -0.01 sec and +3.6".
017-21.1  A 65           Coordinates differ too much.
019-02.1  M 4-10         IRAS 18313-1314 nearby.
019-23.1  A 66           IRAS 19545-2144 nearby.
020-00.1  A 45           Coordinates differ too much.
020-03.1 *MaC 1-14       IRAS 18383-1314 nearby.
021+00.1 *PN 1825-0940   Ko,Ku (1999): object at FC given by
021+00.1 *PN 1825-0940   Van de Steene (priv. comm.) measured.
021-03.1  We 1-7         Coordinates differ too much.
022-04.1 *IRAS18442-11   Ko,Ku (1999): identif. corresponds with that of S1 to
022-04.1 *IRAS18442-11   SECGPN.
024+05.1  M 4-9          IRAS 18116-0500 nearby.
024-02.1  M 2-46         IRAS 18437-0831 nearby.
025-04.1  K 4-8          Probably printing error in coordinates 30.135.052.
025-04.1  K 4-8          IRAS 18516-0851 nearby.
025-04.2  IC 1295        Coordinates CGPN/Bs 11 and 09.133.025 probably not
025-04.2  IC 1295        correct. Coord. 70.002.006 rad: deviation in DEC from
025-04.2  IC 1295        optical position.
026-01.1  K 4-5          IRAS 18429-0621 nearby.
026-11.1  Na 2           Probably printing error in coordinates CGPN/Naal 64.
027-02.1  Pe 1-18        Coordinates differ too much.
027-09.1  IC 4846        Coordinates CGPN/Sr 30 probably not correct.
028+10.1  WeSb 3         IRAS 18034+0022 nearby.
028+01.1  M 2-44         IRAS 18349-0308 nearby.
028-02.1 *SP 2-149       IRAS 18475-0518 nearby.
028-04.1  Pe 1-20        Coordinates differ too much.
029+00.1  A 48           IRAS 18401-0316 nearby.
030+06.1 *Sh 2-68        Ko,Ku (1999): suspected central star measured.
030+03.1  A 47           IRAS 18328-0016 nearby.
031+01.1  PC 20          Coordinates 70.002.006 not correct.
032+07.1  K 3-1          IRAS 18208+0334 nearby.
032+05.1  K 3-4          IRAS 18284+0223 nearby.
033-02.1  NGC 6741       Coordinates CGPN/Bs 11 not correct.
033-02.2  CBSS 3         Coordinates differ too much.
033-06.1  NGC 6772       Probably printing error in coordinates 34.134.010.
036-01.1  Sh 2-71        Probably printing error in coordinates 34.134.010.
036-57.1  NGC 7293       Coordinates 50.134.178 probably not correct.
037-05.1  A 58           Probably printing error in coordinates 50.134.212.
038+12.1  Cn 3-1         Coordinates 09.133.025 probably not correct.
040-03.1  K 3-30         IRAS 19140+0507 nearby.
