MaC1    Garcia-Lario et al. (1993), see S5
MaC2    MacConnell (1982)
Me1     Merrill (1941)
Me2     Merrill (1942)
MmWe    Melmer, Weinberger (1990)
My      Mayall M.W. (1951)
My      Mayall M.W. (in Cannon, Mayall 1938)
MyCn    Mayall, Cannon (1940)
Mz      Menzel (1922)
Na      Nassau et al. (1964)
NeVe    Kerber et al. (1998)
NGC     New General Catalogue:
NGC        Copeland (1884)
NGC        Curtis (1918)
NGC        Curtis (1919)
NGC        de Vaucouleurs (1955)
NGC        Henize (1964)
NGC        Hoffleit (1953)
NGC        Hubble (1921)
NGC        Kohoutek (1963)
NGC        Liu et al. (1986)
NGC        Minkowski (1946)
NGC        Shaw, Bidelman (1987)
NGC       Fleming, J. Herschel, W. Herschel, Huggins, Lasell, Lord Rosse, 
NGC       Messier and Darquier, Pease, Pickering, Rosse, F.G. Struve, Webb
NS      Nordstroem (1975)
Ol      Olinger (in Winkler et al., 1993)
P       Peimbert (in Peimbert, Batiz, 1960)
P       Peimbert (in Peimbert, Costero, 1961)
PaRu1   Pena, Ruiz, Maza, Gonzalez (1989)
PaRu2   Pena, Ruiz, Torres-Peimbert, Maza (1990)
PB      Peimbert, Batiz (1960)
PC      Peimbert, Costero (1961)
PC         Apriamashvili (1959)
PC         Gutierrez-Moreno et al. (1987), see S4
Pe1     Perek (1960), Table I
Pe2     Perek (1960), Table II, possible PNe
PF      Pfleiderer (in Ali, Pfleiderer, 1997)
PG      Palomar Green survey:
PG         Jacoby, van de Steene (1993), see S5
PG      Panagia (in Caloi, Panagia, 1974)
PHL     Arp, Scargle (1967)
PM      Preite-Martinez (1988), survey
PN      Parsamyan (in Kazaryan, Parsamyan, 1971)
PN      Van de Steene et al. (1996a, 1996b)
PP      Turner, Terzian (1985)
Ps      Pease (1928)
Pu      Purgathofer (1978, 1980)
PuWe    Purgathofer, Weinberger (1980)
RA      Rabolli (in Vega et al., 1980)
RC      Racine (in van den Bergh et al., 1973)
RCW     Rodgers, Campbell, Whiteoak (1960)
Rm      Reimers (in Koester, Reimers, 1989)
Ru      Ruiz (in Pena et al., 1989, 1990)
RWT     Pritchet (1984)
RXJ     Kawaler, Appleton (1992)
RXJ     Werner et al. (1993)
S       Arkhipova, Lozinskaya (1978)
Sa1     Sanduleak (1974)
Sa2     Sanduleak (1975)
Sa3     Sanduleak (1976)
Sa4     Sanduleak (1983)
SAWI    Shaw, Wirth (1985)
Sb      Sabbadin (in Weinberger, Sabbadin, 1981)
SB      Beaulieu (1996), also Beaulieu et al. (1999)
SD      Sherwood (1969)
Sh1     Sharpless (1953)
Sh2     Sharpless (1959)
Sh2        Cappellaro et al. (1990)
Sh2        Fesen et al. (1983)
Sh2        Napiwotzki, Schoenberner (1993)
Sh2        Reynolds (1985)
Sh2        Sabbadin et al. (1977)
Si      Strigl (1996)
SkAc    Skiff, Acker (1996) 
SKWL    Stock, Wroblewski (1972)
SM      Stenholm (1975)
Sn      Shane (see N.U. Mayall's list of RV)
Sp      Shapley (1936)
SP1     Stephenson (see Sanduleak, 1974)
SP2     Stephenson (see Sanduleak, 1976)
SP3     Stephenson (1978)
SP4     Stephenson (1985)
SrWe    Saurer, Weinberger (1987)
St      Struve (in Swings, Struve, 1940)
St      Van de Steene (in Jacoby, Van de Steene, 1997)
Su      Schuster (in West, Schuster, 1980)
SuWt    Schuster, West (1976)
SuWt    West, Schuster (1980)
SwSt    Swings, Struve (1940)
Ta      Terzan (1985, 1989, 1992)
