Sh2,GlLund,GbLund,GLon,GLat,RAh,RAm,RAds,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950ds,DE1950-,DE1950d,DE1950m,DE1950s,Diam,Form,Struct,Bright,Stars
237,1416,16,1739,3,5,24,480,+,34,12,0,5,28,65,+,34,14,26,7,3,2,3,1
238,1441,-196,1762,-209,4,16,0,+,19,18,0,4,18,547,+,19,25,14,1,3,2,3,0
239,1468,-187,1789,-201,4,25,300,+,17,54,0,4,28,235,+,18,0,36,5,3,2,2,0
240,1479,1,1802,-13,5,34,420,+,28,3,0,5,37,510,+,28,4,44,180,1,3,2,0
241,1486,55,1809,41,5,57,420,+,30,15,0,6,0,545,+,30,15,3,10,3,2,3,0
242,1501,16,1824,2,5,45,360,+,26,59,0,5,48,435,+,26,59,56,7,1,2,2,0
243,1518,-27,1841,-42,5,33,180,+,23,14,0,5,36,201,+,23,15,50,6,3,2,1,0
244,1523,-44,1846,-58,5,28,300,+,21,53,0,5,31,302,+,21,55,11,5,2,3,3,0
245,1543,-329,1864,-343,3,57,180,+,3,51,0,3,59,555,+,3,59,26,720,3,2,2,2
246,1548,-151,1870,-166,4,56,300,+,13,57,0,4,59,196,+,14,1,28,65,3,1,1,0
247,1566,23,1889,8,6,2,300,+,21,38,0,6,5,300,+,21,37,43,9,1,1,2,1
248,1567,43,1891,29,6,10,360,+,22,32,0,6,13,372,+,22,31,7,50,2,3,3,4
249,1567,55,1890,40,6,14,540,+,23,8,0,6,17,560,+,23,6,48,80,3,2,2,6
250,1574,-234,1896,-248,4,34,480,+,7,10,0,4,37,295,+,7,15,59,10,3,2,1,0
251,1577,-257,1899,-272,4,27,300,+,5,39,0,4,30,97,+,5,45,28,35,3,3,1,0
252,1577,20,1900,5,6,3,420,+,20,31,0,6,6,405,+,20,30,37,40,3,2,3,1
253,1599,51,1923,36,6,19,480,+,20,5,0,6,22,458,+,20,3,27,5,3,1,1,0
254,1602,13,1925,-1,6,6,300,+,18,4,0,6,9,253,+,18,3,25,11,2,2,2,1
255,1603,15,1927,0,6,7,180,+,18,0,0,6,10,132,+,17,59,22,3,1,2,3,0
256,1603,14,1926,-1,6,6,480,+,17,58,0,6,9,432,+,17,57,24,1,3,2,2,0
257,1603,14,1926,-1,6,7,0,+,18,0,0,6,9,552,+,17,59,23,3,1,2,3,0
258,1604,15,1927,1,6,7,420,+,17,57,0,6,10,372,+,17,56,20,1,3,2,2,0
