HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
43,a,10,8,46.08,+,0,13,25.6,21.1,8.1,Sb,5,--,10163,38,0,15.94,0,27.0,14.4,0,32.9,1.48,15.69,15.13,0.1,-19.9,--
43,b,10,8,33.79,+,0,12,15.6,30.2,5.5,SBcd,8,m,10087,35,0,16.25,0,25.8,14.76,0,35.8,1.36,16.0,15.18,0.1,-19.9,--
43,c,10,8,38.87,+,0,10,44.7,15.0,8.3,SB0,1,m,9916,33,0,16.27,0,20.4,14.51,0,30.2,1.67,16.15,15.82,0.1,-19.2,--
43,d,10,8,39.23,+,0,9,34.8,8.9,8.0,Sc,7,--,9630,37,0,17.35,0,15.5,15.98,0,16.9,1.34,17.08,16.82,0.1,-18.1,--
43,e,10,8,40.56,+,0,11,43.0,8.2,7.4,S0,1,--,9636,68,0,17.8,0,14.9,15.79,0,22.1,1.82,17.4,17.2,0.5,-17.7,--
43,f,10,8,44.85,+,0,14,18.3,21.2,5.9,Sbc,6,--,19505,64,0,18.63,0,10.7,17.16,0,14.1,1.27,17.94,17.27,0.1,--,--
44,a,10,15,20.64,+,22,4,54.9,100.7,47.3,Sa,3,m,1293,24,0,12.43,3,130.5,11.14,3,141.4,1.28,11.99,11.52,0.05,-19.0,N3190 U5559
44,b,10,15,39.55,+,22,8,36.8,53.0,44.4,E2,0,m,1378,19,0,14.21,3,65.5,12.19,3,136.5,1.69,11.83,11.62,0.04,-19.1,N3193 U5562
44,c,10,14,53.29,+,21,56,18.8,56.8,33.4,SBc,7,m,1218,14,0,13.35,3,91.5,12.37,3,95.4,0.97,12.94,12.55,0.06,-17.9,N3185 U5554
44,d,10,15,2.47,+,22,7,25.4,67.7,27.4,Sd,9,m,1579,91,0,14.28,3,70.3,14.06,3,66.4,0.26,13.61,13.09,0.07,-17.9,N3187 U5556
45,a,10,15,51.41,+,59,22,54.4,41.4,13.5,Sa,3,m,21811,34,0,15.87,0,38.4,14.14,0,56.1,1.57,15.9,15.2,0.5,-21.5,U5564
45,b,10,15,43.07,+,59,21,22.4,11.4,9.4,S0a,2,--,22195,29,0,16.95,0,21.3,15.33,0,23.2,1.59,17.59,17.24,0.1,-19.5,--
45,c,10,15,45.68,+,59,20,6.5,12.5,2.9,Sc,7,--,21799,72,0,18.34,0,11.5,16.78,0,13.1,1.4,18.4,17.6,0.7,-19.1,--
45,d,10,15,53.97,+,59,23,18.3,8.5,5.2,S0,1,--,20735,43,0,17.81,0,13.9,16.07,0,19.9,1.63,17.63,17.26,0.1,-19.4,--
46,a,10,19,24.39,+,18,5,26.8,10.9,8.0,E3,0,m,8201,35,0,16.83,3,17.8,15.08,3,31.9,1.34,16.61,16.4,0.2,-18.2,--
46,b,10,19,30.12,+,18,6,22.0,9.5,7.8,S0,1,--,8571,36,0,16.95,3,16.5,15.29,3,26.4,1.4,16.52,16.28,0.2,-18.4,--
46,c,10,19,29.87,+,18,6,44.7,7.8,6.9,E1,0,--,7906,42,0,16.81,3,14.9,15.17,3,24.5,1.39,16.34,16.13,0.2,-18.4,--
46,d,10,19,34.36,+,18,8,4.6,12.5,7.5,SB0,1,--,7703,33,0,16.81,3,19.1,15.02,3,27.1,1.68,16.41,16.11,0.2,-18.3,--
47,a,10,23,5.93,+,13,58,17.0,26.3,17.9,SBb,5,m,9581,31,0,15.29,1,40.3,13.56,1,56.3,1.59,14.95,14.61,0.2,-20.3,U5644
47,b,10,23,8.23,+,13,58,56.9,17.9,12.8,E3,0,m,9487,32,0,16.28,1,25.7,14.26,1,37.0,1.86,15.88,15.67,0.2,-19.2,--
47,c,10,23,8.66,+,14,0,27.4,9.2,8.3,Sc,7,--,9529,50,0,17.58,1,18.5,16.33,1,18.2,1.1,16.87,16.63,0.2,-18.3,--
