S  36  0 21.2 -39  9  F294 -051 +047  I   II-III     29   15.6* 17.4  18.1             0 23.7 -38 52        215  211  327.47 -76.90         0 6 17.3  1O
S  37  0 21.2 -42 32  F294 -050 -134  RI  I-II       -1   13.9  15.0  15.9             0 23.7 -42 15  D     214   30  321.70 -73.85         0 4 16.2  2O
S  38  0 21.3 -38 32  F294 -050 +080  I   I-II       16   15.6  16.1  18.1             0 23.8 -38 15        214  244  328.74 -77.45         0 6 17.3  1O
S  39  0 21.5 -20 27  F539 +004 -022  R   III        52   18.4  19.4  19.7             0 24.0 -20 10        160  142   79.44 -80.63         1 6 17.4  1O
S  40  0 22.4 -37  2  F294 -039 +160  IR  I-II       21   17.2  17.8  18.6             0 24.9 -36 45        203  324  331.57 -78.85         0 6 17.3  1O
S  41  0 23.0 -33 18  F350 -014 +091  RI  II         26   13.6? 14.4  15.3             0 25.5 -33  1  O     178  255  344.96 -81.86  .0498  0 3 15.5  1C
S  42  0 23.2 -65  0  F079 -120 -004  I   I-II       26   15.4  17.5  18.1             0 25.5 -64 43        284  160  307.45 -52.18         0 6 17.3  2O
S  43  0 23.3 -19 29  F539 +027 +030  I   II         18   15.4  16.1  18.0             0 25.8 -19 12        137  194   85.00 -80.13         0 6 17.3  1O
S  44  0 23.3 -27 40  F410  000 +127  I:  II:        54   18.7  18.9  19.9             0 25.8 -27 23        164  291   28.85 -84.30         1 6 17.4  1C
S  45  0 23.3 -57 15  F150 -073 -121  I   II         20   14.6? 15.3? 16.7?            0 25.7 -56 58  DR    237   43  309.92 -59.80 (.0241) 0 4 16.4  1O,1C
S  46  0 23.6 -37 38  F294 -025 +128  I   III         9   15.1* 16.0  16.9             0 26.1 -37 21        189  292  328.97 -78.46         0 5 17.1  1O
S  47  0 24.0 -51 54  F150 -076 +166  I   II          6:  15.4  15.7  17.1             0 26.4 -51 37  DR    240  330  312.17 -65.05         0 5 17.2  1O
S  48  0 24.2 -54 13  F150 -071 +043  IR  II-III     29   15.9? 17.4  18.1             0 26.6 -53 56        235  207  310.95 -62.80         0 6 17.3  1O
S  49  0 24.4 -53 38  F150 -070 +074  I   II        -43   15.4  15.8  17.1             0 26.8 -53 21  R     234  238  311.16 -63.38         0 5 17.2  1O
S  50  0 24.8 -47  6  F194 -049 +156  IR  III:     ( 78)  18.8: 19.3  20.4             0 27.2 -46 49        213  320  314.96 -69.74         1 6 17.5  1C
S  51  0 25.3 -36 59  F294 -007 +163  RI  I          26:  14.6  16.3  16.8             0 27.8 -36 42        171  327  329.09 -79.19         0 5 17.0  1O
