Name,DSPshort,DSPlong
IC1,"D *, 13 & 13, one nebs","a double star, magnitudes 13 and 13, one with nebulosity"
IC10,"F * inv in eF, vL neb","faint star involved in an extremely faint, very large nebula"
IC100,"F, vS, R, N = 12.5m","faint, very small, round, nucleus equal to 12.5 magnitude star"
IC1000,"F, vS, R, N = 14m, stellar","faint, very small, round, nucleus = 14th magnitude, stellar"
IC1001,"eF, S, dif","extremely faint, small, diffuse"
IC1002,"eF, vS, lbM","extremely faint, very small, a little brighter middle"
IC1003,"eF, vS, vS * att, diffic","extremely faint, very small, very small (faint) star attached, difficult"
IC1004,"pF, sbM","pretty faint, suddenly brighter middle"
IC1005,"F, S, R, bM","faint, small, round, brighter middle"
IC1006,F,faint
IC1007,"vF, vS, R, lbM, * 10.5 nr",
IC1008,pF,pretty faint
IC1009,"vF, S, dif","very faint, small, diffuse"
IC101,"vF, pL, E, dif","very faint, pretty large, extended, diffuse"
IC1010,"F, S, dif","faint, small, diffuse"
IC1011,"F, vS, R, N = 14m","faint, very small, round, nucleus = 14th magnitude"
IC1012,No description,no description
IC1013,"eF, vS","extremely faint, very small"
IC1014,"F, pL, R, vgbM","faint, pretty large, round, very gradually brighter middle"
IC1015,"vF, iF","very faint, irregular figure"
IC1016,"vF, vS, R, f h 1806","very faint, very small, round, east of h1806"
IC1017,"pF, vS, sbM, stellar","pretty faint, very small, suddenly brighter middle, stellar"
IC1018,"eF, eS, v diffic","extremely faint, extremely small, very difficult"
IC1019,"F, vS, R, stellar, * 13 nr","faint, very small, round, stellar, 13th magnitude star near"
IC102,"eF, S, dif","extremely faint, small, diffuse"
IC1020,"F, stellar, vF * close","faint, stellar, very faint star close"
IC1021,"F, S, iR","faint, small, irregularly round"
IC1022,"vF, E ns","very faint, extended north-south"
IC1023,Neb,nebula
IC1024,"pB, vS, E ns","pretty bright, very small, extended north-south"
IC1025,"eF, sbM","extremely faint, suddenly brighter middle"
IC1026,pB,pretty bright
IC1027,"eeF, pS, R, another nr ?",
IC1028,"pB, S, R, F * close nf","pretty bright, small, round, faint star close to northeast"
IC1029,"vF, S, lE, mbM","very faint, small, a little extended, much brighter middle"
IC103,"F, vS, R","faint, very small, round"
IC1030,pF,pretty faint
IC1031,"eeF, S, R","most extremely faint, small, round"
IC1032,"eeF, S, R","most extremely faint, small, round"
IC1033,"eeF, S, R","most extremely faint, small, round"
IC1034,"vF, lbM","very faint, a little brighter middle"
IC1035,"pF, vS, R, S, * nr","pretty faint, very small, round, small, star near"
IC1036,"pF, S","pretty faint, small"
IC1037,"F, vS, R, stellar","faint, very small, round, stellar"
IC1038,"F, vS, stellar, * 10 f 8s",
IC1039,"vF, vS, lbM","very faint, very small, a little brighter middle"
IC104,"stellar, 13m","stellar, 13th magnitude"
IC1040,"eF, vS","extremely faint, very small"
IC1041,"pB, vS, R, N = 12m",
IC1042,"vF, vS, R, bM, close D with h 1862",
IC1043,"vF, vS, R, bM","very faint, very small, round, brighter middle"
IC1044,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC1045,"eeF, pS, R, nearly bet 2 st","most extremely faint, pretty small, round, nearly between 2 stars"
IC1046,"eF, S, R, D * f","extremely faint, small, round, double star to east"
IC1047,"vF, S, v, dif",
IC1048,"pB, pL, E pf, r","pretty bright, pretty large, extended east-west, mottled but not resolved"
IC1049,"eeF, pS, R","most extremely faint, pretty small, round"
IC105,"F, eS, R, lbM","faint, extremely small, round, a little brighter middle"
IC1050,"vF, S, R, dif","very faint, small, round, diffuse"
IC1051,"F, vS, stellar","faint, very small, stellar"
IC1052,Neb * 12m,
IC1053,"eF, vS, v dif, * 4 np 28s",
IC1054,"vF, vS, sbMN = 14m",
IC1055,"F, pL, E ns","faint, pretty large, extended north-south"
IC1056,"eeF, L, R, 3 pB st sf",
IC1057,"eF, pS, R, bet 3 st","extremely faint, pretty small, round, between 3 stars"
IC1058,"F, E ns, mbMN = 14m",
IC1059,"F, S, lbm, r","faint, small, a little brighter middle, mottled but not resolved"
IC106,"vF, S, dif, lbM","very faint, small, diffuse, a little brighter middle"
IC1060,No descr,no description
IC1061,"eF, eS, diffic","extremely faint, extremely small, difficult"
IC1062,"pF, iF, diffic","pretty faint, irregular figure, difficult"
IC1063,"pF, stellar","pretty faint, stellar"
IC1064,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1065,"vF, pS, R","very faint, pretty small, round"
IC1066,"F, vS, R","faint, very small, round"
IC1067,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1068,"F, pL, dif","faint, pretty large, diffuse"
IC1069,"pF, vS, R, no st nr",
IC107,"vF, vS, R, * close p","very faint, very small, round, star close to the west"
IC1070,"vF, S, R, diffic","very faint, small, round, difficult"
IC1071,"vF, S, R, bM","very faint, small, round, brighter middle"
IC1072,"vF, vS, R, vlbM, 2nd of 3","very faint, very small, round, very little brighter middle, 2nd of 3"
IC1073,"vF, S, R, S * s, 3rd of 3","very faint, small, round, small star to south, 3rd of 3"
IC1074,"eeF, S, R","most extremely faint, small, round"
IC1075,"eeF, pS, R, v diffic","most extremely faint, pretty small, round, very difficult"
IC1076,"eF, pS, R, bM, * sp","extremely faint, pretty small, round, brighter middle, star to southwest"
IC1077,"vF, vS, R, gbMN","very faint, very small, round, gradually brighter middle and nucleus"
IC1078,"pF, vS, R, lbM","pretty faint, very small, round, a little brighter middle"
IC1079,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC108,"F, pL, E ns","faint, pretty large, extended north-south"
IC1080,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1081,"eF, pL, E 175°","extremely faint, pretty large, extended 175°"
IC1082,"pF, S, R","pretty faint, small, round"
IC1083,"eeF, S, R","most extremely faint, small, round"
IC1084,"eF, S, R, dif","extremely faint, small, round, diffuse"
IC1085,"pB, vS, lE ns","pretty bright, very small, a little extended north-south"
IC1086,"F, iR, bMN","faint, irregularly round, brighter middle and nucleus"
IC1087,"vF, vS","very faint, very small"
IC1088,"eeF, vS","most extremely faint, very small"
IC1089,"eF, vS, R","extremely faint, very small, round"
IC109,"pB, vS, R","pretty bright, very small, round"
IC1090,"eF, neb ?","extremely faint, possibly nebulous"
IC1091,"vF, S, dif","very faint, small, diffuse"
IC1092,"vF, vS, R","very faint, very small, round"
IC1093,"pB, vS, R, lbM","pretty bright, very small, round, a little brighter middle"
IC1094,"pB, vS, R, biN","pretty bright, very small, round, binuclear"
IC1095,"eeF, S, lE","most extremely faint, small, a little extended"
IC1096,"vF, S, dif","very faint, small, diffuse"
IC1097,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1098,vF (? only a * 13m),
IC1099,"eeF, pS, R, bet 2 F st","most extremely faint, pretty small, round, between 2 faint stars"
IC11,"vF, L, triple * on np corner","very faint, large, triple star on northwest corner"
IC110,vF,very faint
IC1100,"vF, pS, lE, bet 2 st","very faint, pretty small, a little extended, between 2 stars"
IC1101,No descr,"Description is extremely faint, very small, 13th magnitude star 1.5 seconds east, 13th magnitude star 2 seconds west and a little north."
IC1102,"eeF, vS, F * sf, v diffic","most extremely faint, very small, faint star to southeast, very difficult"
IC1103,"vF, S","very faint, small"
IC1104,vF,very faint
IC1105,"eeF, S, lE, F * np","most extremely faint, small, a little extended, faint star to northwest"
IC1106,"vF, vS, R, gbM","very faint, very small, round, gradually brighter middle"
IC1107,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC1108,"Stellar, gaseous spectrum",
IC1109,"eeF, pS, R, * nf, v diffic","most extremely faint, pretty small, round, star to northeast, very difficult"
IC111,* 13 with neb,a 13th magnitude star with nebulosity
IC1110,"eeF, S, mE","most extremely faint, small, much extended"
IC1111,"pB, S, R, 2 st nr","pretty bright, small, round, 2 stars near"
IC1112,"eeF, pS, R","most extremely faint, pretty small, round"
IC1113,"eF, * 12 nr","extremely faint, 12th magnitude star near"
IC1114,"vF, ? only a * 13",
IC1115,"eeF, S, R, pB * sf","most extremely faint, small, round, pretty bright star to southeast"
IC1116,"eeF, S, R","most extremely faint, small, round"
IC1117,"F, vS, R, lbM","faint, very small, round, a little brighter middle"
IC1118,"pB, vS, R, S * nr","pretty bright, very small, round, small (faint) star near"
IC1119,"F, pS, R, * 11.5 nf",
IC112,"F, S, dif, E pf","faint, small, diffuse, extended east-west"
IC1120,"eF, eS, vF, * att","extremely faint, extremely small, very faint, star attached"
IC1121,"eeF, eS, stellar, vF * close p","most extremely faint, extremely small, stellar, very faint star close to west"
IC1122,"vF, pS, mbM, * 11 p 1'","very faint, pretty small, much brighter middle, 11th magnitude star one arcmin to west"
IC1123,"vF, eS, stellar","very faint, extremely small, stellar"
IC1124,"eeF, vS, mE, 2 st n","most extremely faint, very small, much extended, 2 stars to north"
IC1125,"F, pL, R, dif","faint, pretty large, round, diffuse"
IC1126,"* 13, nebulous ?","13th magnitude star, nebulous?"
IC1127,pF,pretty faint
IC1128,"pF, pS, R","pretty faint, pretty small, round"
IC1129,"vF, pS, iR, D * nf","very faint, pretty small, irregularly round, double star to northeast"
IC113,"vF, 3' nf of * 5 m","very faint, 3 arcmin northeast of 5th magnitude star"
IC1130,"vF (? another 2' sp?), * 8.7 f",
IC1131,"pF, vS, R, stellar, II. 76 np",
IC1132,No descr,no description
IC1133,"pB, pL, iF","pretty bright, pretty large, irregular figure"
IC1134,"vF, vS, dif","very faint, very small, diffuse"
IC1135,"vF, vS, R","very faint, very small, round"
IC1136,"F, eS, stellar","faint, extremely small, stellar"
IC1137,"vF, S, R, * 9 close np",
IC1138,"vF, S, iF, lbM, r","very faint, small, irregular figure, a little brighter middle, mottled but not resolved"
IC1139,"eeF, S, lE, v diffic","most extremely faint, small, a little extended, very difficult"
IC114,"eF, vS, R","extremely faint, very small, round"
IC1140,"vF (? S Cl), * 9.5 close",
IC1141,"vF, vS, R","very faint, very small, round"
IC1142,"vF, dif","very faint, diffuse"
IC1143,"pF, vS, R, * nr","pretty faint, very small, round, star near"
IC1144,"eeF, vS, R, * sf","most extremely faint, very small, round, star to southeast"
IC1145,"eeF, pS, R, III. 313 nr",
IC1146,"vF, pS, R, 2 st nr, sp of 2","very faint, pretty small, round, 2 stars near, southwestern of 2"
IC1147,"eeF, S, R, nf of 2","most extremely faint, small, round, northeastern of 2"
IC1148,Neb *,a nebulous star
IC1149,"eeF, pS, R, am 4 st, v diffic","most extremely faint, pretty small, round, among 4 stars, very difficult"
IC115,"vF, * 6m 3?' npp","very faint, 6th magnitude star 3 1/2 arcmin to west northwest"
IC1150,2 S st in F neby,
IC1151,"vF, pL, dif","very faint, pretty large, diffuse"
IC1152,"vF, S, R, sp of 2","very faint, small, round, southwestern of 2"
IC1153,"pF, pS, R, bM, * nf, nf of 2","pretty faint, pretty small, round, brighter middle, star to northeast, northeastern of 2"
IC1154,"vF, pS, R","very faint, pretty small, round"
IC1155,"vF, S, diffic","very faint, small, difficult"
IC1156,"eeF, pS, lE, 2 st nr","most extremely faint, pretty small, a little extended, 2 stars near"
IC1157,"vF, vS","very faint, very small"
IC1158,"eeF, pL, iR","most extremely faint, pretty large, irregularly round"
IC1159,"vF, eS, R","very faint, extremely small, round"
IC116,"F, S, R, lbM","faint, small, round, a little brighter middle"
IC1160,"vF, vS, R","very faint, very small, round"
IC1161,"F, vS, R, vSN","faint, very small, round, very small nucleus"
IC1162,"vF, vS, R, diffic (another susp)",
IC1163,"F, R, vSN","faint, round, very small nucleus"
IC1164,* 13 with neb ?,
IC1165,"vF, S, diffic","very faint, small, difficult"
IC1166,"vF, vS, vF * nf",
IC1167,"F, vS, R","faint, very small, round"
IC1168,"pF, vS, iF, D?, 3 F st n",
IC1169,"eF, vS, stellar","extremely faint, very small, stellar"
IC117,"pF, S, dif, III. 441 sf","pretty faint, small, diffuse, III 441 to southeast"
IC1170,"vF, vS, vSFN, 6041 f",
IC1171,Neb * ?,
IC1172,"vF, S, stellar N","very faint, small, stellar nucleus"
IC1173,"pF, S, iF, gbM, r","pretty faint, small, irregular figure, gradually brighter middle, mottled but not resolved"
IC1174,"pF, S, bMN = 12m",
IC1175,"Neb object, 6055 f 2'",
IC1176,"eeF, pS, iR, 2 st nr s",
IC1177,"vF, * 9.5 4' s",
IC1178,"eeF, pS, bet 2 st","most extremely faint, pretty small, between 2 stars"
IC1179,"eeF, pS, R [? 6054]",
IC118,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1180,"F * with neb ?, 6055 f",
IC1181,"eeF, S, R, ‘ 12th of 12 ’",
IC1182,"vF, S, dif, lbM","very faint, small, diffuse, a little brighter middle"
IC1183,"vF, vS, stellar, * 11 sp 1'","very faint, very small, stellar, 11th magnitude star 1 arcmin to southwest"
IC1184,* 13 with neb ?,
IC1185,* 13 with S neb,
IC1186,"F, S, dif","faint, small, diffuse"
IC1187,* 13 with neb,a 13th magnitude star with nebulosity
IC1188,"vF, S, dif","very faint, small, diffuse"
IC1189,"eeF, pS, iR, bet 2 st","most extremely faint, pretty small, irregularly round, between 2 stars"
IC119,"F, E pf, dif, III. 442 n","faint, extended east-west, diffuse, III 442 to north"
IC1190,"eeF, S, R, 6061 nr",
IC1191,"eeF, S, lE","most extremely faint, small, a little extended"
IC1192,"vF, S, iF, dif","very faint, small, irregular figure, diffuse"
IC1193,"F, S, r","faint, small, mottled but not resolved"
IC1194,"eF, vS, dif","extremely faint, very small, diffuse"
IC1195,"vF, S, dif","very faint, small, diffuse"
IC1196,"eeF, nr p * of 3 in line",
IC1197,"L, mE, * att nf",
IC1198,"F, vS, R, N = 13m","faint, very small, round, nucleus equal to 13th magnitude"
IC1199,"eeF, S, E, * 9.5 f 9s",
IC12,"pF, S, E ns","pretty faint, small, extended north-south"
IC120,"F, S, dif","faint, small, diffuse"
IC1200,"pF, pS, lE, * 12 nr [? = B 207]",
IC1201,"eeF, pS, iR, v diffic","most extremely faint, pretty small, irregularly round, very difficult"
IC1202,"eF, pS, R","extremely faint, pretty small, round"
IC1203,No descr,no description
IC1204,"vF, S, stell N, * 11 f 3'",
IC1205,"F, S, lE, * p","faint, small, a little extended, star to west"
IC1206,"eF, S, R","extremely faint, small, round"
IC1207,No descr,no description
IC1208,"vF, * 7 105"" n",
IC1209,"pF, vS, R, bM, r","pretty faint, very small, round, brighter middle, mottled but not resolved"
IC121,"F, S, R, gbM","faint, small, round, gradually brighter middle"
IC1210,"vF, vS, lE, r","very faint, very small, a little extended, mottled but not resolved"
IC1211,"pB, vS, R, bM","pretty bright, very small, round, brighter middle"
IC1212,"eeF, pS, R, 3 st n in line",
IC1213,"F, vS, R","faint, very small, round"
IC1214,"eF, S, R","extremely faint, small, round"
IC1215,"vF, S, R, 1st of 3","very faint, small, round, 1st of 3"
IC1216,"eeF, pS, R, 2nd of 3","most extremely faint, pretty small, round, 2nd of 3"
IC1217,"eeF, S, R, v diffic","most extremely faint, small, round, very difficult"
IC1218,"vF, vS, lE","very faint, very small, a little extended"
IC1219,"F, S, E pF, lbM",
IC122,"pB, S, bM","pretty bright, small, brighter middle"
IC1220,"eeF, pS, E","most extremely faint, pretty small, extended"
IC1221,"eeF, pS, E, p of 2","most extremely faint, pretty small, extended, western of 2"
IC1222,"eeF, pL, R, f of 2","most extremely faint, pretty large, round, eastern of 2"
IC1223,"eeF, pS, R, bet 2 dist F st",
IC1224,"vF, vS, R, stellar","very faint, very small, round, stellar"
IC1225,"eeF, vS, 2 or 3 F st inv, * p",
IC1226,"eF, S, R, forms arc with 4 st",
IC1227,"vF, S, R, stellar N","very faint, small, round, stellar nucleus"
IC1228,"vF, pS * n, 4 st in curve s",
IC1229,"eeF, pS, v diffic, np of 2","most extremely faint, pretty small, very difficult, northwestern of 2"
IC123,"F, S, R, sbM","faint, small, round, suddenly brighter middle"
IC1230,"eeF, L, R, v diffic, sf of 2","most extremely faint, small, round, very difficult, southeastern of 2"
IC1231,"eeF, L, R, pB * sp",
IC1232,"eeF, S, iR, B * sf","most extremely faint, small, irregularly round, bright star to the southeast"
IC1233,"eF, vS, vE, bet 2 st [= 6247 ?]","extremely faint, very small, very extended, between 2 stars [= 6247?]"
IC1234,"vF, sev st in neb ?",
IC1235,"vF, dif, pS, * 8 nf 3'",
IC1236,"eF, pS, vlE, vF * close p","extremely faint, pretty small, very little extended, very faint star close to west"
IC1237,"eF, pL, lE, * nr p",
IC1238,eF (not obs by St),
IC1239,"eF, eF stell N [6276 ?]",
IC124,"vF, vS, dif","very faint, very small, diffuse"
IC1240,"Susp neb, 3' nf * 8.7","suspected nebula, 3' northeast 8th magnitude star"
IC1241,"eF, pS, R","extremely faint, pretty small, round"
IC1242,"vS, R, vlbM","very small, round, very little brighter middle"
IC1243,"pF, pS, mE, r","pretty faint, pretty small, much extended, mottled but not resolved"
IC1244,"vF, pS, R, bet 2 st","very faint, pretty small, round, between 2 stars"
IC1245,"eF, S, R, bM, F * close s","extremely faint, small, round, brighter middle, faint star close to south"
IC1246,Neb * 13 ? * 10 n 1',
IC1247,"Stellar, * 9.8 sp 0'.7",
IC1248,"eeF, pS, R, bet 2 st p & f",
IC1249,"eeF, pS, R, v diffic, 4 st s",
IC125,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1250,"pF, S, cE","pretty faint, small, considerably extended"
IC1251,"eeF, pS, R, sp of 2, II. 767 nr",
IC1252,"vF, pS, * 12.5 v close","very faint, pretty small, 12.5 magnitude star very close"
IC1253,F,faint
IC1254,"eeF, pS, R, nf of 2, v diffic","most extremely faint, pretty small, round, northeastern of 2, very difficult"
IC1255,"vF, pS, R, forms trap with 3 st",
IC1256,"F, S, gbM","faint, small, gradually brighter middle"
IC1257,"F, pL, lbM","faint, pretty large, a little brighter middle"
IC1258,"pB, pS, R, 1st of 3","pretty bright, pretty small, round, 1st of 3"
IC1259,"pB, pS, R, 2nd of 3","pretty bright, pretty small, round, 2nd of 3"
IC126,"eF, stellar, 557 f","extremely faint, stellar, (NGC) 577 to east"
IC1260,"eeF, S, R, 3rd of 3","most extremely faint, small, round, 3rd of 3"
IC1261,"eeF, pS, R","most extremely faint, pretty small, round"
IC1262,"eF, pS, R, 1st of 3","extremely faint, pretty small, round, 1st of 3"
IC1263,"eF, pS, R, 2nd of 3","extremely faint, pretty small, round, 2nd of 3"
IC1264,"eF, pS, R, 3rd of 3","extremely faint, pretty small, round, 3rd of 3"
IC1265,"eeF, S, lE","most extremely faint, small, a little extended"
IC1266,Stellar (gaseous spectrum),
IC1267,"eeF, pS, R, v diffic","most extremely faint, pretty small, round, very difficult"
IC1268,"eeF, pS, R, v diffic","most extremely faint, pretty small, round, very difficult"
IC1269,"eeF, pL, R, 2 F st nr","most extremely faint, pretty large, round, 2 faint stars near"
IC127,"F, pS, dif, * 11.5 close","faint, pretty small, diffuse, 11.5 magnitude star close"
IC1270,"eeF, S, R, v diffic, 6488 f",
IC1271,"eF, vL, B * inv","extremely faint, very large, bright star involved"
IC1272,S Cl,a small cluster
IC1273,"vF, S Cl with neb ? * 10 f 3'",
IC1274,3 st 8.5 to 9m in pL neb,
IC1275,2 st 8 & 8.5 in pL neb,
IC1276,"eeF, vL, v diffic, D * close p",
IC1277,S Cl,a small cluster
IC1278,"vF, vS, sev st susp",
IC1279,"eeF, pS, R, v diffic","most extremely faint, pretty small, round, very difficult"
IC128,"F, R, S, N","faint, round, small, nucleus"
IC1280,"* 13, nebulous ?","13th magnitude star, nebulous?"
IC1281,"eeF, S, cE, sev st nr f [? = 1279]",
IC1282,"vF, 2 or 3 st susp",
IC1283,* 9.3 nebulous,
IC1284,"* 7.6 in neb, 15' diam",
IC1285,S Cl,a small cluster
IC1286,"eF, pS, R, 2 st nr","extremely faint, pretty small, round, 2 stars near"
IC1287,"* 5.5 in L, E neb",
IC1288,"vF, S, lE, 3 st nr","very faint, small, a little extended, 3 stars near"
IC1289,"eeF, pS, lE, 3 st nr","most extremely faint, pretty small, a little extended, 3 stars near"
IC129,"F, pL, R, dif","faint, pretty large, round, diffuse"
IC1290,No descr,no description
IC1291,"eF, vS, R, F * close n","extremely faint, very small, round, faint star close to north"
IC1292,"Stellar, gaseous spectrum, * 9.6 sf",
IC1293,"eeF, S, lE, * in centre, ? D",
IC1294,"eeF, S, iR, v diffic, F * close nf","most extremely faint, small, irregularly round, very difficult, faint star close to northeast"
IC1295,"pB, pL, gbM","pretty bright, pretty large, gradually brighter middle"
IC1296,"eF, pS, iR, 4' np M 57",
IC1297,Stellar (gaseous spectrum),
IC1298,"vS Cl, 6778 p 3'",
IC1299,S Cl of vF st,
IC13,"vF, pL, E ns, dif","very faint, pretty large, extended north-south, diffuse"
IC130,"vF, S, dif","very faint, small, diffuse"
IC1300,"eF, vS, R","extremely faint, very small, round"
IC1301,"eeF, vS, R, 3 st f","most extremely faint, very small, round, 3 stars to east"
IC1302,"vF, undefined",
IC1303,"vF, S, with S Cl",
IC1304,F neby,
IC1305,"vF, * 9.5 at sf end",
IC1306,Neb group of F st,
IC1307,"F, vL, E ns, st inv","faint, very large, extended north-south, star involved"
IC1308,"eF, eS, lE, gbM, 6822 p 12s",
IC1309,"F, vS, R, r","faint, very small, round, mottled but not resolved"
IC131,"vF, close to * 13.5","very faint, close to magnitude 13.5 star"
IC1310,F neby,
IC1311,"eF, within circle of st",
IC1312,"eF, pL, dif","extremely faint, pretty large, diffuse"
IC1313,"F, vS, R, * 13 close","faint, very small, round, 13th magnitude star close"
IC1314,"F, pL, partly resolved",
IC1315,* 13 with eF neb?,
IC1316,"eF neb, suspected","extremely faint nebula, suspected"
IC1317,"Planetary = * 12, diam 10""-15""",
IC1318,"γ Cygni, surrounded by L patches of F neby",
IC1319,"pF, vS, R, r","pretty faint, very small, round, mottled but not resolved"
IC132,"vF, D * (13, 13) close","very faint, double star (both 13th magnitude stars) close"
IC1320,"pF, S, R, gbM, r","pretty faint, small, round, gradually brighter middle, mottled but not resolved"
IC1321,"F, S, iF, r","faint, small, irregular figure, mottled but not resolved"
IC1322,"F, vS, R","faint, very small, round"
IC1323,vS neb *,
IC1324,"eeF, S, R, * 8m s",
IC1325,"vF, S, sev F st inv, sp of 2","very faint, small, several faint stars involved, southwestern of 2"
IC1326,"eeF, S, mE, pF * s, nf of 2",
IC1327,"vF, * 8 1' f",
IC1328,"F, S, vF * close","faint, small, very faint star close"
IC1329,"eeF, pL, R, bet 4 st, v diffic",
IC133,"vF, S, vlb south, dif","very faint, small, a very little brighter on south, diffuse"
IC1330,"F, vS, dif","faint, very small, diffuse"
IC1331,"F, S, bM, r","faint, small, brighter middle, mottled but not resolved"
IC1332,"F, vS, R","faint, very small, round"
IC1333,"vF, vS, sbM","faint, small, gradually brighter middle, mottled but not resolved"
IC1334,"F, S","faint, small"
IC1335,"F, S, stellar","faint, small, stellar"
IC1336,"vF, S, dif, F * f","very faint, small, diffuse, faint star to east"
IC1337,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC1338,"vF, vS, dif","very faint, very small, diffuse"
IC1339,"F, S, gbM, r","faint, small, gradually brighter middle, mottled but not resolved"
IC134,"vF, susp, * 9 n 3'","very faint, suspected, 9th magnitude star 3 arcmin to north"
IC1340,Possibly conn with h 2093,
IC1341,"F, vS, R, lbM","faint, very small, round, a little brighter middle"
IC1342,"vF, vS, E pf, lbM","very faint, very small, extended east-west, a little brighter middle"
IC1343,"pB, vS, R, mbM","pretty bright, very small, round, much brighter middle"
IC1344,"pB, pL, iF, sbM","pretty bright, pretty large, irregular figure, suddenly brighter middle"
IC1345,"vF, S, R, vlbM","very faint, small, round, very little brighter middle"
IC1346,"pB, vS, R, gbM","pretty bright, very small, round, gradually brighter middle"
IC1347,"pB, R","pretty bright, round"
IC1348,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1349,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC135,vF,very faint
IC1350,"F, S, iF, lbM, r","faint, small, irregular figure, a little brighter middle, mottled but not resolved"
IC1351,"F, vS, R, lbM","faint, very small, round, a little brighter middle"
IC1352,pB,pretty bright
IC1353,"vF, vS, R","very faint, very small, round"
IC1354,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1355,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1356,"F, R, sbM","faint, round, suddenly brighter middle"
IC1357,"vF, vS, iF, vlbM","very faint, very small, irregular figure, very little brighter middle"
IC1358,"vF, vS","very faint, very small"
IC1359,"eeF, eS, stellar, eF * att",
IC136,"eF, diffic, * 10 np 3'","extremely faint, difficult, 10th magnitude star 3 arcmin to northwest"
IC1360,"F, dif","faint, diffuse"
IC1361,"vF, vS, dif","very faint, very small, diffuse"
IC1362,"vF, vS, R, * 14 nf",
IC1363,"F, * 9.4 at s end",
IC1364,"pB, pS, R, sbM","pretty bright, pretty small, round, suddenly brighter middle"
IC1365,"eF, pS, R (Spit. another p ?)",
IC1366,"F, S, iR, bet 2 st 11 & 13",
IC1367,"vF, vS, R, F * nr","very faint, very small, round, faint star near"
IC1368,"eeF, S, R, v diffic","most extremely faint, small, round, very difficult"
IC1369,S neb Cl of st 13m,
IC137,"vF, pL, dif","very faint, pretty large, diffuse"
IC1370,"vF, 2 F st inv","very faint, 2 faint stars involved"
IC1371,"F, S, dif, gbM, r","faint, small, diffuse, gradually brighter middle, mottled but not resolved"
IC1372,"vF, vS, R, dif, * 14 sf","very faint, very small, round, diffuse, 14th magnitude star to southeast"
IC1373,"F, vS, R, sbM, 2 others south",
IC1374,"vF, vS, lbM","very faint, very small, a little brighter middle"
IC1375,"F, S, 2 F st inv","faint, small, 2 faint stars involved"
IC1376,No descr,no description
IC1377,"pB, S, R","pretty bright, small, round"
IC1378,"F, dif, F st inv","faint, diffuse, faint star involved"
IC1379,"vF, bM, stellar","very faint, brighter middle, stellar"
IC138,No description,no description
IC1380,"pB, S","pretty bright, small"
IC1381,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1382,"pF, pS, iF","pretty faint, pretty small, irregular figure"
IC1383,"F, vS, R, stellar","faint, very small, round, stellar"
IC1384,"vF, vS, R","very faint, very small, round"
IC1385,"pB, vS, R","pretty bright, very small, round"
IC1386,"F, biN, or neb D *",
IC1387,"pB, vS, iF","pretty bright, very small, irregular figure"
IC1388,"eF, vS, 2 st nf","extremely faint, very small, 2 stars to northeast"
IC1389,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC139,"vF, v dif, vlbM","very faint, very diffuse, a very little brighter middle"
IC1390,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1391,"vF, S, dif","very faint, small, diffuse"
IC1392,"pB, vmbM *",
IC1393,"eF, vS, R, dif","extremely faint, very small, round, diffuse"
IC1394,"eF, S, R","extremely faint, small, round"
IC1395,"vF, vS, iF, lbM","very faint, very small, irregular figure, a little brighter middle"
IC1396,Neb part of M. Way,
IC1397,"F, vS, stellar","faint, very small, stellar"
IC1398,"vF, vS, bM","very faint, very small, brighter middle"
IC1399,"vF, vS, stellar","very faint, very small, stellar"
IC14,susp neb,suspected nebula
IC140,"vF, dif","very faint, diffuse"
IC1400,"F, dif, partly resolved",
IC1401,"pB, pS, r","pretty bright, pretty small, mottled but not resolved"
IC1402,"F, partly res, st 14m",
IC1403,"eF, S, F, * att, v diffic","extremely faint, small, faint, star attached, very difficult"
IC1404,"F, vS, R, sbM * 13","faint, very small, round, suddenly brighter middle like a 13th-magnitude star"
IC1405,"pB, vS, R, bM","pretty bright, very small, round, brighter middle"
IC1406,"F, vS, R, stellar","faint, very small, round, stellar"
IC1407,"F, S, r","faint, small, mottled but not resolved"
IC1408,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1409,"eF, S, iF","extremely faint, small, irregular figure"
IC141,"pB, S, R, N 11.5 excentr","pretty bright, small, round, nucleus 11.5 magnitude excentr"
IC1410,"pF, vSN","pretty faint, very small nucleus"
