Name,DSPshort,DSPlong
NGC556,"eF, vS, R, 3rd of 3","extremely faint, very small, round, 3rd of 3"
NGC5560,"pF, cL, E, gbM","pretty faint, considerably large, extended, gradually brighter middle"
NGC5561,"eF, pS, R, F * close p","extremely faint, pretty small, round, faint star close to west"
NGC5562,"vF, S, vF * 3s f","very faint, small, very faint star 3 seconds of time to east"
NGC5563,"eF, S, lE","extremely faint, small, a little extended"
NGC5564,"eF, S, probably = m 279","extremely faint, small"
NGC5565,"eF, S, v diffic, probably = m 279","extremely faint, small, very difficult, probably = Marth 279"
NGC5566,"B, pL, R, psbM, r, * 12 f 1'.5","pretty faint, considerably large, extended, gradually brighter middle"
NGC5567,"pF, R","pretty faint, round"
NGC5568,"vF, S, v dif","very faint, small, very diffuse"
NGC5569,"eF, pL, R","extremely faint, pretty large, round"
NGC557,"eF, S, R, * 10 nf","extremely faint, small, round, 10th magnitude star to northeast"
NGC5570,"F, S, iR","faint, small, irregularly round"
NGC5571,S Cl of F st in neb,small cluster of faint stars in nebulosity
NGC5572,"eF, vS, bM","extremely faint, very small, brighter middle"
NGC5573,"vF, S, lE","very faint, small, a little extended"
NGC5574,"pF, pS, lE, p of 2","pretty faint, pretty small, a little extended, western of 2"
NGC5575,"F, vS, or neb *","faint, very small, or nebulous star"
NGC5576,"B, S, R, vsmbM, f of 2","bright, small, round, very suddenly much brighter middle, eastern of 2"
NGC5577,"pF, pL, vmE 53°","pretty faint, pretty large, very much extended 53°"
NGC5578,"vF, vS, lE, mbMN","faint, very small, or nebulous star"
NGC5579,"vF, cL, p of 2","very faint, considerably large, western of 2"
NGC558,"eF, S, E, * 10 p","extremely faint, small, extended, 10th-magnitude star to west"
NGC5580,"Pb, s, f of 2","pretty bright, small, eastern of 2"
NGC5581,"vF * in vF, vS, R neby","very faint star in very faint, very small, round nebulosity"
NGC5582,"pB, pS, R, bMFN, * sp","pretty bright, pretty small, round, brighter middle and faint nucleus, star to southwest"
NGC5583,"vF, pS, R, pB * nr","very faint, pretty small, round, pretty bright star near"
NGC5584,"F, L, mE, dif, glbM","faint, large, much extended, diffuse, gradually a little brighter middle"
NGC5585,"pF, L, iR, vgmbM, r","pretty faint, large, irregularly round, very gradually much brighter middle, mottled but not resolved"
