012910-3149.9 413-IG? 10 not vis on PSS prints
013004-5407.1 152- G   7 2 S comps 0.7 nf, 1.2 sp
013014-5449.5 152- G   8 redshift based on H?
013117-5618.8 152- G  11 2 S comps f, in group of 3
013146-3920.9 297-IG   1 in group
013556-6107.1 114-IG   1 vF ext to S comp 1.1 sp
013645-4250.3 244- G  43 redshift based on 5175
013653-5003.0 196-IG  14 star between
013655-4337.3 244- G? 46 p w G 47
013721-5114.8 196-IG  15 S comp 0.8 sf
014016-4537.7 245-IG   2 streamer tow star? 0.8 n
014113-3343.6 353- G  37 vF bridge to S comp 0.5 f
014258-4350.9 245- G   5 associated? w G 07
014734-2742.8 414- G   5 NGC RA 0.9 min off
014903-4441.5 245- G   7 associated? w G 05
015027-3621.2 354-IG   8 interacting w IG 07
015116-4948.3 197- G  10 abs lane? perpendicular to major axis, like Cen A
015326-3010.0 414- G  11 IC RA 4.4 min off
015352-5407.6 152-IG  35 2 S comps inv
015412-5013.7 197-IG  13 interacting? w IG 14
015419-5014.0 197-IG  14 interacting? w IG 13
015442-4413.0 245- G  10 sev S comps
015511-3213.8 414- G  15 IC notes ?PD 123 deg which brings it close to IC 1759
015628-6145.1 114- G  17 S comp s on tip of arm
015646-5629.5 153-IG   4 B in grp, sev S comp
015721-5640.8 153-IG   5 e dif bridge to S comp 1.2 sp
015807-3433.5 354- G  25 p w G 26
015835-5626.5 153-IG   9 in IG 04 group
015845-5616.1 153-IG  10 in IG 04 group
020111-6941.3  52-IG  17 cz=7800:40(2C) west; cz=8300:10(2C) east        km/s
020154-6128.3 114- G  22 S comp 1.5 nf
020218-5146.4 197-IG  20 con? w compact 1.4 sf, eF bridge to dif comp 1.9 np
020307-5527.3 153-IG  16 S comp 1.0 sf, in G 17 group
020342-6001.0 114- G  25 B comp 3.1 sf
020450-5527.0 153-IG  21 in G 17 group
020453-7121.2  52- G  20 S E 3.5 f
020454-6212.0 114- G  27 associated? w G 29
020713-2318.7 478- C   8 dimensions refer to trail of nucleus
020756-6935.5  52-IG  22 connected w 2 S comps n, nf
020922-4031.5 298- G  17 pos on B member
021231-5455.1 153- G  29 S comp 2.2n
021344-2332.2 478- G  18 NGC Dec 7' off
021403-2610.9 478- G  19 streamers from starlike centre
021453-4803.1 198- G   1 in field 197
021553-4651.1 246-IG   6 interacting w S comp 0.4 sf
021645-5214.3 198-IG   3 connecting arm to S comp 0.6 np
021919-2729.1 415- G  21 in field 478
022022-5922.9 115- G   6 contact w S comp sp
022033-5850.2 115-IG   7 vF bridge? to S comp 1.2 n
022043-2056.2 545- G  10 in G 11 group
022314-4039.2 299-IG   1 long spiral arm
022332-4218.9 299-IG   2 connected? w starlike obj 0.7 s
022338-1955.0 545- G? 15 vis on PSS
022342-2456.3 479- G   2 in cl
022406-2431.0 479- G   4 MCG-4-6-41
022643-5735.2 115- G  12 contact w S comp n
022741-5502.6 153-IG  35 in IG 36 group
022819-4939.0 198-IG  17 in group w G 16
022906-1752.4 545- G  28 B in cl
022952-1726.2 545- G  31 in field 614
023042-5243.5 154-IG   2 interaction w distorted comp 1.5 nf
023344-1728.9 545- G  38 S comp 1.2 np;  in field 615
023549-5039.2 198-IG  23 in cl
023652-2739.6 416- G   6 IC 1826 RA 0.7 min off
024032-5206.9 198- G  27 S comp 0.6 n
024056-6006.6 115-IG  25 in G 28 group
024127-2950.5 416- G  11 F dif env, in cl
024146-2810.7 416-**  14 IC RA 1.0 min off; cf. G 15
024326-2810.2 416- G  15 IC RA 0.6 min off; cf. ** 14
024457-2225.0 546- G  19 cf. G 20
024459-5345.1 154-IG  14 S comp 3.3 sf
024509-2228.5 546- G  20 cf. G 19
024527-4220.8 299- G  16 associated? w compact 0.5 sf
024530-7047.3  53- G  14 compact 0.8 sf
024539-7920.3  14- G   5 eF streamer? towards F comp 1.7 s
024648-2845.0 416- G  26 connected? w 2 S comps 1.3 np, 1.2 n
024746-7139.3  53-IG  17 in cl
024924-2554.3 480- G   7 NGC RA 0.8 min off
024925-5510.8 154- G  19 cz=5600:40(2C); cz=5531:200(9C); Dec of RC2 off 5'
025100-5809.1 116- G   1 near edge of plate
025656-3648.6 356-IG  24 jet ext tow vS object 0.7 s
030024-2303.8 480- G  23 cz=1334(5D)
030051-2224.7 547- G   2 VV 346 b = Arp 108
030053-2224.1 547- G   3 VV 346 a = Arp 108
030149-5041.4 199-IG  12 "cigar" through ring, L in group
030209-5218.0 199-IG  13 cz=10500:10(2C) = redshift of 2nd companion (see also
030209-5218.0 199-IG  13 ref 9C)
030219-6121.6 116-IG   6 in group w IG 07
030221-5218.7 199- G  14 p w IG 14
030222-6120.0 116-IG   7 in group w IG 06
030227-4716.1 247- G? 16 in field 248
030435-2554.7 480- G  31 NGC RA 1.0 min off
030614-2314.8 480-IG  36 ARP 334; S comp 1.2 np, in cl
030747-2047.3 547- G  16 Arp 41 = N 1232 A
031148-5732.6 116- G  12 S comp superimp?
031300-4116.  300- ?  21 RA of N 1291 off 2.5 min
031609-5432.3 155- G  14 cz=8452:200(9C)
031620-5433.8 155-IG  16 star superimp? In G 14 group
031814-5113.7 200-IG   4 cz=9360:100(6B)
031819-1853.7 547- G  32 NGC position 0.5 min, 10' off
031834-4526.0 248-IG   7 in cl
031839-5222.0 200- G   7 2 conds, or star superimp?
031916-5428.5 155- G  20 cz=8337:100(9C)
031931-6652.9  83- G   1 RC2 RA off 10 m
031936-6908.1  54-IG   7 ext? tow S comp 0.6 sp
032012-5150.1 200-IG   9 cz=17440:100(6B)
032026-5309.8 155-IG  21 in cl
032200-3741.1 301-IG  11 dif env, in cl
032248-5805.3 116-IG  17 comp 0.3 sp
032313-3632.4 357-IG  28 in G 22 group
032318-5046.8 200- G  14 IC Dec off 2'
032324-3633.5 357- G  29 in G 22 group
032329-4925.9 200- G  16 cz=11426:100(9C)
032402-3304.2 358- G   1 IC RA 0.6 min off
032404-2130.6 548- G  18 cz=1471(5D)
032451-3425.7 358-IG   3 Ka
032513-4852.6 200- G  25 starlike object 0.8 p
032535-3655.6 358-IG   7 one-armed
032617-3114.4 418- G   5 N 1340 Dec 10' off, N 1344 RA 0.4 m off
032752-2856.7 418- G   7 in cl
032758-5247.4 155- G  39 cz=11354:100(9C)
032903-5326.4 155- G  41 cz=13730:100(9C)
032911-5028.7 200-IG  31 contact w S comp s, sf
032918-4808.9 200- G  33 cz=6679:200(9C)
033006-5204.4 200- G  36 cz=994:100(9C)
033120-1826.1 548- ?  37 not vis on PSS
033212-4517.5 249- *?  3 vF bridges? to 3 S objects 1.2 n
033237-5129.3 200- G  42 interacting? w S pec 1.0 nf
033309-6617.7  83- G   7 sev e dif objs near
033350-5515.5 155- G  54 cz=10200:100(9C)
033424-4751.9 200-IG  46 interacting w S comp 0.8 sp
033436-3527.5 358- G  29 in cl
033511-8350.9   4- G   1 in field 003
033548-5322.5 156-IG   3 ID?
033553-3618.6 358- G  40 NGC Dec off 1 deg
033604-5124.8 200- G  53 ID? cf. 200- G 54
033714-3341.6 358-IG  47 star superimposed
033814-3757.3 301-IG  22 incl B comp 0.7 p ; in G 23 group
033815-3546.9 358- G  49 in cl, nominal value of RA off 0.5 min
033828-3150.8 419- G   1 in field 418
033951-2124.2 548- G  81 B star 0.7 np
033954-5410.2 156-IG   7 2 streamers at right angles to each other
034008-2254.8 482- G  36 star superimp sf; in cl
034027-4722.8 249- G  14 S E 16' nf
034029-5107.0 200- G  55 cz=11177:100(9C)
034041-4118.2 302- G   1 in field 301
034142-5347.7 156- G   8 cz=17291(9M)
034229-2416.1 482- G  40 in cl
034248-1825.4 549- G  10 N 1430 ? star at 03 41 10 -18 23.0, N 1442 Dec 1 deg
034248-1825.4 549- G  10 off, N 1458 ? star at 03 44 48 -18 21.9
034307-1847.4 549- G  12 N 1455 RA 0.7 m off, wrong description
034337-1850.1 549- G  14 cf. G 11
034556-5444.4 156- G  13 eF bridge to S comp 1.6 sp
034615-3651.2 358- G  67 spiral arm terminating in starlike object nf
034857-5027.1 201-IG   4 L in group
034910-3825.2 302-IG  13 in cl
034953-7408.3  31-IG  22 background disturbed by halo around calibration marks
035016-4405.3 249-IG  23 eF bridges? to 2S comp 1.5 sf, 2.0 sf
035109-4332.7 249-IG  25 B, or star superimp?
035116-4737.5 201- G   7 cz=810:200(9C)
035309-4507.0 249-IG  28 streamers or v narrow spiral arms
035609-6611.0  83- G  13 S comp 0.4 sf
035739-5412.0 156- G  22 connected w S comp 0.4 nf
035743-5911.2 117- G  17 star superimposed
035904-5242.8 156- G  27 in cl
040136-3438.1 359- G  15 asym F env
040154-4332.2 250- G   3 2 eF arms; p w G 04
040158-4142.1 302- G  29 in cl
040216-4329.2 250- G   4 p w G 03; interacting w S comps 0.9 nf; poor vis due to
040216-4329.2 250- G   4 pos v near edge of plate 1735
040248-1924.3 550- G   4 fits IC pos but too faint
040423-6701.1  84-IG   2 bridge? to eS comp 0.6 sf
040451-5248.2 156- G  38 cz=720:200(9C)
040552-1719.5 550- G   9 in field 619
040734-6123.9 118-IG   4 interacting? w S comp 0.8 sf
040739-2438.0 483- ?  10 not vis on PSS but is seen on two QBS plates
040748-5607.5 157- G   1 ID?
040802-6728.2  84-IG   5 S comp attached n
040842-4727.7 250- G   9 interacting w S comp 0.9 nf; v near plate edge - descr
040842-4727.7 250- G   9 refers to adjacent plate
041004-3258.6 359-IG  26 interacting w G 27
041009-3300.0 359- G  27 interacting w IG 26, sev S comps
041027-2911.2 420-IG  10 in cl
041049-5023.4 201-IG  25 interact? w compact 0.6 sp
041100-5510.6 157-IG   8 star-like obj 1.4 sp
041104-3240.7 359- G  30 in G 27 group; IC RA 0.7 min off
041144-5751.8 118- G  10 cz=1169:200(9C)
041201-8224.8  15- G   8 or star?
041212-3813.4 303- G   5 sev compacts near
041309-2836.4 420-IG  14 sev B knots
041331-5905.2 118-IG  14 star? superimp, 2 S comps 3' sf
041358-5104.2 201-IG  26 eruptive?
041422-5243.6 157-IG  14 rad vel in main cat. is (N); cz=13261:100(9C) is (S)
041458-1758.7 550- G  18 fits NGC pos but no cluster
041535-6019.7 118- G  16 cz=886:(9C)
041649-5028.7 202-IG   6 in cl
041650-5603.3 157- G  18 S comp 1.8 f
041721-6018.2 118-IG  18 v dif con? w S comp 1.7 sf
041737-7230.7  55- G  19 in field 032
041755-3917.4 303-IG  11 in cl
041830-3150.6 420- G  17 IC Dec 16' off
041843-4509.0 250- G  17 NGC RA off 1 min
041853-5503.4 157- G  20 many ** imp
042027-2451.1 484-IG? 12 in cluster
042033-4344.7 250- G  19 NGC 1570 Dec off 10 min
042044-3840.5 303-IG  13 L in group
042122-2719.9 484- G  13 in cluster
042126-5627.1 157-IG  24 rad vel in main cat for (A); cz=12813:100(9C) for (B)
042230-5142.8 202- G  14 cz=6141:100(9C)
042502-5315.7 157-IG  28 S comp 0.5 p
042522-5317.9 157- G  29 S comp 1.8 p
042551-3343.9 360-IG  11 vF spiral arm to S comp 1.3 sp
042648-5510.0 157- G  32 cz=1900:200(9C) (A); cz=1519:200(9C) (B);
042648-5510.0 157- G  32 knotty str in west part
042739-2731.0 421-IG   2 sev B conds off centre
042840-5355.3 157- G  36 S comp at tip of np arm
043017-5431.4 157- G  38 rad vel in main cat for (B); cz=1000:(9C) for (A)
043134-4342.8 251- G  11 in G 10 group
043322-4106.2 303-IG  25 in field 304
043409-5425.1 157- G  43 conn w S comp 0.6 sp
043521-5857.8 118- G  31 member? of LMC
043542-2547.6 485- G   2 vis on PSS
043726-6526.0  84-IG  29 2nd and 3rd of 3
043805-6412.6  84-IG  31 np of G 33
043829-3658.3 361-IG   4 in cl
043830-6846.2  55-SC  32 10 deg err in NGC for N 1649
043927-5850.5 118- G  34 cz=1137:200(9C)
043933-5251.1 157-IG  50 connected w S comp 1.0 nf
044004-4911.5 202-IG  51 in cl
044040-4531.0 251-IG  25 in cl
044121-2110.8 551- G  32 vF arms, in cl
044141-6300.4  84- G  35 stars superimp
044159-6233.5  84- G  36 stars superimp
044239-6714.7  84- G  37 B nucleus or star superimp
044247-5745.2 118-IG  38 e dif bridge? to starlike object 1.5 sp
044336-1745.9 551- G  33 in field 552
044429-6247.8  84- G  40 stars or S comp superimp
044455-5920.3 118- G  43 cz=1376:200(9C)
044512-5043.8 202- G  56 in field 203
044524-6328.9  84-IG  41 or interacting pair w oppositely directed tails
044525-1731.3 552- G   5 star? superimp n, in cl
044538-6242.5  84- G  42 complex arm pattern
044649-5156.8 203- G   3 PKS pos off 15 s, 0.2'
044700-6227.9 119- G   2 strong absorption band, S comp 0.5 n
044722-5930.2 119- G   3 member? of N 1672
044735-5930.2 119- G   4 member? of N 1672
044836-6819.7  56-SC   4 nom val of Dec off 10'
044914-2944.1 422- G   2 S comp 0.2 np
045028-4229.1 304- G  27 S comp f at tip of long arm
045037-5919.0 119-IG  15 e narrow bridge to compact 0.8 nf
045136-4533.9 251- G  39 in cl
045139-4533.6 251-IG  40 in cl
045215-6028.4 119-IG  20 eF bridge? to compact 1.0 n
045306-5326.5 158- G  13 multiple nuclei, or superimp stars?
045307-6808.0  56-EN  16 nominal val of RA off 1.0 m
045314-2039.0 552- G  21 NGC RA 1.6 min off
045429-6917.3  56-SC  22 pos on B star
045443-5618.8 158- G  15 or stars superimp?
