RAh,RAm,RAs,DE-,DEd,DEm,ESO,Text
13,36,42,-,31,51.2,445- G   3,in cl
13,37,32,-,48,5.4,220- G  30,in G 33 group
13,39,45,-,31,52.5,445- G  16,in cl
13,39,56,-,47,55.1,220- G  33,like Cen A
13,40,11,-,44,36.5,270- G  26,interacting w S comp 0.3 nf
13,42,0,-,24,13.0,509- G?105,"like a planetary nebula w a B central star, also vis on"
13,42,0,-,24,13.0,509- G?105,"PSS, in cl"
13,42,1,-,41,36.5,325- G  11,compact np
13,44,25,-,28,4.9,445- G  27,I 4330 RA off 2 min
13,45,24,-,30,19.7,445- G  37,redshift?
13,46,14,-,30,2.9,445- G  46,cz=4487:37(5E)
13,47,34,-,30,52.1,445- G  53,in cl
13,47,48,-,48,48.5,221-IG  10,in cl
13,49,17,-,38,9.3,325- G  33,S comp 0.3 p
13,51,37,-,26,19.8,510- G  11,VV 351a
13,51,45,-,26,18.6,510- G  12,VV 351b
13,53,7,-,30,5.8,445- G  78,"I 953 RA off 1 min, I 955 and I 957 position off 6',"
13,53,7,-,30,5.8,445- G  78,probably stars all three
13,54,25,-,39,41.5,325-*N  35,IC Dec off 5'
13,54,46,-,43,41.2,271- G   8,S comp 3.6 nf
13,55,12,-,27,33.1,510- G  30,in field 445
13,55,35,-,43,43.2,271- G   9,S comp 2.3 nf
13,56,59,-,37,37.3,325- G  43,ghost image of B star superimp
13,57,37,-,23,3.9,510-IG  36,S comp 0.8 sp
13,58,26,-,32,49.3,384- G  32,Tololo 1358-328
14,0,8,-,38,14.2,325- G  45,S comp 3.0 nf
14,4,31,-,25,5.3,510- G  68,in cl
14,5,7,-,33,4.7,384- G  58,"NGC position 2.6 m, 19' off"
14,6,57,-,26,59.6,511- G   1,in field 510
14,6,58,-,26,27.7,511- G   2,in field 510
14,8,3,-,23,12.0,511- G   5,prob inv irr comp n
14,8,5,-,39,52.2,326-IG   6,in cl
14,9,58,-,28,32.7,446- G  28,in group
14,11,32,-,41,50.4,326- G  13,nominal value of Dec off 14'
14,11,54,-,43,43.8,271-IG  25,"interacting w IG 24, S comp 2.8 sf"
14,12,40,-,47,53.0,221- G  34,S comp 2.5 np
14,16,1,-,18,54.6,579- G  15,NGC RA 1.3 min off
14,16,32,-,20,43.3,579- G  18,in cluster
14,20,3,-,30,52.4,446-IG  56,B in dist cluster
14,20,22,-,34,53.1,385- G  18,"IC position 1.6 m, 5' off"
14,22,17,-,42,18.4,326- G  21,* superimp?
14,25,11,-,41,43.1,326- G  23,in cl
