51 UBVR,Z    Sandage, A.: 1975, Astrophys. J. 202, 563
52 UBV       Smyth, R.J., Stobie, R.S.: 1980, Mon. Not. R. Astr. Soc. 190, 631
53           Schuster, H.-E., West, R.M.: 1976, Astron. Astrophys. 49, 129
54           Sersic, J.L.: 1968, Atlas de Galaxias Australes, Observatorio
54           Astronomico, Cordoba, Argentina
55 PV,Z      Sersic, J.L., Aguero, E.L.: 1972, Astrophys. Space Sci. 19, 387
56 BV,Z      Sersic, J.L.: 1976, Astrophys. Space Sci. 39, 477
57 UBV,Z     Sersic, J.L., Bajaja, E., Colomb, R.: 1977, Astron. Astrophys. 59,
57           19
58 Z         Sersic, J.L., Arias, J.C., Araujo, A.: 1979, The Observatory 99,
58           130
59 UBV       Shobbrook, R.R.: 1966, Mon. Not. R. Astr. Soc. 131, 351
60           Smith, M.G., Aguirre, C., Zemelman, M.: 1976, Astrophys. J. Suppl.
60           Ser. 32, 217
61 UBV       de Vaucouleurs, G., de Vaucouleurs, A.: 1972, Mem. R. Astr. Soc.
61           77, 1
62 Z         de Vaucouleurs, G., de Vaucouleurs, A.: 1973, Astron. J. 78, 377
63 Z         de Vaucouleurs, G., de Vaucouleurs, A., Nieto, J.-L.: 1979,
63           Astron. J. 84, 1811
64 Z         Webster, B.L., Goss, W.M., Hawarden, T.G., Longmore, A.J., Mebold,
64           U.: 1979, Mon. Not. R. Astr. Soc. 186, 31
65 UBV       Wegner, G.: 1979, Astrophys. Space Sci. 60, 15
66 Z         Welch, G., Chincarini, G., Rood, H.J.: 1975, Astron. J. 80, 77
67 Z         West, R.M.: 1977, Astron. Astrophys. Suppl. 27, 73
68 UBV,Z     West, R.M., Danks, A.C., Alcaino, G.: 1978, Astron. Astrophys. 62,
68           L13
69 UBV,Z     West, R.M., Danks, A.C., Alcaino, G.: 1978, Astron. Astrophys. 65,
69           151
70 UBV,Z     West, R.M., Grosbol, P., Sterken, C.: 1980, ESO preprint No. 101
71 Z         West, R.M., Frandsen, S.: 1980, ESO preprint No. 110
72 Z         West, R.M.: 1981, Astron.Astrophys. 95, 1
73 UBV,Z     West, R.M., Surdej, J., Schuster, H.-E., Muller, A.B., Laustsen,
73           S., Borchkhadze, T.M.: 1981, Astron. Astrophys. Suppl. 46, 57
74 UBV       Westerlund, B.E., Wall, J.V.: 1969, Astron. J. 74, 335
75           Westerlund, B.E., Stokes, N.R.: 1966, Astrophys. J. 145, 354
76           West, R.M., Barbier, R.: 1981, The Very Large Interacting Galaxy
76           Pair IC 5174/75, subm. to Astron. Astrophys.
77 UBV       de Vaucouleurs, G., de Vaucouleurs, A., Buta, R.: 1981, Astron. J.
77           86, 1429
78 Z         Searle, L., Bolton, J.G.: 1968, Astrophys. J. 154, L101
79 UBV       Bernard, A.: 1981, private communication, Observatoire de Lyon
80           Bergvall, N.A.S.: 1981, Uppsala Astr. Obs. Report No. 19
81 Z         Melnick, J., Quintana, H.: 1981, Astron. Astrophys. Suppl. 44, 87
82 Z         Melnick, J., Quintana, H.: 1981, Astron. J. 86, 1567
83 UBV       Alcaino, G.: 1974, Astron. Astrophys. Suppl. 13, 305
84 UBV       Alcaino, G.: 1976, Astron. Astrophys. Suppl. 26, 261
85 UBVRI     Andrews, P.J., Glass, I.S., Hawarden, T.G.: 1974, Mon. Not. R.
85           Astr. Soc. 167, 7p
86 UBV       van den Bergh, S.: 1977, Astrophys. J. 212, 317
87 UBV       Corwin, H.G., Jr.: 1980, Mon. Not. R. Astr. Soc. 191, 1
88 Z         Corwin, H.G., Jr., Emerson, D.T.: 1981, subm. to Mon. Not. R. Astr.
88           Soc.
89 UBV       Dottori, H. A.: 1979, Astron. Astrophys. Suppl. 37, 519
90 BV        Graham, J.A.: 1976, Astron. J. 81, 681
91 BVRI      Green, M.R., Dixon, K.L.: 1978, The Observatory 98, 166
92 UBVRIJHK  Persson, S.E., Frogel, J.A., Aaronson, M.: 1979, Astrophys. J.
92           Suppl. 39, 61
93 Z         Fisher, J.R., Tully, R.B.: 1981, Astrophys. J. Suppl. 47, 139
94 Z         Rubin, V.C., Ford, W.K., Thonnard, N., Roberts, M.S., Graham, J.A.:
94           1976, Astron. J. 81, 687
95 UBV       de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G.: 1978, Astron.
95           J. 83, 1331
96           Hawarden, T.G., Longmore, A.J., Goss, W.M., Mebold, U., Tritton,
96           S.B.: 1981, Mon. Not. R. Astr. Soc. 196, 175
97           Bottinelli, L., Gougenheim, L., Paturel, G.: 1980, Astron.
97           Astrophys., preprint
98           Bottinelli, L., Gougenheim, L., Paturel, G.: 1981, Astron.
98           Astrophys. Suppl. 44, 217
99 UBV,Z     Ekman, A.B.G., Lauberts, A., Bergvall, N.A.S.: 1977-1979,
99           Observations carried out at European Southern Observatory
AA BVR       Lauberts, A.: 1982-198X, Observations carried out at European
AA           Southern Observatory
