ID,Text
SPe,"Sanduleak, N., Pesch, P., 1975, Astrophys. J. 200, 446"
St,"Stenholm, B., 1975, Astron. Astrophys. 39, 307"
SW,"Schuster, H.-E., West, R.M., 1976, Astron. Astrophys. 49, 129"
Te,"Terzan, A., 1971, Astron. Astrophys. 12, 477"
Tololo,"Smith, M.G., Aguirre, C., Zemelman, M., 1976, Astrophys. J. 32, 217"
TR,"Thonnard, N., Rubin, V.C., 1977, Bull. AAS 9, 619"
RC2,"de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G., 1976, Second"
RC2,"Reference Catalogue of Bright Galaxies, University of Texas Press,"
RC2,Austin
V,"Vorontsov-Velyaminov, B.A., 1959, Atlas and Catalogue of Interacting"
V,"Galaxies, Moscow State University, Moscow"
VVKDA,"Vorontsov-Velyaminov, B.A., Kostjakova, E.B., Dokuchajeva, O.D.,"
VVKDA,"Arhipova, V.P., 1972, Astron. Tsirk. 716, 7"
V-V2,"Vorontsov-Velyaminov, B.A., Kostjakova, E.B., Dokuchajeva, O.D.,"
V-V2,"Arhipova, V.P., 1965, Astron. Tsirk. 348, 1"
Wr,"Wray, J.D., 1966, Thesis, Northwestern University"
WS,"West, R.M., Schuster, H.-E., 1982, Astron. Astrophys. Suppl., (ESO"
WS,Scientific Preprint no. 188)
