PN,18 15 06.44,-30 15 33.0,,,,,,-112.0,,0.08,,,PNG 002.0-06.2,PK 002-06.1,M 2-33,
PN,18 45 51.01,-33 20 39.9,,,,,,+18.9,,0.12,,,IC 4776,PNG 002.0-13.4,PK 002-13.1,
PN,17 37 51.17,-25 20 44.4,,,,,,,,,,,PNG 002.1+03.3,PBOZ 24,
PN,17 59 19.28,-28 13 47.9,,,,,,+55.0,,0.10,,,PNG 002.1-02.2,PK 002-02.2,M 3-20,
PN,18 07 07.18,-29 12 55.8,,,,,,-116.0,,0.07,,,PNG 002.1-04.2,PK 002-04.1,H 1-54,
PN,17 48 45.59,-26 43 30.6,,,,,,,,0.47,,,PNG 002.2+00.5,Te 2337,
PN,18 00 59.75,-28 16 18.5,,,,,,-101.0,,0.08,,,PNG 002.2-02.5,KFL  2,
PN,18 01 42.59,-28 25 45.4,,,,,,+224.1,,0.13,,,PNG 002.2-02.7,PK 002-02.4,M 2-23,
PN,18 16 18.52,-30 07 35.7,,,,,,-1.0,,0.12,,,PNG 002.2-06.3,PK 002-06.2,H 1-63,
PN,18 29 11.59,-31 29 59.7,,,,,,-29.7,,0.12,,,PNG 002.2-09.4,PK 002-09.1,Cn 1-5,
PN,17 42 30.03,-25 45 28.7,,,,,,,,0.13,,,PNG 002.3+02.2,Te    5,
PN,18 04 28.19,-28 37 41.4,,,,,,,,0.07,,,PNG 002.3-03.4,PK 002-03.2,H 2-37,
PN,18 22 34.48,-30 43 29.4,,,,,,-82.0,,0.23,,,PNG 002.3-07.8,PK 002-07.1,M 2-41,
PN,17 29 20.71,-23 45 32.2,,,,,1.750E+03,-101.0,,0.63,,,NGC 6369,PNG 002.4+05.8,PK 002+05.1,
PN,18 04 04.54,-28 27 55.1,,,,,,,,0.20,,,PNG 002.4-03.2,Wray 17-107,
PN,18 06 05.86,-28 40 34.3,,,,,,-70.0,,,,,PNG 002.4-03.7,PK 002-03.5,M 1-38,
PN,17 58 31.17,-27 37 05.3,,,,,,,,0.08,,,PNG 002.5-01.7,PK 002-01.1,Pe 2-11,
PN,18 13 00.46,-29 25 12.1,,,,,,+107.0,,0.28,,,PNG 002.5-05.4,KFL 14,
PN,17 43 39.43,-25 36 44.9,,,,,,,,0.18,,,PNG 002.6+02.1,Te 1580,
PN,17 35 58.47,-24 26 21.5,,,,,,,,0.17,,,PNG 002.6+04.2,PK 002+04.1,Th 3-27,
PN,17 21 18.69,-22 18 54.9,,,,,,+2.0,,0.10,,,PNG 002.6+08.1,PK 002+08.1,H 1-11,
PN,18 05 25.79,-28 22 04.1,,,,,,+241.0,,,,,PNG 002.6-03.4,PK 002-03.3,M 1-37,
PN,18 11 04.70,-28 59 00.5,,,,,,-92.0,,0.15,,,PNG 002.7-04.8,PK 002-04.2,M 1-42,
PN,21 59 31.66,-39 22 36.4,,,,,,-23.0,,1.88,,,IC 5148,PNG 002.7-52.4,PK 002-52.1,
PN,17 45 41.28,-25 37 51.3,,,,,,,,0.05,,,PNG 002.8+01.7,PK 002+01.1,H 2-20,
PN,17 45 28.29,-25 38 13.3,,,,,,,,0.17,,,PNG 002.8+01.8,Te 1567,
PN,18 01 09.71,-27 38 25.8,,,,,,,,0.08,,,PNG 002.8-02.2,PK 002-02.3,Pe 2-12,
PN,17 27 53.58,-22 57 19.5,,,,,,,,,,,PNG 002.9+06.5,PM 1-149,
PN,18 08 03.82,-28 23 31.6,,,,,,,,0.05,,,PNG 002.9-03.9,PK 002-03.6,H 2-39,
PN,18 02 51.47,-27 41 02.4,,,,,,+17.0,,0.05,,,PNG 003.0-02.6,KFL 4,
PN,17 41 52.72,-24 42 07.9,,,,,,-62.6,,0.10,,,PNG 003.1+02.9,PK 003+02.1,Hb  4,
PN,17 40 06.91,-24 25 44.5,,,,,,+87.0,,0.05,,,PNG 003.1+03.4,PK 003+03.1,H 2-17,
PN,18 10 30.71,-28 19 21.9,,,,,,+124.0,,0.03,,,PNG 003.2-04.4,KFL 12,
PN,18 17 41.89,-29 08 19.6,,,,,,+100.4,,0.13,,,PNG 003.2-06.2,PK 003-06.1,M 2-36,
PN,18 11 35.08,-28 22 37.3,,,,,,+152.0,,0.20,,,PNG 003.3-04.6,PK 003-04.7,Ap 1-12,
PN,18 23 08.91,-29 43 24.9,,,,,,+32.0,,0.12,,,PNG 003.3-07.5,KFL 19,
PN,18 12 47.91,-28 20 01.0,,,,,,-21.0,,0.15,,,PNG 003.4-04.8,PK 003-04.9,H 2-43,
PN,18 03 17.91,-27 06 16.4,,,,,,-15.0,,0.23,,,IC 4673,PNG 003.5-02.4,PK 003-02.3,
PN,18 11 52.78,-28 10 38.0,,,,,1.150E+03,-20.0,,0.22,,,NGC 6565,PNG 003.5-04.6,PK 003-04.5,
PN,17 41 57.60,-24 11 25.5,,,,,,-35.0,,,,,PNG 003.6+03.1,PK 003+03.2,M 2-14,
PN,18 03 11.92,-26 58 30.8,,,,,,-52.0,,0.15,,,PNG 003.6-02.3,PK 003-02.2,M 2-26,
PN,17 24 45.95,-21 33 43.9,,,,,,,,0.07,,,PNG 003.7+07.9,PK 003+07.1,H 2- 8,
PN,18 12 34.07,-27 58 12.9,,,,,,+174.0,,0.15,,,PNG 003.7-04.6,PK 003-04.8,M 2-30,
PN,17 34 26.71,-22 53 20.1,,,,,,-59.0,,0.07,,,PNG 003.8+05.3,PK 003+05.1,H 2-15,
PN,18 11 29.18,-27 46 15.7,,,,,,,,0.10,,,PNG 003.8-04.3,PK 003-04.3,H 1-59,
PN,18 12 23.72,-27 52 13.7,,,,,,,,0.13,,,PNG 003.8-04.5,PK 003-04.4,H 2-41,
PN,19 05 36.30,-33 11 38.9,,,,,,-172.1,,0.08,,,PNG 003.8-17.1,PK 003-17.1,Hb  8,
