OC,00 43 39.00,+61 46 30.0,-0.00017,-0.0001,,,6.570E+02,-28.0,,12.00,,,NGC 225,
OC,00 43 42.00,+60 09 00.0,-0.00009,-0.0010,,,1.775E+03,,,5.00,,,Czernik 2,
OC,00 43 45.00,+64 11 08.0,-0.00030,-0.0012,,,1.920E+03,-58.2,,17.00,,,King 16,
OC,00 45 01.00,+64 23 05.0,-0.00049,-0.0013,,,2.460E+03,,,6.00,,,Berkeley 4,
OC,00 47 28.00,+85 15 18.0,-0.00017,+0.0002,,,1.714E+03,-42.3,,17.00,,,C 1,NGC 188,
OC,00 48 30.00,+67 12 00.0,-0.00125,+0.0003,,,3.798E+03,,,3.00,,,Berkeley 61,
OC,00 49 42.00,+64 07 35.0,-0.00044,-0.0007,,,2.400E+03,,,16.00,,,Dolidze 13,
OC,00 50 46.00,+65 58 06.0,-0.00029,-0.0004,,,8.100E+02,,,0.00,,,FSR 0516,
OC,00 51 00.00,+58 11 00.0,-0.00025,-0.0026,,,5.750E+03,-144.2,,5.00,,,King 2,
OC,00 52 30.00,+64 39 05.0,-0.00084,-0.0025,,,1.450E+03,,,1.00,,,FSR 0519,
OC,00 52 49.00,+56 37 42.0,-0.00029,-0.0019,,,2.940E+03,-25.1,,4.00,,,IC 1590,
OC,00 53 00.00,+59 51 00.0,-0.00042,-0.0023,,,2.534E+03,,,6.00,,,FSR 0521,
OC,00 53 10.00,+61 34 48.0,-0.00016,-0.0006,,,7.500E+02,-9.2,,48.00,,,ASCC 4,
OC,00 53 27.00,+49 34 00.0,+0.00069,-0.0078,,,3.020E+02,+6.0,,48.00,,,Casado Alessi 1,
OC,00 53 50.00,+65 47 36.0,-0.00011,+0.0012,,,1.506E+03,,,0.00,,,FSR 0522,
OC,00 57 58.00,+55 50 24.0,-0.00002,-0.0018,,,1.500E+03,-43.0,,15.00,,,ASCC 5,
OC,00 58 29.00,+56 29 53.0,+0.00006,-0.0023,,,,-54.0,,14.00,,,Majaess 19,
OC,00 58 29.00,+68 28 08.0,-0.00028,-0.0048,,,1.600E+03,,,21.00,,,Skiff J0058+68.4,
OC,00 58 37.00,+65 40 23.0,,,,,,,,2.00,,,Majaess 20,
OC,01 01 00.00,+63 57 00.0,-0.00031,-0.0014,,,2.320E+03,,,10.00,,,Berkeley 62,
OC,01 03 06.00,+62 47 00.0,-0.00023,+0.0004,,,1.410E+03,,,2.00,,,Czernik 3,
OC,01 05 11.00,+62 01 18.0,-0.00065,+0.0027,,,,,,3.00,,,NGC 358,
OC,01 06 26.00,+62 13 48.0,-0.00076,+0.0041,,,1.785E+03,,,3.00,,,NGC 366,
OC,01 08 07.00,+65 38 50.0,-0.00040,+0.0038,,,7.200E+03,,,5.00,,,Pfleiderer 1,
OC,01 08 19.00,+61 35 00.0,-0.00003,+0.0001,,,1.148E+03,-29.7,,6.00,,,NGC 381,
OC,01 12 18.00,+62 20 00.0,-0.00013,+0.0018,,,1.363E+03,-6.0,,5.00,,,Stock 3,
OC,01 13 50.00,+32 01 42.0,+0.00109,-0.0113,,,1.900E+02,+4.4,,336.00,,,Platais 2,
OC,01 15 11.00,+60 07 36.0,-0.00031,-0.0016,,,2.323E+03,-36.9,,2.00,,,NGC 433,
OC,01 15 58.00,+58 48 42.0,-0.00005,-0.0009,,,2.400E+03,-73.7,,5.00,,,NGC 436,
OC,01 17 26.00,+61 18 00.0,-0.00042,-0.0001,,,1.800E+03,,,6.00,,,FSR 0534,
OC,01 18 50.00,+60 21 01.0,-0.00026,-0.0014,,,2.075E+03,,,8.00,,,FSR 0537,
OC,01 19 35.00,+58 17 12.0,-0.00026,-0.0005,,,2.429E+03,-29.7,,20.00,,,C 13,NGC 457,Owl Cluster,
OC,01 19 44.00,+63 04 07.0,+0.00040,+0.0065,,,3.001E+03,,,7.00,,,FSR 0536,
OC,01 22 08.00,+63 41 35.0,-0.00014,+0.0028,,,2.146E+03,,,0.00,,,FSR 0538,
OC,01 25 53.00,+62 59 43.0,-0.00020,-0.0001,,,1.934E+03,,,8.00,,,FSR 0542,
OC,01 26 00.00,+62 37 33.0,-0.00017,-0.0005,,,6.460E+03,,,4.00,,,SAI 14,
OC,01 29 32.00,+63 18 14.0,-0.00068,+0.0014,,,2.430E+03,-58.4,,9.00,,,C 8,NGC 559,
OC,01 29 52.00,+60 42 59.0,+0.00012,-0.0004,,,2.800E+03,,,2.00,,,FSR 0547,
OC,01 33 23.00,+60 39 00.0,-0.00022,+0.0007,,,2.194E+03,-44.2,,5.00,,,M 103,NGC 581,
OC,01 35 36.00,+61 28 35.0,+0.00002,-0.0039,,,1.630E+03,-11.4,,2.00,,,Czernik 4,
OC,01 35 42.00,+61 17 00.0,-0.00046,-0.0010,,,2.469E+03,-65.0,,3.00,,,Trumpler 1,
OC,01 36 23.00,+64 32 18.0,+0.00013,+0.0001,,,3.981E+03,,,3.00,,,NGC 609,
OC,01 37 12.00,+65 51 29.0,+0.00038,+0.0004,,,2.501E+03,,,3.00,,,FSR 0546,
OC,01 39 39.00,+65 55 11.0,-0.00052,+0.0002,,,6.001E+03,,,1.00,,,FSR 0549,
OC,01 39 46.00,+64 53 41.0,+0.00028,-0.0013,,,3.500E+03,,,1.00,,,FSR 0551,
OC,01 41 02.00,+64 30 48.0,-0.00023,+0.0003,,,7.500E+03,,,3.00,,,FSR 0553,
OC,01 43 04.00,+64 02 24.0,-0.00019,+0.0004,,,2.500E+03,-45.5,,3.00,,,NGC 637,
OC,01 43 21.00,+55 50 11.0,+0.00014,-0.0040,,,1.372E+03,,,6.00,,,NGC 657,
OC,01 44 00.01,+61 53 06.0,-0.00019,-0.0007,,,2.410E+03,-34.2,,5.00,,,NGC 654,
