GC,16 17 02.41,-22 58 33.9,,,+7.33,+8.17,1.000E+04,+8.1,F6,1.22,,,M 80,NGC 6093,
GC,16 23 35.22,-26 31 32.7,,,+5.63,+6.66,2.200E+03,+70.7,F8,8.66,,,M 4,NGC 6121,
GC,16 25 48.12,-72 12 07.9,,,+9.16,+9.84,1.540E+04,+361.4,F5,2.10,,,C 107,NGC 6101,
GC,16 27 13.86,-26 01 24.6,,,+9.01,+9.97,8.900E+03,+193.8,F5/6,3.26,,,NGC 6144,
GC,16 27 40.37,-38 50 55.5,,,+8.99,+10.39,1.010E+04,+6.7,F6/7,1.70,,,NGC 6139,
GC,16 28 40.08,-35 21 12.5,,,+12.00,,8.200E+03,-136.3,,2.50,,,Terzan 3,
GC,16 32 31.86,-13 03 13.6,,,+7.93,+9.03,6.400E+03,-34.1,G0,3.46,,,M 107,NGC 6171,
GC,16 39 25.45,-28 23 55.3,,,+12.00,,8.300E+03,,,1.00,,,1636-283,
GC,16 41 41.24,+36 27 35.5,,,+5.78,+6.46,7.100E+03,-244.2,F6,3.38,,,M 13,NGC 6205,Hercules Cluster,
GC,16 46 58.79,+47 31 39.9,,,+9.39,+10.09,3.050E+04,-154.2,F7,0.72,,,NGC 6229,
GC,16 47 14.18,-01 56 54.7,,,+6.70,+7.53,4.800E+03,-41.4,F8,3.54,,,M 12,NGC 6218,
GC,16 52 10.60,-47 03 29.0,,,+12.90,,9.800E+03,,,0.68,,,FSR 1735,
GC,16 53 25.31,-22 10 38.8,,,+9.97,+11.02,1.150E+04,+87.3,F9,2.00,,,NGC 6235,
GC,16 57 09.05,-04 06 01.1,,,+6.60,+7.50,4.400E+03,+75.2,F3,3.90,,,M 10,NGC 6254,
GC,16 59 32.62,-37 07 17.0,,,+11.29,+12.98,1.030E+04,-101.4,,1.72,,,NGC 6256,
GC,16 59 51.00,-00 32 20.0,,,+14.00,,4.510E+04,+68.9,,2.20,,,Pal 15,
GC,17 01 12.80,-30 06 49.4,,,+6.45,+7.64,6.800E+03,-70.1,F9,1.84,,,M 62,NGC 6266,
GC,17 02 37.80,-26 16 04.7,,,+6.77,+7.80,8.800E+03,+135.0,F7,2.64,,,M 19,NGC 6273,
GC,17 04 28.51,-24 45 53.5,,,+8.83,+9.82,1.530E+04,+27.5,F9,1.32,,,NGC 6284,
GC,17 05 09.13,-22 42 30.1,,,+9.35,+10.55,9.400E+03,-288.7,F5,1.48,,,NGC 6287,
GC,17 10 10.20,-26 34 55.5,,,+8.22,+9.18,9.500E+03,-146.2,F3,1.78,,,NGC 6293,
GC,17 14 32.25,-29 27 43.3,,,+8.22,+9.53,5.900E+03,-107.3,G3,2.84,,,NGC 6304,
GC,17 16 37.30,-28 08 24.4,,,+8.43,+9.82,1.040E+04,+71.4,G2,1.30,,,NGC 6316,
GC,17 17 07.39,+43 08 09.4,,,+6.44,+7.07,8.300E+03,-120.0,F2,2.04,,,M 92,NGC 6341,
GC,17 17 59.21,-23 45 57.6,,,+10.33,+11.99,7.800E+03,+29.8,G0,1.26,,,NGC 6325,
