N0314       1681r OXN and bar, F (R): 0.8 x 0.5, vF env.                        
N0319       3492  OXN, poss bar, pB (R): 0.65 x 0.65.                           
N0320       3535  (r'): 0.5 x -, vF (R): 0.9 x 0.85. Sim to N1291.              
N0322       3492  OX, dist corona. F E1? comp 0.25 p.                           
N0323       1804  In grp. Sev comp near.                                        
N0323       3660  Poss S0-? F whorls in lens?                                   
N0328       1804  In grp. Sev comp near. On plate edge.                         
N0328       1809r On pl edge.                                                   
N0328       3660  OXN, (r'): 1.0 x 0.3, vF plumes. Sev F comp near.             
N0334       1681r OXN and bar, B pat arms form dist (R'): 0.6 x 0.4. F env w    
N0334       1681r   knots. F comp 0.5 nf.                                       
N0334       3570  Near plate edge.                                              
N0335       3535  OX spindle. Middle of 3. vF comp 0.25 s. Sup on S cl 6' sf.   
N0335       3535    N336 = ** (RNGC and EU incorrect).                          
N0344       4655  SFN, (r): 0.3 x 0.2, knotty arms, vF env. N343 = * 0.8 nnf.   
N0348       3660  OXN w * sup 0.35 n; hsb, thick arms, eF outer arms.           
N0360        929r SpBN, dark lane w B knots. Sim to N891.                       
N0360       1004r Sim to N891.                                                  
N0360       1864  Sim to N891. Grp or S cl 5' n.                                
N0365       1681r OXN, bar, and (r): 0.4 x 0.25, knotty dist arms. 3 comp near. 
N0368       3492  OXN, (r'): 0.45 x -, eF (R'): 1.4 x 1.0.                      
N0369       3535  OX bar, B (r): 0.4 x 0.3. 1st in grp. N377 = tri *.           
N0378       1920  P(a) w pec Ssp 1.2 nf.                                        
N0378       3516  OXN and bar, poss(r): 0.35 x 0.35, vB knotty arms.            
N0378       3516    SB:(s?)bc:sp II-III? 1.3 nf.                                
N0406       1877  OXN, knots on arms. In out part of SMC.                       
N0409       3570  OXN; poss SAB0-. * 0.8 np. 1st in grp.                        
N0415       3570  OXN and bar, (r'): 0.55 x 0.3, pat arms. 2nd in grp.          
N0417       3535  OX elong N, vF corona. S SB0- 0.5 n. 1st in grp. N412 = **    
N0417       3535    (EU incorrect.)                                             
N0418       1920  P(a) w I1637 14' ssf.                                         
N0418       3516  OXN, pB bar, v knotty arms. I1637 14' sf.                     
N0423       3516  OX w vF corona; dist. lsb SB(s)dm IV-V 5.9 sf.                
N0424       3524  OXN and bar, vB (r): 0.8 x 0.3, pB (R): 2.1 x 0.55.           
N0427       1920  (R): 0.9 x 0.5. P(a) w SA(r)b 11' s.                          
