N7214        691  OXN, smo arms, dim inc plumes & ext. P(b) w SBa pec 0.6 f;    
N7214        691    SB(s)cd 2.1 nf; S0?sp 5.3 nf. Other F gal near.             
N7214        817r vBN, B dist arms, FE out arms. Lrgst in grp.                  
N7214        817r   SB0/a? 0.6 nnf, SAB(rs)c w BN 2.2 nf, Sb sp 5.2 nf.         
N7216        953  F S0?sp 0.8 nnp.                                              
N7216       4611  OXN, pB lens 1.0 x 0.7 w F (r'): 0.65 x -. Sev F comp nr.     
N7218       3390  OX bar, B (r'): 0.7 x 0.5, pat arms w sev F knots. vF bridge  
N7218       3390    to com comp 1.5 sf.                                         
N7219       1728  OXN, (R'): 1.1 x 0.8, * sup on arm 0.7 nf.                    
N7219       1728  eB center or N: 0.5 x 0.4. (R'): 1.2 x 0.9. Rich field. Cl in 
N7219       1728    bckgnd.                                                     
N7220       3420  Trace of (R') in corona?                                      
N7220       4469r OXN, pB lens.                                                 
N7221        691  BN, B bar, sq broken (r): 0.85 x 0.7:. Thin arms form loop.   
N7221        691    * sup 0.4 np.                                               
N7225        817r BN, v strg dust lane, other dust streaks. Offset cent bulge.  
N7225        817r   * 0.5 np N.                                                 
N7225       4469r OXN, dist dust lens, vF dist exts. * sup 0.5 n.               
N7229        691  SBN, thick arms, vF out ext.                                  
N7230       3398  OXN, v pat arms form (R'): 0.6 x 0.5. Cl 5' nf.               
N7232       1593  OXN, dist lens and corona. P(b) w N7233 1.9 f. pF bridge.     
N7232       1633  OXN w fltnd bulge, dist dark lane. P(b) w N7233 1.9 f. On     
N7232       1633    edge of calib cutout.                                       
N7232A        41r SBN, B inner arms, v smo out arms. * 2.4 sf.                  
N7232A      1633  OXN, highly incl, smo arms. pB * 2.3 sf. I5181 8.2 sp.        
N7232B      1593  B bar, many knots on pF arms. pB * 2.0 s.                     
N7232B      1633  In calib cutout.                                              
N7233       1593  OX dist bar, B dist (r): 0.5 x 0.5; smo arms. P(b) w N7232    
N7233       1593    1.9 p. pF bridge.                                           
N7233       1633  OX dist bar, (r): 0.5 x 0.5. In calib cutout. P(b) w N7232    
N7233       1633    1.9 p.                                                      
N7247       4469r OXN, vB inner arms w few knots.                               
N7249       3474  OXN w traces of arms in lens. Brtst in S cl.                  
N7252       4469r OXN, dist lens and corona w 2 plumes. Overall dim: (10: x 5:).
N7256=N7254 4469r OXN, pat arms w F knots, eF env. * sup 0.2 nf.                
N7258        691  OXN.                                                          
N7259        691  Sim to M81. 2 F gal aligned 0.5 np, 1.0 nnp w plumes & bridge.
N7262        691  pB corona.                                                    
N7262        766  B cent, F corona, eF out struct.                              
N7267        766  OX bar, dist arms, few knots near end of bar.                 
N7268        691  Dble sys, P(b?) at 0.4 w SB comp. Note 1m corr to NGC RA.     
N7268A,B     659  P(b) at 0.35. In cl. 1 min error in NGC RA.                   
N7277        659  OXN, eF ext. Dist?                                            
N7277        691  OXN, vF dist (R): 2.9 x 1.4.                                  
N7278       1579  B bar, B (r): 0.3 x 0.3.                                      
N7278       1808  OXN, short bar, B blob sup 0.15 n. Slightly dist arms. pB *   
N7278       1808    1.0 sf.                                                     
N7278       1873  B bar and (r'): 0.3 x 0.3, vF arms, pB * sup 1.1 sf.          
N7279        766  BN, B bar, B inner arms, F knotty out arms. Bckgnd grp np.    
N7284       4469r P(b) w N7285 at 0.5 w bridges and plumes.                     
N7285       4469r P(b) w N7284 at 0.5, (r'): 0.65 x -. Overall dim: (8: x 6:).  
N7287A,B    4469r P(b) at 0.15; both slightly dist. * sup 0.2 nf B. In a grp.   
N7287A,B    4469r   Ident (by Burnham; see IC2 Notes) uncertain.                
N7289        766  B lens, F corona. 3 comp 2' sp, S0 5.3 sf.                    
N7294       4469r OXN, dist lens and corona w arcs of rings. 1st in S cl.       
N7297        766  OXN, brtst in S grp. S0:sp 0.4 sp. P(a) w N7299 at 4.7 nff.   
N7297       1665  vS comp 0.4 sp. P(a) w N7299 4.5 nf.                          
N7299        766  F Scd comp 2.0 n. P(a) w N7297 at 4.7 spp.                    
N7299       1665  vSBN, poor res. P(a) w N7297 4.5 sp.                          
N7299       2599  Poss (r): 0.3: x 0.3:. Pat arms.                              
N7301       3398  OXN and bar, B dist arms. Note correct coord. 2 comp v near n.
N7306        659  OXN, 1 B arm, 1 F arm, both pat. eF exts. SA(s:)0o 6' f.      
N7306       3427  eF (R'): 3.0 x 2.0.                                           
N7307       1665  Dble N or * sup on N. Strg dark lane.                         
N7307       2599  Highly incl, pat w sev knots. Poss Sm.                        
N7310       4469r SBN, short bar, (r'): 0.3 x 0.2, pat arms. P(b) 0.7 s.        
N7310       4469r   SB:(s)cd II-III 12.4 s.                                     
N7313       3427  OX, vF plumes.                                                
N7313       4469r OX w vF plumes.                                               
N7314       4469r OXN, frshrtnd bar (?), v pat (r'): 0.9 x 0.45; pat arms w many
N7314       4469r   knots.                                                      
N7322=N7334  756  OXN, FE spir struct.                                          
N7322=N7334  766  Dist corona. 3 S comp 1' np and sp. P(a?) w 2234-374 at 11'.  
N7322=N7334 1665  vB center. Poor res.                                          
N7322=N7334 2599  OXN, pB lens.                                                 
N7329        954  vBN, nar bar, (r): 1.1 x 0.9. Streak sup 0.2 np N(bckgnd gal?)
N7341       3427  OXN, pF (r): 1.0 x 0.5, slightly pat arms. vB * 1.7 n; pB *   
N7341       3427    1.5 sff.                                                    
N7349       3427  OXN (and bar?), knotty arms. Note correct Dec (1 deg error in 
N7349       3427    NGC). Sup on distant cl.                                    
N7349       3522  Asym arms, dark lane in bar?                                  
N7355       2599  OXN, grp of knots on sp side, S Ssp sup 0.3 sp. 1 deg error   
N7355       2599    in NGC Dec.                                                 
N7358        954  OXN, B lens, vF ext.                                          
N7359       3427  Fltnd bulge; sim to N4111. Small (R')SB(s)0+ 2.5 sf.          
N7361=I5237  659  OXN, F pat arms. 8th mag * 5.4 np.                            
N7365       3522  OXN, trace of (r) or dust in lens. vFcE corona. S SBm: IV     
N7365       3522    3.9 ssp.                                                    
N7368       2599  OXN, highly incl pat arms w few knots.                        
N7377       3427  OXN, F (r): 1.0 x 0.8, dust filaments in pB lens. eF (R') in  
N7377       3427    corona.                                                     
N7381       3522  OX w dust lane; poss eF (R): 1.0 x 0.8. Poss P(c)? Note       
N7381       3522    correct pos.                                                
N7382        756  Sim to M31? * 0.6 np, F * 0.2 sp.                             
N7382        829  In calib cutout.                                              
N7382       2599  OXN, highly incl, arms form prob (R'): 0.75 x -. * 0.6 np.    
N7392       3522  OXN, pat inner arms, vF out arms.                             
N7400       2631  OXN, pat arms, sim to N7331.                                  
N7404=I5260  829  OXN, pB lens (bar??). Poss E4:. 2 deg error in IC Dec.        
N7408        954  BN and bar, many B knots; phsb.                               
N7410        829  OXN, sim to N4594.                                            
N7412       2631  OXN, short bar(?), p smo arms w sev knots. F comp 3.1 sp.     
N7412A      2631  pB bar, lsb arms w few knots. Note corr Dec. lsb dwarf 6.0 p. 
N7417        954  vBN, B bar, F arms. (r): 0.7 x 0.55, (R'): 1.6 x 0.9. Brtst in
N7417        954    grp.                                                        
N7418        756  SpBN, F bar, (r'). Pat arms.                                  
N7418        829  (r'): 0.65 x 0.55.                                            
N7418A       756  BN, vF pat arms. N7418 15.5 s. Omitted from RC2 by mistake.   
N7421        756  BN, pB bar, (r): 0.8 x 0.65. 1 arm forms arc around p side.   
N7424        829  vB bar, (r'): 2.2 x 1.5, v pat knotty arms.                   
N7456        829  pBN, many knots on pat arms.                                  
N7462        829  OXN, dust lane, many knots. * sup 1.1 p.                      
N7470       3659  OXN, pF smo arms w many eB knots. S SB(r)0/a 1.9 sp. Note     
N7470       3659    corr to NGC RA.                                             
N7476       2533  OXN, pat struct; edge of plate.                               
N7476       2631  OX bar and poss (r): 0.65 x 0.45, F dist arms.                
N7484        853  B* sup 0.8 s. lsb SB(s)m 5.3 sp. Bckgnd pair 7' np.           
N7494        747  2nd in grp; F gal 0.6 nff.                                    
N7496       2533  OXN, pat arms w knots, eF (R or R'): 3.1 x 2.9. pB * 1.7 nnf. 
N7496       2631  (R'): 3.1 x 3.0.                                              
N7496A      2533  Sim to LMC. 2 pB * 1'n. Sup on grp. Note corr to Dec in RC1,  
N7496A      2533    RC2, and Stromlo 13.                                        
N7498        747  OXN, arms form (R'): 0.65 x 0.35. 1st in grp. 5 F gal (some   
N7498        747    bckgnd?) 0.7 sf.                                            
N7507        684  lsb comp 4.6 p and 3.4 n.                                     
N7507        777  lsb obj 3.4 n; sev F gal near.                                
N7513        684  OXN, F out arm forms (R'): 2.6 x 1.5. lsb comp 4.8 sff. Rich  
N7513        684    cl 2-3' sp.                                                 
N7513        777  1 arm loop at end of bar, p smo corona; lsb comp 4.8 sf.      
N7513        777    Distant cl 3' sp.                                           
N7531       2533  OXN, pF knotty (r): 1.7 x 0.8. F knotty arms. elsb dwarf      
N7531       2533    (2311-439) 2.9 p.                                           
N7545        829  P(c?) at 0.25 w loops or Pec w dust. * sup 0.4 p.             
N7545        839  OX bar w knots. pB * sup 0.45 p.                              
N7552=I5294  839  OX.                                                           
N7552=I5294 2533  OXN, pat and knotty arms form (R'): 2.8 x 2.5.                
N7573        747  OXN, short bar, B arms w many knots. 1st in grp. Sev F comp   
N7573        747    v near. N7471, N7520 not found. N7502 = **. N7522 poss = eF 
N7573        747    gal nr NGC place -- but could it have been found visually?  
N7573       3654  N7471 and N7481 not found. N7502 = **.                        
N7582        839  OX.                                                           
N7582       2533  OXN, smo arms. Sup on cl.                                     
N7590        839  OX. B * 1.0 nf.                                               
N7590       2533  OX. * sup 1.0 nf. Sup on cl.                                  
N7599        839  OX. B * 1.4 f.                                                
N7599       2533  OXN, pat arms, knots. Sup on cl. I5308 not found.             
N7622       1760  OXN, slightly asym (because of bar??). Sev F comp near.       
N7632=I5313  839  OX cent bulge, (R'): 1.8 x 0.75. F corona.                    
N7632=I5313 2533  OXN, (R'): 1.5 x 0.7 in lens. Sup on cl. Pec P(b) 7' ssf.     
N7633       1753  vBN, (R): 2.0 x -.                                            
N7633       3664  OXN, pF bar, F (r): 1.1 x 0.7, eF arms form (R): 1.8 x 1.5.   
N7636        777  OX, pB corona.                                                
N7637       2563  BN, B (r): 0.5 x 0.4. * sup 0.7 n. OX comp 2.3 np.            
N7637       3655  pBN, B (r): 0.5 x 0.45, knotty arms. * sup 0.7 n. S S: 2.3 np.
N7645        777  B bar, B (r): 0.4 x 0.35.                                     
N7650       1760  B bar, B knotty arms; n arm dist w vB knot (or comp?). 1st in 
N7650       1760    grp.                                                        
N7650       1824  B knot at end of arm 0.5 n. Sim to N7741. P(a) at 11.7 w      
N7650       1824    N7657.                                                      
N7650       1839  OXN and bar, knotty arms. B knot or comp sup 0.5 n.           
N7652       1760  OXN, (r): 0.6 x 0.5, dist (R'): 0.95 x 0.55. N7650 6.1 np.    
N7655       3664  OXN, trace of (R'): 0.7 x 0.5 in eF corona. SB(r)a?p 4.0 p.   
N7656       3550  Interacting tri sys w loop and plumes. 1st in S cl.           
N7657       1760  OX bar, dist knotty arms. Stage ncertain.                     
N7657       1824  B knot 0.4 sf. Bet 2 * 0.3 sp, 0.5 nf. P(a) at 11.7 w N7657.  
N7657       1839  OX frshrtnd bar. B knot or comp 0.4 sff.                      
N7658A       839  P(b) at 0.7, looping bridge, vB knot on sf end. 3rd comp 1.8  
N7658A       839    sp. In a grp.                                               
N7658B       839  P(b) at 0.7, B knot on nf end (or *?).                        
N7661       1811  pB bar, v knotty arms. Sup on eD grp.                         
N7676       1760  OXN, F dist corona; jet to com comp 2.3 spp.                  
N7689       1839  OXN, knotty arms.                                             
N7690        962  OX, knotty arms, sim to N7331.                                
N7690       1839  OXN, sim to N7331.                                            
N7697=I5333 3750  OX w dark lane (twisted at one end?). Poss Sbc.               
N7702       1839  OXN, vB (r): 1.0 x 0.45; eF (R): 2.3 x 1.3.                   
N7709       3550  OXN (& bar?), dist lens and corona. lsb comp 2.5 nf.          
N7713        839  Pat w knots, smo arms fntr on sf side; sim to M51? but        
N7713        839    later. Bckgnd grp near.                                     
N7713A       839  (r): 0.4: x 0.3:, pat arms.                                   
N7713A      3481  Dec in Stromlo 13, RC1, and RC2 is incorrect.                 
N7719       3421  OXN, dist (r'): 0.4 x 0.4, vF arms. Comp or eB knot sup 0.25  
N7719       3421    s. 1st in grp. Sup on cl.                                   
N7733        928r BN, dist (r). P(b) w N7734 at 1.3 w bridge. Bckgnd grp 1-2'sf.
N7733       3750  Pec dist (r): 0.7 x 0.45. P(b) w N7734 at 1.2. Both dist.     
N7734        928r P(b) w 7733 at 1.3.                                           
N7734       3750  (r): 0.5 x 0.4, (R'): 1.0 x 0.7. P(b) w N7733. Plumes, bridge.
N7736       2684  Trace of (R') in inner corona. N7730 not found.               
N7736       3550  OXN, trace of (r) in pB lens; FE corona.                      
N7744=I5348 4504  OXN w nubs, B lens. * sup 0.5 p.                              
N7749        840  Trace of dust lane. Sev com gal near, brtst 0.7 sf.           
N7749        840    * 1.3 sff.                                                  
N7754       2684  OX w F arms. Note correct RA. 3rd in grp.                     
N7755        840  (r): 0.85 x 0.85, comp at end of arm 1.7 sf. Bckgnd grp.      
N7755       2693  (r'): 0.85 x 0.85. On plate edge.                             
N7758       3384  OX elong N, F lens and corona.                                
N7758       3428  Near plate edge.                                              
N7758       3720  Near plate edge.                                              
N7759       2684  OX elong N, comp sup 0.55 f, F plumes. 1st in grp. Note       
N7759       2684    correct RA. Near plate edge.                                
N7763       2684  2nd in grp. Note correct RA. Near fiducial mark.              
N7763       3720  OXN, trace of struct in lens, F corona. * sup 0.3 f.          
N7764       3578  OXN and bar, v knotty arms, F smo env.                        
N7764A      3481  Classified S pec on this plate.                               
N7764A      3578  Quad(?) interacting sys. All OX with plumes and bridges.      
N7793        757  OX, res, bckgnd grp sp.                                       
N7793        840  Pat arms w knots, res B *. Bckgnd grp w chain of 6 sp.        
N7796       1839  OXN (w lens?), poss SA0-. Sev comp near. IAmV 6.5 np.         
N7807       3720  OXN (w bar?), trace of (r), pat arms. Note correct RA (typo in
N7807       3720    EU).                                                        
N7812        757  vhsb, F arms. lsb comp 2.3 f.                                 
N7823        921  eF out arms. SB(s)dm or m 8' sf.                              
N7823        928r OXN, vF out arms. SB(s)dm w pBN 8.0 sf.                       
N7823       3750  OX, thick arms. eF env. SB(s)d 8.0 sf.                        
I0223       5536  OXN and bar, dif arms w few eF knots. N899 5.0 ssp.           
I0335=I1963 2698  OX, slightly fltnd bulge, mE corona. Sim to N1380A and N1381. 
I0343       3786  Fiducial mark sup.                                            
I0343       5541  OXN and bar, (r'): 0.8 x 0.3, F dist E corona. N1407 8.3 ssf. 
I0346       5541  OXN, pB bar, (r'): 1.2 x 1.1. S SB(s)0o 3.5 p. I345 (SA?0-)   
I0346       5541    8.9 spp. I339 = *.                                          
I0416       4790  OXN and bar, knotty dist arms. Com comp 0.55 sf.              
I0438       3808  Short OX bar, (r'): 0.5 x -, B arms w many knots. Sev * sup.  
I0438       3808    I2151 7.8 np. 1st in grp.                                   
I0456       3900  OXN, B bar, pF (r'):  - x 0.8. pB * 1.2 nf.                   
I0760        562  Dark lane, B bulge, F lens.                                   
I0760       1468  OX.                                                           
I0764        562  FN, (r'): 0.9 x 0.9, dust pat. F out arms w knots.            
I0764       1468  OXN. F arms w knots.                                          
I0764       4835  (r'): 0.95 x 0.3. Near plate edge.                            
I0844       1469  vB lens, F corona.                                            
I0863       2394  OXN and bar(?), vB nearly compl (r): 0.5 x 0.3, vF dist env.  
I0874       2347  OXN, B bar, vF (r'): 0.55 x 0.5 in pB lens.                   
I0879       1484  F dist arms. 2.4 sp N5078. Other F comp in field: bckgnd cl?  
I0879       2347  OXN, dist bar, vF arms. N5078 2.3 nf.                         
I1077       2348  OX bar, vB smo arms nf side, vB knotty arms sp side, (R'):    
I1077       2348    1.4 x -. 2nd in grp.                                        
I1081       4309r OX elong N, pat arms w few F knots. P(a) w N5791 2.8 sp.      
I1309       3410  OX elong N, B (r'): 0.3 x 0.2, vF thin arms. Only a few * in  
I1309       3410    pos of I4977.                                               
I1313       3548  OXN, pB bar, pat (r): 0.85 x 0.6. F arms form (R'): 1.8 x 1.4.
I1313       3548    Sev * sup. vFE env.                                         
I1339       5276  OXN, B bar w dust patches. Knotty (r'): 0.5 x 0.4, p smo arms.
I1339       5276    Sup on distant grp.                                         
I1386       3411  OXN, hexag lens, vFE corona. 1st in S cl.                     
I1412       3390  OX peanut-shape N, B bar, dist lens and (R'): 2.0 x -.        
I1438       3398  OXN, short bar, B (r): 0.75 x 0.45. pF arms w F knots form    
I1438       3398    (R): 1.5 x 1.3.                                             
I1439       3398  (r): 0.4 x 0.2, (R): 0.9 x 0.5, vF env. Sim to I1438 and P(a) 
I1439       3398    at 4.2.                                                     
I1443       3398  OXN, vFE corona; poss SA0-. 2 * sup nf. S Sc? 1.1 nnf.        
I1445       3398  OXN, pB lens, F corona.                                       
I1459=I5265  756  1st in grp.                                                   
I1531        757  Beginning of vF bar?                                          
I1531       2693  OX (elong?) N, dist lens, vFE and dist corona. Sev F gal near.
I1532        928r Asym arms, B nf arm, sharp sp arm. Cl 1.5 sf.                 
I1532       3750  SpBN, pat asym arms. Bckgnd grp near s.                       
I1554        778  vBOXN and bar, F(r'): 0.6 x 0.4 or lens. Dust pat.            
I1555        778  1 arm points at bckgnd (?) gal 0.9 np. * sup 0.5 sf. Sim to   
I1555        778    N7793.                                                      
I1558=D225  4641  pF short bar, knotty arms. B * 3.5 sp.                        
I1562       4641  OXN, short bar, knotty arms. 1st in grp. I1561 (SB(s)b II-III)
I1562       4641    4.0 s. Others near.                                         
I1574=D226  4641  Pat w F knots. E1 1.2 sp. Sup on S cl.                        
I1594       1809r OXN and bar, poss (r): 0.4 x 0.18. Sup on cl.                 
I1595       3492  OX w trace of dust lane.                                      
I1597       1812  OXN w loop sup 0.15 s. eF ext(?) to comp 1.0 np (projection   
I1597       1812    effect?).                                                   
I1603       3492  OXN, pat arms, sev B knots.                                   
I1605       1809r OXN and bar, B (r): 0.55 x 0.4. Sev F comp near.              
I1608       1681r OXN, prob (r): 0.45 x 0.3, pB arms form (R): 1.2 x 0.45 w sev 
I1608       1681r   eF knots sup.                                               
I1609        846  BN, B lens, F corona.                                         
I1615       1809r OXN. Brtst in grp.                                            
I1616       1920  (r): 0.5 x 0.4.                                               
I1616       3516  2 * 1.5 sp and sf form equilateral triangle w gal.            
I1616       4655  OXN and bar, B knotty (r): 0.5 x 0.4, thin knotty arms.       
I1617       1809r OXN, broken (R'): 0.8 x 0.4 in lens. In grp; many comp near.  
I1625       1809r OXN, knots in lens. Brtst in cl. SAB0o 2.6 n. I1621 (0104-470)
I1625       1809r   is an S?sp in corona of eB *.                               
I1625       3492  In I1633 cl.                                                  
I1627       3492  OXN, pat arms, few F knots; slightly dist env. In I1633 cl. F 
I1627       3492    comp 0.8 np.                                                
I1628       1920  Brtst in P(a) at 1.2 sf.                                      
I1628       3516  OXN, prob (r): 0.6 x 0.5 w sev knots sup. P(b?) w (R')SB(rs)0o
I1628       3516    1.3 sf, incl in dim.                                        
I1630       1761r Sup on fiducial mark.                                         
I1630       1809r OXN, dust lane, arms scattered and broken both ends. In cl.   
I1630       1809r   Many comp near.                                             
I1630       3492  In I1633 cl.                                                  
I1631       3492  OXN w dist arms. In I1633 cl.                                 
I1633       3492  OXN w mE corona. cD in cl, many comp.                         
I1637       3516  OXN and bar, (r) or (r'): 0.35 x 0.3; thin knotty arms.       
I1649       3660  In grp, sev F comp.                                           
I1650       1809r OXN, bar and inner arms. 2B knots w jet 0.4 np.               
I1657=I1663 1920  P(b) w SBp 2' p.                                              
I1657=I1663 3570  OXN, highly incl. Comps near np and nf.                       
I1657=I1663 3516  IC pos for I1663 is 2 min and 2 deg off.                      
I1670A,B    3607  P(b?) at 1.0. In calib cutout. I1667 and I93=I1671 15' s.     
I1719       3596  OXN, trace of struct and/or dust in lens, vFE corona. 2 * 1'  
I1719       3596    nf.                                                         
I1720        859  OX, B knotty arms, vF arms on n side.                         
I1722       3596  OXN, lumpy struct. Mult system? 1st in grp.                   
I1724       3596  OXN, smo arms, much incl. F knots in corona? 2nd in grp.      
I1724       3596    Ident uncertain. IC pos is close to 0141-344, but the       
I1724       3596    present obj is brtr and fits desc better.                   
I1728        832  BN, 2 main arms, pat.                                         
I1729       3785  OXN, pB lens, F slightly dist corona. 1st in grp.             
I1734        832  BN, (r): 0.55 x 0.4, pat arms.                                
I1734        847  BN, B bar, F (r): 0.5 x 0.4. Sim to N6744.                    
I1734        859  vBN, F (r): 0.55 x 0.35.                                      
I1759        832  OXN, vF thin arms, rather pat. vF comp or bckgnd gal 0.85     
I1759        832    ssp.                                                        
I1762        832  BN, B bar, 2 main arms, pat; sim to N1365?                    
I1768       3785  OXN, pB dist lens; SB(s)0o 3.4 sp. 1st in grp.                
I1783        832  (r): 0.9 x 0.3, trace of dust lane; saturn-like.              
I1783        847  OXN, broken (r): 0.9 x 0.4; edge of pl.                       
I1783       2702  Near plate edge. Defect sup.                                  
I1788       2702  OXN, much incl, thin knotty arms.                             
I1796       3588  OXN w nubs and vF corona.                                     
I1810       2724  OXN and bar, (r'): 0.5 x 0.45, thin B arms, 3rd in grp.       
I1811       2713  OXN, B bar and (r): 0.45 x 0.4, pat outer arms form vF (R'):  
I1811       2713    1.6 x 1.3. Sup on cl. P(b) w I1811 3.4 nf.                  
I1812       2724  Poss S0-. 1st in grp.                                         
I1812       3588  eFmE corona.                                                  
I1813       2713  pF (r): 0.5 x -, dist lens and corona. P(b) w I1811 3.4 sp.   
I1813       2713    Sev comp near.                                              
I1816       2713  Poss bar and (r): 0.3 x 0.25.                                 
I1816       3588  OXN, vB arms in p smo env; dist corona. Note corr Dec (IC     
I1816       3588    Dec 5' off). (R)SB0? 1.6 sf. S cl 3.5 sf.                   
I1830=I1826 1044  vF arms, * 1.2 spp. F bckgnd comp.                            
I1830=I1826 5522  OXN, B lens, sev comp sup on FE corona. pB * 1.2 p.           
I1833       1044  vF ext or comp (or def?) 1.5 sp.                              
I1858       1044  Dark lane, F out ext. In cl.                                  
I1860       1044  Sim to N4889, B in cl. s S0sp 0.6 sp.                         
I1862        855  BN; 2 * sup 0.3 sf and 0.5 nf.                                
I1875       3536  OX elong N, trace of (r): 0.5 x - in B lens. * sup 0.3 n.     
I1875       3536    F S0? 1.0 nf. Note correct coord.                           
I1876       3818  OXN, dist lens w vF knots, dist E corona. 1st in grp.         
I1877       1892  Dbl or tri int sys w plume 1.8 to n; loop on sf side. Brtst   
I1877       1892    in grp. 3 gals within 2' p.                                 
I1885       2770  OXN, knotty slightly dist arms, vF env.                       
I1892       3649  Knotty bar; 1 B arm, 1 F, both knotty. 3 pF gal in chain to n.
I1892       3649    N1230 5' np.                                                
I1895       3649  OXN, B (r'): 0.5 x - in lens, pF arms. 2 pF gal nf.           
I1895       3820  Dist lens and corona.                                         
I1898       3749  Patchy w dust lane. Sim to N3556, but thinner.                
I1904       2654  OXN, arms form (R'): 1.0 x 0.4. F comp 1.1 sf.                
I1906       2770  OXN (& bar?), vB arms form (R'): 0.5 x 0.25, eF env.          
I1908       1826  OX bar, dist arms extend into plumes; one arm crosses bar.    
I1908       1826    (r'): 0.6 x 0.4. Poss P(c).                                 
I1909       2770  OXN and bar, pB (r): 0.5 x 0.3, pat arms.                     
I1913       2770  OX w F traces of dust. S SAB(r)0+ 3.6 p.                      
I1914       1892  pBN, F knotty arms.                                           
I1914       3594  pBN, pF bar, v knotty arms; part res.                         
I1919       1050r pB lens, vF corona.                                           
I1919       2654  F arcs in lens.                                               
I1919       2698  On ghost halo of B *.                                         
I1919       2770  OXN, trace of (r)(?): 0.8 x - in pB lens.                     
I1928       5541  OXN, dark lane, p smo arms.                                   
I1933       1127r B cent part, v pat arms. * 0.6 sp.                            
I1933       3594  OX bar, pat arms w many knots; * sup 0.65 ssp. Sup on cl.     
I1933       3594    cIm? 2.0 sf.                                                
I1935       3594  OX eccen N, dist knotty arms, eF env. P(b?) w F comp 0.6 sf   
I1950       3594  OXN, highly incl. Arm connects w F comp 1.0 np. N1356 8.3 np. 
I1952       3820  OXN (and bar?), pat arms, much incl. pB * 1.3 sf.             
I1953       5541  OX bar, (r'): 0.7 x -, knotty dist arms. SA(s)dm IV 2.6 nf.   
I1953       5541    Sm:pec 6.0 sp.                                              
I1954       2661  SOXN, B knotty arms. On pl edge.                              
I1954       3594  OXN, B arms w many knots.                                     
I1959       3594  OXN and bar(?), v pat struct, part res?                       
I1960       2635  OXN, pF disk; 2-3 F comp. Near calib cutout.                  
I1960       2661  OXN, eF outer env.                                            
I1962       5541  pB pat bar w sev knots, F arms w few knots. IB(s)m IV-V 5.0   
I1962       5541    nnp.                                                        
I1965       2661  p short bar, pF knotty arms.                                  
I1970       2672  OX w dark lane, vF exts. Sim to N4594. F comp 2.1 nf.         
I1978       3594  OXN, F arms, thin jet(?) to s. Sev F comp near n.             
I1980       2635  OX w lumpy struct, poss I0?pec. vF exts. P(b?) w I1982 at     
I1980       2635    12.9. I1979 = ** (EU incorrect).                            
I1980       2661  Near pl edge. Fiducial mark sup. I1979 = ** (EU incorrect).   
I1982       2635  Dust lane across OXN perpen to vF arms. P(b?) w I1980 at 12.9.
I1982       2661  OXN, vF knotty arms form (R'): 0.9 x 0.5. eF env.             
I1987       2661  OXN, cD(?) in cl. Corona dist by 3 sup comp. Others near.     
I1989       3594  OXN, B lens, trace of dust lane. Sev knots or F gal sup.      
I1993       2698  OXN and bar(?), vB (r'): 0.65 x 0.65, v pat arms form (R'):   
I1993       2698    1.4 x 1.3. B * 1.7 np. Note correct RA.                     
I1997       2635  OXN, v patchy arms. S Sa 3.3 sp.                              
I2000       3594  Poss bar. Sim to N4631 or N3556, but thin arms.               
I2006       2709  OXN, eF (R): 4.1 x 3.6, slightly pat.                         
I2007=I2008 2699  OX w trace of arms, eFE corona. * sup 0.5 nf. Sev F comp near.
I2009       3662  pB bar, F knotty arms, * sup 0.6 nf; pB * 1.8 sp.             
I2010       2635  OXN, massive arms, eF corona. I2011 = **.                     
I2014       2635  SN, B bar, long arms.                                         
I2014       2661  FN, long arms w B knots. I2011 = ** (EU incorrect).           
I2017       2635  Dust lane across N, pF dist lens 0.95 x 0.45; dist corona.    
I2017       2635    S E1: 4.4 np.                                               
I2018       2661  B bar(?) and incomp (r): 0.3 x -; eF (R): 1.3 x 0.9. In cl.   
I2018       2661    Others near.                                                
I2024       2661  B bar(??), v patchy arms. Sev comp near.                      
I2025       2661  OXN, pF arms w 2 B knots.                                     
I2028       2661  OXN, sim to M33. I2029 (SB(s)b) 5.6 s.                        
I2029       3662  OX bar, dist arms, F comp 0.25 nf. I2028 (Sa:) 5.5 n. S       
I2029       3662    (R)Sb:pec 4.1 sp.                                           
I2032       2661  pF bar, many B and F knots.                                   
I2033       2661  OXN, (r'): 0.5 x 0.25, smo arms; eF env.                      
I2034       2635  OXN.                                                          
I2034       2661  Sim to N5907.                                                 
I2035       2714  OX w vF plumes in eF corona.                                  
I2037       2635  OXN, F outer arms; S (R')SB(r)b 4.6 n.                        
I2038       1893  Type on this plate (Sa:pec) rej. Overall Do x do with I2039:  
I2038       1893    (6.0: x 2.8).                                               
I2038       2661  Dist arms. P(b) w I2039 at 1.6.                               
I2039       2661  Dist lens and corona. P(b) w I2038 at 1.6. N1533 10' sf.      
I2040       2703  OXN w dust lane across one end; vF corona. Note corr coord.   
I2040       2771  eF dist corona.                                               
I2041       2703  OX elong N w pB lens, vFE corona. Note coor coord. N1532 7'   
I2041       2703    sp.                                                         
I2041       2709  Poss = I2048 also?                                            
I2043       2661  OXN. Sev F comp p and np.                                     
I2049       2635  OXN (w * sup?), v chaotic knotty arms.                        
I2050       1893  SBN, (r'): 0.3 x 0.25, dist arms, eF env.                     
