Field,RAh,RAm,DE-,DEd,DEm,Pmag,Rem_Code
1,7,12.4,+,0,51,15.7,--
1,7,18.1,-,1,28,15.5,--
1,7,18.2,-,1,36,15.6,--
1,7,20.6,+,2,52,15.3,1
1,7,20.9,+,2,43,15.1,--
1,7,23.5,+,2,5,15.4,--
1,7,24.2,+,1,45,15.6,--
2,7,29.3,-,2,7,15.7,--
2,7,30.6,+,0,58,15.7,--
2,7,31.6,-,1,53,15.6,--
2,7,32.9,+,1,4,15.6,1
2,7,36.1,+,2,20,14.8,--
2,7,37.2,-,2,31,15.5,1
2,7,37.8,-,1,28,15.5,1
2,7,39.3,-,2,35,15.4,--
2,7,42.4,+,0,3,15.6,--
2,7,42.4,-,0,15,15.6,--
2,7,43.5,-,2,48,15.7,--
2,7,43.9,+,2,5,15.4,1
2,7,44.4,-,1,2,15.7,--
2,7,44.6,+,0,55,15.7,--
2,7,45.8,-,1,21,15.6,--
2,7,46.3,-,1,36,15.5,--
2,7,48.8,+,2,27,15.6,--
2,7,49.2,+,2,57,14.7,--
2,7,50.8,-,0,21,15.3,--
3,7,55.0,-,1,25,15.5,--
3,7,56.6,-,0,30,14.2,--
3,7,58.2,+,2,26,15.4,--
3,7,59.5,+,0,57,15.5,1
3,8,0.2,+,0,25,15.5,--
3,8,1.8,+,1,20,15.6,--
3,8,2.0,-,2,14,15.7,--
3,8,3.2,-,3,25,15.5,--
3,8,3.7,-,3,8,15.1,--
3,8,3.8,+,1,11,14.3,--
3,8,6.2,+,1,46,15.4,--
3,8,6.3,+,0,27,14.9,--
3,8,6.6,+,0,25,14.7,--
3,8,6.7,-,0,13,14.5,--
3,8,6.8,+,0,45,14.4,--
3,8,9.9,-,1,17,15.3,--
3,8,11.2,+,0,48,15.2,--
3,8,11.5,-,0,8,15.3,--
3,8,12.2,+,1,42,15.6,--
3,8,12.3,+,0,13,15.4,--
3,8,14.1,-,0,15,15.3,--
3,8,14.1,-,2,50,15.3,--
3,8,14.4,-,0,36,15.6,--
3,8,14.6,-,0,42,15.6,--
3,8,14.7,+,1,22,15.3,1
3,8,15.1,+,0,49,15.7,--
3,8,15.2,-,0,44,15.5,--
3,8,15.4,+,0,54,13.5,--
3,8,15.4,+,2,20,15.5,--
4,8,18.0,-,1,13,15.1,--
4,8,18.2,-,1,15,15.0,1
4,8,19.7,-,1,54,15.6,--
4,8,19.9,+,2,29,15.7,1
4,8,19.9,-,0,53,14.9,--
4,8,19.9,-,0,57,15.5,--
4,8,20.2,-,1,38,15.7,--
4,8,20.4,-,0,12,15.2,--
4,8,20.7,-,0,42,14.8,--
4,8,21.0,+,0,0,15.1,1
4,8,21.4,-,0,8,15.1,--
4,8,21.5,-,0,13,15.5,--
4,8,21.6,+,0,8,15.6,--
4,8,21.6,-,0,9,15.4,--
4,8,21.7,+,0,1,15.7,1
4,8,21.7,-,1,56,15.7,1
4,8,21.9,-,2,22,15.7,--
4,8,22.3,-,2,42,15.5,1
4,8,22.5,-,0,26,14.0,--
4,8,22.5,-,1,3,15.5,--
4,8,22.6,+,0,40,15.6,--
4,8,22.6,-,2,25,15.4,--
4,8,22.8,+,2,9,15.4,--
4,8,23.0,+,2,7,15.5,--
4,8,23.2,-,2,54,15.6,--
4,8,24.3,+,0,12,15.4,--
4,8,24.6,-,0,55,15.5,1
4,8,24.8,+,2,1,15.3,--
4,8,25.0,-,1,24,15.5,--
4,8,25.0,-,1,28,15.5,--
4,8,25.5,+,1,40,15.7,1
4,8,25.6,+,0,11,15.2,--
4,8,25.6,+,1,10,15.2,--
4,8,25.6,-,1,22,15.3,--
4,8,25.7,+,0,27,15.1,--
4,8,26.4,+,0,47,15.5,--
4,8,27.0,+,1,22,15.7,--
4,8,27.1,-,0,59,15.5,--
4,8,27.5,+,2,8,15.6,--
4,8,27.7,-,2,44,15.5,--
4,8,27.9,-,0,36,15.6,1
4,8,28.4,+,0,4,15.5,--
4,8,28.6,-,1,57,15.6,--
4,8,28.8,-,2,50,15.6,--
4,8,29.0,-,1,2,15.0,--
4,8,29.6,-,2,0,15.2,1
4,8,29.9,-,0,44,15.5,--
4,8,29.9,-,3,2,15.3,1
4,8,30.2,+,0,24,15.2,--
4,8,30.4,-,0,52,15.5,1
4,8,30.5,-,2,22,15.5,--
4,8,30.8,-,2,21,15.4,--
4,8,30.8,-,3,20,14.9,--
4,8,31.1,+,2,20,15.6,--
4,8,31.4,-,0,33,15.7,1
4,8,31.4,-,1,56,15.7,--
4,8,31.8,+,1,11,15.6,--
4,8,31.9,+,1,50,14.7,1
4,8,32.0,+,0,22,15.5,--
4,8,32.0,-,2,22,13.5,--
4,8,32.5,-,3,26,15.6,1
4,8,32.6,-,2,48,15.6,--
4,8,32.6,-,2,56,15.0,--
4,8,32.8,-,2,4,15.6,--
4,8,32.9,-,1,53,15.3,--
4,8,32.9,-,1,56,15.5,--
4,8,33.0,-,1,40,15.2,1
4,8,33.0,-,1,44,15.6,--
4,8,33.0,-,2,40,15.7,1
4,8,33.1,-,1,35,15.3,--
4,8,33.1,-,2,48,15.7,--
4,8,33.2,+,1,54,13.9,--
4,8,33.2,-,1,47,15.7,--
4,8,33.3,+,0,52,13.9,--
4,8,33.3,-,1,42,15.7,--
4,8,33.4,-,2,48,15.7,--
4,8,33.5,+,0,47,15.7,--
4,8,33.5,+,1,30,15.4,--
4,8,33.5,+,2,4,15.2,--
4,8,33.7,-,3,16,15.7,1
4,8,33.8,-,1,54,15.4,--
4,8,33.8,-,3,25,15.7,--
4,8,33.9,-,3,25,15.6,--
4,8,34.0,-,1,29,15.4,--
4,8,34.1,-,1,22,15.6,1
4,8,34.4,+,1,58,15.3,1
4,8,34.7,-,3,12,15.5,1
4,8,35.1,-,0,41,15.5,--
4,8,35.1,-,3,2,15.1,--
4,8,35.3,+,2,11,15.7,--
4,8,35.3,-,0,5,15.6,1
4,8,35.4,-,2,17,14.5,1
4,8,35.5,-,2,32,15.5,--
4,8,35.7,+,0,30,15.7,1
4,8,35.7,-,2,56,15.6,--
4,8,35.9,-,1,2,15.7,--
4,8,35.9,-,1,27,15.6,1
4,8,36.3,+,1,34,15.3,1
4,8,36.6,-,2,7,15.3,1
4,8,36.6,-,2,12,15.3,--
4,8,36.8,-,0,27,15.7,1
4,8,36.8,-,3,10,15.7,1
4,8,37.4,-,2,37,15.6,1
4,8,37.8,-,0,58,15.7,--
4,8,38.0,+,2,21,15.5,--
4,8,39.5,+,1,5,15.4,1
4,8,40.1,-,0,23,15.3,--
5,8,41.2,-,0,21,15.6,--
5,8,41.3,+,1,1,15.0,--
5,8,41.6,+,0,5,15.7,--
5,8,41.9,+,2,15,15.7,--
5,8,42.3,+,1,20,15.7,--
5,8,42.9,-,2,18,15.6,1
5,8,44.3,+,0,29,15.6,--
5,8,45.8,+,1,15,15.7,--
5,8,45.8,+,1,35,15.7,--
5,8,45.8,-,2,47,15.6,--
5,8,45.8,-,2,50,14.7,--
5,8,46.1,+,1,13,14.9,--
5,8,47.2,+,1,11,15.3,--
5,8,47.6,+,0,50,15.7,1
5,8,48.0,-,2,55,15.0,--
5,8,48.1,+,1,32,15.0,--
5,8,48.6,+,0,26,15.5,1
5,8,49.1,-,2,10,14.5,1
5,8,49.2,-,1,58,14.2,1
5,8,50.1,-,2,25,14.1,--
5,8,50.2,-,1,38,15.5,1
5,8,50.6,-,1,28,15.5,--
5,8,51.1,+,1,44,15.2,--
5,8,51.6,+,0,41,15.5,--
5,8,51.9,-,2,53,13.3,--
5,8,52.2,-,1,42,15.6,--
5,8,52.5,-,2,48,13.6,--
5,8,52.7,-,2,5,15.4,1
5,8,52.8,+,1,2,15.6,--
5,8,53.1,-,3,0,13.2,--
5,8,53.2,+,0,58,15.2,--
5,8,53.2,-,2,6,14.8,--
5,8,53.3,-,2,57,13.6,--
5,8,53.6,-,3,10,13.6,--
5,8,53.7,-,2,23,13.8,--
5,8,53.7,-,3,4,14.8,--
5,8,53.8,-,0,15,15.3,--
5,8,53.8,-,1,27,15.5,--
5,8,54.1,+,0,33,14.7,--
5,8,54.7,-,2,10,15.7,--
5,8,54.8,-,0,48,15.6,--
5,8,55.2,-,0,1,15.1,--
5,8,55.9,+,0,12,15.3,--
5,8,56.5,-,1,36,15.3,--
5,8,56.8,+,0,59,15.4,--
5,8,58.8,-,1,40,14.9,--
5,8,58.9,-,0,14,15.6,--
5,8,59.2,+,0,42,15.6,--
5,8,59.8,-,0,54,15.5,--
5,9,0.9,-,2,23,14.8,1
5,9,1.0,-,1,11,15.2,--
5,9,1.1,-,0,57,15.7,--
5,9,1.5,+,0,6,15.7,--
5,9,3.0,+,2,14,15.6,--
5,9,3.1,+,2,13,15.7,--
5,9,4.1,-,0,40,15.5,1
5,9,4.4,+,0,10,15.6,--
6,9,5.2,-,1,27,15.6,--
6,9,5.7,-,1,36,15.6,--
6,9,5.9,-,1,25,15.3,--
6,9,6.1,-,1,33,15.2,--
6,9,6.2,+,0,42,15.3,--
6,9,6.4,+,1,38,15.7,1
6,9,6.6,+,1,2,15.6,--
6,9,6.8,-,0,58,15.4,--
6,9,6.9,-,1,32,15.1,--
6,9,7.0,-,0,59,15.5,--
6,9,8.9,-,2,41,15.3,--
6,9,9.1,-,3,20,15.5,--
6,9,9.4,+,2,17,15.7,1
6,9,9.7,+,1,8,15.7,--
6,9,10.2,+,2,11,15.7,--
6,9,10.5,+,2,15,15.4,--
6,9,10.7,+,2,4,15.5,--
6,9,11.3,-,1,39,15.6,--
6,9,11.7,-,2,15,15.4,1
6,9,11.8,-,2,35,15.7,1
6,9,12.6,-,0,30,15.7,--
6,9,13.1,-,1,8,15.6,--
6,9,13.6,+,0,55,15.6,--
6,9,14.1,+,0,25,15.4,--
6,9,14.3,+,0,47,15.5,--
6,9,14.9,-,0,25,15.0,--
6,9,15.2,+,1,16,15.7,1
6,9,15.3,-,0,4,14.9,--
6,9,17.3,+,1,9,15.4,--
6,9,17.4,+,1,8,15.5,--
6,9,17.5,+,1,15,14.1,--
6,9,17.9,-,0,48,15.4,--
6,9,18.1,-,0,28,14.8,--
6,9,19.7,-,0,50,15.6,--
6,9,20.4,+,1,38,15.4,--
6,9,20.7,-,0,31,14.2,--
6,9,20.8,+,1,47,15.6,--
6,9,21.0,+,2,20,14.0,--
6,9,21.1,+,1,33,14.8,1
6,9,21.2,+,2,19,15.4,--
6,9,21.5,+,2,20,15.5,--
6,9,23.2,+,2,18,14.9,--
6,9,23.2,+,2,26,14.7,--
6,9,24.1,+,1,22,15.7,--
6,9,25.5,+,1,53,15.7,--
6,9,25.5,-,2,13,15.7,1
6,9,26.6,-,2,20,14.3,--
6,9,27.2,+,2,17,14.8,--
6,9,27.3,-,2,8,15.6,--
6,9,27.9,-,1,38,15.7,--
7,9,29.8,+,0,33,15.3,--
7,9,31.6,+,0,29,13.9,1
7,9,31.9,-,2,16,14.5,--
7,9,32.0,+,0,19,14.7,--
7,9,32.1,+,0,56,15.6,--
7,9,33.1,+,1,28,15.7,--
7,9,33.8,-,0,20,15.6,1
7,9,34.0,+,1,21,14.9,--
7,9,34.0,-,2,43,15.7,--
7,9,34.1,+,0,38,15.6,--
7,9,34.1,+,1,29,15.5,--
7,9,34.3,-,2,20,15.5,--
7,9,34.5,+,1,20,15.4,1
7,9,35.4,-,3,2,15.7,--
7,9,36.0,-,3,20,15.7,--
7,9,37.0,-,2,57,15.6,--
7,9,37.1,+,0,0,15.1,1
7,9,37.6,-,3,21,15.6,1
7,9,39.4,+,1,33,15.7,--
7,9,39.5,+,0,34,12.2,--
7,9,39.8,-,1,46,15.7,--
7,9,40.0,-,3,28,12.3,--
7,9,40.5,-,2,1,14.7,--
7,9,40.6,+,0,39,15.4,--
7,9,41.5,-,0,25,15.5,--
7,9,41.6,-,0,26,15.4,--
7,9,42.1,+,0,1,15.5,--
7,9,42.3,+,0,18,15.7,--
7,9,42.9,-,2,48,15.5,--
7,9,43.3,-,0,2,14.6,--
7,9,43.5,+,1,54,14.1,--
7,9,44.3,+,0,44,15.3,--
7,9,44.3,-,0,48,15.6,--
7,9,44.6,+,0,56,15.5,--
7,9,44.7,+,0,54,15.6,--
7,9,45.0,-,1,48,15.5,--
7,9,45.3,-,2,18,15.7,--
7,9,45.8,-,3,30,14.5,--
7,9,46.2,+,1,17,15.7,--
7,9,46.5,-,2,36,14.4,--
7,9,46.8,+,1,22,14.2,--
7,9,47.1,+,0,51,14.2,--
7,9,47.3,+,0,51,13.5,1
7,9,47.4,+,0,0,15.5,1
7,9,47.8,+,1,48,14.6,--
7,9,48.6,-,1,37,15.7,--
7,9,49.0,+,1,20,15.7,1
7,9,49.6,+,1,19,15.0,--
7,9,49.8,-,1,25,15.5,1
7,9,49.9,+,2,22,14.4,--
7,9,49.9,-,2,11,15.6,--
7,9,50.0,-,2,13,15.5,1
7,9,50.2,+,0,10,15.4,--
7,9,50.8,+,0,56,13.8,--
7,9,50.8,+,2,12,15.6,--
7,9,51.1,+,1,48,12.4,--
7,9,51.6,+,0,53,15.7,--
7,9,51.7,+,0,52,15.3,--
7,9,52.0,-,1,4,14.2,1
8,9,53.3,-,1,37,15.7,1
8,9,54.0,+,1,40,15.1,--
8,9,54.0,+,2,6,15.7,1
8,9,54.8,-,2,10,15.7,1
8,9,56.0,-,2,35,15.4,--
8,9,56.1,+,1,18,15.2,--
8,9,56.2,-,2,50,15.7,--
8,9,56.9,+,0,0,14.7,--
8,9,57.2,-,1,55,15.5,--
8,9,57.2,-,2,56,15.6,--
8,9,57.3,-,2,38,14.2,--
8,9,57.6,+,2,24,14.6,--
8,9,57.6,-,2,44,14.5,--
8,9,57.7,+,0,45,15.7,--
8,9,57.8,+,0,57,15.1,--
8,9,58.0,-,1,55,14.3,--
8,9,58.0,-,2,43,14.2,--
8,9,58.2,-,2,42,15.5,1
8,9,58.3,+,1,30,15.4,1
8,9,58.3,-,2,46,14.5,--
8,9,58.4,-,2,43,15.1,--
8,9,58.6,+,0,28,15.0,--
8,9,58.6,+,0,35,15.4,--
8,9,59.1,-,2,45,15.6,--
8,9,59.5,-,2,1,15.7,--
8,9,59.9,-,2,47,15.6,--
8,10,0.0,+,0,33,15.2,--
8,10,0.6,-,2,8,14.3,--
8,10,0.9,-,1,18,15.6,1
8,10,1.4,+,1,45,15.4,1
8,10,1.9,-,2,10,14.6,--
8,10,2.1,+,2,8,15.6,1
8,10,2.1,-,1,30,15.6,1
8,10,2.8,+,0,47,15.0,--
8,10,3.0,+,0,19,15.5,1
8,10,3.2,+,2,29,15.5,1
8,10,3.3,+,0,53,14.2,1
8,10,3.7,-,1,18,15.2,1
8,10,3.8,-,1,34,15.6,--
8,10,4.4,-,1,0,15.4,1
8,10,5.0,+,0,31,15.7,--
8,10,5.0,-,2,17,15.5,--
8,10,5.3,+,0,33,15.4,--
8,10,5.3,-,3,14,15.3,--
8,10,5.4,+,0,31,15.5,1
8,10,5.4,-,2,15,14.0,--
8,10,5.8,-,2,17,14.2,--
8,10,5.9,+,0,37,15.0,1
8,10,6.0,-,0,25,14.7,--
8,10,6.3,-,0,2,15.5,--
8,10,7.3,+,1,28,15.3,--
8,10,7.4,-,2,35,15.5,1
8,10,7.5,-,2,13,15.5,1
8,10,7.9,+,2,29,15.2,--
8,10,8.0,-,1,33,15.3,--
8,10,8.1,-,1,48,15.3,--
8,10,8.1,-,2,11,15.1,--
8,10,8.3,-,0,24,15.7,--
8,10,8.6,+,0,12,15.5,--
8,10,8.6,+,1,28,15.2,--
8,10,8.7,+,0,10,15.6,--
8,10,8.8,+,0,13,15.4,--
8,10,8.8,+,0,41,14.0,--
8,10,9.2,-,2,30,15.1,--
8,10,9.3,+,0,10,15.4,--
8,10,9.5,-,1,54,15.0,1
8,10,10.1,-,2,36,15.6,--
8,10,10.2,-,2,24,15.4,--
8,10,10.2,-,3,15,15.7,--
8,10,10.3,-,2,27,15.0,--
8,10,10.5,-,2,25,15.6,--
8,10,10.8,-,2,17,15.3,--
8,10,11.0,-,2,56,15.6,--
8,10,11.1,-,0,41,14.4,--
8,10,11.1,-,3,8,15.7,--
8,10,11.2,-,0,40,15.5,--
8,10,11.2,-,2,35,15.7,1
8,10,11.4,+,0,47,15.0,--
8,10,12.1,-,0,35,14.8,--
8,10,12.2,-,0,6,15.6,--
8,10,12.2,-,1,57,15.7,1
8,10,12.3,-,1,8,15.3,--
8,10,14.3,-,3,26,15.7,--
8,10,14.4,-,2,15,15.7,--
8,10,14.7,-,3,15,13.3,--
8,10,15.2,+,2,3,15.7,--
8,10,15.2,-,2,8,15.5,--
8,10,15.8,-,3,22,15.7,--
8,10,16.0,-,3,20,15.6,--
8,10,16.3,-,1,0,15.7,--
8,10,16.4,+,1,54,15.1,--
8,10,16.6,-,1,0,15.6,--
8,10,16.9,-,3,5,15.3,1
9,10,16.9,-,3,5,15.3,1
9,10,17.0,-,2,14,15.7,--
9,10,17.3,-,0,46,15.7,--
9,10,17.7,+,1,28,15.7,1
9,10,18.8,-,0,18,15.3,--
9,10,19.0,-,2,24,15.7,1
9,10,19.2,-,3,12,14.8,1
9,10,19.3,+,0,33,15.1,--
9,10,19.3,+,0,40,15.4,--
9,10,19.8,+,1,27,14.5,--
9,10,19.9,+,0,56,15.2,--
9,10,20.1,-,3,21,15.5,1
9,10,20.2,-,3,1,15.6,--
9,10,20.6,-,3,21,15.5,--
9,10,20.8,-,3,0,14.6,--
9,10,20.9,-,1,55,15.6,--
9,10,20.9,-,3,8,15.5,--
9,10,21.4,-,2,56,13.4,--
9,10,21.6,+,0,24,15.2,--
9,10,22.0,+,1,21,15.3,--
9,10,22.0,-,0,36,15.5,--
9,10,22.1,-,0,37,15.6,1
9,10,22.1,-,2,4,15.2,--
9,10,22.3,-,0,38,15.5,--
9,10,22.8,+,0,54,15.3,--
9,10,23.0,-,1,58,14.4,--
9,10,23.1,+,1,0,15.0,--
9,10,23.1,+,1,41,15.4,1
9,10,23.1,-,3,20,15.6,--
9,10,23.2,-,3,22,15.5,--
9,10,23.6,-,3,9,15.0,--
9,10,23.8,+,0,56,15.3,--
9,10,23.8,-,2,22,14.0,--
9,10,23.8,-,3,14,15.7,--
9,10,24.0,-,2,35,14.9,--
9,10,24.0,-,3,25,15.7,1
9,10,24.1,+,1,15,15.3,--
9,10,24.4,-,0,17,15.5,1
9,10,24.4,-,2,59,15.7,--
9,10,24.4,-,3,12,14.8,--
9,10,24.4,-,3,27,15.6,--
9,10,24.6,+,1,13,15.4,--
9,10,24.6,+,1,44,15.1,--
9,10,24.6,-,3,4,15.2,1
9,10,24.7,-,2,19,15.7,1
9,10,24.7,-,3,5,15.6,--
9,10,24.8,+,1,30,15.4,--
9,10,24.8,-,2,56,15.3,--
9,10,24.9,+,1,31,14.9,1
9,10,25.0,-,1,4,15.4,--
9,10,25.0,-,3,26,15.7,--
9,10,25.9,-,2,59,15.5,--
9,10,26.1,+,1,36,15.6,--
9,10,26.1,-,1,42,15.7,--
9,10,26.7,-,1,46,15.6,1
9,10,26.7,-,2,15,15.4,1
9,10,26.9,-,3,29,15.5,--
9,10,27.0,-,3,30,15.0,--
9,10,27.1,+,2,10,15.3,1
9,10,27.2,-,1,23,15.7,--
9,10,27.4,-,2,59,15.3,1
9,10,27.6,-,1,25,15.6,--
9,10,27.6,-,2,55,14.4,--
9,10,27.7,-,2,5,15.6,1
9,10,27.8,-,2,50,15.6,--
9,10,28.0,-,2,34,15.7,1
9,10,28.0,-,2,57,15.7,1
9,10,28.1,-,1,35,15.0,--
9,10,28.3,-,2,30,15.3,--
9,10,28.4,-,2,28,15.1,--
9,10,28.6,-,3,10,15.7,--
9,10,29.0,+,0,43,14.3,--
9,10,29.2,-,2,28,15.6,1
9,10,29.5,-,2,11,15.1,--
9,10,29.6,-,1,15,15.1,1
9,10,29.7,-,1,18,15.4,--
9,10,29.8,-,2,30,15.7,--
9,10,30.5,-,1,50,14.9,--
9,10,31.1,-,2,0,15.4,--
9,10,31.3,-,0,18,15.6,--
9,10,31.5,-,2,7,15.4,--
9,10,32.2,+,0,55,15.6,1
9,10,32.2,-,1,43,13.8,--
9,10,32.7,-,1,45,15.7,--
9,10,34.0,-,1,0,15.3,--
9,10,34.4,+,0,29,14.7,--
9,10,34.8,-,3,6,14.1,--
9,10,34.9,-,2,29,15.2,1
9,10,35.5,+,2,0,15.0,--
9,10,35.6,-,2,24,15.3,--
9,10,35.9,-,2,19,14.7,--
9,10,36.6,-,0,9,14.8,--
9,10,36.7,+,0,3,14.0,--
9,10,36.8,+,1,58,14.7,--
9,10,36.8,-,0,8,14.5,--
9,10,38.3,-,0,40,15.7,--
9,10,38.3,-,2,3,15.4,--
9,10,38.6,-,2,42,15.6,1
9,10,38.7,-,2,34,14.8,--
9,10,39.3,+,1,3,14.9,--
9,10,39.7,-,0,7,13.6,--
10,10,41.3,+,2,13,15.5,1
10,10,41.3,-,2,15,15.5,1
10,10,41.4,-,1,1,14.1,--
10,10,42.5,+,0,43,15.1,--
10,10,42.6,+,0,23,15.0,--
10,10,43.2,+,2,17,15.4,--
10,10,43.7,+,0,19,15.5,--
10,10,43.7,+,2,5,13.6,--
10,10,43.8,-,1,27,15.6,--
10,10,43.9,-,2,1,14.8,1
10,10,44.0,-,2,27,14.8,--
10,10,44.4,-,1,7,14.4,--
10,10,44.7,-,2,5,15.5,--
10,10,45.0,-,1,13,15.2,--
10,10,45.1,-,2,50,15.7,--
10,10,45.4,+,1,5,15.1,--
10,10,45.6,-,1,39,15.4,--
10,10,45.8,+,1,7,14.3,--
10,10,45.8,-,3,18,15.6,--
10,10,45.9,-,3,2,15.7,--
10,10,46.3,-,3,19,15.5,--
10,10,46.5,-,0,22,14.7,--
10,10,46.6,+,2,30,15.3,--
10,10,46.7,+,0,39,15.7,--
10,10,46.8,+,0,36,15.2,--
10,10,46.8,-,0,24,14.9,--
10,10,47.1,+,0,38,14.9,--
10,10,47.3,+,1,29,15.5,--
10,10,47.4,-,1,20,15.7,1
10,10,47.5,+,0,36,14.8,--
10,10,47.5,+,0,38,15.6,--
10,10,47.7,-,1,0,14.7,--
10,10,47.9,-,3,10,15.7,--
10,10,48.3,+,1,27,14.9,1
10,10,48.5,-,1,52,12.9,--
10,10,48.8,-,3,20,15.1,--
10,10,49.0,-,3,27,14.5,--
10,10,49.1,-,0,48,15.6,1
10,10,49.6,-,0,17,14.2,--
10,10,49.7,-,2,7,14.8,1
10,10,50.3,+,0,19,15.4,--
10,10,51.8,-,0,5,15.3,--
10,10,54.1,+,0,21,15.7,1
10,10,55.3,+,1,58,15.4,--
10,10,55.3,-,1,59,15.7,--
10,10,55.6,-,0,30,15.2,--
10,10,55.7,+,1,54,14.9,1
10,10,55.9,+,1,39,15.7,--
10,10,56.0,-,2,17,15.7,--
10,10,56.3,+,1,56,15.7,--
10,10,56.5,+,1,43,15.1,--
10,10,56.6,+,1,28,15.1,--
10,10,56.6,+,2,10,15.2,1
10,10,56.7,+,2,5,15.6,--
10,10,56.8,+,1,27,15.4,1
10,10,56.8,+,1,52,15.6,--
10,10,57.5,+,1,24,15.7,--
10,10,57.5,+,2,3,15.6,1
10,10,58.0,+,2,24,15.0,--
10,10,58.1,-,2,37,15.4,--
10,10,58.5,-,2,7,15.7,--
10,10,58.9,-,1,56,15.3,--
10,11,0.0,-,3,22,15.4,1
10,11,1.0,-,1,14,15.4,1
10,11,1.1,-,1,6,15.1,--
10,11,1.3,+,0,4,15.6,--
10,11,1.9,-,0,16,15.7,--
10,11,2.0,-,0,27,15.6,1
10,11,2.2,-,1,15,14.8,--
10,11,2.2,-,2,13,15.7,--
10,11,2.7,-,0,31,15.1,--
10,11,3.1,+,0,7,15.7,--
10,11,3.2,-,1,13,15.6,--
10,11,3.3,+,0,15,10.1,--
10,11,3.8,-,2,2,15.7,--
10,11,4.0,+,0,34,15.6,--
10,11,4.3,-,2,14,15.7,1
10,11,4.8,-,2,16,15.6,1
10,11,5.0,+,1,3,14.8,--
11,11,5.1,-,2,40,15.7,--
11,11,5.4,+,2,17,15.3,1
11,11,5.4,+,2,19,15.7,--
11,11,6.1,+,0,33,14.8,1
11,11,6.1,+,0,40,15.0,--
11,11,6.1,+,2,9,15.3,1
11,11,6.6,+,0,59,15.6,--
11,11,6.8,+,0,10,14.5,--
11,11,6.8,-,0,35,15.3,--
11,11,7.0,-,2,19,15.5,--
11,11,7.1,-,0,33,15.6,--
11,11,7.2,+,1,5,15.6,--
11,11,7.2,-,3,23,15.4,1
11,11,7.4,-,2,42,15.6,1
11,11,8.0,+,1,10,15.7,--
11,11,8.2,+,1,30,15.4,--
11,11,8.2,-,2,28,15.5,--
11,11,8.4,+,1,22,15.5,--
11,11,8.5,-,3,18,15.5,--
11,11,8.6,+,0,54,15.7,--
11,11,8.9,-,1,11,15.7,--
11,11,9.2,-,2,10,14.7,--
11,11,9.6,-,2,4,15.0,--
11,11,9.7,-,2,7,15.6,1
11,11,10.0,+,1,43,15.5,1
11,11,10.4,+,0,26,15.6,1
11,11,10.5,+,0,16,15.3,1
11,11,11.1,-,2,20,14.9,--
11,11,11.5,-,0,28,15.3,1
11,11,12.2,-,1,51,15.1,--
11,11,12.3,-,2,34,14.9,--
11,11,12.7,-,3,7,15.7,--
11,11,12.8,+,0,23,15.2,1
11,11,12.8,-,3,29,15.2,--
11,11,13.2,+,1,8,15.4,1
11,11,13.4,-,0,4,15.5,--
11,11,13.6,+,0,51,15.5,1
11,11,13.6,-,3,25,15.6,--
11,11,13.8,+,1,3,15.7,--
11,11,14.0,-,1,0,15.7,--
11,11,14.1,-,0,45,15.7,--
11,11,14.5,-,0,58,15.6,--
11,11,15.0,+,0,5,15.6,--
11,11,15.1,-,1,2,15.1,--
11,11,15.1,-,2,54,14.8,--
11,11,15.4,-,1,40,14.6,--
11,11,15.4,-,1,49,14.3,--
11,11,16.0,+,0,42,15.2,1
11,11,16.0,-,1,50,15.4,1
11,11,16.2,-,0,5,15.4,--
11,11,16.3,+,0,54,14.9,--
11,11,16.4,+,0,27,15.4,--
11,11,16.8,-,2,49,15.5,1
11,11,16.9,+,1,54,15.7,1
11,11,17.0,-,2,13,15.6,1
11,11,17.2,-,3,2,15.7,--
11,11,17.4,-,0,36,14.1,--
11,11,17.4,-,1,12,15.6,--
11,11,17.4,-,2,21,15.6,--
11,11,17.5,-,1,25,15.3,--
11,11,17.6,-,2,46,14.4,--
11,11,17.6,-,3,30,15.6,--
11,11,17.8,-,2,38,14.9,--
11,11,17.8,-,3,26,15.7,1
11,11,18.1,-,1,13,14.7,1
11,11,18.1,-,3,16,15.5,--
11,11,18.2,+,0,51,15.4,--
11,11,18.2,-,3,0,15.5,--
11,11,18.3,+,0,44,14.3,1
11,11,18.3,-,3,22,14.8,--
11,11,18.4,+,0,11,15.4,1
11,11,18.4,+,0,27,15.2,--
11,11,18.4,-,1,41,15.6,--
11,11,18.5,+,0,48,15.1,--
11,11,18.5,-,2,55,15.3,--
11,11,18.7,-,2,42,15.0,--
11,11,18.9,+,1,48,15.6,--
11,11,19.1,+,1,47,15.6,--
11,11,19.8,-,2,48,15.7,--
11,11,20.0,-,0,34,15.6,--
11,11,20.1,+,1,0,15.7,--
11,11,20.3,-,2,38,15.3,--
11,11,20.4,-,2,40,15.3,--
11,11,20.8,-,0,39,14.4,--
11,11,21.0,-,1,17,15.3,--
11,11,21.2,-,0,50,13.8,--
11,11,21.3,+,2,0,15.3,1
11,11,21.6,+,0,58,14.8,--
11,11,21.6,-,0,53,15.0,--
11,11,21.8,+,0,55,14.7,--
11,11,22.0,-,0,43,15.5,--
11,11,22.7,+,0,37,15.2,--
11,11,23.0,-,0,30,14.2,--
11,11,23.5,+,2,15,14.7,--
11,11,23.6,-,1,34,15.2,--
11,11,24.1,-,1,25,15.1,1
11,11,24.4,-,1,3,15.3,1
