Seq,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,Diam1,Diam2,Area,Color,Bright,ID,Name
584,118.28,4.49,0,1,+,66,40,35,35,0.225,3,4,22,--
585,118.32,3.16,0,4,+,65,21,1,1,0.001,1,6,0,DG   2
586,118.37,4.98,0,1,+,67,10,35,10,0.095,3,3,22,--
587,118.5,6.15,0,0,+,68,20,95,20,0.398,3,4,22,--
588,118.51,4.62,0,3,+,66,50,25,20,0.077,3,2,22,--
589,118.59,6.13,0,1,+,68,20,20,4,0.021,3,3,22,NGC 7822
590,119.04,3.02,0,1,+,65,20,2,2,0.001,1,5,0,DG   3
591,119.04,-3.37,0,18,+,59,0,6,4,0.002,3,3,0,--
592,119.33,-0.89,0,18,+,61,30,20,5,0.018,3,3,25,--
593,119.57,-0.92,0,20,+,61,30,25,20,0.113,3,5,25,S 173
594,119.83,-6.05,0,26,+,56,25,2,2,0.001,2,6,0,--
595,119.98,-6.02,0,27,+,56,28,2,2,0.001,2,6,0,--
596,120.29,1.86,0,24,+,64,20,1,1,0.001,4,2,0,S 175
597,120.29,-5.51,0,29,+,57,0,12,5,0.011,4,5,0,S 176
598,120.29,18.39,23,45,+,80,40,15,13,0.035,3,5,0,S 174
599,120.5,-6.52,0,31,+,56,0,60,15,0.239,3,6,0,DG   4
600,120.89,-12.56,0,36,+,50,0,7,5,0.003,2,4,0,--
601,121.28,-30.41,3,42,+,32,10,2,1,0.001,2,4,0,C 24
602,121.48,6.62,0,32,+,69,10,2,1,0.001,1,5,0,DG   5
603,121.62,-10.59,0,40,+,52,0,85,50,0.546,2,6,32,--
604,122.07,-0.93,0,41,+,61,40,5,5,0.004,1,5,0,--
605,122.17,-7.1,0,43,+,55,30,180,70,2.725,2,6,31,--
606,122.23,26.05,23,0,+,88,30,140,70,2.039,3,6,1,--
607,122.36,-4.94,0,44,+,57,40,60,30,0.292,2,4,32,--
608,122.55,-11.61,0,46,+,51,0,10,3,0.007,2,4,29,--
609,122.55,-11.86,0,46,+,50,45,20,20,0.042,2,4,29,--
610,122.6,-7.27,0,46,+,55,20,7,2,0.001,2,5,0,DG   7
611,122.62,-5.61,0,46,+,57,0,10,3,0.056,2,4,32,--
612,122.71,-12.19,0,47,+,50,25,13,3,0.011,2,4,29,--
613,122.71,-12.11,0,47,+,50,30,3,2,0.001,2,4,29,--
614,122.92,2.39,0,48,+,65,0,15,8,0.028,4,6,0,S 181
615,123.03,-6.44,0,49,+,56,10,23,10,0.06,3,4,31,--
616,123.17,-6.28,0,50,+,56,20,35,30,0.148,3,1,31,NGC  281
617,123.21,23.39,1,0,+,86,0,450,300,39.24,3,6,1,S 178
618,123.23,2.89,0,51,+,65,30,45,20,0.092,4,6,0,--
619,123.52,-28.27,0,51,+,34,20,110,20,0.426,1,6,0,--
620,123.63,-1.77,0,54,+,60,50,10,5,0.011,1,2,26,IC   59
621,123.7,-6.4,0,54,+,56,13,2,2,0.001,1,5,0,DG   6
622,123.88,-1.93,0,56,+,60,40,10,3,0.007,2,1,26,IC   63
623,123.88,-1.93,0,56,+,60,40,120,25,0.919,2,6,26,S 185
624,124.12,10.67,1,4,+,73,15,6,3,0.003,3,4,0,--
625,124.12,-1.76,0,58,+,60,50,60,20,0.264,3,4,26,--
626,125.32,10.53,1,20,+,73,0,150,30,1.56,4,6,0,--
627,125.98,32.27,11,0,+,84,30,280,150,6.641,3,6,2,--
628,126.54,24.68,4,10,+,85,50,13,10,0.028,3,5,1,--
629,126.54,32.58,10,50,+,84,0,75,30,0.514,3,5,2,--
630,126.7,-0.8,1,20,+,61,35,3,2,0.001,3,5,0,S 187
631,126.81,23.74,3,45,+,85,0,80,30,0.711,3,6,1,--
632,127.53,24.47,4,30,+,85,0,105,30,0.687,3,6,1,--
633,128.04,-4.12,1,27,+,58,7,10,3,0.004,3,1,0,S 188
634,128.86,13.6,2,20,+,75,10,23,8,0.025,4,5,0,--
635,129.99,11.52,2,24,+,72,50,10,10,0.024,1,5,9,--
636,130.06,11.55,2,25,+,72,50,8,3,0.004,1,5,9,DG   9
637,130.43,-6.52,1,41,+,55,20,35,10,0.077,1,6,0,--
638,130.67,-6.98,1,42,+,54,50,30,10,0.077,1,6,0,--
639,131.35,-45.88,1,13,+,16,20,25,8,0.042,2,5,68,--
640,131.54,-8.16,1,46,+,53,30,35,25,0.148,3,6,0,--
641,132.05,1.12,2,8,+,62,20,35,10,0.088,4,6,28,--
642,133.27,0.82,2,17,+,61,40,25,5,0.028,3,6,28,--
643,133.46,8.48,2,47,+,68,40,3,2,0.002,1,4,0,DG  10
644,133.57,-44.96,1,20,+,17,0,270,20,1.373,2,6,68,--
645,133.8,1.1,2,22,+,61,45,12,12,0.028,3,1,28,IC 1795
646,133.82,1.38,2,23,+,62,0,13,8,0.025,3,3,28,--
647,133.99,1.26,2,24,+,61,50,20,10,0.035,3,2,28,--
648,134.04,1.46,2,25,+,62,0,120,60,1.239,3,6,28,--
649,134.04,-0.99,2,18,+,59,42,2,2,0.001,4,6,0,--
650,134.05,0.75,2,23,+,61,20,35,30,0.229,3,6,28,--
651,134.25,14.0,3,30,+,73,0,210,210,9.775,4,6,0,--
652,134.84,5.44,2,46,+,65,20,35,20,0.155,4,6,0,--
653,134.9,-5.49,2,13,+,55,10,10,1,0.002,1,3,0,--
654,134.96,0.75,2,30,+,61,0,60,60,0.827,3,3,28,IC 1805
655,135.02,0.6,2,30,+,60,50,80,30,0.461,3,5,28,--
656,135.1,0.09,2,29,+,60,20,55,20,0.176,3,3,28,--
657,135.13,0.01,2,29,+,60,15,15,10,0.028,3,2,28,--
658,135.74,1.09,2,37,+,61,0,100,30,1.331,3,5,28,--
659,135.91,-0.56,2,33,+,59,25,2,2,0.001,4,4,0,--
660,136.2,2.1,2,44,+,61,44,3,3,0.001,3,5,28,S 193
661,136.21,2.09,2,44,+,61,43,1,1,0.001,3,5,28,S 192
662,136.23,2.04,2,44,+,61,40,2,2,0.001,3,5,28,--
663,136.29,-0.46,2,36,+,59,22,1,1,0.001,4,6,0,S 191
