Seq,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,Diam1,Diam2,Area,Color,Bright,ID,Name
862,194.05,-1.91,6,6,+,15,50,30,15,0.053,3,3,71,--
863,194.1,-1.93,6,6,+,15,47,42,30,0.211,3,4,71,S 261
864,194.2,-1.99,6,6,+,15,40,30,10,0.025,3,3,71,--
865,194.68,-12.42,5,30,+,10,0,270,240,11.468,3,4,73,C 54
866,194.69,-15.6,5,19,+,8,20,3,3,0.003,1,2,73,C 44
867,194.69,-15.6,5,19,+,8,20,20,20,0.085,3,4,73,S 263
868,194.71,-19.99,5,4,+,6,0,30,5,0.028,4,5,0,S 262
869,194.8,-16.54,5,16,+,7,45,40,5,0.099,4,4,73,S 265
870,194.85,-48.9,3,26,-,9,30,65,2,0.049,4,5,0,--
871,195.39,-16.89,5,16,+,7,5,30,5,0.06,4,4,73,--
872,195.41,-17.19,5,15,+,6,55,40,5,0.07,4,4,73,--
873,195.63,-2.51,6,7,+,14,10,30,12,0.092,3,5,78,S 268
874,196.11,-2.5,6,8,+,13,45,30,12,0.081,3,5,78,S 268
875,196.21,-1.17,6,13,+,14,18,8,5,0.007,3,5,0,S 267
876,196.49,-1.6,6,12,+,13,51,3,2,0.002,3,2,0,S 269
877,196.79,-3.15,6,7,+,12,50,1,1,0.001,3,5,0,S 270
878,196.95,-10.3,5,42,+,9,10,30,5,0.046,3,4,73,--
879,197.19,-10.15,5,43,+,9,2,3,2,0.002,3,1,73,C 59
880,197.65,-17.9,5,17,+,4,43,40,3,0.053,4,4,73,--
881,197.79,-17.11,5,20,+,5,0,45,15,0.165,4,4,73,--
882,197.83,-17.71,5,18,+,4,40,40,6,0.07,4,4,73,--
883,197.88,-18.61,5,15,+,4,10,40,5,0.07,4,4,73,--
884,198.15,-18.18,5,17,+,4,10,50,5,0.081,4,4,73,--
885,199.0,-15.48,5,28,+,4,50,70,10,0.211,3,4,73,--
886,199.17,-15.58,5,28,+,4,38,3,2,0.002,1,2,73,--
887,199.51,0.09,6,24,+,12,0,130,35,1.109,3,6,0,--
888,199.63,-16.41,5,26,+,3,50,55,10,0.148,4,4,73,--
889,199.67,1.11,6,28,+,12,20,55,20,0.235,3,5,0,--
890,199.76,-18.21,5,20,+,2,50,120,30,0.908,3,3,73,--
891,200.1,11.99,7,9,+,16,50,120,120,2.76,1,6,0,--
892,200.2,-16.15,5,28,+,3,30,30,8,0.056,4,5,73,--
893,200.36,-32.94,4,30,-,5,0,60,30,0.352,2,6,0,--
894,200.62,-14.08,5,36,+,4,10,20,4,0.014,1,3,73,DG  70
895,200.85,0.49,6,28,+,11,0,120,40,0.87,3,6,0,--
896,201.02,-34.67,4,25,-,6,20,40,10,0.085,3,5,0,--
897,201.08,-33.56,4,29,-,5,50,25,8,0.07,2,5,0,--
898,201.31,0.25,6,28,+,10,29,5,4,0.004,1,3,0,IC  446
899,201.54,1.79,6,34,+,11,0,30,15,0.081,3,4,77,--
900,201.62,-32.96,4,32,-,5,56,26,8,0.053,2,5,0,--
901,201.63,0.64,6,30,+,10,23,2,2,0.001,2,1,0,NGC 2247
902,201.68,1.72,6,34,+,10,50,9,4,0.007,3,2,77,--
903,201.69,0.05,6,28,+,10,3,25,20,0.127,1,3,0,IC 2169
904,201.79,0.55,6,30,+,10,12,2,2,0.001,2,1,0,NGC 2245
905,201.83,-11.31,5,48,+,4,30,80,60,0.954,4,6,73,--
906,202.16,-31.23,4,39,-,5,30,40,30,0.278,2,4,0,--
907,202.59,-22.31,5,11,-,1,30,10,8,0.025,1,3,73,--
908,202.61,-8.89,5,58,+,5,0,240,90,4.032,4,6,73,--
909,202.8,-31.8,4,38,-,6,15,35,10,0.088,1,4,0,--
910,202.82,-23.28,5,8,-,2,10,45,10,0.265,1,3,73,--
911,202.92,2.18,6,38,+,9,57,10,7,0.014,3,1,76,NGC 2264
912,203.1,2.09,6,38,+,9,45,45,25,0.137,3,2,76,--
913,203.12,-16.87,5,31,-,0,42,2,2,0.002,1,2,73,IC  423
914,203.43,-16.75,5,32,-,0,30,2,2,0.002,1,2,73,DG  59
915,203.48,-22.19,5,13,-,2,10,60,20,0.261,1,3,73,--
916,203.49,-24.76,5,4,-,3,25,2,2,0.002,1,1,73,NGC 1788
917,203.5,-30.15,4,45,-,6,0,70,30,0.465,1,3,73,--
918,203.64,-17.43,5,30,+,0,0,1560,600,130.0,3,6,73,--
919,203.68,-21.16,5,17,-,1,50,50,15,0.144,1,3,73,--
920,203.74,1.2,6,36,+,8,46,2,1,0.001,2,1,0,NGC 2261
921,203.76,-16.35,5,34,-,0,25,10,3,0.01,1,2,73,IC  426
922,203.77,1.74,6,38,+,9,0,180,60,4.687,3,4,0,--
923,203.79,-25.48,5,2,-,4,0,120,60,1.18,3,5,73,--
924,203.96,-15.31,5,38,-,0,45,15,10,0.032,3,4,73,--
925,204.03,-15.35,5,38,-,0,40,2,2,0.001,1,3,73,DG  71
926,204.08,4.64,6,49,+,10,3,10,5,0.007,2,5,0,--
927,204.09,-15.38,5,38,-,0,36,2,2,0.001,1,3,73,DG  73
928,204.24,-16.03,5,36,-,0,10,15,10,0.039,1,3,73,DG  67
929,204.31,0.62,6,35,+,8,0,540,120,28.4,3,5,74,--
930,204.44,-0.56,6,31,+,7,20,30,20,0.148,1,4,75,--
931,204.44,-0.56,6,31,+,7,20,15,10,0.032,1,3,75,IC  448
932,204.5,-1.16,6,29,+,7,0,55,10,0.123,3,4,74,--
933,204.6,-13.66,5,45,+,1,0,420,30,5.109,3,3,73,DG  82
934,204.6,-13.66,5,45,+,1,0,140,15,0.542,3,2,73,--
935,204.96,-17.55,5,32,-,1,10,15,5,0.018,1,3,73,--
936,205.03,-0.87,6,31,+,6,40,11,5,0.01,3,3,74,--
937,205.13,-22.17,5,16,-,3,30,200,80,2.627,1,4,73,--
938,205.32,-14.04,5,45,+,0,12,7,5,0.007,2,2,73,NGC 2071
939,205.38,-14.35,5,44,+,0,0,10,10,0.007,2,1,73,NGC 2064
940,205.42,-17.78,5,32,-,1,40,50,10,0.12,1,3,73,NGC 1990
941,205.46,-1.66,6,29,+,5,55,18,8,0.028,3,3,74,--
942,205.7,-21.89,5,18,-,3,50,100,10,0.271,1,3,73,--
943,205.92,-1.34,6,31,+,5,40,30,9,0.053,3,3,74,--
944,206.06,-16.41,5,38,-,1,33,8,5,0.011,1,1,73,IC  431
945,206.18,-23.53,5,13,-,5,0,90,60,1.021,1,3,73,--
946,206.21,-16.2,5,39,-,1,35,10,10,0.021,1,1,73,IC  432
947,206.29,1.55,6,42,+,6,40,60,10,0.134,3,4,74,--
948,206.39,-1.87,6,30,+,5,0,80,60,1.042,3,1,74,NGC 2238
949,206.39,-1.87,6,30,+,5,0,18,18,0.06,3,3,74,--
950,206.41,-17.44,5,35,-,2,20,70,60,1.162,3,3,73,--
951,206.71,-0.91,6,34,+,5,10,15,3,0.007,3,3,74,--
952,206.87,0.13,6,38,+,5,30,200,90,4.331,3,4,74,--
953,206.9,-16.56,5,39,-,2,20,90,30,0.504,3,1,73,IC  434
954,206.9,-16.56,5,39,-,2,20,10,8,0.01,1,1,73,NGC 2023
955,207.26,-13.06,5,52,-,1,0,40,10,0.141,3,2,73,--
956,207.29,-22.66,5,18,-,5,30,50,5,0.081,3,4,73,S 278
957,207.42,-22.44,5,19,-,5,30,8,8,0.014,1,3,73,--
958,207.43,-17.39,5,37,-,3,10,60,30,0.57,4,3,73,--
959,207.5,-27.78,5,0,-,8,0,180,60,1.94,1,3,73,IC 2118
960,207.65,-23.11,5,17,-,6,0,30,20,0.141,3,3,73,--
961,207.66,-22.0,5,21,-,5,30,30,10,0.074,1,3,73,--
962,207.67,-16.94,5,39,-,3,10,50,6,0.074,4,2,73,--
963,207.8,-19.58,5,30,-,4,30,8,5,0.015,1,5,0,DG  56
964,207.86,-22.37,5,20,-,5,50,110,60,1.317,1,4,73,--
965,207.89,-17.62,5,37,-,3,40,8,3,0.008,4,3,73,--
966,207.98,-13.15,5,53,-,1,40,90,50,0.708,3,5,73,--
967,208.2,-17.77,5,37,-,4,0,15,10,0.021,4,3,73,--
968,208.39,-28.45,4,59,-,9,0,20,12,0.06,3,4,73,DG  49
969,208.43,-22.08,5,22,-,6,10,15,15,0.028,1,3,73,--
970,208.69,-2.51,6,32,+,2,40,40,40,0.264,3,4,85,S 280
971,208.69,-2.51,6,32,+,2,40,25,20,0.102,3,3,85,--
972,208.69,-2.51,6,32,+,2,40,10,3,0.007,3,2,85,--
973,208.69,-2.51,6,32,+,2,40,20,2,0.011,3,2,85,--
974,209.13,-19.35,5,33,-,5,30,90,60,0.923,3,1,73,NGC 1976
975,209.16,-29.33,4,57,-,10,0,120,30,0.616,1,5,73,--
976,209.43,-13.33,5,55,-,3,0,160,40,2.053,3,3,73,--
977,209.84,-19.13,5,35,-,6,0,240,180,5.905,4,3,73,NGC 1980
978,210.04,-2.09,6,36,+,1,40,40,15,0.092,3,3,0,S 282
979,210.44,-19.7,5,34,-,6,46,2,2,0.002,1,1,73,NGC 1999
980,211.04,-28.21,5,4,-,11,0,50,12,0.151,4,6,73,--
981,211.1,-36.54,4,33,-,14,30,120,16,0.426,4,6,0,--
982,211.26,-15.36,5,51,-,5,30,50,10,0.102,4,3,73,--
983,211.65,-1.51,6,41,+,0,30,60,50,0.627,3,6,84,S 284
984,211.91,-1.37,6,42,+,0,20,40,30,0.158,3,5,84,--
985,211.92,-14.84,5,54,-,5,50,60,20,0.479,4,3,73,--
986,212.03,-1.15,6,43,+,0,20,20,5,0.032,3,3,84,--
987,212.06,-1.45,6,42,+,0,10,20,8,0.039,3,4,84,--
988,212.07,-16.03,5,50,-,6,30,180,60,2.518,4,4,73,--
989,212.27,-17.51,5,45,-,7,20,60,10,0.173,4,4,73,--
990,212.81,-11.94,6,6,-,5,18,10,3,0.004,2,3,73,DG  91
991,213.16,-27.73,5,9,-,12,30,70,5,0.081,3,5,73,--
992,213.43,-19.98,5,38,-,9,25,10,5,0.006,1,5,73,DG  75
993,213.63,-12.34,6,6,-,6,12,3,3,0.002,1,2,73,C 65
994,213.69,-12.65,6,5,-,6,23,2,2,0.001,1,1,73,NGC 2170
995,213.76,-12.4,6,6,-,6,20,3,2,0.002,1,2,73,C 66
996,213.83,-11.89,6,8,-,6,10,2,2,0.001,1,3,73,NGC 2183
997,213.86,-11.9,6,8,-,6,12,2,2,0.001,1,3,73,NGC 2185
998,213.87,-12.18,6,7,-,6,20,3,2,0.002,1,1,73,NGC 2182
999,213.91,-12.48,6,6,-,6,30,15,10,0.025,3,3,73,DG  92
1000,213.92,-11.65,6,9,-,6,8,2,2,0.001,1,3,73,C 71
1001,214.05,-22.44,5,30,-,11,0,80,20,0.458,3,5,73,--
1002,214.09,-20.83,5,36,-,10,20,50,15,0.201,3,5,73,--
1003,214.35,-11.06,6,12,-,6,15,1,1,0.001,1,4,0,DG  97
1004,214.49,-10.86,6,13,-,6,17,1,1,0.001,1,4,0,DG  98
1005,214.81,-23.31,5,28,-,12,0,60,30,0.208,3,5,73,--
1006,215.48,-22.78,5,31,-,12,20,50,10,0.085,3,5,73,--
1007,215.65,-21.24,5,37,-,11,50,30,15,0.102,3,5,73,--
1008,216.45,-14.81,6,2,-,9,45,3,2,0.002,1,1,94,--
1009,216.85,-20.42,5,42,-,12,30,35,25,0.229,3,5,73,--
1010,217.12,-21.07,5,40,-,13,0,200,10,0.824,3,5,73,--
1011,217.73,-15.13,6,3,-,11,0,240,120,6.458,4,6,94,--
1012,218.08,-0.35,6,57,-,4,40,12,12,0.039,4,5,0,S 287
1013,218.66,1.84,7,6,-,4,10,1,1,0.001,3,1,0,S 288
1014,218.92,-4.42,6,44,-,7,17,8,4,0.007,2,4,0,S 289
1015,219.2,-9.02,6,28,-,9,36,5,3,0.003,1,3,0,DG 104
1016,219.49,-17.81,5,56,-,13,40,68,35,0.116,4,6,93,--
1017,219.5,-10.51,6,23,-,10,32,5,3,0.003,1,4,0,--
1018,219.64,-13.58,6,12,-,12,0,43,15,0.158,4,5,94,--
1019,219.96,-18.02,5,56,-,14,10,3,2,0.002,1,4,93,--
1020,220.43,-2.69,6,53,-,7,50,11,7,0.021,4,5,0,S 291
1021,220.74,-1.73,6,57,-,7,40,2,2,0.002,1,3,0,--
1022,220.84,-2.62,6,54,-,8,10,22,15,0.07,2,3,0,DG 113
1023,221.85,-2.02,6,58,-,8,47,3,3,0.003,1,2,0,DG 114
1024,222.15,0.61,7,8,-,7,50,90,20,0.426,4,6,0,--
1025,222.45,-17.24,6,3,-,16,0,140,90,2.972,3,5,0,--
1026,223.58,1.53,7,14,-,8,40,140,10,0.31,4,5,0,--
1027,223.68,-1.86,7,2,-,10,20,20,20,0.081,3,1,95,IC 2177
1028,223.87,1.37,7,14,-,9,0,70,10,0.176,4,5,96,--
1029,223.87,2.78,7,19,-,8,20,40,5,0.053,4,5,0,--
1030,224.19,-2.68,7,0,-,11,10,20,10,0.042,2,4,95,S 293
1031,224.22,3.43,7,22,-,8,20,40,8,0.07,4,5,0,--
1032,224.24,1.18,7,14,-,9,25,7,8,0.007,3,2,96,S 294
1033,224.49,-1.74,7,4,-,11,0,150,20,1.081,3,4,95,S 296
1034,224.51,-0.63,7,8,-,10,30,120,60,1.673,3,5,95,--
1035,224.52,-2.58,7,1,-,11,25,15,10,0.035,2,4,95,S 295
1036,225.2,0.67,7,14,-,10,30,60,30,0.423,3,4,95,--
1037,225.27,-2.42,7,3,-,12,0,150,20,0.556,3,2,95,DG 116
1038,225.39,-1.65,7,6,-,11,45,15,15,0.042,2,4,95,--
1039,225.43,-2.5,7,3,-,12,11,10,10,0.021,2,1,95,C 90
1040,227.63,-0.08,7,16,-,13,0,20,20,0.049,3,3,97,IC  468
1041,227.66,-0.09,7,16,-,13,2,10,5,0.011,3,2,97,NGC 2359
1042,229.12,-4.41,7,3,-,16,20,7,5,0.007,1,4,0,--
1043,231.33,-4.51,7,7,-,18,20,20,10,0.046,3,5,116,--
1044,231.48,-4.33,7,8,-,18,23,10,9,0.017,3,1,116,--
1045,231.52,-0.25,7,23,-,16,30,8,4,0.003,4,6,0,--
1046,232.66,0.99,7,30,-,16,54,20,20,0.067,3,3,0,S 302
1047,233.76,-9.35,6,53,-,22,40,60,5,0.116,3,4,0,S 303
1048,233.83,-0.16,7,28,-,18,29,3,3,0.002,4,2,0,S 305
1049,233.98,-12.0,6,43,-,24,0,180,30,0.954,3,5,0,S 304
1050,234.32,-0.44,7,28,-,19,3,30,30,0.067,4,5,0,S 306
1051,234.57,0.78,7,33,-,18,40,4,4,0.002,4,3,0,S 307
1052,234.57,-10.0,6,52,-,23,40,20,4,0.025,3,5,0,S 308
1053,234.83,-0.18,7,30,-,19,22,10,10,0.017,4,4,0,S 309
1054,235.54,-4.03,7,17,-,21,50,60,20,0.423,4,4,112,--
1055,235.62,-6.41,7,8,-,23,0,150,20,0.82,4,6,0,--
1056,236.15,-7.96,7,3,-,24,10,70,8,0.116,4,6,0,--
1057,236.79,-2.07,7,27,-,22,0,33,5,0.049,4,4,0,--
1058,237.48,-4.79,7,18,-,23,54,10,5,0.007,1,3,112,C 96
1059,237.89,-4.23,7,21,-,24,0,300,90,6.697,4,5,112,S 310
1060,238.77,-3.67,7,25,-,24,30,180,20,1.82,4,4,112,--
1061,238.85,-2.15,7,31,-,23,50,20,8,0.032,4,4,0,--
1062,240.34,-2.2,7,34,-,25,10,10,10,0.017,1,3,0,C 101
1063,241.75,-5.53,7,24,-,28,0,90,5,0.134,3,5,117,--
1064,242.53,-6.19,7,23,-,29,0,180,40,2.011,4,6,117,--
1065,243.16,0.32,7,50,-,26,20,8,7,0.007,3,1,107,NGC 2467
1066,243.16,0.32,7,50,-,26,20,10,10,0.018,3,2,107,--
1067,243.28,0.51,7,51,-,26,20,50,30,0.183,3,3,107,S 311
1068,243.39,-8.35,7,16,-,30,45,110,15,0.356,4,5,0,--
1069,244.2,34.18,9,47,-,7,0,45,20,0.19,1,6,0,--
1070,244.56,-7.02,7,24,-,31,10,130,25,0.863,4,5,0,--
1071,245.79,11.73,8,38,-,22,10,80,5,0.113,3,4,113,--
1072,247.26,-3.88,7,43,-,32,0,120,20,0.574,4,5,0,--
1073,247.7,10.34,8,38,-,24,30,50,8,0.085,3,4,113,--
1074,247.85,11.37,8,42,-,24,0,70,10,0.13,3,4,113,--
1075,248.14,12.01,8,45,-,23,50,60,10,0.169,3,4,113,--
1076,249.24,12.05,8,48,-,24,40,70,10,0.19,3,4,113,--
1077,250.52,13.08,8,55,-,25,0,840,90,16.2,3,5,113,S 312
1078,251.76,12.97,8,58,-,26,0,210,20,0.947,3,4,113,--
1079,252.17,9.77,8,48,-,28,20,15,10,0.028,3,5,113,--
1080,252.46,10.39,8,51,-,28,10,10,5,0.007,3,5,113,--
1081,252.47,10.67,8,52,-,28,0,80,10,0.215,3,6,113,--
1082,254.74,12.54,9,5,-,28,30,360,60,3.204,4,6,113,--
1083,255.1,13.69,9,10,-,28,0,300,20,1.039,4,4,113,--
1084,256.28,11.22,9,5,-,30,30,120,60,1.806,4,5,0,--
1085,256.99,15.92,9,23,-,27,50,20,6,0.032,3,4,113,--
1086,257.98,12.32,9,14,-,31,0,60,45,0.669,4,5,0,--
1087,258.24,14.76,9,23,-,29,30,75,30,0.56,4,6,0,--
1088,260.13,14.47,9,28,-,31,0,180,20,1.056,4,5,0,--
1089,263.21,19.9,9,55,-,29,0,150,25,0.87,4,5,0,--
1090,265.94,18.15,9,59,-,32,0,140,30,1.581,4,5,0,--
1091,337.39,22.98,15,16,-,29,40,90,75,1.511,3,6,0,--
1092,346.3,21.22,15,50,-,25,50,130,30,1.102,1,5,110,DG 125
1093,346.83,20.76,15,53,-,25,50,90,10,0.317,1,4,110,S 1
1094,347.16,19.78,15,57,-,26,20,50,15,0.229,1,4,110,DG 130
1095,347.78,20.39,15,57,-,25,30,60,60,0.62,1,4,110,--
1096,348.08,16.86,16,9,-,27,48,12,10,0.025,1,6,0,IC 4591
1097,348.14,23.05,15,50,-,23,20,70,20,0.215,4,5,111,--
1098,348.63,22.86,15,52,-,23,10,40,10,0.099,4,5,111,--
1099,349.82,22.02,15,58,-,23,0,130,100,2.243,3,4,111,S 7
1100,350.49,13.89,16,26,-,28,10,30,10,0.085,4,4,114,--
1101,351.12,17.17,16,17,-,25,30,17,3,0.014,4,2,115,S 9
1102,351.15,14.17,16,27,-,27,30,80,10,0.296,4,4,114,--
1103,351.22,13.34,16,30,-,28,0,240,180,8.27,4,5,114,--
1104,351.28,17.0,16,18,-,25,30,60,50,0.475,1,3,115,C 130
1105,351.37,17.4,16,17,-,25,10,12,4,0.01,4,2,115,--
1106,351.54,17.23,16,18,-,25,10,20,4,0.018,4,2,115,--
1107,351.76,15.0,16,26,-,26,30,60,40,0.546,3,1,114,IC 4606
1108,351.88,15.11,16,26,-,26,20,180,120,3.845,3,4,114,DG 141
1109,352.98,16.95,16,23,-,24,20,20,5,0.035,1,2,114,IC 4603
1110,353.24,15.66,16,28,-,25,0,30,15,0.049,1,3,114,IC 4605
1111,353.76,17.61,16,23,-,23,20,60,25,0.391,1,3,114,IC 4604
1112,353.76,17.61,16,23,-,23,20,70,70,0.535,1,4,114,--
1113,354.91,22.65,16,10,-,19,10,60,40,0.475,1,3,104,IC 4592
1114,355.25,22.3,16,12,-,19,10,220,90,4.158,2,4,104,--
1115,355.59,20.69,16,18,-,20,0,20,10,0.039,1,3,104,C 129
1116,355.83,0.51,17,30,-,32,10,150,90,2.158,3,4,109,S 12
1117,356.03,-0.11,17,33,-,32,20,80,30,0.458,3,3,109,--
1118,356.33,13.12,16,45,-,24,20,300,30,2.56,3,6,114,--
1119,356.82,20.13,16,23,-,19,30,150,60,2.158,4,5,104,--
1120,358.35,-1.92,17,46,-,31,20,23,20,0.088,4,4,108,--
1121,358.46,-2.1,17,47,-,31,20,45,35,0.292,4,6,108,S 15
1122,359.24,36.59,15,38,-,7,0,60,30,0.359,3,4,0,--
1123,359.39,18.77,16,34,-,18,30,210,150,7.704,4,6,104,--
1124,359.72,-0.32,17,43,-,29,20,12,12,0.032,4,3,0,S 16
1125,359.94,-0.44,17,44,-,29,12,2,2,0.001,4,5,0,S 18
