OCL-54      123   NGC 6611        016.99 +00.79 18 16.0 -13 48  O- 503  18 00 -12   33  72
OCL-55      129   Trumpler 32     017.21 +01.28 18 14.7 -13 22  O- 503  18 00 -12   53  98
OCL-56      131   NGC 6604        018.26 +01.69 18 15.3 -12 15  O- 503  18 00 -12   43 156
OCL-57      133   NGC 6639        018.78 -01.36 18 27.3 -13 14  O- 296  18 24 -12  198 106
OCL-58      135   NGC 6625        019.01 +00.67 18 20.4 -12 05  O- 296  18 24 -12  287 167
OCL-59      137   NGC 6631        019.47 -00.19 18 24.4 -12 04  O- 296  18 24 -12  236 167
OCL-60      139   Ruprecht 141    019.70 -01.20 18 28.5 -12 21  O- 296  18 24 -12  179 152
OCL-61      141   Ruprecht 142    019.85 -01.34 18 29.3 -12 17  O- 296  18 24 -12  168 155
OCL-62      143   Ruprecht 143    020.01 -01.40 18 29.8 -12 10  O- 296  18 24 -12  162 160
OCL-63      145   Ruprecht 144    020.72 -01.24 18 30.6 -11 28  O- 296  18 24 -12  151 200
OCL-64      147   Ruprecht 170    021.00 +01.18 18 22.4 -10 05  O- 296  18 24 -12  258 275
OCL-65      149   Ruprecht 147    021.02 -12.81 19 13.8 -16 22  O- 157  19 12 -18  221 253
OCL-66      151   NGC 6649        021.64 -00.78 18 30.7 -10 26  O- 296  18 24 -12  153 254
OCL-67      153   NGC 6694        023.86 -02.92 18 42.5 -09 27  O- 308  18 48 -12  315 302
OCL-68      157   NGC 6664        023.95 -00.50 18 34.0 -08 16  O- 300  18 24 -06  109  51
OCL-69      161   Trumpler 34     024.07 -01.30 18 37.1 -08 32  O- 300  18 24 -06   66  37
OCL-70      163   Dolidze 29      024.74 +01.41 18 28.7 -06 40  O- 300  18 24 -06  178 133
OCL-71      165   Dolidze 31      024.96 +00.54 18 32.2 -06 53  O- 300  18 24 -06  129 117
OCL-72      167   NGC 6712        025.35 -04.32 18 50.3 -08 46  O-1085  18 48 -06  215  20
OCL-73      169   Dolidze 30      025.45 +01.36 18 30.2 -06 04  O- 300  18 24 -06  157 164
OCL-74      171   NGC 6683        026.28 -00.81 18 39.5 -06 20  O- 300  18 24 -06   32 156
OCL-75      173   CR 350          026.74 +14.67 17 45.6 +01 19  O-1144  17 36  00  111 250
OCL-76      175   NGC 6705        027.31 -02.77 18 48.4 -06 20  O-1085  18 48 -06  240 151
OCL-77      183   Apriamashvili   027.36 -01.93 18 45.5 -05 54  O-1085  18 48 -06  279 173
OCL-78      185   Dolidze 34      027.77 +00.02 18 39.3 -04 38  O- 300  18 24 -06   35 245
OCL-79      187   Dolidze 33      027.78 +00.37 18 38.0 -04 27  O- 300  18 24 -06   50 251
OCL-80      189   Dolidze 32      028.03 +00.56 18 37.8 -04 09  O- 300  18 24 -06   48 272
OCL-81      191   NGC 6426        028.09 +16.24 17 42.4 +03 11  O- 780  17 36 +06  147  26
OCL-82      193   NGC 6704        028.23 -02.23 18 48.2 -05 16  O-1085  18 48 -06  245 209
OCL-83      195   Trumpler 35     028.29 -00.01 18 40.3 -04 11  O- 300  18 24 -06   20 263
OCL-84      197   Mel 186         029.75 +12.54 17 58.6 +02 54  O- 773  18 00  00  255 326
OCL-85      199   IC 4665         030.61 +17.08 17 43.8 +05 44  O- 780  17 36 +06  130 161
OCL-86      203   Berkeley 79     031.14 +00.84 18 42.6 -01 16  O- 193  18 48  00  312 100
OCL-87      205   Berkely 80      032.17 -01.25 18 51.9 -01 19  O- 193  18 48  00  187  97
OCL-88      207   Berkeley 81     033.63 -02.49 18 59.0 -00 35  O- 193  18 48  00   84 138
OCL-89      209   NGC 6994        035.73 -33.95 20 56.3 -12 50  O- 791  20 48 -12  132 109
OCL-90      211   NGC 6633        036.09 +08.28 18 25.3 +06 32  O- 166  18 24 +06  225 197
OCL-91      215   Berkeley 42     036.17 -02.19 19 02.6 +01 48  O- 193  18 48  00   41 264
OCL-92      217   NGC 6760        036.19 -04.05 19 09.2 +00 58  O- 323  19 12  00  280 215
OCL-93      219   Dolidze-D. 7    036.29 +29.19 17 08.3 +15 36  O-1127  17 12 +18  265  46
OCL-94      221   IC 4656         036.37 +05.26 18 36.5 +05 24  O- 166  18 24 +06   67 141
OCL-95      223   Czernik 38      037.12 +02.64 18 47.2 +04 52  O- 264  18 48 +06  242 107
OCL-96      225   NGC 6755        038.55 -01.70 19 05.3 +04 09  O- 202  19 12 +06  326  64
OCL-97      227   Czernik 39      038.60 -01.62 19 05.1 +04 13  O- 202  19 12 +06  326  69
OCL-98      229   CR 401          038.64 -10.26 19 35.8 +00 13  O- 167  19 36  00  240 172
OCL-99      231   NGC 6756        039.06 -01.69 19 06.2 +04 36  O- 202  19 12  06  314  88
OCL-100     233   NGC 6709        042.16 +04.70 18 49.1 +10 17  O- 544  18 48 +12  218  76
OCL-101     235   NGC 6738        044.40 +03.09 18 59.1 +11 32  O- 544  18 48 +12   87 146
OCL-102     237   Berkeley 43     045.65 -00.17 19 13.2 +11 08  O- 506  19 12 +12  215 119
OCL-103     239   Berkeley 82     046.82 +01.58 19 09.1 +12 59  O- 506  19 12 +12  269 218
OCL-104     241   Dolidze-D. 8    047.04 +28.82 17 24.1 +24 14  O- 263  17 20 +24  169 195
OCL-105     243   Dolidze 35      047.23 -02.33 19 24.0 +11 30  O- 506  19 12 +12   87 139
OCL-106     245   King 25         048.87 -00.94 19 22.2 +13 36  O- 202  19 12 +12   98 249
OCL-107     247   Berkeley 45     050.03 +01.15 19 16.9 +15 37  O- 793  19 12 +18  164  38
OCL-108     249   King 26         050.41 -01.33 19 26.7 +14 46  O- 202  19 12 +12   41 312
OCL-108.1   249.1 NGC 6837        050.55 -08.08 19 51.1 +11 34
OCL-109     251   Berkeley 47     052.60 -00.05 19 26.4 +17 18  O- 793  19 12 +18   45 127
OCL-110     253   Berkeley 44     053.22 +03.36 19 15.0 +19 28  O- 793  19 12 +18  187 243
OCL-111     255   NGC 7492        053.37 -63.49 23 05.8 -15 54  O-1228  23 12 -18  318 260
OCL-112     257   Roslund 1       054.62 -03.42 19 42.8 +17 24  O- 190  19 36 +18  137 126
OCL-113     259   CR 399 4-5 Vul  054.68 +01.96 19 23.2 +20 05  O- 793  19 12 +18   85 182
OCL-114     261   NGC 6802        055.34 +00.93 19 28.4 +20 10  O- 793  19 12 +18   20 183
