MCG-06-01-037 *          00 13 18 -33 18 14.5  2   1 0.3   0.2  2  0.9   0.7    45 2  1.0   0.7    16   FA4                                                                 S A:     L
MCG-06-01-038            00 14 12 -36 33 15.   3   1            1  0.25  0.25   5  1                           N3  ; H     ,12C
MCG-06-01-039 *          00 15 36 -34 10 15.   3   1 0.2   0.2  1  0.5   0.5    46 3  1.8   1.4    90          N   ;29A    , H                                              S2       L
MCG-06-01-040            00 16 42 -36 53 16.5  2   1            2  0.4   0.15   3  2                       N   L   ;9#B  1
MCG-06-01-041 *          00 17 18 -34 46 15.   3   1 0.15  0.15 1  0.8   0.5    4     1.6   1.1   121          N   ; HB                                                     SBA      L
MCG-06-02-001 *          00 18 00 -34 47 16.   3   1            2  0.4   0.07   3  4                    FC                                                                                                                                                1 2 002     B
MCG-06-02-002 *          00 18 01 -34 47 16.   3   1 0.15  0.15 1  0.4   0.3    46 1                           L   ;1#A    ,1#A    2 C                                                                                                                    1 D 001     B2        1 2 18 0.4
MCG-06-02-003 *          00 23 00 -33 20 15.5  2   1 0.2   0.2  1  0.3   0.3    56 1  1.5   1.1 1  23          N3  ; H                                                      SO       L
MCG-06-02-004 *          00 23 18 -33 22 16.   3   1 0.05  0.05 1  0.2   0.2    5     1.0   0.9                N   ; H                                                      S B:     L
MCG-06-02-005            00 23 54 -33 41 15.5  2   1 0.2   0.2  1  0.3   0.3    5                              N   ; H
MCG-06-02-006 *NGC  115  00 24 18 -33 57 14.   3   1 1.0   0.3  2  3.0   1.0    45 2  2.2   1.0   127          L   ; DA    ; DB    ,1SI                                     S C      L
MCG-06-02-007            00 25 00 -32 55 15.   3   1 0.2   0.2  1  0.3   0.3    4                              N   ; HB
MCG-06-02-008 *          00 25 00 -34 22 14.5  2   1 0.5   0.5  2  1.0   1.0    5  1                           $E  ; DA    ; RCPF  ;1#B                                                                                                                                   2
MCG-06-02-009 *          00 25 06 -34 30 15.   3   1 0.4   0.2  1  1.5   0.3    36 5  1.6   0.2    60          L   ;29B                                                     S B      L
MCG-06-02-010 *NGC  131  00 27 12 -33 33 13.5  2   1 0.6   0.4  2  1.5   0.5    35 3  1.7   0.6    63          L   ;9#B  1 2 LB                            R  SBS3*1        S A:     L   1410  70
MCG-06-02-011 *          00 27 48 -37 11 14.5  2   1 0.5   0.3  1  1.0   0.5    4  2  1.1   0.6    42          N   ;2BF    ; LB                                             S B      L
MCG-06-02-012 *NGC  134  00 27 54 -33 32 11.4  2   6 2.0   0.7  1  7.0   2.0    36 3 10.0   2.0 1  50          L   ;9SC                                    R  SXS4   S  F   S C      L   1581 185   1531 158          0.20 228 0.89 228  0.15 0.73
MCG-06-02-013            00 28 06 -37 42 15.   3   1            2  0.8   0.2    3  3                    LA
MCG-06-02-014            00 28 42 -37 12 15.   3   1 0.2   0.2  1  0.4   0.4    35                             N   ; HC
MCG-06-02-015 *          00 28 48 -37 10 14.   3   1 0.2   0.15 1  0.8   0.3    5  3  1.4   0.6    39          L   ; H                                                      SO       L
MCG-06-02-016            00 30 12 -33 27 16.5  2   1 0.05  0.05 3  0.4   0.3    5  2                           $   ;2BFA4  ; DA
MCG-06-02-017            00 31 36 -33 17 15.   3   1            2  0.5   0.25   3  2                    LA
MCG-06-02-018 *          00 31 36 -34 34 15.   3   1 0.3   0.3  1               5                              N   ; HPB                                                                                                                                  1 2 019     B 3   0.2
MCG-06-02-019 *          00 31 36 -34 34 15.   3   1 0.2   0.2  1               5                              N   ; HPB                                                                                                                                  1 D 018     B 3   0.2
MCG-06-02-020 *          00 32 54 -37 53 14.5  2   1 0.2   0.2  1  0.7   0.3    34    1.3   0.9 1              L   ;29A    ; H                                              S3       L
MCG-06-02-021 *          00 33 42 -32 53 14.5  2   1 0.3   0.2  2  0.4   0.3    5  2  1.0   0.6    58          L   ; 12AF                                                   S A      L
MCG-06-02-022            00 33 45 -32 52 14.5  2   1 0.2   0.2  1  0.6   0.3    4                              N3  ; HPA
MCG-06-02-022A*A  35     00 35 00 -34 01 13.   3   1 0.3   0.25 2  1.3   1.0    63 2                           $   ; DB    ; DA    218FC                   R  P
MCG-06-02-023            00 39 00 -36 06 15.   3   1            2  0.8   0.3    3  3                           L   ; DC
MCG-06-02-024 *          00 39 18 -33 15 15.5  2   1            3  0.8   0.5    5  4                           $   ; FC                                                                                                                                   1 2 025           1.0
