RefNo,Text
72,REDSHIFT-MAGNITUDE BANDS.
72,"W.G.TIFFT,   ASTROPHYS.J.,VOL.222,1978,PP54-60,"
72,REDSHIFT-MAGNITUDE BANDS AND THE EVOLUTION OF
72,GALAXIES.I.NEW OBSERVATIONS.
72,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
72,"(UNPUBLISHED),(KODS 'T13','T14' IN THIS CATALOGUE)"
72,(radial velocities of galaxies.)
73,"J.R.FISHER,R.B.TULLY,   ASTROPHYS.J.,SUPPL.SER.,VOL.47,"
73,"1981,PP139-200,"
73,NEUTRAL HYDROGEN OBSERVATIONS OF A LARGE SAMPLE OF
73,GALAXIES.
73,(radial velocities of galaxies)
74,"G.S.SHOSTAK,   ASTRON.ASTROPHYS.,VOL.68,1978,PP321-341,"
74,INTEGRAL PROPERTIES OF LATE-TYPE GALAXIES DERIVED
74,FROM HI OBSERVATIONS.
74,(radial velocities of galaxies)
75,"S.D.PETERSON,   ASTROPHYS.J.,VOL.232,1979,PP20-33,"
75,DOUBLE GALAXIES.II.DATA ANALYSIS AND A GALAXIAN
75,M/L DETERMINATION.
75,(radial velocities of galaxies)
76,"J.R.DICKEL,H.J.ROOD,   ASTRON.J.,VOL.80,1975,PP584-586,"
76,COMPARISON OF NEW 21-CM RADIAL VELOCITIES WITH VVO
76,OPTICAL RADIAL VELOCITIES OF GALAXIES.
76,"J.R.DICKEL,H.J.ROOD,   ASTROPHYS.J.,VOL.223,1978,PP391-409,"
76,INTEGRATED MASSES OF GALAXIES.
76,(radial velocities of galaxies)
77,"G.R.KNAPP,J.E.GUNN,   ASTRON.J.,VOL.87,1982,PP1634-1638,"
77,HI OBSERVATIONS OF HIGH-LUMINOSITY ELLIPTICAL
77,GALAXIES.
77,(radial velocities of galaxies)
78,"T.X.THUAN,P.O.SEITZER,   ASTROPHYS.J.,VOL.231,1979,"
78,"PP327-353,"
78,AN HI SURVEY OF NILSON DWARF GALAXIES.I.OBSERVATIO
78,(radial velocities of galaxies.)
79,"N.KRUMM,E.E.SALPETER,   ASTROPHYS.J.,VOL.228,1979,PP64-76,"
79,NEUTRAL HYDROGEN DISTRIBUTION AND VELOCITY
79,STRUCTURE OF SOME EARLY-TYPE GALAXIES.
79,"N.KRUMM,E.E.SALPETER,   ASTRON.J.,VOL.84,1979,PP1138-1148,"
79,NEUTRAL HYDROGEN OBSERVATIONS OF 14 NEARLY EDGE-ON
79,SPIRAL GALAXIES.
79,"G.HELOU,E.E.SALPETER,N.KRUMM,   ASTROPHYS.J.,VOL.228,1979,"
79,"PPL1-L4,"
79,MEMBERSHIP AND VELOCITY DISTRIBUTION IN THE CORE
79,OF THE VIRGO CLUSTER.
79,(radial velocities of galaxies)
80,"F.ZWICKY,M.L.HUMASON,   ASTROPHYS.J.,VOL.139,1964,PP269-283"
80,SPECTRA AND OTHER CHARACTERISTICS OF INTERCONNEC-
80,TED GALAXIES AND OF GALAXIES IN GROUPS AND IN
80,CLUSTERS.III.
80,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
80,"(UNPUBLISHED),(KODS:'Z3','ZH3','ZH2(K)','ZH3(K)',"
80,'Z3(K1)' IN THIS CATALOGUE).
80,(radial velocities of galaxies)
81,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
81,"(UNPUBLISHED),(KODS:'AD5','AD9','AD2(Z1')',"
81,"'AD4(Z1')','AD7(Z1')','AD8(Z1')','AD9(Z1')',"
81,'AD10(Z1')').
81,(radial velocities of galaxies)
82,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
82,"(UNPUBLISHED),(KODS:'FR8','FR11','FR13(T2)',"
82,'FR(OPT)'.
82,(radial velocities of galaxies)
83,"R.B.TULLY,   ASTROPHYS.J.,VOL.237,1980,PP390-403,"
83,NEARBY GROUPS OF GALAXIES.I.THE NGC 1023 GROUP.
83,(radial velocities of galaxies)
84,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
84,"(UNPUBLISHED),(KODS:'SN3(K7)','SN5(K7)','SN8')."
84,(radial velocities of galaxies)
85,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
85,"(UNPUBLISHED),(KODS:'MW','L')."
85,(radial velocities of galaxies)
86,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
86,"(UNPUBLISHED),(KODS:'BGRC(1)','BGRC(3)','BGRC(5)',"
86,"'BGRC(6)','BGRC(9)','BGRC(13)','BGRC(27)')."
86,(radial velocities of galaxies)
87,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
87,"(UNPUBLISHED),(KODS:'TG2','TG3')."
87,(radial velocities of galaxies)
88,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
88,"(UNPUBLISHED),(KODS:'DS1(Z2)','DS3','DS6(Z2)')."
88,(radial velocities of galaxies)
89,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
89,"(UNPUBLISHED),(KODS:'SA1(R3)','SA2','SA3',"
89,'SA4(R3)').
89,(radial velocities of galaxies)
90,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
90,"(UNPUBLISHED),(KOD 'HS(K3)')."
90,(radial velocities of galaxies)
91,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
91,"(UNPUBLISHED),(KODS:'UL9','UL10(U2)','UL14(U9)',"
91,"'UL15(U9),'UL16','UL17(U2/U6)','UL18')."
91,(radial velocities of galaxies)
92,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
92,"(UNPUBLISHED),(KODS:'CR2','CR3','CR4','CR5','CR6')"
92,(radial velocities of galaxies)
93,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
93,"(UNPUBLISHED),(KOD'WL(U8)')."
93,(radial velocities of galaxies)
94,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
94,"(UNPUBLISHED),(KOD 'PT(K6)')."
94,(radial velocities of galaxies)
95,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
95,"(UNPUBLISHED),(KOD 'BS(01,X2)')."
95,(radial velocities of galaxies)
96,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
96,"(UNPUBLISHED),(KOD 'DD')."
96,(radial velocities of galaxies)
97,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
97,"(UNPUBLISHED),(KOD 'BI1')."
97,(radial velocities of galaxies)
98,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
98,"(UNPUBLISHED),(KOD 'RR')."
98,(radial velocities of galaxies)
99,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
99,"(UNPUBLISHED),(KOD 'DM')."
99,(radial velocities of galaxies)
100,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
100,"(UNPUBLISHED),(KOD 'FD')."
100,(radial velocities of galaxies)
101,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
101,"(UNPUBLISHED),(KODS:'WD1','WD2(U4)')."
101,(radial velocities of galaxies)
102,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
102,"(UNPUBLISHED),(KODS:'V5','V7','V8')."
102,(radial velocities of galaxies)
103,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
103,"(UNPUBLISHED),(KOD 'BC(Q2)')."
103,(radial velocities of galaxies)
104,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
104,"(UNPUBLISHED),(KOD  'WK/(U3)')."
104,(radial velocities of galaxies)
105,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
105,"(UNPUBLISHED),(KOD 'J(S6)')."
105,(radial velocities of galaxies)
106,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
106,"(UNPUBLISHED),(KOD 'KR')."
106,(radial velocities of galaxies)
107,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
107,"(UNPUBLISHED),(KOD 'MK(K)')."
107,(radial velocities of galaxies)
108,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
108,"(UNPUBLISHED),(KODS:'A1(K2)','A3(K2)','A4(K2)',"
108,"'A6(K2)','A7(K2)','A10(K2)')."
108,(radial velocities of galaxies)
109,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
109,"(UNPUBLISHED),(KOD 'BM')."
109,(radial velocities of galaxies)
110,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
110,"(UNPUBLISHED),(KOD 'CX(R2)')."
110,(radial velocities of galaxies)
111,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
111,"(UNPUBLISHED),(KODS:'BG(R)','BG4(R2)','BG6(R2)',"
111,'BG10(R2)').
111,(radial velocities of galaxies)
112,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
112,"(UNPUBLISHED),(KOD 'M(K6)')."
112,(radial velocities of galaxies)
113,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
113,"(UNPUBLISHED),(KOD 'ST(K6)')."
113,(radial velocities of galaxies)
114,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
114,"(UNPUBLISHED),(KODS: 'F','F45')."
114,(radial velocities of galaxies)
115,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
115,"(UNPUBLISHED),(KOD 'OP')."
115,(radial velocities of galaxies)
116,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
116,"(UNPUBLISHED),(KOD 'B4(01)')."
116,(radial velocities of galaxies)
117,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
117,"(UNPUBLISHED),(KODS: 'PR','RT(B2)')."
117,(radial velocities of galaxies)
118,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
118,"(UNPUBLISHED),(KOD 'HG')."
118,(radial velocities of galaxies)
119,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
119,"(UNPUBLISHED),(KOD 'CE')."
119,(radial velocities of galaxies)
120,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
120,"(UNPUBLISHED),(KOD 'KI')."
120,(radial velocities of galaxies)
121,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
121,"(UNPUBLISHED),(KOD 'DL2')."
121,(radial velocities of galaxies)
122,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
122,"(UNPUBLISHED),(KOD 'SK1(S6)')."
122,(radial velocities of galaxies)
123,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
123,"(UNPUBLISHED),(KOD 'KZ(K3)')."
123,(radial velocities of galaxies)
124,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
124,"(UNPUBLISHED),(KODS: 'BB28(F)','BB29(F1)',"
124,'BB35(F1)').
124,(radial velocities of galaxies)
125,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
125,"(UNPUBLISHED),(KOD 'BN(K3)')."
125,(radial velocities of galaxies)
126,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
126,"(UNPUBLISHED),(KOD 'GT')."
126,(radial velocities of galaxies)
127,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
127,"(UNPUBLISHED),(KODS: 'DP1(S7)','DP3(S7)')."
127,(radial velocities of galaxies)
128,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
128,"(UNPUBLISHED),(KOD 'GD')."
128,(radial velocities of galaxies)
129,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
129,"(UNPUBLISHED),(KOD 'CA')."
129,(radial velocities of galaxies)
130,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
130,"(UNPUBLISHED),(KOD 'EA')."
130,(radial velocities of galaxies)
131,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
131,"(UNPUBLISHED),(KOD 'RC(C)')."
131,(radial velocities of galaxies)
132,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
132,"(UNPUBLISHED),(KOD 'GY')."
132,(radial velocities of galaxies)
133,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
133,"(UNPUBLISHED),(KOD 'AL3')."
133,(radial velocities of galaxies)
134,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
134,"(UNPUBLISHED),(KOD 'T(M2/M3)')."
134,(radial velocities of galaxies)
135,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
135,"(UNPUBLISHED),(KOD 'BZ')."
135,(radial velocities of galaxies)
136,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
136,"(UNPUBLISHED),(KOD 'KD')."
136,(radial velocities of galaxies)
137,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
137,"(UNPUBLISHED),(KOD 'SR')."
137,(radial velocities of galaxies)
138,"V.P.ARKHIPOVA,V.F.YESIPOV,M.V.SAVELYEVA,   ASTRON.ZH.,"
138,"VOL.53,1976,PP921-923,"
138,THE RADIAL VELOCITIES AND LUMINOSITIES OF SOME
138,INTERACTING GALAXIES.
138,"V.P.ARKHIPOVA,V.F.YESIPOV,   PIS'MA ASTRON.ZH.,VOL.5,1979,"
138,"PP265-266,"
138,RADIAL VELOCITIES OF SOME INTERACTING AND PECULIAR
138,GALAXIES.
138,"V.L.AFANASIEV,I.D.KARACHENTSEV,V.P.ARKHIPOVA,V.A.DOSTAL,"
138,"V.G.METLOV,   ASTRON.ASTROPHYS.,VOL.91,1980,"
138,"PP302-304,"
138,RADIAL VELOCITIES OF SOME INTERACTING GALAXIES.
138,"V.P.ARKHIPOVA,V.L.AFANASIEV,V.A.DOSTAL,A.V.ZASOV,I.D.KARA-"
138,"CHENTSEV,R,I,NOSKOVA,M.V.SAVELYEVA,   ASTROFIZIKA,"
138,"VOL.17,1981,PP239-244,"
138,RADIAL VELOCITIES OF 44 INTERACTING GALAXIES.
138,"B.A.VORONTSOV-VELYAMINOV,V.P.ARKHIPOVA,   TR.GOS.ASTRON."
138,"INST.SHTERNBERGA,VOL.53,1983,PP3-15,"
138,RADIAL VELOCITIES AND LUMINOSITIES OF INTERACTING
138,GALAXIES.
138,(radial velocities of galaxies)
139,"V.L.AFANASEV,V.A.LIPOVETSKIY,B.E.MARKARIAN,J.A.STEPANIAN,"
139,"ASTROFIZIKA,VOL.16,1980,PP193-206,"
139,THE GALAXIES WITH UV-CONTINUUM OF SEYFERT TYPE
139,ACCORDING TO THE OBSERVATIONS OF THE BTA.
139,(radial velocities of galaxies)
140,"I.P.KOSTYUK,I.D.KARACHENTSEV,A.I.KOPYLOV,   PIS'MA ASTRON."
140,"ZH.,VOL.7,1981,PP267-268,"
140,RADIAL VELOCITIES OF RING-LIKE GALAXIES.
140,"I.P.KOSTYUK,A.I.KOPYLOV,   PIS'MA ASTRON.ZH.,VOL.8,1982,"
140,"PP520-521,"
140,RADIAL VELOCITIES OF RING-LIKE GALAXIES.
140,(radial velocities of galaxies)
141,"V.E.KARACHENTSEVA,I.D.KARACHENTSEV,   ASTROFIZIKA,VOL.15,"
141,"1979,PP589-598,"
141,RADIAL VELOCITIES OF ISOLATED GALAXIES.
141,"V.E.KARACHENTSEVA,I.D.KARACHENTSEV,   PIS'MA ASTRON.ZH.,"
141,"VOL.7,1981,PP195-196,"
141,RADIAL VELOCITIES FOR 28 ISOLATED GALAXIES.
141,"I.D.KARACHENTSEV,V.E.KARACHENTSEVA,   ASTROFIZIKA,VOL.17,"
141,"1981,PP5-18,"
141,ISOLATED TRIPLETS OF GALAXIES.NEW RADIAL VELOCI-
141,TIES.
141,"I.D.KARACHENTSEV,W.L.W.SARGENT,B.ZIMMERMANN,   ASTROFIZIKA,"
141,"VOL.15,1979,PP25-32,"
141,RADIAL VELOCITIES AND MASSES FOR 44 BINARY
141,GALAXIES.
141,"I.D.KARACHENTSEV,   ASTROPHYS.J. SUPPL.SER.,VOL.44,1980,"
141,"PP137-150,"
141,NEW RADIAL VELOCITIES FOR 301 PAIRS OF GALAXIES.
141,"I.D.KARACHENTSEV,   PIS'MA ASTRON.ZH.,VOL.7,1981,PP76-78,"
141,SUPPLEMENTARY DATA ON RADIAL VELOCITIES AND MASSES
141,FOR BINARY GALAXIES.
141,"I.D.KARACHENTSEV,V.E.KARACHENTSEVA,   PIS'MA ASTRON.ZH.,"
141,"VOL.8,1982,PP198-204,"
141,RADIAL VELOCITIES OF GALAXIES IN THE VIRGO CLUSTER
141,(radial velocities of galaxies.)
142,"W.G.TIFFT,   ASTROPHYS.J. SUPPL.SER.,VOL.50,1982,PP319-390,"
142,DOUBLE GALAXY INVESTIGATIONS.I.OBSERVATIONS.
142,(radial velocities of galaxies)
143,"M.-P.VERON-CETTY,P.VERON,   SCIENTIFIC REPORT,N1,1984,"
143,"A CATALOGUE OF QUASARS AND ACTIVE NUCLEI,"
143,(RADIAL VELOCITIES FOR GALAXIES ARE TAKEN FROM:
143,"G.G.C.PALUMBO,G.TANZELLA-NITTI,G.VETTOLANI,1983,"
143,"GORDON AND BREACH,NEW YORK,'CATALOGUE OF RADIAL"
143,VELOCITIES OF GALAXIES').
143,"(radial velocities of galaxies and U-B,B-V colors)"
144,"W.K.HUCHTMEIER,O.-G.RICHTER,H.-D.BOHNENSTENGEL,"
144,"M.HAUSCHILDT,   ESO SCIENT.PREPR.N250,1983,"
144,A GENERAL CATALOG OF HI OBSERVATIONS OF EXTERNAL
144,GALAXIES.
144,(radial velocities of galaxies)
145,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J. SUPPL."
145,"SER.,VOL.52,1983,PP89-119,"
145,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
145,(SOURCE OF RADIAL VELOCITIES (27):
145,"1)THIS PAPER,"
145,"2)M.ELVIS,E.SCHRIER,J.TONRY,M.DAVIS,J.HUCHRA,"
145,"ASTROPHYS.J.,VOL.246,1981,P20,"
145,"3)D.SCHWARTZ,M.DAVIS,R.DOXSEY,R.GRIFFITHS,J.HUCHRA"
145,"M.JOHNSTON,R.MUSHOTZKY,J.SWANK,J.TONRY,"
145,"ASTROPHYS.J.(LETTERS),VOL.238,1980,PL53,"
145,"4)S.SHECTMAN,R.STEFANICK,D.LATHAM,ASTRON.J.,VOL."
145,"88,1983,P477,"
145,"5)J.TONRY,M.DAVIS,ASTRON.J.,VOL.84,1979,P1511,"
145,"6)S.WHITE,J.HUCHRA,D.LATHAM,M.DAVIS,M.N.R.A.S.,"
145,"1983,IN PRESS)."
145,(radial velocities of galaxies)
146,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
146,"SER.,VOL.52,1983,PP89-119,"
146,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
146,(SOURCE OF RADIAL VELOCITIES (9):
146,"1)G.KNAPP,J.GALLAGHER,S.FABER,B.BALICK,ASTRON.J.,"
146,"VOL.82,1977,P106,"
146,"2)G.KNAPP,1978,PRIVATE COMMUNICATION,"
146,"3)G.KNAPP,S.FABER,J.GALLAGHER,ASTRON.J.,VOL.83,"
146,"1978,P11,"
146,"4)G.KNAPP,J.GALLAGHER,S.FABER,ASTRON.J.,VOL.83,"
146,"1978,P139,"
146,"5)W.ROMANISHEN,1980,PRIVATE COMMUNICATION,"
146,"6)G.SHOSTAK,ASTRON.ASTROPHYS.,VOL.68,1978,P321,"
146,"7)N.THONNARD,V.RUBIN,K.FORD,M.ROBERTS,ASTRON.J.,"
146,"VOL.83,1978,P1564)."
146,(radial velocities of galaxies)
147,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
147,"SER.,VOL.52,1983,PP89-119,"
147,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
147,(SOURCE OF RADIAL VELOSITIES (2):
147,"J.R.FISHER,R.B.TULLY,ASTROPHYS.J.SUPPL.SER.,"
147,"VOL.47,1981,P139)."
147,(radial velocities of galaxies)
148,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
148,"SER.,VOL.52,1983,PP89-119,"
148,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
148,(SOURCE OF RADIAL VELOCITIES (1):
148,"1)A.SANDAGE,ASTRON.J.,VOL.83,1978,P904,"
148,"2)A.SANDAGE,G.TAMMANN,1981,REVISED SHAPLEY-AMES"
148,"CATALOG,CARNEGIE INST.WASHINGTON PUB.)."
148,(radial velocities of galaxies)
149,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
149,"SER.,VOL.52,1983,PP89-119,"
149,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
149,(SOURCE OF RADIAL VELOCITIES (3):
149,"1)HUCHRA AND THUAN AT KITT PEAK 0.9M TELESCOPE,"
149,"2)J.HUCHRA,W.L.W.SARGENT,ASTROPHYS.J.,VOL.186,"
149,"1973,P433)."
149,(radial velocities of galaxies)
150,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
150,"SER.,VOL.52,1983,PP89-119,"
150,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
150,(SOURCE OF RADIAL VELOCITIES (0):
150,"1)H.G.CORWIN JR.,D.EMERSON,M.N.R.A.S.,VOL.200,"
150,"1982,P621,"
150,"2)A.DE VAUCOULEURS,R.SHOBBROOK,A.STROBEL,"
150,"ASTRON.J.,VOL.81,1976,P219,"
150,"3)G.DE VAUCOULEURS,A.DE VAUCOULEURS,ASTRON.J.,"
150,"VOL.81,1976,P595,"
150,"4)G.DE VAUCOULEURS,A.DE VAUCOULEURS,H.CORWIN,"
150,"SECOND REFERENCE CATALOGUE OF BRIGHT GALAXIES,"
150,"AUSTIN,UNIVERSITY OF TEXAS PRESS,"
150,"5)G.DE VAUCOULEURS,A.DE VAUCOULEURS,J.L.NIETO,"
150,"ASTRON.J.,VOL.84,1979,P1811,"
150,"6)P.KELTON,ASTRON.J.,VOL.85,1980,P89)."
150,(radial velocities of galaxies)
151,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
151,"SER.,VOL.52,1983,PP89-119,"
151,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
151,(SOURCE OF RADIAL VELOCITIES (5):
151,"1)M.ARAKELIAN,E.DIBAY,V.ESIPOV,ASTROFIZIKA,VOL.11,"
151,"1975,P15,"
151,"2)M.ARAKELIAN,E.DIBAY,V.ESIPOV,ASTROFIZIKA,VOL.11,"
151,"1975,P377,"
151,"3)M.ARAKELIAN,E.DIBAY,V.ESIPOV,ASTROFIZIKA,VOL.12,"
151,"1976,P195,"
151,"4)M.ARAKELIAN,E.DIBAY,V.ESIPOV,ASTROFIZIKA,VOL.12,"
151,"1976,P685,"
151,"5)V.ARKHIPOVA,V.ESIPOV,M.SAVELYEVA,SOVIET ASTR.-"
151,"ASTRON.J.,VOL.20,1976,P521,"
151,"6)V.ARKHIPOVA,V.ESIPOV,SOVIET ASTR.-ASTRON.J.,"
151,"(LETTERS),VOL.5,1979,P140,"
151,"7)V.L.AFANASIEV,EH.K.DENISYUK,V.LIPOVETSKY,"
151,"SOVIET ASTR.-ASTRON.J.,(LETTERS),VOL.5,1979,P144"
151,"8)EH.K.DENISYUK,V.A.LIPOVETSKY,SOVIET ASTR.-"
151,"ASTRON.J.,(LETTERS),VOL.3,1977,P3,"
151,"9)EH.K.DENISYUK,V.A.LIPOVETSKY,V.L.AFANASIEV,"
151,"ASTROFIZIKA,VOL.12,1976,P667,"
151,"10)E.DIBAY,V.DOROSHENKO,V.TEREBIZH,ASTROFIZIKA,"
151,"VOL.12,1976,P691,"
151,"11)V.DOROSHENKO,V.TEREBIZH,ASTROFIZIKA,VOL.11,"
151,"1975,P631,"
151,"12)I.KOPILOV,V.L.LIPOVETSKY,V.PRONIK,K.CHUVAEV,"
151,"ASTROFIZIKA,VOL.12,1976,P189,"
151,"13)B.MARKARIAN,V.L.LIPOVETSKY,J.STEPANIAN,"
151,"ASTROFIZIKA,VOL.16,1980,P5,"
151,"14)B.MARKARIAN,V.L.LIPOVETSKY,J.STEPANIAN,"
151,"ASTROFIZIKA,VOL.16,1980,P609)."
151,(radial velocities of galaxies)
152,"V.T.DOROSHENKO,V.YU.TEREBIZH,   PIS'MA ASTRON.ZH.,VOL.5,"
152,"1979,PP571-575,"
152,BROADBAND PHOTOMETRY OF GALAXIES WITH
152,ULTRAVIOLET CONTINUUM.
152,"V.T.DOROSHENKO,V.YU.TEREBIZH,   ASTROFIZIKA,VOL.19,1983,"
152,"PP5-15,"
152,NARROWBAND PHOTOMETRY OF NORMAL AND SEYFERT
152,GALAXIES.
152,(U-B and B-V colors)
153,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
153,"SER.,VOL.52,1983,PP89-119,"
153,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
153,(SOURCE OF RADIAL VELOCITIES (6):
153,"1)J.BIEGING,P.BIERMANN,ASTRON.ASTROPHYS.,VOL.60,"
153,"1977,P361,"
153,"2)P.BIERMANN,J.CLARKE,K.FRICKE,ASTRON.ASTROPHYS.,"
153,"VOL.75,1979,P7,"
153,"3)G.CHINCARINI,R.GIOVANELLI,M.HAYNES,ASTRON.J.,"
153,"VOL.84,1979,P1500,"
153,"4)R.GIOVANELLI,M.HAYNES,1981,PRIVATE COMMUNICATION"
153,"5)G.HELOU,E.SALPETER,N.KRUMM,ASTROPHYS.J.(LETTERS)"
153,"VOL.228,1979,PL1,"
153,"6)N.KRUMM,E.SALPETER,ASTRON.ASTROPHYS.,VOL.56,"
153,"1977,P465,"
153,"7)N.KRUMM,E.SALPETER,ASTROPHYS.J.,VOL.227,1979,"
153,"P776,"
153,"8)N.KRUMM,E.SALPETER,ASTROPHYS.J.,VOL.228,1979,P64"
153,"9)N.KRUMM,E.SALPETER,ASTRON.J.,VOL.84,1979,P1138,"
153,"10)N.KRUMM,E.SALPETER,ASTRON.J.,VOL.85,1980,P1312,"
153,"11)S.PETERSON,ASTROPHYS.J.SUPPL.SER.,VOL.40,1979,"
153,"P527,"
153,"12)E.OLSON,1979,PRIVATE COMMUNICATION)."
153,(radial velocities of galaxies)
154,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
