SNR,RAh,RAm,RAs,DE-,DEd,DEm,MajDiam,---,MinDiam,u_MinDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names
G054.1+00.3,19,30,31,+,18,52,12.0,--,--,?,C?,--,0.5,--,0.1,--,--
G054.4-00.3,19,33,20,+,18,56,40.0,--,--,--,S,--,28.0,--,0.5,--,(HC40)
G055.0+00.3,19,32,0,+,19,50,20.0,x,15.0,?,S,--,0.5,?,0.5,?,--
G055.7+03.4,19,21,20,+,21,44,23.0,--,--,--,S,--,1.0,?,0.3,?,--
G057.2+00.8,19,34,59,+,21,57,12.0,--,--,?,S?,--,1.8,--,0.62,--,(4C21.53)
G059.5+00.1,19,42,33,+,23,35,15.0,--,--,--,S,--,3.0,?,--,?,--
G059.8+01.2,19,38,55,+,24,19,20.0,x,16.0,?,?,--,1.5,--,0.0,--,--
G063.7+01.1,19,47,52,+,27,45,8.0,--,--,--,F,--,1.8,--,0.24,--,--
G064.5+00.9,19,50,25,+,28,16,8.0,--,--,--,S?,--,0.2,?,0.5,--,--
G065.1+00.6,19,54,40,+,28,35,90.0,x,50.0,--,S,--,5.5,--,0.61,--,--
G065.3+05.7,19,33,0,+,31,10,310.0,x,240.0,--,S?,--,42.0,--,0.6,--,--
G065.7+01.2,19,52,10,+,29,26,22.0,--,--,--,F,--,5.1,--,--,v,DA 495
G065.8-00.5,19,59,20,+,28,38,10.0,x,6.0,?,S,--,--,?,--,?,--
G066.0-00.0,19,57,50,+,29,3,31.0,x,25.0,?,S,--,--,?,--,?,--
G067.6+00.9,19,57,45,+,30,53,50.0,x,45.0,?,S,--,--,?,--,?,--
G067.7+01.8,19,54,32,+,31,29,15.0,x,12.0,--,S,--,1.0,--,0.61,--,--
G067.8+00.5,20,0,0,+,30,51,7.0,x,5.0,--,?,--,--,?,--,?,--
G068.6-01.2,20,8,40,+,30,37,23.0,--,--,--,?,--,1.1,--,0.2,--,--
G069.0+02.7,19,53,20,+,32,55,80.0,--,--,?,?,--,120.0,?,--,v,CTB 80
G069.7+01.0,20,2,40,+,32,43,16.0,x,14.0,--,S,--,2.0,--,0.7,--,--
G070.0-21.5,21,24,0,+,19,23,330.0,x,240.0,--,S,--,--,?,--,?,--
G073.9+00.9,20,14,15,+,36,12,27.0,--,--,--,S?,--,9.0,--,0.23,--,--
G074.0-08.5,20,51,0,+,30,40,230.0,x,160.0,--,S,--,210.0,--,--,v,Cygnus Loop
G074.9+01.2,20,16,2,+,37,12,8.0,x,6.0,--,F,--,9.0,--,--,v,CTB 87
G076.9+01.0,20,22,20,+,38,43,9.0,--,--,--,C,--,2.0,?,--,?,--
G078.2+02.1,20,20,50,+,40,26,60.0,--,--,--,S,--,320.0,--,0.51,--,"DR4, gamma Cygni SNR"
G082.2+05.3,20,19,0,+,45,30,95.0,x,65.0,--,S,--,120.0,?,0.5,?,W63
G083.0-00.3,20,46,55,+,42,52,9.0,x,7.0,--,S,--,1.0,--,0.4,--,--
G084.2-00.8,20,53,20,+,43,27,20.0,x,16.0,--,S,--,11.0,--,0.5,--,--
G085.4+00.7,20,50,40,+,45,22,24.0,--,--,?,S,--,--,?,0.2,--,--
G085.9-00.6,20,58,40,+,44,53,24.0,--,--,--,S,--,--,?,0.2,--,--
G089.0+04.7,20,45,0,+,50,35,120.0,x,90.0,--,S,--,220.0,--,0.38,--,HB21
G093.3+06.9,20,52,25,+,55,21,27.0,x,20.0,--,C?,--,9.0,--,0.45,--,"DA 530, 4C(T)55.38.1"
G093.7-00.2,21,29,20,+,50,50,80.0,--,--,--,S,--,65.0,--,0.65,--,"CTB 104A, DA 551"
G094.0+01.0,21,24,50,+,51,53,30.0,x,25.0,--,S,--,13.0,--,0.45,--,3C434.1
G096.0+02.0,21,30,30,+,53,59,26.0,--,--,--,S,--,0.3,--,0.6,--,--
G106.3+02.7,22,27,30,+,60,50,60.0,x,24.0,--,C?,--,6.0,--,0.6,--,--
G108.2-00.6,22,53,40,+,58,50,70.0,x,54.0,--,S,--,8.0,--,0.5,--,--
G109.1-01.0,23,1,35,+,58,53,28.0,--,--,--,S,--,22.0,--,0.45,--,CTB 109
G111.7-02.1,23,23,26,+,58,48,5.0,--,--,--,S,--,2400.0,--,0.77,--,"Cassiopeia A, 3C461"
G113.0+00.2,23,26,50,+,61,26,40.0,x,17.0,?,?,--,4.0,--,0.5,?,--
G114.3+00.3,23,37,0,+,61,55,90.0,x,55.0,--,S,--,5.5,--,0.5,--,--
G116.5+01.1,23,53,40,+,63,15,80.0,x,60.0,--,S,--,10.0,--,0.5,--,--
G116.9+00.2,23,59,10,+,62,26,34.0,--,--,--,S,--,8.0,--,0.57,--,CTB 1
G119.5+10.2,0,6,40,+,72,45,90.0,--,--,?,S,--,36.0,--,0.6,--,CTA 1
G120.1+01.4,0,25,18,+,64,9,8.0,--,--,--,S,--,56.0,--,0.58,--,"Tycho, 3C10, SN1572"
G126.2+01.6,1,22,0,+,64,15,70.0,--,--,--,S?,--,6.0,--,0.5,--,--
G127.1+00.5,1,28,20,+,63,10,45.0,--,--,--,S,--,12.0,--,0.45,--,R5
G130.7+03.1,2,5,41,+,64,49,9.0,x,5.0,--,F,--,33.0,--,0.07,--,"3C58, SN1181"
G132.7+01.3,2,17,40,+,62,45,80.0,--,--,--,S,--,45.0,--,0.6,--,HB3
G152.4-02.1,4,7,50,+,49,11,100.0,x,95.0,--,S,--,3.5,?,0.7,?,--
G156.2+05.7,4,58,40,+,51,50,110.0,--,--,--,S,--,5.0,--,0.5,--,--
G159.6+07.3,5,20,0,+,50,0,240.0,x,180.0,?,S,--,--,?,--,?,--
G160.9+02.6,5,1,0,+,46,40,140.0,x,120.0,--,S,--,110.0,--,0.64,--,HB9
G166.0+04.3,5,26,30,+,42,56,55.0,x,35.0,--,S,--,7.0,--,0.37,--,VRO 42.05.01
G178.2-04.2,5,25,5,+,28,11,72.0,x,62.0,--,S,--,2.0,--,0.5,--,--
G179.0+02.6,5,53,40,+,31,5,70.0,--,--,--,S?,--,7.0,--,0.4,--,--
G180.0-01.7,5,39,0,+,27,50,180.0,--,--,--,S,--,65.0,--,--,v,S147
G182.4+04.3,6,8,10,+,29,0,50.0,--,--,--,S,--,0.5,--,0.4,--,--
G184.6-05.8,5,34,31,+,22,1,7.0,x,5.0,--,F,--,960.0,--,0.3,--,"Crab Nebula, 3C144, SN1054"
G189.1+03.0,6,17,0,+,22,34,45.0,--,--,--,C,--,165.0,--,0.36,--,"IC443, 3C157"
G190.9-02.2,6,1,55,+,18,24,70.0,x,60.0,--,S,--,1.3,?,0.7,?,--
G205.5+00.5,6,39,0,+,6,30,220.0,--,--,--,S,--,140.0,--,0.4,--,Monoceros Nebula
G206.9+02.3,6,48,40,+,6,26,60.0,x,40.0,--,S?,--,6.0,--,0.5,--,PKS 0646+06
G213.0-00.6,6,50,50,-,0,30,160.0,x,140.0,?,S,--,21.0,--,0.4,--,--
G260.4-03.4,8,22,10,-,43,0,60.0,x,50.0,--,S,--,130.0,--,0.5,--,"Puppis A, MSH 08-44"
G261.9+05.5,9,4,20,-,38,42,40.0,x,30.0,--,S,--,10.0,?,0.4,?,--
G263.9-03.3,8,34,0,-,45,50,255.0,--,--,--,C,--,1750.0,--,--,v,Vela (XYZ)
G266.2-01.2,8,52,0,-,46,20,120.0,--,--,--,S,--,50.0,?,0.3,?,RX J0852.0-4622
G272.2-03.2,9,6,50,-,52,7,15.0,--,--,?,S?,--,0.4,--,0.6,--,--
G279.0+01.1,9,57,40,-,53,15,95.0,--,--,--,S,--,30.0,?,0.6,?,--
G284.3-01.8,10,18,15,-,59,0,24.0,--,--,?,S,--,11.0,?,0.3,?,MSH 10-53
G286.5-01.2,10,35,40,-,59,42,26.0,x,6.0,--,S?,--,1.4,?,--,?,--
G289.7-00.3,11,1,15,-,60,18,18.0,x,14.0,--,S,--,6.2,--,0.2,?,--
G290.1-00.8,11,3,5,-,60,56,19.0,x,14.0,--,S,--,42.0,--,0.4,--,MSH 11-61A
G291.0-00.1,11,11,54,-,60,38,15.0,x,13.0,--,C,--,16.0,--,0.29,--,(MSH 11-62)
G292.0+01.8,11,24,36,-,59,16,12.0,x,8.0,--,C,--,15.0,--,0.4,--,MSH 11-54
G292.2-00.5,11,19,20,-,61,28,20.0,x,15.0,--,S,--,7.0,--,0.5,--,--
G293.8+00.6,11,35,0,-,60,54,20.0,--,--,--,C,--,5.0,?,0.6,?,--
G294.1-00.0,11,36,10,-,61,38,40.0,--,--,--,S,>,2.0,?,--,?,--
G296.1-00.5,11,51,10,-,62,34,37.0,x,25.0,--,S,--,8.0,?,0.6,?,--
G296.5+10.0,12,9,40,-,52,25,90.0,x,65.0,--,S,--,48.0,--,0.5,--,PKS 1209-51/52
G296.7-00.9,11,55,30,-,63,8,15.0,x,8.0,--,S,--,3.0,--,0.5,--,--
G296.8-00.3,11,58,30,-,62,35,20.0,x,14.0,--,S,--,9.0,--,0.6,--,1156-62
G298.5-00.3,12,12,40,-,62,52,5.0,--,--,?,?,--,5.0,?,0.4,?,--
G298.6-00.0,12,13,41,-,62,37,12.0,x,9.0,--,S,--,5.0,?,0.3,--,--
G299.2-02.9,12,15,13,-,65,30,18.0,x,11.0,--,S,--,0.5,?,--,?,--
G299.6-00.5,12,21,45,-,63,9,13.0,--,--,--,S,--,1.0,?,--,?,--
G301.4-01.0,12,37,55,-,63,49,37.0,x,23.0,--,S,--,2.1,?,--,?,--
G302.3+00.7,12,45,55,-,62,8,17.0,--,--,--,S,--,5.0,?,0.4,?,--
G304.6+00.1,13,5,59,-,62,42,8.0,--,--,--,S,--,14.0,--,0.5,--,Kes 17
G306.3-00.9,13,21,50,-,63,34,4.0,--,--,--,S?,--,0.2,?,0.5,?,--
G308.1-00.7,13,37,37,-,63,4,13.0,--,--,--,S,--,1.2,?,--,?,--
G308.4-01.4,13,41,30,-,63,44,12.0,x,6.0,?,S?,--,0.4,?,--,?,--
G308.8-00.1,13,42,30,-,62,23,30.0,x,20.0,?,C?,--,15.0,?,0.4,?,--
G309.2-00.6,13,46,31,-,62,54,15.0,x,12.0,--,S,--,7.0,?,0.4,?,--
G309.8+00.0,13,50,30,-,62,5,25.0,x,19.0,--,S,--,17.0,--,0.5,--,--
G310.6-01.6,14,0,45,-,63,26,2.5,--,--,--,C?,--,--,?,--,?,--
G310.6-00.3,13,58,0,-,62,9,8.0,--,--,--,S,--,5.0,?,--,?,Kes 20B
G310.8-00.4,14,0,0,-,62,17,12.0,--,--,--,S,--,6.0,?,--,?,Kes 20A
G311.5-00.3,14,5,38,-,61,58,5.0,--,--,--,S,--,3.0,?,0.5,--,--
G312.4-00.4,14,13,0,-,61,44,38.0,--,--,--,S,--,45.0,--,0.36,--,--
G312.5-03.0,14,21,0,-,64,12,20.0,x,18.0,--,S,--,3.5,?,--,?,--
G315.1+02.7,14,24,30,-,57,50,190.0,x,150.0,--,S,--,--,?,--,?,--
G315.4-02.3,14,43,0,-,62,30,42.0,--,--,--,S,--,49.0,--,0.6,--,"RCW 86, MSH 14-63"
G315.4-00.3,14,35,55,-,60,36,24.0,x,13.0,--,?,--,8.0,--,0.4,--,--
G315.9-00.0,14,38,25,-,60,11,25.0,x,14.0,--,S,--,0.8,?,--,?,--
G316.3-00.0,14,41,30,-,60,0,29.0,x,14.0,--,S,--,20.0,?,0.4,--,(MSH 14-57)
G317.3-00.2,14,49,40,-,59,46,11.0,--,--,--,S,--,4.7,?,--,?,--
G318.2+00.1,14,54,50,-,59,4,40.0,x,35.0,--,S,>,3.9,?,--,?,--
G318.9+00.4,14,58,30,-,58,29,30.0,x,14.0,--,C,--,4.0,?,0.2,?,--
G320.4-01.2,15,14,30,-,59,8,35.0,--,--,--,C,--,60.0,?,0.4,--,"MSH 15-52, RCW 89"
G320.6-01.6,15,17,50,-,59,16,60.0,x,30.0,--,S,--,--,?,--,?,--
G321.9-01.1,15,23,45,-,58,13,28.0,--,--,--,S,>,3.4,?,--,?,--
G321.9-00.3,15,20,40,-,57,34,31.0,x,23.0,--,S,--,13.0,--,0.3,--,--
G322.1+00.0,15,20,49,-,57,10,8.0,x,4.5,?,S?,--,--,?,--,?,--
G322.5-00.1,15,23,23,-,57,6,15.0,--,--,--,C,--,1.5,--,0.4,--,--
G323.5+00.1,15,28,42,-,56,21,13.0,--,--,--,S,--,3.0,?,0.4,?,--
G326.3-01.8,15,53,0,-,56,10,38.0,--,--,--,C,--,145.0,--,--,v,MSH 15-56
G327.1-01.1,15,54,25,-,55,9,18.0,--,--,--,C,--,7.0,?,--,?,--
G327.2-00.1,15,50,55,-,54,18,5.0,--,--,--,S,--,0.4,--,--,?,--
G327.4+00.4,15,48,20,-,53,49,21.0,--,--,--,S,--,30.0,?,0.6,--,Kes 27
G327.4+01.0,15,46,48,-,53,20,14.0,--,--,--,S,--,1.9,?,--,?,--
G327.6+14.6,15,2,50,-,41,56,30.0,--,--,--,S,--,19.0,--,0.6,--,"SN1006, PKS 1459-41"
G328.4+00.2,15,55,30,-,53,17,5.0,--,--,--,F,--,15.0,--,0.0,--,(MSH 15-57)
G329.7+00.4,16,1,20,-,52,18,40.0,x,33.0,--,S,>,34.0,?,--,?,--
G330.0+15.0,15,10,0,-,40,0,180.0,--,--,?,S,--,350.0,?,0.5,?,Lupus Loop
G330.2+01.0,16,1,6,-,51,34,11.0,--,--,--,S?,--,5.0,?,0.3,--,--
G332.0+00.2,16,13,17,-,50,53,12.0,--,--,--,S,--,8.0,?,0.5,--,--
G332.4-00.4,16,17,33,-,51,2,10.0,--,--,--,S,--,28.0,--,0.5,--,RCW 103
G332.4+00.1,16,15,20,-,50,42,15.0,--,--,--,S,--,26.0,--,0.5,--,"MSH 16-51, Kes 32"
G332.5-05.6,16,43,20,-,54,30,35.0,--,--,--,S,--,2.0,?,0.7,?,--
G335.2+00.1,16,27,45,-,48,47,21.0,--,--,--,S,--,16.0,--,0.5,--,--
G336.7+00.5,16,32,11,-,47,19,14.0,x,10.0,--,S,--,6.0,--,0.5,--,--
G337.0-00.1,16,35,57,-,47,36,1.5,--,--,--,S,--,1.5,--,0.6,?,(CTB 33)
G337.2-00.7,16,39,28,-,47,51,6.0,--,--,--,S,--,1.5,--,0.4,--,--
G337.2+00.1,16,35,55,-,47,20,3.0,x,2.0,--,?,--,1.5,?,--,?,--
G337.3+01.0,16,32,39,-,46,36,15.0,x,12.0,--,S,--,16.0,--,0.55,--,Kes 40
G337.8-00.1,16,39,1,-,46,59,9.0,x,6.0,--,S,--,18.0,--,0.5,--,Kes 41
G338.1+00.4,16,37,59,-,46,24,15.0,--,--,?,S,--,4.0,?,0.4,--,--
G338.3-00.0,16,41,0,-,46,34,8.0,--,--,--,C?,--,7.0,?,--,?,--
G338.5+00.1,16,41,9,-,46,19,9.0,--,--,--,?,--,12.0,?,--,?,--
G340.4+00.4,16,46,31,-,44,39,10.0,x,7.0,--,S,--,5.0,--,0.4,--,--
G340.6+00.3,16,47,41,-,44,34,6.0,--,--,--,S,--,5.0,?,0.4,?,--
G341.2+00.9,16,47,35,-,43,47,22.0,x,16.0,--,C,--,1.5,?,0.6,?,--
G341.9-00.3,16,55,1,-,44,1,7.0,--,--,--,S,--,2.5,--,0.5,--,--
G342.0-00.2,16,54,50,-,43,53,12.0,x,9.0,--,S,--,3.5,?,0.4,?,--
G342.1+00.9,16,50,43,-,43,4,10.0,x,9.0,--,S,--,0.5,?,--,?,--
G343.0-06.0,17,25,0,-,46,30,250.0,--,--,--,S,--,--,?,--,?,RCW 114
G343.1-02.3,17,8,0,-,44,16,32.0,--,--,?,C?,--,8.0,?,0.5,?,--
G343.1-00.7,17,0,25,-,43,14,27.0,x,21.0,--,S,--,7.8,--,0.55,--,--
G344.7-00.1,17,3,51,-,41,42,8.0,--,--,--,C?,--,2.5,?,0.3,?,--
G345.7-00.2,17,7,20,-,40,53,6.0,--,--,--,S,--,0.6,?,--,?,--
G346.6-00.2,17,10,19,-,40,11,8.0,--,--,--,S,--,8.0,?,0.5,?,--
G347.3-00.5,17,13,50,-,39,45,65.0,x,55.0,--,S?,--,30.0,?,--,?,RX J1713.7-3946
G348.5-00.0,17,15,26,-,38,28,10.0,--,--,?,S?,--,10.0,?,0.4,?,--
G348.5+00.1,17,14,6,-,38,32,15.0,--,--,--,S,--,72.0,--,0.3,--,CTB 37A
G348.7+00.3,17,13,55,-,38,11,17.0,--,--,?,S,--,26.0,--,0.3,--,CTB 37B
G349.2-00.1,17,17,15,-,38,4,9.0,x,6.0,--,S,--,1.4,?,--,?,--
G349.7+00.2,17,17,59,-,37,26,2.5,x,2.0,--,S,--,20.0,--,0.5,--,--
G350.0-02.0,17,27,50,-,38,32,45.0,--,--,--,S,--,26.0,--,0.4,--,--
G350.1-00.3,17,21,5,-,37,27,4.0,--,--,?,?,--,6.0,?,0.8,?,--
G351.0-05.4,17,46,0,-,39,25,30.0,--,--,--,S,--,--,?,--,?,--
G351.2+00.1,17,22,27,-,36,11,7.0,--,--,--,C?,--,5.0,?,0.4,--,--
G351.7+00.8,17,21,0,-,35,27,18.0,x,14.0,--,S,--,10.0,--,0.5,?,--
G351.9-00.9,17,28,52,-,36,16,12.0,x,9.0,--,S,--,1.8,?,--,?,--
G352.7-00.1,17,27,40,-,35,7,8.0,x,6.0,--,S,--,4.0,--,0.6,--,--
G353.6-00.7,17,32,0,-,34,44,30.0,--,--,--,S,--,2.5,?,--,?,--
G353.9-02.0,17,38,55,-,35,11,13.0,--,--,--,S,--,1.0,?,0.5,?,--
G354.1+00.1,17,30,28,-,33,46,15.0,x,3.0,?,C?,--,--,?,--,v,--
G354.8-00.8,17,36,0,-,33,42,19.0,--,--,--,S,--,2.8,?,--,?,--
G355.4+00.7,17,31,20,-,32,26,25.0,--,--,--,S,--,5.0,?,--,?,--
G355.6-00.0,17,35,16,-,32,38,8.0,x,6.0,--,S,--,3.0,?,--,?,--
G355.9-02.5,17,45,53,-,33,43,13.0,--,--,--,S,--,8.0,--,0.5,--,--
G356.2+04.5,17,19,0,-,29,40,25.0,--,--,--,S,--,4.0,--,0.7,--,--
G356.3-01.5,17,42,35,-,32,52,20.0,x,15.0,--,S,--,3.0,?,--,?,--
G356.3-00.3,17,37,56,-,32,16,11.0,x,7.0,--,S,--,3.0,?,--,?,--
G357.7-00.1,17,40,29,-,30,58,8.0,x,3.0,?,?,--,37.0,--,0.4,--,MSH 17-39
G357.7+00.3,17,38,35,-,30,44,24.0,--,--,--,S,--,10.0,--,0.4,?,--
G358.0+03.8,17,26,0,-,28,36,38.0,--,--,--,S,--,1.5,?,--,?,--
G358.1+01.0,17,37,0,-,29,59,20.0,--,--,--,S,--,2.0,?,--,?,--
G358.5-00.9,17,46,10,-,30,40,17.0,--,--,--,S,--,4.0,?,--,?,--
G359.0-00.9,17,46,50,-,30,16,23.0,--,--,--,S,--,23.0,--,0.5,--,--
G359.1-00.5,17,45,30,-,29,57,24.0,--,--,--,S,--,14.0,--,0.4,?,--
G359.1+00.9,17,39,36,-,29,11,12.0,x,11.0,--,S,--,2.0,?,--,?,--
