Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Bt,SBe,e1,e2,e3,e4,e5,B-Ve,e_B-Ve,gB-V,U-Be,e_U-Be,gU-B,V-Re,e_V-Re,gV-R,V-Ie,e_V-Ie,gV-I,Nap,LastA,Tphot,Mode,Q
IC2339,8,20,37.5,+,21,29,58,14.81,21.37,0.041,0.024,0.051,0.0,0.0,0.63,0.043,-0.107,-0.12,0.118,0.598,--,9.99,9.99,--,9.99,9.99,3,0.45,4.9,0,4
IC2348,8,21,24.0,+,20,40,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2373,8,23,60.0,+,20,31,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2378,8,25,26.4,+,30,35,53,14.15,23.39,0.009,0.019,0.037,0.386,0.01,1.15,0.004,-0.062,--,9.99,9.99,0.69,0.014,-0.038,--,9.99,9.99,15,0.39,-3.6,1,3
IC2389,8,42,31.7,+,73,43,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2402,8,44,54.2,+,31,58,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2421,8,51,16.4,+,32,52,16,13.63,23.28,0.049,0.017,0.039,0.0,0.0,0.63,0.017,-0.035,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,4,0.35,5.2,0,4
IC2431,9,1,48.9,+,14,47,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2437,9,3,15.0,-,19,0,17,14.05,21.51,0.005,0.009,0.012,0.31,0.001,1.08,0.017,-0.09,0.54,0.035,0.155,0.63,0.027,-0.013,1.33,0.026,0.005,12,0.26,-1.4,1,2
IC2458,9,17,26.1,+,64,26,57,15.26,21.48,0.032,0.02,0.021,0.0,0.0,0.43,0.01,9.99,-0.65,0.065,9.99,0.43,0.013,9.99,--,9.99,9.99,2,0.19,0.0,0,4
IC2469,9,20,54.0,-,32,14,6,11.81,22.06,0.006,0.009,0.017,0.19,0.005,0.96,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,35,0.33,-3.2,1,6
IC2510,9,45,33.0,-,32,36,17,14.06,22.04,0.003,0.004,0.008,0.117,0.001,0.91,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,25,0.2,2.0,1,6
IC2511,9,47,15.0,-,32,36,29,12.1,23.02,0.014,0.005,0.01,0.215,0.008,0.92,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,33,0.07,1.4,1,2
IC2522,9,52,58.0,-,32,54,0,12.6,22.55,0.014,0.008,0.018,0.224,0.008,0.81,1.0,9.99,0.14,1.0,9.99,--,9.99,9.99,1.26,9.99,9.99,38,0.04,5.5,1,2
IC2523,9,52,59.0,-,32,58,23,13.99,22.06,0.002,0.001,0.002,0.061,0.0,0.91,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,32,0.03,2.4,1,1
IC2531,9,57,41.0,-,29,22,30,12.7,22.32,0.015,0.006,0.014,0.113,0.004,0.91,0.0,9.99,0.49,9.99,9.99,0.6,0.0,9.99,0.75,0.0,9.99,41,0.03,5.0,1,2
IC2533,9,58,18.0,-,31,0,11,12.95,20.48,0.003,0.004,0.006,0.113,0.0,0.97,0.004,0.02,0.46,0.022,-0.116,0.59,0.007,-0.006,1.25,0.009,-0.067,13,0.29,-3.1,1,1
IC2536,10,1,18.0,-,33,42,29,14.33,22.77,0.005,0.004,0.006,0.163,0.003,0.9,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,26,0.04,3.8,1,1
IC2537,10,1,36.0,-,27,19,41,12.62,22.93,0.011,0.005,0.014,0.158,0.007,0.76,0.067,-0.199,0.16,0.086,-0.194,0.58,1.002,9.99,1.31,9.99,9.99,40,0.13,5.1,1,2
IC2538,10,1,45.0,-,34,33,53,14.36,22.49,0.016,0.006,0.01,0.288,0.003,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,26,0.05,4.9,1,2
IC2539,10,2,3.0,-,31,7,5,14.11,21.96,0.003,0.004,0.005,0.137,0.0,0.96,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,31,0.11,-3.7,1,1
IC2552,10,8,34.0,-,34,35,53,12.93,22.12,0.005,0.006,0.01,0.235,0.002,1.01,0.028,-0.17,0.49,0.028,-0.06,0.63,0.077,-0.191,1.32,0.074,-0.094,15,0.12,-1.7,1,2
IC2554,10,7,31.0,-,66,46,54,12.35,22.23,0.009,0.011,0.028,0.267,0.008,0.73,0.009,-0.045,-0.01,0.014,0.055,--,9.99,9.99,--,9.99,9.99,16,0.09,5.0,1,2
IC2556,10,10,25.0,-,34,28,54,14.56,23.82,0.006,0.002,0.005,0.086,0.003,0.87,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,32,0.04,6.9,1,1
IC2558,10,12,31.0,-,34,5,24,14.47,21.67,0.013,0.009,0.01,0.0,0.0,0.85,9.99,9.99,0.43,9.99,9.99,0.56,9.99,9.99,1.17,9.99,9.99,7,0.01,9.0,0,2
IC2559,10,12,32.0,-,33,48,42,14.65,22.23,0.007,0.004,0.005,0.192,0.0,0.87,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,31,0.01,6.5,1,2
IC2560,10,14,5.0,-,33,18,53,12.17,23.06,0.015,0.021,0.044,0.463,0.016,0.97,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.23,9.99,9.99,38,0.22,-4.2,1,3
IC2565,10,18,29.0,+,28,10,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2574,10,24,41.3,+,68,40,18,10.72,24.49,0.028,0.026,0.091,0.0,0.0,0.47,0.035,-0.06,-0.12,0.025,9.99,--,9.99,9.99,--,9.99,9.99,3,0.33,9.0,0,4
IC2578,10,25,7.0,-,33,37,18,14.67,23.07,0.006,0.003,0.006,0.139,0.002,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,21,0.06,5.2,1,2
IC2580,10,26,1.0,-,31,15,47,13.24,22.91,0.01,0.007,0.014,0.336,0.004,0.72,0.031,-0.046,0.06,0.03,9.99,0.52,0.038,0.014,0.89,0.206,0.368,18,0.05,7.4,1,2
IC2584,10,27,36.0,-,34,39,17,13.6,19.73,0.011,0.01,0.006,0.0,0.0,0.95,0.015,9.99,0.44,0.0,9.99,--,9.99,9.99,--,9.99,9.99,9,0.02,-1.9,0,2
IC2586,10,28,43.0,-,28,27,42,13.23,21.96,0.009,0.026,0.03,1.334,0.0,1.02,0.012,-0.068,0.65,0.008,9.99,0.69,0.034,0.172,1.36,0.061,0.153,17,0.17,-13.7,1,2
IC2587,10,28,44.0,-,34,18,24,13.19,22.04,0.014,0.01,0.015,0.361,0.003,1.01,0.008,-0.035,0.46,0.015,0.076,0.63,0.033,-0.068,1.36,0.049,-0.049,15,0.1,-2.7,1,2
IC2588,10,29,31.0,-,30,7,41,13.5,23.08,0.023,0.017,0.042,0.351,0.016,1.1,0.027,-0.179,--,9.99,9.99,0.64,0.045,-0.021,1.43,0.048,0.113,17,0.09,3.5,1,3
IC2594,10,33,41.0,-,24,3,47,13.38,22.15,0.009,0.012,0.018,0.494,0.002,1.04,0.021,9.99,0.4,0.037,0.064,0.65,0.031,9.99,1.33,0.04,9.99,13,0.1,-2.7,1,2
IC2597,10,35,25.7,-,26,49,16,12.42,22.55,0.003,0.007,0.012,0.195,0.003,1.04,0.006,-0.069,0.45,0.039,-0.22,0.62,0.011,-0.039,1.36,0.01,-0.003,58,0.3,-10.0,1,2
IC2620,10,59,48.0,+,38,47,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2623,11,1,23.0,-,19,49,23,14.48,21.22,0.004,0.007,0.008,0.133,0.001,0.93,0.023,0.087,0.3,0.052,9.99,0.59,0.023,-0.123,1.16,0.087,0.448,36,0.05,-5.0,1,2
IC2627,11,7,26.0,-,23,27,17,12.51,22.25,0.038,0.015,0.023,0.542,0.008,0.69,0.092,-0.273,-0.02,0.092,0.249,0.56,1.004,9.99,1.4,9.99,9.99,11,0.09,4.4,1,3
IC2738,11,18,41.3,+,34,37,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2744,11,19,0.8,+,34,38,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2751,11,19,25.7,+,34,35,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2764,11,24,37.0,-,28,42,11,13.0,22.16,0.013,0.01,0.017,0.48,0.002,1.01,0.022,0.093,0.33,0.051,-0.232,0.51,0.022,9.99,1.09,0.056,-0.231,12,0.05,-1.2,1,2
IC2856,11,25,44.5,-,12,36,56,14.6,22.09,0.047,0.021,0.034,0.0,0.0,0.82,0.018,-0.033,--,9.99,9.99,0.46,0.133,0.537,1.0,0.021,9.99,4,0.21,2.2,0,4
IC2943,11,33,58.4,+,55,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2951,11,40,49.0,+,20,1,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2955,11,42,28.4,+,19,53,53,15.27,20.6,0.005,0.006,0.005,0.274,0.002,1.01,0.01,0.074,0.72,0.075,-0.412,0.74,0.015,-0.038,--,9.99,9.99,47,0.07,0.7,1,1
IC2974,11,51,15.2,-,4,53,26,14.24,21.96,0.002,0.003,0.006,0.084,0.001,0.94,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,21,0.35,-1.3,1,6
IC2977,11,52,42.0,-,37,25,0,13.27,21.75,0.008,0.014,0.022,0.537,0.003,0.96,0.006,-0.067,0.4,0.012,-0.09,0.6,0.019,-0.124,1.32,0.022,-0.047,23,0.08,-3.5,1,2
IC2987,12,0,51.4,+,39,5,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC2995,12,3,12.0,-,27,39,42,13.2,23.22,0.009,0.003,0.007,0.11,0.004,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,33,0.04,5.0,1,2
IC2996,12,3,14.0,-,29,41,41,14.81,22.46,0.008,0.004,0.006,0.151,0.001,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,30,0.03,5.3,1,2
IC3005,12,4,39.0,-,29,44,42,14.08,22.76,0.005,0.005,0.008,0.173,0.002,0.95,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,31,0.08,-1.8,1,2
IC3010,12,5,22.0,-,30,3,42,13.01,22.33,0.011,0.011,0.018,0.349,0.006,0.97,0.008,0.018,0.38,0.023,-0.084,0.56,0.019,-0.057,1.23,0.021,9.99,15,0.07,-3.5,1,2
IC3021,12,7,21.6,+,13,19,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3023,12,7,28.8,+,14,38,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3024,12,7,39.0,+,12,36,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3033,12,8,37.2,+,13,51,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3044,12,10,15.5,+,14,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3059,12,12,22.8,+,13,44,12,14.7,24.32,0.019,0.025,0.067,0.0,0.0,0.57,0.089,-0.138,-0.06,0.142,0.278,0.52,0.096,0.038,0.84,0.211,0.638,5,0.19,9.6,0,4
IC3061,12,12,31.4,+,14,18,29,14.21,23.36,0.04,0.034,0.064,0.0,0.0,0.79,0.081,-0.113,0.09,0.092,-0.233,0.55,0.18,-0.354,1.1,0.179,-0.32,4,0.19,5.0,0,4
IC3063,12,12,33.0,+,12,17,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3066,12,12,43.2,+,13,45,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3074,12,13,11.4,+,10,58,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3075,12,13,23.3,+,23,52,23,14.78,22.5,0.045,0.019,0.032,0.0,0.0,1.1,0.168,-0.555,0.47,0.108,0.391,--,9.99,9.99,--,9.99,9.99,3,0.25,3.0,0,4
IC3094,12,14,22.9,+,13,54,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3099,12,14,37.2,+,12,43,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3105,12,15,1.2,+,12,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3107,12,15,14.2,+,11,7,23,14.36,22.22,0.065,0.021,0.017,0.0,0.0,0.93,0.135,-0.416,0.36,0.096,-0.278,--,9.99,9.99,--,9.99,9.99,4,0.11,3.7,0,4
IC3115,12,15,26.4,+,6,55,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3136,12,16,25.0,+,6,27,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3152,12,17,0.0,-,25,52,5,13.46,20.45,0.026,0.011,0.015,0.926,0.007,0.97,0.01,0.054,0.51,0.03,-0.23,0.6,0.015,-0.006,1.25,0.012,-0.01,12,0.02,0.0,1,2
IC3156,12,17,11.4,+,9,25,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3225,12,20,6.0,+,6,57,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3229,12,20,19.8,+,6,57,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3239,12,20,37.8,+,12,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3253,12,21,7.0,-,34,20,42,12.77,22.42,0.026,0.011,0.024,0.163,0.007,0.72,0.069,-0.361,0.07,0.081,-0.423,--,9.99,9.99,1.33,9.99,9.99,29,0.02,7.0,1,2
IC3258,12,21,11.9,+,12,45,23,13.41,23.36,0.104,0.103,0.317,0.0,0.0,0.4,0.059,0.163,-0.35,0.367,0.881,--,9.99,9.99,--,9.99,9.99,3,0.4,9.6,0,4
IC3259,12,21,16.3,+,7,27,57,14.19,22.93,0.021,0.01,0.015,0.0,0.0,0.71,0.028,0.084,0.07,0.039,9.99,0.51,0.145,-0.384,1.02,0.155,-0.484,4,0.05,7.7,0,4
IC3262,12,21,17.8,+,27,40,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3267,12,21,32.8,+,7,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3268,12,21,34.7,+,6,52,59,13.7,21.23,0.036,0.016,0.012,0.0,0.0,0.37,0.064,0.17,-0.25,0.039,0.103,0.4,0.078,-0.035,0.69,0.135,0.202,3,0.08,5.5,0,4
IC3298,12,22,32.4,+,17,17,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3311,12,23,0.6,+,12,32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3322,12,23,21.3,+,7,49,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3322A,12,23,9.9,+,7,29,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3328,12,23,24.6,+,10,19,47,14.14,22.84,0.003,0.005,0.005,0.217,0.002,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,23,0.13,-1.3,1,1
IC3330,12,23,26.5,+,31,7,9,14.61,22.64,0.01,0.015,0.027,0.0,0.0,0.88,0.125,-0.437,0.04,0.1,0.244,--,9.99,9.99,--,9.99,9.99,3,0.33,2.0,0,4
IC3349,12,24,15.0,+,12,43,41,14.71,23.76,0.008,0.005,0.008,0.186,0.0,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,47,0.1,2.5,1,2
IC3355,12,24,18.0,+,13,27,11,15.33,23.77,0.053,0.015,0.034,0.0,0.0,0.33,0.023,0.099,-0.25,0.025,-0.092,0.17,0.053,9.99,0.52,0.035,9.99,5,0.03,9.9,0,4
IC3356,12,24,21.6,+,11,50,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3365,12,24,40.2,+,16,10,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3370,12,24,57.0,-,39,3,42,11.79,22.17,0.003,0.007,0.013,0.15,0.004,1.0,0.002,-0.089,0.53,0.014,-0.032,0.64,0.013,-0.103,1.31,0.007,-0.2,105,0.09,-5.0,1,2
IC3371,12,24,49.2,+,11,8,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3376,12,25,20.3,+,27,16,15,14.32,21.91,0.045,0.022,0.033,0.0,0.0,1.06,0.025,9.99,0.62,0.164,-0.21,--,9.99,9.99,--,9.99,9.99,3,0.25,1.1,0,4
IC3392,12,26,12.0,+,15,16,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3393,12,26,9.8,+,13,11,31,15.12,23.13,0.003,0.006,0.009,0.0,0.0,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,12,0.34,-1.3,0,2
IC3414,12,26,56.2,+,7,2,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3436,12,28,0.0,+,19,55,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3446,12,28,52.2,+,11,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3453,12,29,6.6,+,15,7,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3457,12,29,19.5,+,12,55,59,14.33,23.4,0.003,0.003,0.004,0.118,0.0,0.9,9.99,9.99,0.51,9.99,9.99,--,9.99,9.99,--,9.99,9.99,22,0.14,3.7,1,1
IC3468,12,29,42.0,+,10,31,29,13.84,22.83,0.004,0.004,0.003,0.202,0.001,0.78,1.0,9.99,0.16,1.0,9.99,--,9.99,9.99,--,9.99,9.99,47,0.06,-0.9,1,1
IC3470,12,29,52.8,+,11,32,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3474,12,30,3.5,+,2,56,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3475,12,30,9.5,+,13,2,53,13.69,25.22,0.02,0.078,0.128,0.0,0.0,0.71,0.371,0.611,0.22,0.153,0.45,--,9.99,9.99,--,9.99,9.99,6,0.6,-4.6,0,5
IC3476,12,30,10.8,+,14,19,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3481,12,30,20.9,+,11,40,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3481A,12,30,25.4,+,11,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3483,12,30,38.6,+,11,37,31,14.82,22.44,0.124,0.042,0.085,0.0,0.0,0.7,0.069,0.246,0.03,0.122,0.426,0.52,0.079,-0.112,1.1,0.073,9.99,4,0.32,3.1,0,4
IC3492,12,30,48.6,+,13,7,36,14.9,22.57,0.035,0.009,0.008,0.629,0.007,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,19,0.12,-1.6,1,2
IC3499,12,31,13.5,+,11,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3509,12,31,40.2,+,12,19,36,14.91,22.26,0.002,0.003,0.005,0.09,0.0,0.65,0.001,-0.023,--,9.99,9.99,0.52,0.003,-0.07,--,9.99,9.99,26,0.16,0.6,1,1
IC3517,12,31,58.8,+,9,25,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3520,12,31,60.0,+,13,46,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3521,12,32,7.0,+,7,26,12,13.98,21.55,0.029,0.012,0.033,0.0,0.0,0.63,0.03,0.127,-0.03,0.054,-0.256,0.49,0.054,0.104,1.0,0.052,0.046,4,0.37,10.0,0,4
IC3530,12,32,18.5,+,18,5,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3540,12,32,55.8,+,13,1,31,14.7,21.47,0.002,0.002,0.001,0.126,0.001,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,34,0.01,6.2,1,1
IC3561,12,33,36.2,+,27,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3576,12,34,4.8,+,6,53,48,14.09,23.86,0.032,0.03,0.077,0.0,0.0,0.55,0.103,0.163,-0.16,0.065,-0.18,--,9.99,9.99,--,9.99,9.99,3,0.24,8.7,0,4
IC3582,12,34,2.2,+,26,28,33,14.12,21.79,0.712,0.12,0.327,0.0,0.0,0.66,0.138,-0.812,0.35,0.044,-0.281,--,9.99,9.99,--,9.99,9.99,3,0.89,2.0,0,5
IC3583,12,34,12.5,+,13,32,0,13.26,22.53,0.031,0.027,0.078,0.0,0.0,0.38,0.053,9.99,-0.29,0.041,9.99,0.51,0.063,9.99,0.85,0.062,9.99,4,0.34,9.9,0,4
IC3591,12,34,29.9,+,7,11,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC3598,12,34,53.3,+,28,28,54,14.96,21.8,0.031,0.022,0.018,0.0,0.0,1.03,0.057,9.99,0.4,0.138,0.419,--,9.99,9.99,--,9.99,9.99,3,0.14,1.8,0,4
