ESO021-003 132724.0-801030 14.62  22.95   .009   .009   .032   .070   .003   .84 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990  21   .37  10.1 1 6
ESO021-005 133730.0-784536   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .001   .00  .000   .000   0   .00    .0 0 0
ESO022-003 143955.0-774247 14.47  23.81   .009   .004   .010   .069   .004   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  14   .09   8.6 1 2
ESO024-019 183641.0-821041 16.53  22.18   .005   .008   .016   .000   .000   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  11   .23   5.9 0 6
ESO026-001 201609.0-814412 14.43  23.47   .011   .005   .012   .112   .005   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  17   .07   7.3 1 2
ESO027-001 214548.0-814553 12.32  23.62   .015   .015   .039   .313   .016   .92 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  38   .19   1.3 1 3
ESO027-008 221747.0-801453 12.98  22.36   .003   .001   .003   .032   .001   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  33   .02   8.4 1 1
ESO027-014 223059.0-811923 13.72  22.15   .070   .024   .033   .000   .000   .61 1.000  9.990  -.23 1.000  9.990   .43 1.414  9.990   .99 1.414  9.990   8   .08   3.0 0 3
ESO027-017 224719.0-810606 15.88  23.89   .008   .012   .025   .242   .005   .93 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.21 9.990  9.990  19   .17    .1 1 2
ESO027-021 230015.0-794412 13.97  21.13   .025   .012   .019   .414   .002   .69  .043  9.990   .07 1.000  9.990   .56  .057  9.990  1.11  .134  9.990  12   .04    .8 1 2
ESO027-024 230922.0-815353 14.13  22.93   .014   .006   .013   .270   .006   .90 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  29   .11   3.0 1 2
ESO028-006 235434.0-754647 13.11  22.27   .012   .014   .039   .299   .004   .79  .027  -.182  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  14   .42   8.4 1 3
ESO030-009 021023.0-751623 14.01  22.86   .004   .003   .005   .135   .002   .97 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.23 9.990  9.990  28   .12  -4.5 1 1
ESO031-005 025822.0-743917 13.98  21.99   .007   .004   .006   .114   .001   .90 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  30   .06   3.8 1 2
ESO031-018 033801.0-723311 15.06  22.95   .009   .005   .010   .237   .003   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990  21   .01   9.2 1 2
ESO031-020 034241.0-771735 14.92  22.86   .005   .004   .009   .157   .002   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  24   .08   6.2 1 2
ESO033-009 050137.0-745829   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .007   .00  .000   .000   0   .00    .0 0 0
ESO033-022 053256.0-734659 16.03  23.90   .013   .011   .032   .324   .011   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  11   .19   7.4 1 2
ESO034-011 064425.0-741105 12.45  23.68   .023   .023   .054   .621   .024   .78  .084  -.404   .02  .196  -.772   .89 1.004  9.990  1.43 1.004  9.990  12   .38   -.4 1 3
ESO034-011A064424.0-740947 14.63  22.93   .283   .035   .048   .000   .000  1.05  .066  9.990   .45  .355  9.990   .52 1.002  9.990  1.01 1.002  9.990   7   .00  10.0 0 3
ESO034-012 064427.0-723230 13.76  22.51   .003   .005   .010   .105   .001   .79  .044  -.193  9.99 9.990  9.990  9.99 9.990  9.990  1.30 9.990  9.990  37   .21   4.2 1 2
ESO035-001 071144.0-732530   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .006   .00  .000   .000   0   .00    .0 0 0
ESO035-003 071535.0-743853 16.41  24.18   .003   .003   .006   .074   .002   .92 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  13   .26   1.6 1 1
ESO035-018 075631.0-761636 13.66  22.82   .004   .004   .007   .120   .003   .91 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  31   .08   2.0 1 1
ESO036-019 090701.0-753618 13.64  22.00   .019   .006   .010   .321   .004   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  31   .03   4.1 1 2
ESO037-005 094607.0-742147 14.43  24.18   .006   .009   .017   .197   .005   .98 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.23 9.990  9.990  23   .21  -5.0 1 2
ESO038-004 103760.0-761941   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .003   .00  .000   .000   0   .00    .0 0 0
ESO038-012 112226.0-765306 15.22  21.82   .006   .008   .015   .000   .000   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  18   .16   4.9 0 6
ESO040-012 133045.0-772312 13.67  21.82   .003   .005   .009   .122   .002   .96 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.22 9.990  9.990  23   .38  -2.9 1 6
ESO041-006 141849.0-750542 16.78  22.91   .010   .011   .031   .000   .000   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990   5   .83   9.0 0 6
ESO043-006 164214.0-723405   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .002   .00  .000   .000   0   .00    .0 0 0
ESO044-001 170313.0-731517 15.04  22.94   .006   .011   .029   .100   .002   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  19   .40   6.2 1 6
ESO044-013 172414.0-742505 15.21  22.65   .002   .004   .009   .000   .000   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  18   .34   5.0 0 6
ESO045-004 181714.0-724547 15.54  22.87   .002   .002   .005   .046   .001   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  19   .23   7.0 1 6
ESO047-034 212619.0-764159 14.15  20.91   .006   .009   .010   .613   .002  1.08  .038  -.137   .59  .001  9.990   .65  .061  -.093  1.34  .053  -.029  10   .04  -2.4 1 2
ESO048-002 213041.0-763411 13.91  23.04   .011   .006   .016   .161   .007   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  24   .09   6.9 1 2
ESO048-017 220434.0-733736 15.29  24.12   .009   .005   .010   .104   .004   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  17   .07   6.7 1 2
ESO053-002 021225.0-710848 15.99  23.96   .004   .004   .007   .164   .002   .91 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  16   .14   2.2 1 1
ESO053-013 024414.0-693141 15.25  21.36   .034   .020   .012   .000   .000   .40  .073  9.990  -.30  .242  9.990  9.99 9.990  9.990  9.99 9.990  9.990   7   .09    .0 0 2
ESO054-015 033801.0-711318   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .009   .00  .000   .000   0   .00    .0 0 0
ESO054-021 035007.0-714706 11.95  21.81   .048   .010   .028   .225   .020   .47  .040  9.990  -.20  .000  9.990   .42  .085  9.990  1.02  .056  9.990  24   .02   7.9 1 3
ESO055-002 035426.0-721647   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .006   .00  .000   .000   0   .00    .0 0 0
ESO055-029 043732.0-691806 14.25  23.54   .010   .006   .011   .176   .004   .93 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.21 9.990  9.990  29   .10    .5 1 2
ESO057-080 062326.0-684218 15.06  21.17   .004   .002   .003   .120   .001   .93 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.21 9.990  9.990  25   .13    .1 1 1
ESO058-003 063146.0-712747 15.97  23.64   .005   .007   .015   .188   .004   .92 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  13   .24   1.3 1 2
ESO058-013 064522.0-712411 13.65  24.36   .005   .008   .016   .208   .005   .98 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.23 9.990  9.990  34   .36  -5.7 1 2
ESO058-019 065340.0-714153 13.65  21.93   .024   .012   .021   .636   .006  1.05  .006  -.042   .46  .027  -.180   .61  .010  -.011  1.31  .017   .007  18   .02   -.4 1 2
ESO058-025 071331.0-681618 14.65  22.88   .017   .006   .010   .328   .004   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  30   .05   4.9 1 2
ESO058-028 072033.0-673653 15.23  24.14   .067   .017   .033   .000   .000   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990   9   .07   6.9 0 3
ESO059-011 073820.0-692129 13.47  21.89   .015   .015   .027   .493   .006  1.00  .017  -.101  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  16   .04   2.5 1 2
ESO059-023 075559.0-680835 14.61  23.18   .009   .006   .012   .231   .004   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  28   .05   6.8 1 2
ESO059-024 080255.0-721654 14.76  23.60   .007   .011   .019   .385   .005   .98 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.23 9.990  9.990  29   .23  -5.2 1 2
ESO060-003 081648.0-714211   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .006   .00  .000   .000   0   .00    .0 0 0
ESO060-015 084947.0-695617 15.32  23.22   .009   .006   .010   .122   .001   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  21   .03   6.0 1 2
ESO060-019 085658.0-685200 13.45  23.50   .004   .003   .006   .101   .003   .94 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.22 9.990  9.990  35   .10  -1.4 1 1
ESO060-024 090203.0-680141 13.49  22.03   .007   .006   .009   .267   .003   .94 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.22 9.990  9.990  27   .07  -1.4 1 2
ESO061-008 091912.0-684148 13.94  23.20   .009   .004   .008   .089   .003   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  25   .03   7.0 1 2
ESO062-003 100407.0-703429 15.29  23.26   .012   .006   .015   .000   .000   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  18   .51   5.0 0 6
ESO068-012 154947.0-683411 13.26  22.45   .017   .026   .052   .000   .000   .78  .065   .212  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990   4   .29   4.6 0 4
ESO069-011 164414.0-710700 15.10  22.77   .037   .012   .031   .000   .000   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  15   .62   4.9 0 6
