Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
KUB-71,-0.89,0.49,4.0,-0.68,0.35,3.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,1,1.0
PPN-71,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
AAB-72,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
ARA-72,0.06,0.27,14.0,0.06,0.27,13.0,0.0,0.0,0.0,0.0,0.03,0.25,0.35,15,1.0
SAN-72,-0.0,0.16,147.0,0.01,0.15,129.4,0.0,0.03,0.0,0.0,-0.05,0.45,0.85,85,1.0
SWS-72,0.0,0.07,4.0,0.02,0.05,3.3,0.01,0.03,0.0,0.0,0.0,1.0,1.0,1,1.0
VDB-72,0.5,0.18,3.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,1.0
VVL-72,0.12,0.31,10.0,0.02,0.14,8.8,0.0,0.03,0.0,0.0,-0.05,0.4,1.0,3,1.0
AND-73,0.0,0.0,3.0,0.0,0.03,2.8,0.0,0.0,0.0,0.0,0.0,0.85,1.0,3,1.0
FRE-73,0.0,0.0,4.0,-0.01,0.07,4.0,0.0,0.0,0.0,0.0,0.01,0.9,1.0,2,1.0
HOD-73,0.29,0.02,2.0,0.31,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
PEN-73,0.01,0.19,23.0,0.01,0.16,19.9,0.01,0.01,0.0,0.0,0.04,0.5,0.5,5,1.0
SAN-73,0.04,0.08,250.0,0.04,0.09,215.0,0.03,0.03,0.01,0.0,0.05,0.65,0.9,129,1.0
TIF-73,0.0,0.05,20.0,-0.04,0.05,19.8,-0.01,-0.03,0.0,0.0,0.06,1.0,1.0,23,1.0
WEE-73,-0.05,0.24,78.0,-0.05,0.23,70.3,0.0,0.02,0.0,0.0,0.0,0.35,0.35,98,1.0
ZAL-73,-0.09,0.23,25.0,-0.11,0.18,21.0,-0.12,-0.12,0.0,0.0,-0.03,0.3,0.9,8,1.0
ALC-74,-0.14,0.13,37.0,-0.15,0.1,30.6,-0.13,-0.12,0.0,0.0,-0.14,0.6,1.0,37,1.0
ANG-74,0.07,0.06,6.0,0.06,0.03,4.2,0.06,0.0,0.0,0.0,0.01,0.8,1.0,3,1.0
ARS-74,0.2,0.28,17.0,0.09,0.15,13.3,0.08,0.06,0.0,0.0,0.05,0.4,1.0,10,1.0
KAR-74,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,2,1.0
