Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
WIS-83,-0.12,0.03,6.0,0.02,0.28,2.3,-0.02,0.01,0.01,0.0,0.0,0.6,1.0,6,1.0
BAS-84,-0.03,0.19,50.0,0.0,0.08,47.4,0.0,0.0,0.0,0.0,-0.01,0.75,1.0,29,1.0
BUC-84,0.0,0.07,93.0,0.0,0.07,91.0,0.0,0.01,0.0,0.0,-0.03,0.8,1.0,50,1.0
BUT-84,-0.03,0.12,95.0,-0.03,0.08,86.6,-0.03,-0.03,-0.01,0.0,-0.01,0.9,0.95,31,1.0
COR-84,0.03,0.26,147.0,0.02,0.16,136.1,-0.0,0.01,0.01,0.01,0.0,0.35,0.8,164,1.0
CTS-84,0.01,0.11,311.0,0.01,0.08,304.2,0.0,0.01,0.0,0.0,0.04,0.8,1.0,121,1.0
DAN-84,0.02,0.21,817.0,0.01,0.17,779.7,0.0,0.01,0.0,0.0,-0.01,0.65,0.7,132,1.0
DDP-84,-0.02,0.14,15.0,-0.01,0.16,11.6,0.0,0.0,0.0,0.0,0.0,0.25,1.0,38,1.0
LUG-84,-0.03,0.04,38.0,-0.01,0.08,32.7,-0.02,-0.02,-0.02,0.0,0.01,0.65,1.0,42,1.0
MEQ-84,0.02,0.11,59.0,0.01,0.1,55.4,0.0,0.04,0.0,0.0,0.0,0.55,1.0,36,1.0
OBE-84,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
SDW-84,0.07,0.25,78.0,0.0,0.05,46.5,0.0,0.0,0.0,0.0,0.02,0.8,0.95,25,1.0
MDV-01,-0.01,0.04,22.0,-0.01,0.03,56.1,-0.01,-0.02,0.0,0.0,-0.02,0.9,1.0,55,1.0
MDV-02,0.06,0.01,4.0,0.06,0.01,4.0,0.05,0.06,0.0,0.0,-0.01,1.0,1.0,11,1.0
MDV-03,0.11,0.14,10.0,0.1,0.06,7.3,0.03,0.03,0.0,0.0,0.03,0.6,1.0,11,1.0
MDV-04,-0.01,0.05,77.0,0.0,0.08,59.6,0.0,0.0,0.0,0.0,0.04,0.65,1.0,71,1.0
MDV-05,0.04,0.1,20.0,0.01,0.04,17.8,0.0,0.0,0.0,0.0,-0.03,0.8,1.0,69,1.0
MDV-06,0.06,0.14,81.0,0.06,0.11,72.0,0.06,0.05,0.0,0.0,0.07,0.55,1.0,52,1.0
MDV-07,0.01,0.13,110.0,0.01,0.12,99.9,-0.0,-0.02,0.0,0.0,0.04,0.6,1.0,58,1.0
MDV-08,-0.04,0.11,6.0,-0.04,0.11,5.9,0.0,0.0,0.0,0.0,0.0,0.55,1.0,3,1.0
MDV-09,0.04,0.15,50.0,0.02,0.13,40.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,25,1.0
MDV-10,-0.16,0.06,66.0,-0.13,0.06,57.9,-0.13,-0.13,0.0,0.0,-0.12,1.0,1.0,35,1.0
MDV-11,0.08,0.15,8.0,0.02,0.07,16.4,0.0,-0.02,0.0,0.0,0.04,0.7,1.0,12,1.0
MDV-12,-0.01,0.04,25.0,-0.01,0.03,23.1,0.0,0.0,0.0,0.0,0.02,0.95,0.95,45,1.0
MDV-13,0.02,0.09,16.0,0.0,0.05,13.4,0.0,0.0,0.0,0.0,0.0,0.9,1.0,37,1.0
MDV-14,-0.05,0.0,2.0,-0.05,0.0,2.0,0.01,0.01,0.0,0.0,0.01,0.9,1.0,5,1.0
MDV-15,-0.04,0.16,72.0,-0.03,0.1,59.9,0.0,0.02,0.0,0.0,0.01,0.55,0.85,65,1.0
MDV-16,-0.05,0.06,51.0,-0.01,0.07,43.0,0.0,-0.02,0.0,0.0,0.01,0.8,1.0,28,1.0
MDV-17,0.03,0.06,2.0,0.03,0.06,2.0,0.01,0.01,0.0,0.0,0.01,0.85,1.0,21,1.0
MDV-18,-0.05,0.11,8.0,-0.04,0.1,5.9,0.0,0.0,0.0,0.0,0.0,0.45,1.0,8,1.0
MDV-19,-0.03,0.08,8.0,-0.03,0.08,7.9,0.0,-0.03,0.0,0.0,-0.02,0.42,1.0,13,1.0
MDV-20,-0.04,0.01,3.0,0.03,0.12,50.7,-0.0,-0.0,0.0,0.0,-0.0,0.65,0.65,19,1.0
MDV-21,0.03,0.1,15.0,0.01,0.07,75.9,0.0,-0.03,0.0,0.0,0.01,0.57,0.95,46,1.0
MDV-22,0.04,0.12,94.0,0.04,0.11,89.2,0.0,0.01,0.0,0.0,0.02,0.55,1.0,37,1.0
MDV-23,0.01,0.04,23.0,0.03,0.11,59.3,0.0,-0.02,0.0,0.0,-0.01,0.65,0.7,36,1.0
MDV-24,0.02,0.12,86.0,0.03,0.12,81.2,0.0,0.01,0.0,0.0,0.03,0.6,1.0,49,1.0
MDV-25,0.06,0.21,69.0,0.07,0.19,60.1,0.0,0.02,0.0,0.0,0.03,0.6,0.75,23,1.0
MDV-26,0.12,0.05,5.0,0.09,0.09,12.0,0.09,0.07,0.0,0.0,0.1,0.8,1.0,9,1.0
MDV-27,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16,1.0
MDV-28,0.07,0.2,81.0,0.04,0.17,76.1,0.0,0.0,0.0,0.0,0.0,0.3,0.95,51,1.0
MDV-29,0.02,0.25,140.0,0.03,0.23,128.3,0.0,-0.02,0.0,0.0,-0.05,0.3,0.4,74,1.0
MDV-30,0.02,0.27,40.0,-0.0,0.2,34.5,0.0,0.04,0.0,0.0,-0.04,0.3,0.6,24,1.0
MDV-31,-0.07,0.3,21.0,-0.02,0.17,17.9,0.0,-0.01,0.0,0.0,0.01,0.35,0.8,16,1.0
MDV-32,-0.03,0.16,17.0,-0.01,0.1,14.8,0.0,0.0,0.0,0.0,0.0,0.6,1.0,8,1.0
MDV-33,0.0,0.0,28.0,0.12,0.14,0.0,0.05,0.04,0.0,0.0,0.05,0.55,0.6,11,1.0
MDV-34,-0.1,0.15,6.0,-0.1,0.15,5.7,-0.03,0.01,0.0,0.0,0.02,0.35,1.0,3,1.0
MDV-35,-0.05,0.05,3.0,-0.09,0.09,23.9,-0.06,-0.11,0.0,0.0,0.05,0.6,1.0,15,1.0
MDV-36,-0.01,0.03,7.0,0.0,0.03,6.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
MDS-01,-0.05,0.04,8.0,-0.05,0.04,7.9,-0.03,-0.03,0.0,0.0,-0.03,1.0,1.0,12,1.0
MDS-02,-0.06,0.04,10.0,-0.06,0.04,10.0,-0.06,-0.04,0.0,0.0,-0.03,1.0,1.0,19,1.0
MDS-03,-0.02,0.01,3.0,0.03,0.1,7.0,-0.0,0.0,0.0,0.0,0.01,0.55,1.0,7,1.0
MDS-04,-0.02,0.04,8.0,-0.02,0.03,7.5,-0.01,-0.03,0.0,0.0,-0.06,1.0,1.0,11,1.0
MDS-05,-0.05,0.04,18.0,-0.05,0.04,18.0,-0.03,-0.03,0.0,0.0,-0.03,1.0,1.0,27,1.0
MDS-07,-0.03,0.01,2.0,-0.03,0.01,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,11,1.0
MDS-10,0.0,0.0,12.0,-0.11,0.09,10.8,-0.04,-0.04,0.0,0.0,-0.04,0.6,1.0,8,1.0
MDS-11,0.06,0.05,32.0,0.04,0.08,28.9,0.04,0.03,0.0,0.0,0.03,0.8,0.8,9,1.0
MDB-01,0.05,0.07,6.0,0.0,0.01,3.2,0.0,0.04,0.0,0.0,-0.01,0.9,1.0,15,1.0
MDB-02,0.04,0.2,45.0,0.06,0.18,46.6,0.04,0.04,0.0,0.0,0.04,0.5,0.5,17,1.0
MDB-03,0.0,0.12,50.0,-0.01,0.12,46.2,0.0,0.0,0.0,0.0,0.05,0.45,0.9,22,1.0
MDB-04,0.01,0.05,7.0,0.01,0.05,6.9,0.0,0.03,0.0,0.0,0.05,1.0,1.0,3,1.0
MDB-05,0.05,0.22,34.0,0.03,0.2,31.9,0.0,0.04,0.0,0.0,0.05,0.3,0.81,29,1.0
MDB-06,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,10,1.0
MDB-07,-0.01,0.04,7.0,-0.01,0.04,7.0,0.0,0.02,0.0,0.0,0.0,0.8,1.0,8,1.0
MDB-08,-0.02,0.04,4.0,-0.01,0.03,71.1,0.0,0.02,0.0,0.0,-0.02,0.7,0.85,35,1.0
MDB-09,-0.03,0.08,3.0,0.05,0.08,21.0,0.02,0.01,0.0,0.0,0.01,0.5,0.95,12,1.0
MDB-10,-0.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,33,1.0
MDB-11,0.07,0.16,22.0,0.11,0.17,22.0,0.04,0.04,0.0,0.0,0.04,0.6,0.6,11,1.0
MDB-12,0.01,0.02,12.0,0.01,0.02,11.2,0.02,0.03,0.0,0.0,0.04,1.0,1.0,47,1.0
MDB-13,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,4,1.0
MDB-14,0.0,0.0,2.0,0.07,0.11,14.5,0.03,0.03,0.0,0.0,0.03,0.7,1.0,16,1.0
MDB-15,0.0,0.0,14.0,0.03,0.12,13.0,0.0,0.01,0.0,0.0,0.01,0.6,0.6,8,1.0
MDB-16,0.02,0.11,72.0,0.02,0.1,71.7,0.0,0.02,0.0,0.0,0.0,0.45,0.97,25,1.0
MDB-17,0.02,0.31,32.0,0.01,0.31,31.9,0.0,0.02,0.0,0.0,0.02,0.55,0.55,12,1.0
MDB-18,0.02,0.1,19.0,0.02,0.1,19.0,0.0,0.02,0.0,0.0,0.02,0.55,1.0,10,1.0
MDB-19,0.0,0.0,0.0,0.0,0.03,34.8,0.0,0.0,0.0,0.0,0.0,0.65,1.0,19,1.0
B7S-L,0.01,0.05,92.0,0.01,0.04,83.6,0.0,0.01,0.0,0.0,0.01,1.0,1.0,90,1.0
B7S-K1,0.01,0.03,244.0,0.01,0.03,237.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,86,1.0
B7S-K2,0.01,0.04,157.0,0.01,0.04,150.5,0.0,-0.01,0.0,0.0,0.0,1.0,1.0,83,1.0
B7S-K3,-0.01,0.1,119.0,0.01,0.06,99.9,0.0,0.0,0.0,0.0,0.04,0.7,0.9,53,1.0
B7S-K4,0.03,0.1,129.0,0.03,0.04,119.7,0.02,0.02,0.0,0.0,0.0,0.85,1.0,57,1.0
B7S-C1,0.01,0.13,165.0,0.0,0.1,154.8,0.0,0.0,0.0,0.0,0.0,0.7,1.0,57,1.0
B7S-C2,0.05,0.2,124.0,0.02,0.03,114.8,0.02,0.02,0.0,0.0,0.0,1.0,0.95,45,1.0
B7S-S1,0.0,0.08,109.0,0.01,0.06,103.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43,1.0
B7S-S2,0.0,0.05,110.0,0.0,0.03,103.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40,1.0
B7S-S3,0.03,0.15,151.0,0.01,0.06,135.4,0.0,0.0,0.0,0.0,0.0,0.85,1.0,54,1.0
B7S-S4,-0.01,0.16,198.0,0.01,0.03,193.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71,1.0
B7S-X1,0.01,0.05,20.0,0.01,0.05,19.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8,1.0
B7S-X2,-0.01,0.05,41.0,-0.01,0.03,39.5,0.0,-0.01,0.0,0.0,0.0,1.0,1.0,8,1.0
POU-83,-0.02,0.09,60.0,-0.03,0.05,51.2,-0.03,-0.04,0.0,0.0,-0.02,0.95,1.0,22,1.0
LAU-84,0.0,0.05,505.0,0.0,0.04,474.6,0.0,-0.01,0.0,0.0,-0.01,1.0,1.0,192,1.0
VER-84,-0.01,0.05,258.0,-0.01,0.09,207.3,-0.01,-0.01,0.0,0.0,0.02,0.55,1.0,303,1.0
BAS-85,0.0,0.0,5.0,0.0,0.07,4.9,0.0,0.0,0.01,0.0,0.0,0.7,1.0,195,1.0
BEJ-85,0.1,0.28,8.0,-0.01,0.22,5.9,0.0,0.01,0.0,0.0,-0.05,0.25,1.0,1,1.0
POU-85,-0.01,0.1,43.0,-0.03,0.05,35.4,-0.03,0.02,0.0,0.0,-0.13,0.95,1.0,15,1.0
PRI-85,-0.06,0.01,11.0,-0.06,0.02,11.0,-0.1,-0.1,0.0,0.0,-0.1,0.8,0.3,1,1.0
PET-86,0.0,0.09,139.0,-0.01,0.06,110.6,0.0,0.0,0.0,0.0,0.0,0.5,0.9,69,1.0
PE2-86,0.0,0.0,0.0,0.0,0.08,181.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,119,1.0
PE3-86,0.0,0.0,74.0,0.0,0.07,172.2,0.0,0.0,0.0,0.0,0.0,0.65,1.0,82,1.0
PEB-86,0.0,0.0,12.0,0.0,0.11,203.2,0.0,0.0,0.0,0.0,0.0,0.5,0.95,120,1.0
POU-86,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,114,1.0
KEN-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.2,6,0.64
HAM-87,0.0,0.0,0.0,-0.02,0.14,134.4,0.0,0.0,0.01,-0.01,-0.01,0.45,0.9,28,1.0
LAU-87,0.0,0.03,202.0,0.0,0.03,192.0,0.0,0.01,0.0,0.0,0.01,1.0,1.0,48,1.0
POU-87,0.01,0.03,55.0,0.01,0.03,54.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13,1.0
MMD-87,0.0,0.0,6.0,-0.02,0.1,5.3,0.0,0.0,0.0,0.0,0.0,0.55,1.0,1,1.0
ANG-88,-0.12,0.19,13.0,-0.05,0.04,10.2,-0.05,-0.05,0.0,0.0,-0.05,0.65,1.0,11,1.0
POU-88,0.0,0.04,847.0,0.0,0.03,802.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,149,1.0
SHL-88,-0.19,0.41,14.0,-0.04,0.08,9.8,-0.01,-0.01,0.0,0.0,-0.01,0.55,1.0,2,1.0
WIN-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,20,1.0
MAW-88,0.53,0.22,3.0,0.35,0.21,1.4,0.21,0.21,0.21,0.21,0.0,0.25,1.0,39,1.0
POU-89,-0.04,0.08,654.0,-0.03,0.06,614.8,-0.03,-0.01,-0.0,-0.01,-0.03,0.4,0.75,125,1.0
PDN-89,0.08,0.06,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,16,0.89
PRG-89,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
TBA-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,4,1.0
KL1-90,0.0,0.0,18.0,0.0,0.03,17.1,0.0,0.01,0.01,0.01,0.01,1.0,1.0,4,1.0
KL2-90,0.0,0.0,14.0,0.0,0.03,12.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,1.0
KL3-90,0.0,0.0,41.0,0.0,0.03,40.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14,1.0
KL4-90,0.0,0.0,38.0,0.0,0.03,37.2,0.01,0.01,0.01,0.01,0.01,1.0,1.0,13,1.0
KL5-90,0.0,0.0,31.0,0.0,0.03,30.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12,1.0
KL6-90,0.0,0.0,30.0,-0.03,0.03,29.4,-0.03,-0.02,-0.01,-0.03,-0.03,0.7,1.0,12,1.0
POU-90,0.0,0.08,216.0,-0.01,0.04,206.7,0.0,0.0,0.0,0.0,0.0,0.5,1.0,40,1.0
ESO-LV,-0.09,0.22,999.0,-0.1,0.32,999.9,-0.03,0.0,0.0,0.0,0.0,0.3,0.03,0,1.0
DJO-85,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.06,249,0.46
MIC-85,0.02,0.02,12.0,0.02,0.02,12.0,0.02,0.0,0.0,0.0,0.0,0.8,1.0,1,1.0
JED-87,0.02,0.06,999.0,0.02,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.8,0.4,40,0.53
CCR-90,0.0,0.0,999.0,-0.01,0.05,999.9,0.0,0.0,0.0,0.0,0.0,1.0,0.5,33,0.3
PEL-90,0.0,0.07,996.0,-0.04,0.1,959.7,-0.01,0.0,-0.0,0.0,0.02,0.8,0.2,39,0.56
BRL-91,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
CDC-91,0.13,0.11,136.0,0.11,0.17,109.2,0.1,0.0,-0.11,0.0,0.0,0.8,0.15,38,1.0
LGU-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.45,51,1.0
JFK-92,0.0,0.0,859.0,0.0,0.07,768.6,0.0,0.0,0.0,0.0,0.0,0.8,0.15,43,0.77
BLE-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.2,110,0.53
MFR-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
COA-93,0.0,0.04,47.0,0.0,0.06,45.8,0.0,0.0,0.0,0.0,0.0,0.95,1.0,295,1.0
COB-93,0.02,0.05,26.0,0.02,0.13,37.6,0.0,0.0,0.0,0.0,0.0,0.45,1.0,73,1.0
BDB-93,0.05,0.13,197.0,0.04,0.1,182.8,0.04,0.04,0.04,0.04,0.0,0.55,1.0,46,1.0
BOG-94,0.0,0.0,16.0,0.11,0.12,18.5,0.04,0.04,0.0,0.0,0.04,0.45,1.0,79,1.0
CCO-94,0.06,0.13,963.0,0.02,0.04,984.5,0.01,0.0,0.0,0.0,0.0,1.0,0.55,47,0.42
GOH-94,0.0,0.0,999.0,-0.01,0.05,999.9,0.01,0.01,0.0,-0.01,0.0,1.0,0.25,55,0.39
JCP-94,0.0,0.0,999.0,0.0,0.0,999.9,0.0,0.0,0.01,0.0,0.0,0.55,0.1,18,0.67
JOK-94,-0.04,0.13,999.0,-0.05,0.11,999.9,-0.03,-0.03,-0.03,-0.03,0.0,0.6,0.15,85,0.41
PEC-94,0.04,0.21,999.0,0.04,0.22,999.9,0.01,-0.0,0.0,0.0,0.0,0.95,0.05,85,0.51
CAR-96,-0.2,0.27,999.0,-0.21,0.27,999.9,-0.16,0.0,0.0,0.0,0.0,0.95,0.02,87,0.38
PON-94,-0.01,0.07,999.0,-0.01,0.04,999.9,0.0,0.0,0.0,0.0,0.0,0.8,1.0,280,1.0
OHP001,0.08,0.06,23.0,0.06,0.04,18.8,0.0,0.0,0.0,0.0,0.0,1.0,0.3,2,1.0
OHP002,0.01,0.05,96.0,0.0,0.04,84.7,0.0,0.0,0.0,0.0,0.0,1.0,0.3,7,1.0
OHP003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,1,0.94
OHP004,0.01,0.04,99.0,0.01,0.03,96.3,0.0,0.0,-0.05,0.0,0.0,1.0,0.3,8,1.0
OHP005,0.0,0.12,68.0,0.01,0.05,66.4,0.0,0.0,0.0,0.0,0.0,1.0,0.3,5,0.89
OHP006,0.0,0.03,113.0,0.0,0.03,111.3,0.0,0.0,0.0,0.0,0.0,1.0,0.3,9,1.0
OHP007,0.0,0.15,176.0,0.01,0.04,166.5,0.0,0.0,0.0,0.0,0.0,1.0,0.3,19,1.0
OHP008,0.02,0.04,75.0,0.01,0.04,73.9,0.0,0.0,0.28,0.0,0.0,1.0,0.3,11,1.0
OHP009,0.0,0.01,13.0,0.0,0.01,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,4,1.0
OHP010,0.0,0.01,267.0,0.02,0.06,244.1,0.0,0.0,0.0,0.0,0.0,1.0,0.3,31,1.0
OHP011,0.0,0.01,109.0,0.01,0.02,104.7,0.0,0.0,0.0,0.0,0.0,1.0,0.3,9,0.97
OHP012,0.0,0.01,21.0,0.03,0.05,19.3,0.0,0.0,0.0,0.0,0.0,1.0,0.3,11,0.93
OHP013,0.0,0.01,209.0,0.0,0.04,190.7,0.0,0.0,0.0,0.0,0.0,1.0,0.3,17,0.98
OHP014,-0.01,0.03,472.0,-0.01,0.03,463.0,0.0,0.0,-0.02,0.0,0.0,1.0,0.3,46,1.0
OHP015,0.0,0.0,115.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,24,0.61
OHP016,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0,1.0
HE1-95,-0.01,0.03,0.0,-0.01,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.8,0.2,149,1.0
HE2-95,-0.01,0.03,660.0,-0.01,0.03,643.2,0.0,0.0,0.0,0.02,0.0,1.0,0.25,104,0.96
PRU-97,0.0,0.0,--,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35,16,0.69
BUT-87,-0.01,0.05,31.0,0.01,0.06,174.0,0.0,0.01,0.0,0.0,0.02,0.85,1.0,92,1.0
COR-87,-0.02,0.06,95.0,0.0,0.06,92.5,0.0,0.01,0.0,0.0,0.01,0.75,0.9,102,1.0
FRU-87,-0.02,0.07,166.0,0.0,0.08,381.7,0.0,0.01,0.0,0.0,0.0,0.75,0.7,179,1.0
GAH-86,0.0,0.0,0.0,-0.05,0.13,18.7,-0.02,-0.02,0.0,0.0,-0.02,0.4,1.0,27,1.0
GAH-87,0.0,0.0,0.0,0.04,0.12,20.1,0.0,0.0,0.0,0.0,0.0,0.45,1.0,28,1.0
HIG-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,1,1.0
MEI-85,0.0,0.0,15.0,0.08,0.06,23.9,0.06,0.06,0.0,0.0,0.06,1.0,1.0,5,1.0
MIT-87,0.05,0.14,266.0,0.04,0.09,237.1,0.04,0.02,0.0,0.0,0.02,0.75,0.3,108,1.0
ODE-87,0.0,0.0,14.0,0.05,0.05,13.2,0.04,0.03,0.0,0.0,0.0,0.8,1.0,4,1.0
SCH-87,0.08,0.29,193.0,0.08,0.28,186.7,0.06,0.06,0.0,0.0,0.0,0.7,0.6,99,1.0
HO2-63,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,0.88
HOD-64,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,0.48
CAL-92,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,3,0.17
HO2-64,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,0.38
HO1-61,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,1.0
HO2-61,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,1.0
DEH-83,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,1,1.0
HOD-62,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,0.79
MAO-93,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,0.75
HOD-82,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1,1.0
RE1-94,0.13,0.05,60.0,0.13,0.05,55.1,0.11,0.07,0.0,0.06,0.0,1.0,0.3,12,1.0
JOB-90,0.0,0.0,100.0,0.02,0.07,89.2,0.0,0.0,0.0,0.0,0.0,0.6,1.0,89,1.0
HII-58,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22,1.0
FAA-69,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
LYN-71,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
DIS-73,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
GRA-74,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,4,1.0
KIM-74,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
KOS-74,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
WEC-74,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
CJT-75,-0.04,0.04,2.0,-0.04,0.04,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
SA2-75,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,3,1.0
SAN-76,0.1,0.09,6.0,0.08,0.04,5.8,0.08,0.07,0.0,0.0,0.0,0.65,1.0,4,1.0
SER-76,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
TCJ-76,-0.07,0.05,2.0,-0.07,0.04,1.9,0.0,0.0,0.0,0.0,0.0,0.85,1.0,2,1.0
WEW-76,-0.02,0.02,2.0,-0.02,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
HHE-77,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,2,1.0
MAS-77,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
MIM-78,0.2,0.3,3.0,0.1,0.16,2.5,0.0,0.0,0.0,0.0,0.0,0.55,1.0,2,1.0
OPS-78,0.01,0.0,1.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
SCW-78,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
LHC-79,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
SS4-79,0.12,0.07,2.0,0.12,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,2,1.0
WWA-79,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
GAW-80,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,4,1.0
VAH-80,0.41,0.1,3.0,0.17,0.07,2.7,0.01,-0.0,0.0,0.0,-0.0,0.65,1.0,2,1.0
WGS-80,-0.01,0.0,1.0,-0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
KID-81,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,9,1.0
LOS-81,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
MUH-81,0.15,0.15,2.0,0.15,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
PUH-81,-0.49,0.49,4.0,-0.64,0.38,3.5,-0.1,-0.1,-0.1,0.0,-0.1,0.12,0.85,1,1.0
BRM-82,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
