Dataset,Bibcode,Text
B7S-S1,1987ApJS...64..601B,"Burstein, D., Davies, R.L., Dressler, A., Faber, S.M., Stone, R.P.S., Lynden-Bell, D., Terlevich, R., Wegner, G. 1987, ApJS 64, 601"
B7S-S2,1987ApJS...64..601B,"Burstein, D., Davies, R.L., Dressler, A., Faber, S.M., Stone, R.P.S., Lynden-Bell, D., Terlevich, R., Wegner, G. 1987, ApJS 64, 601"
B7S-S3,1987ApJS...64..601B,"Burstein, D., Davies, R.L., Dressler, A., Faber, S.M., Stone, R.P.S., Lynden-Bell, D., Terlevich, R., Wegner, G. 1987, ApJS 64, 601"
B7S-S4,1987ApJS...64..601B,"Burstein, D., Davies, R.L., Dressler, A., Faber, S.M., Stone, R.P.S., Lynden-Bell, D., Terlevich, R., Wegner, G. 1987, ApJS 64, 601"
B7S-X1,1987ApJS...64..601B,"Burstein, D., Davies, R.L., Dressler, A., Faber, S.M., Stone, R.P.S., Lynden-Bell, D., Terlevich, R., Wegner, G. 1987, ApJS 64, 601"
B7S-X2,1987ApJS...64..601B,"Burstein, D., Davies, R.L., Dressler, A., Faber, S.M., Stone, R.P.S., Lynden-Bell, D., Terlevich, R., Wegner, G. 1987, ApJS 64, 601"
JED-87,1987MNRAS.226..747J,"Jedrzejewski, R.I. 1987, MNRAS 226, 747"
KEN-87,1987AJ.....94..306K,"Kent 1987, AJ 94, 306 (CCD rg)"
LAU-87,1987A&AS...68..215L,"Lauberts, A. 1987, A&AS 68, 215 (UBVRI)"
MMD-87,1987AJ.....94.1143M,"Moles, M., Masegosa, J., de Olmo, A. 1987, AJ 94, 1143 (U B V R I)"
ANG-88,1988PASP..100..469A,"Angione, R.J., 1988, PASP 100, 469"
POU-88,1988A&AS...72..215P,"Poulain, P. 1988, A&AS 72, 215"
SHL-88,1988SvA....65..469S,"Sharov, A.S. and Lyutyi, V.M. 1988, Sov. Astron. 65, 469"
WIN-88,1988MNRAS.234..703W,"Winkler, H. 1988, MNRAS 234, 703"
PRG-89,1989ApJ...337..658P,"Price, J.S., Gullixson, C.A. 1989, ApJ 337, 658 (N3077)"
PEL-90,1990AJ....100.1091P,"Peletier, R.F., Davies, R.L., Illingworth, G.D., Davis, L.E., Cawson, M. 1990, AJ 100, 1091 (CCD U B R)"
BRL-91,1991A&A...249..327B,"Brosch, N., Loinger, F. 1991, A&A 249, 327"
CDC-91,1991ApJS...76.1067d,"de Carvalho, R.R., Djorgovski, S., da Costa, L.N. 1991 ApJS 76, 1067 (CCD B R)"
LGU-91,1991MNRAS.253..584L,"Lucey, J.R., Guzman, R., Carter, D., Terlevich, R.J. 1991, MNRAS 253, 584 (CCD V)"
BLE-92,1992MNRAS.254..589B,"Bower, R.G., Lucey, J.R., Ellis, R.S. 1992, MNRAS 254, 589 (CCD V and U)"
CAL-92,1992AJ....103..840C,"Caldwell, N., Armandroff, T.E., Seitzer, P., Da Costa, G.S. 1992, AJ 103, 840"
JFK-92,1992A&AS...95..489J,"Jorgensen,I., Franx, M., Kjaergaard, P. 1992, A&AS 95, 489 (CCD B and R)"
MFR-92,1992AJ....103...60M,"Meurer, G.R., Freeman, K.C., Dopita, M.A., Caciari, C. 1992, AJ 103, 60"
COA-93,1993MNRAS.262..475C,"Colles, M., et al. 1993, MNRAS 262, 475"
COB-93,1993MNRAS.262..475C,"Colles, M., et al. 1993, MNRAS 262, 475"
