Dataset,Bibcode,Text
JOK-94,1994A&AS..106..451d,"de Jong, R.S., van der Kruit, P.C. 1994, A&AS 106, 451"
RE1-94,1994MNRAS.269..713R,"Reid, N., Boisson, C., Sansom, A.E. 1994, MNRAS 269, 713"
JOB-90,1990A&AS...86..167J,"Johansson, L., Bergvall, N. 1990, AAS 86, 167"
BIP-94,1994.OHPL..12....1B,"Binggeli, B., Prugniel, Ph. 1994, Lettre de l'OHP 12,1"
MFB-92,1992ApJS...81..413M,"Mathewson, D.S., Ford, V.L., Buchhorn, M. 1992, ApJS 81, 413"
MOG-87,1987A&A...186...77M,"Moles, M., Garcia-Pelayo, J.M., de Rio, G., Lahulla, F. 1987, A&A 186, 77"
LEE-95,1995AJ....110.1129L,"Lee, M. G. 1995 AJ 110, 1129"
MIM-94,1994A&AS..105..481M,"Michard, R., Marchal, J. 1994, A&AS 105, 481"
SCV-96,1996A&AS..118..441S,"Schroeder, A., Visvanathan, N. 1996, A&AS 118, 441"
BCR-92,1992AJ....103.1804B,"Buta, R., Crocker, D.A., 1992 AJ 103, 1804"
SKE-91,1991PASP..103..382S,"Schroder, M.F.S., Kepler, O. 1991, PASP 103, 383"
TKK-95,1995AJ....110.1083T,"Takamiya, M., Kron, R.G., Kron, G.E. 1995, AJ 110, 1083"
VIS-92,1992AJ....103.1501V,"Visvanathan, N. 1992, AJ 103, 1501"
PLB-97,1998A&AS.subm.....L,"Lesaffre, P. et al. 1997, A&AS submitted"
AGP-97,1997AJ....114..102A,"Aguero, E.L., Paolantonio, S., 1997 AJ 114, 102"
GAB005,1990A&AS...83..399G,"Gavazzi, G., Garilli, B., Boselli, A., 1990 A&AS 83, 399"
GAB011,1990A&AS...83..399G,"Gavazzi, G., Garilli, B., Boselli, A., 1990 A&AS 83, 399"
GAB012,1991AJ....101.1207G,"Gavazzi, G., Boselli, A., Kennicutt, R., 1991 AJ 101, 1207"
GAB014,1992A&AS...94..299S,"Scodeggio, M., Boselli, A., Gavazzi, G., Trinchieri, G., Garilli, B., 1992 A&AS 94, 299"
GAB015,1992A&AS...94..299S,"Scodeggio, M., Boselli, A., Gavazzi, G., Trinchieri, G., Garilli, B., 1992 A&AS 94, 299"
GAB016,1992A&AS...94..299S,"Scodeggio, M., Boselli, A., Gavazzi, G., Trinchieri, G., Garilli, B., 1992 A&AS 94, 299"
GAB022,1991AJ....101.1207G,"Gavazzi, G., Boselli, A., Kennicutt, R., 1991 AJ 101, 1207"
GAB025,1991..............G,"Gavazzi 1991 (in Gavazzi and Boselli 1996, unpublished)"
GAB028,1994A&AS..104..271G,"Gavazzi, G., Garilli, B., Carrasco, L., Boselli, A., Cruz-Gonzalez, I., 1994 A&AS 104, 271"
GAB029,1990..............G,"Gavazzi G., 1990 (in Gavazzi and Boselli 1996, unpublished)"
GAB033,1994A&AS..107..285G,"Gavazzi, G., Randone, I., 1994 A&AS 107, 285"
GAB035,1994A&AS..104..271G,"Gavazzi, G., Garilli, B., Carrasco, L., Boselli, A., Cruz-Gonzalez, I., 1994 A&AS 104, 271"
GAB048,1994A&AS..107..285G,"Gavazzi, G., Randone, I., 1994 A&AS 107, 285"
GAB060,1995A&AS..112..257G,"Gavazzi, G., Boselli, A., Carrasco, L., 1995 A&AS 112, 257"
GAB061,1995A&AS..112..257G,"Gavazzi, G., Boselli, A., Carrasco, L., 1995 A&AS 112, 257"
GAB062,1995A&AS..112..257G,"Gavazzi, G., Boselli, A., Carrasco, L., 1995 A&AS 112, 257"
GAB063,1996Priv..........B,"Berstein, G. (in Gavazzi and Boselli 1996, private comm.)"
GAB066,1996..............G,"Gavazzi, G., Catinella and Carrasco 1996 (in Gavazzi and Boselli 1996, in prep.)"
GAB067,1995..............B,"Boselli, A., 1995 (in Gavazzi and Boselli 1996, unpublished)"
GAB068,1996Priv..........R,"Rampazzo, R. (in Gavazzi and Boselli 1996, private comm.)"
