NEF-70   0.02  0.10  18.  0.03  0.08  12.7  0.00 -0.01  0.00  0.00 -0.00  0.70  1.00   19 1.00
PRS-70   0.16  0.35   7.  0.02  0.05   6.0  0.00 -0.02  0.00  0.00  0.00  1.00  1.00   55 1.00
SAR-70  -0.21  0.35  26. -0.19  0.35  22.6 -0.05 -0.05  0.00  0.00 -0.05  0.30  0.50   41 1.00
ABL-71   0.06  0.23  23.  0.08  0.21  19.9  0.03  0.05  0.00  0.00  0.04  0.30  0.65    5 1.00
KUB-71  -0.89  0.49   4. -0.68  0.35   3.0  0.00  0.00  0.00  0.00  0.00  0.13  1.00    1 1.00
PPN-71   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
AAB-72   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    1 1.00
ARA-72   0.06  0.27  14.  0.06  0.27  13.0  0.00  0.00  0.00  0.00  0.03  0.25  0.35   15 1.00
SAN-72  -0.00  0.16 147.  0.01  0.15 129.4  0.00  0.03  0.00  0.00 -0.05  0.45  0.85   85 1.00
SWS-72   0.00  0.07   4.  0.02  0.05   3.3  0.01  0.03  0.00  0.00  0.00  1.00  1.00    1 1.00
VDB-72   0.50  0.18   3.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.50  1.00    0 1.00
VVL-72   0.12  0.31  10.  0.02  0.14   8.8  0.00  0.03  0.00  0.00 -0.05  0.40  1.00    3 1.00
AND-73   0.00  0.00   3.  0.00  0.03   2.8  0.00  0.00  0.00  0.00  0.00  0.85  1.00    3 1.00
FRE-73   0.00  0.00   4. -0.01  0.07   4.0  0.00  0.00  0.00  0.00  0.01  0.90  1.00    2 1.00
HOD-73   0.29  0.02   2.  0.31  0.00   0.1  0.00  0.00  0.00  0.00  0.00  0.85  1.00    1 1.00
PEN-73   0.01  0.19  23.  0.01  0.16  19.9  0.01  0.01  0.00  0.00  0.04  0.50  0.50    5 1.00
SAN-73   0.04  0.08 250.  0.04  0.09 215.0  0.03  0.03  0.01  0.00  0.05  0.65  0.90  129 1.00
TIF-73   0.00  0.05  20. -0.04  0.05  19.8 -0.01 -0.03  0.00  0.00  0.06  1.00  1.00   23 1.00
WEE-73  -0.05  0.24  78. -0.05  0.23  70.3  0.00  0.02  0.00  0.00  0.00  0.35  0.35   98 1.00
