MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG-03-53-013,*,IC 1339,20,55.0,-,18,9,14.0,7.0,5.0,10.0,6.0,2,5,2
MCG-03-53-014,--,--,20,55.5,-,20,13,14.0,4.0,2.0,11.0,4.0,1,3,3
MCG-03-53-015,--,--,20,56.9,-,16,50,15.0,6.0,2.0,8.0,4.0,1,6,5
MCG-03-53-016,--,--,20,57.0,-,15,35,15.0,2.0,2.0,6.0,2.0,1,4,3
MCG-03-53-017,--,IC 1342,20,57.5,-,14,40,15.0,--,--,5.0,3.0,--,1,2
MCG-03-53-018,--,--,20,58.3,-,18,13,15.0,--,--,6.0,4.0,1,3,2
MCG-03-53-019,--,--,20,58.8,-,14,44,15.0,2.0,2.0,9.0,5.0,1,5,3
MCG-03-53-020,--,--,20,59.6,-,19,40,15.0,4.0,1.5,8.0,6.0,4,6,1
MCG-03-53-021,--,IC 5078,20,59.6,-,17,0,13.0,14.0,3.0,40.0,10.0,2,5,3
MCG-03-53-022,*,IC 1356,20,59.95,-,16,0,15.0,2.5,2.0,4.0,3.0,1,5,--
MCG-03-53-023,--,--,21,0.2,-,14,42,15.0,1.0,1.0,6.0,1.0,1,3,5
MCG-03-53-024,--,--,21,0.2,-,16,59,15.0,--,--,2.0,2.0,--,1,--
MCG-03-53-025,--,--,21,0.25,-,14,42,15.0,3.0,2.0,6.0,4.0,1,5,--
MCG-03-53-026,--,--,21,3.1,-,14,31,15.0,--,--,2.0,1.5,--,1,--
MCG-03-53-027,--,--,21,3.6,-,15,37,15.0,5.0,4.0,8.0,8.0,4,6,1
MCG-03-54-001,--,--,21,9.4,-,20,2,15.0,2.5,2.5,4.0,4.0,1,4,--
MCG-03-54-002,*,--,21,26.25,-,19,53,15.0,2.0,1.0,4.0,4.0,1,3,2
MCG-03-54-003,--,--,21,26.5,-,19,54,15.0,2.0,1.5,4.0,4.0,2,4,1
MCG-03-55-001,*,--,21,29.5,-,18,14,15.0,--,--,6.0,4.0,3,5,2
MCG-03-55-002,--,--,21,32.2,-,20,29,15.0,2.0,2.0,6.0,2.0,1,4,3
MCG-03-55-003,--,--,21,32.8,-,19,15,15.0,--,--,7.0,3.0,2,4,2
MCG-03-55-004,--,--,21,35.85,-,17,22,15.0,--,--,6.0,2.5,1,3,2
MCG-03-55-005,--,--,21,39.1,-,17,40,16.0,1.0,1.0,8.0,8.0,4,6,1
MCG-03-55-006,--,--,21,39.6,-,17,11,15.0,--,--,6.0,6.0,3,4,1
MCG-03-55-007,*,--,21,41.7,-,20,18,15.0,--,--,6.0,4.0,1,3,2
MCG-03-55-008,*,--,21,41.85,-,20,19,15.0,2.0,2.0,5.0,2.0,2,3,--
MCG-03-55-009,*,--,21,51.4,-,16,24,16.0,--,--,2.0,2.0,--,1,1
MCG-03-55-010,*,--,21,51.4,-,16,24,16.0,--,--,2.5,1.5,--,1,2
MCG-03-56-001,--,IC 1412,21,55.6,-,17,25,15.0,3.0,2.0,7.0,2.0,1,5,2
MCG-03-56-002,--,NGC 7165,21,56.7,-,16,45,14.0,7.0,4.0,8.0,8.0,1,3,2
MCG-03-56-003,--,--,21,58.0,-,15,8,16.0,--,--,6.0,6.0,2,5,1
MCG-03-56-004,*,NGC 7183,21,59.6,-,19,10,14.0,--,--,22.0,6.0,2,4,5
MCG-03-56-005,--,--,22,1.1,-,20,7,15.0,--,--,10.0,3.0,2,4,3
MCG-03-56-006,--,--,22,3.6,-,15,38,15.0,--,--,12.0,1.0,2,4,5
MCG-03-56-007,*,--,22,5.7,-,19,19,16.0,--,--,4.0,4.0,4,5,1
MCG-03-56-008,*,NGC 7218,22,7.4,-,16,54,12.0,--,--,22.0,10.0,2,4,2
MCG-03-56-009,--,--,22,7.5,-,19,7,16.0,--,--,16.0,5.0,5,6,3
MCG-03-56-010,--,--,22,9.7,-,17,57,15.0,3.0,1.5,5.0,5.0,1,5,--
MCG-03-56-011,--,--,22,10.4,-,16,53,15.0,--,--,5.0,5.0,--,4,1
MCG-03-56-012,--,NGC 7230,22,11.5,-,17,18,14.0,--,--,6.0,6.0,3,5,1
MCG-03-56-013,--,IC 1440,22,13.8,-,16,15,15.0,1.0,1.0,6.0,1.5,1,4,3
MCG-03-56-014,--,NGC 7246,22,14.9,-,15,47,15.0,--,--,8.0,4.0,3,5,2
MCG-03-57-001,--,--,22,17.55,-,16,12,14.0,5.0,2.0,14.0,6.0,1,4,3
MCG-03-57-002,--,NGC 7251,22,17.8,-,16,2,13.0,5.0,5.0,20.0,20.0,1,4,1
MCG-03-57-003,--,--,22,19.4,-,19,51,14.0,--,--,8.0,3.0,--,2,3
