MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG+15-01-001,--,--,0,3.0,+,88,4,16.0,2.0,0.5,16.0,13.0,3,5,2
MCG+15-01-002,--,--,4,55.0,+,88,19,15.0,1.5,1.0,10.0,4.0,2,5,2
MCG+15-01-003,--,--,5,44.0,+,87,42,16.0,1.5,1.0,6.5,3.0,1,6,4
MCG+15-01-004,--,--,6,19.0,+,87,35,16.0,1.0,--,8.0,1.5,4,5,4
MCG+15-01-005a,*,--,6,35.0,+,87,22,17.0,0.3,--,5.0,3.0,5,5,1
MCG+15-01-005b,*,--,6,35.0,+,87,22,18.0,--,--,1.0,--,4,3,--
MCG+15-01-006,--,--,6,58.5,+,87,52,17.0,2.0,1.0,13.0,4.0,5,6,2
MCG+15-01-007,--,--,7,34.0,+,88,16,17.0,0.5,--,6.0,2.5,1,6,2
MCG+15-01-008,--,--,9,17.0,+,89,15,16.0,4.0,1.5,8.0,3.0,2,6,3
MCG+15-01-009,--,--,9,33.5,+,88,23,15.0,0.5,0.3,20.0,17.0,3,6,1
MCG+15-01-010,--,--,11,30.0,+,89,22,16.0,2.5,2.0,11.0,10.0,4,6,1
MCG+15-01-011,--,NGC 3172,11,40.0,+,89,22,15.0,3.0,--,10.0,6.5,2,5,1
MCG+15-01-012,--,--,11,57.0,+,88,25,15.0,4.5,2.5,6.0,3.0,1,5,3
MCG+15-01-013,--,--,12,50.0,+,88,4,16.0,0.5,--,7.0,7.0,1,5,3
MCG+15-01-014,--,--,12,55.5,+,87,35,17.0,3.0,1.5,--,--,3,6,5
MCG+15-01-015,--,--,14,32.5,+,87,23,17.0,0.5,--,4.0,2.5,1,6,2
MCG+15-01-016,--,--,15,44.0,+,87,23,17.0,0.5,0.3,4.0,2.0,1,4,3
MCG+15-01-017,--,--,16,24.0,+,87,57,17.0,1.6,1.3,--,--,1,--,--
MCG+15-01-018,--,--,18,6.0,+,88,19,16.0,2.5,2.0,4.5,2.0,3,6,3
MCG+15-01-019,--,--,18,10.0,+,87,40,16.0,2.5,2.0,5.0,3.0,1,6,2
MCG+15-01-020,--,--,18,19.5,+,87,44,17.0,2.0,1.5,--,--,1,--,--
MCG+15-01-021,--,--,18,32.5,+,87,48,16.0,--,--,13.0,1.5,4,6,5
MCG+15-01-022,--,--,19,29.0,+,88,30,17.0,1.5,1.0,5.0,2.5,5,6,2
MCG+15-01-023,--,--,19,33.0,+,88,37,16.0,1.0,--,6.0,--,4,6,1
MCG+15-01-024,--,--,19,52.5,+,87,9,16.0,1.3,0.5,6.0,--,1,5,1
MCG+15-01-025,--,--,20,10.0,+,88,27,16.0,2.5,2.0,4.0,--,4,6,--
MCG+14-01-001,--,--,22,51.0,+,82,39,14.0,2.5,2.0,24.0,5.0,3,4,3
MCG+14-01-002,--,--,23,6.0,+,86,30,17.0,1.5,--,7.5,6.5,1,5,1
MCG+14-01-003,--,--,23,7.0,+,86,29,16.0,1.5,--,6.0,--,1,5,1
MCG+14-01-004,*,--,23,51.0,+,85,46,17.0,--,--,9.0,0.5,3,3,5
MCG+14-01-005,--,--,23,56.0,+,82,54,16.0,2.5,2.0,6.0,2.5,2,6,3
MCG+14-01-006,--,--,0,9.0,+,85,24,17.0,1.0,--,4.0,2.0,1,5,2
MCG+14-01-007,--,--,0,25.5,+,85,44,17.0,--,--,6.0,2.0,1,2,4
MCG+14-01-008,--,--,0,33.5,+,81,27,17.0,1.5,1.0,6.0,1.5,1,5,4
MCG+14-01-009,--,--,0,36.0,+,82,57,15.0,7.0,2.0,15.0,2.5,1,5,4
MCG+14-01-010,--,--,1,13.0,+,83,42,17.0,1.5,0.7,8.0,1.5,3,4,4
MCG+14-01-011,--,--,1,13.0,+,83,57,16.0,2.0,--,5.0,3.0,2,4,2
MCG+14-01-012,--,--,1,13.0,+,84,2,17.0,--,--,2.0,--,1,--,--
MCG+14-02-001,--,--,1,25.0,+,84,46,15.0,2.5,--,14.0,4.5,2,6,3
MCG+14-02-002,--,--,1,26.0,+,84,5,17.0,0.5,--,6.5,2.5,2,5,--
MCG+14-02-003,--,--,1,32.5,+,84,12,17.0,--,--,3.0,1.5,--,3,3
MCG+14-02-004,--,--,1,32.5,+,84,13,17.0,3.0,1.5,5.0,2.0,1,6,4
MCG+14-02-005,--,--,1,33.5,+,83,40,14.0,1.5,--,8.0,--,4,5,1
MCG+14-02-006,--,--,1,41.2,+,85,1,15.0,5.0,3.0,--,--,2,--,--
MCG+14-02-007,--,--,1,48.0,+,86,26,14.0,4.5,4.0,12.0,8.0,2,6,1
MCG+14-02-008,--,--,2,8.0,+,82,22,16.0,2.0,1.5,8.0,6.5,5,6,2
MCG+14-02-009,--,--,2,22.0,+,83,48,15.0,4.5,2.5,6.0,3.0,2,6,3
MCG+14-02-010,--,--,2,28.5,+,82,0,16.0,4.0,3.0,8.5,4.0,4,5,2
MCG+14-02-011,--,--,2,58.0,+,86,41,16.0,--,--,6.5,2.5,--,4,--
MCG+14-02-012,--,--,3,26.0,+,82,15,16.0,--,--,9.5,2.0,--,2,5
MCG+14-02-013,--,--,3,35.0,+,82,9,17.0,0.6,0.4,4.5,1.5,2,4,4
MCG+14-03-001,--,--,3,50.0,+,83,36,17.0,7.0,0.5,7.0,1.5,--,4,5
MCG+14-03-002,--,--,3,59.0,+,83,19,17.0,2.0,0.5,6.5,5.0,3,6,2
MCG+14-03-003,--,--,4,8.0,+,86,4,15.0,3.0,2.5,4.0,3.5,2,5,2
MCG+14-03-004,--,--,4,17.5,+,82,18,17.0,4.0,2.0,4.5,3.0,3,5,--
MCG+14-03-005,--,--,4,39.0,+,82,35,16.0,3.0,2.0,--,--,1,6,--
MCG+14-03-006,--,NGC 1544,4,44.0,+,86,8,14.0,4.5,3.0,9.0,6.5,2,5,2
MCG+14-03-007,--,--,5,7.0,+,84,1,15.0,7.5,4.5,14.0,11.0,1,4,2
MCG+14-03-008,--,--,5,8.5,+,84,25,15.0,12.0,3.0,11.0,5.0,3,5,3
MCG+14-03-009,*,--,5,26.0,+,81,42,16.0,2.5,--,--,--,1,--,--
MCG+14-03-010,--,--,5,29.0,+,81,51,16.0,1.3,0.5,6.0,4.5,3,4,1
MCG+14-03-011,--,--,5,35.0,+,85,55,16.0,4.5,3.0,15.0,9.5,1,3,2
MCG+14-03-012,--,--,5,38.0,+,83,24,16.0,1.3,1.0,5.0,2.5,2,4,3
MCG+14-03-013,--,--,5,38.0,+,85,51,17.0,4.0,1.5,6.5,0.2,3,4,4
MCG+14-03-014,--,--,5,52.5,+,82,50,16.0,2.5,2.0,6.5,2.5,1,5,3
MCG+14-03-015,*,--,5,54.0,+,82,45,16.0,5.0,2.5,--,--,1,--,--
MCG+14-03-016,--,--,5,54.0,+,83,45,16.0,1.5,--,--,--,2,5,--
MCG+14-03-017,*,--,5,54.5,+,83,50,15.0,3.0,--,--,--,1,6,--
MCG+14-03-018,--,--,6,3.0,+,81,4,16.0,6.5,2.0,17.0,2.0,2,4,5
MCG+14-03-019,*,--,6,6.0,+,81,9,14.0,8.0,4.5,17.0,14.0,2,6,2
MCG+14-03-020,--,--,6,13.5,+,82,22,15.0,4.5,2.5,8.0,2.5,1,4,3
MCG+14-03-021,--,--,6,15.0,+,83,20,16.0,1.3,0.5,5.0,2.0,2,4,3
MCG+14-03-022,--,--,6,15.0,+,84,57,15.0,4.0,2.5,10.0,3.0,1,5,5
MCG+14-04-001,--,--,6,23.0,+,83,33,16.0,3.5,1.5,8.0,2.5,3,5,4
MCG+14-04-002,--,--,6,25.0,+,83,48,16.0,3.0,2.5,8.0,4.5,3,5,2
MCG+14-04-003,--,IC  442,6,26.5,+,82,59,14.0,6.0,5.0,8.0,8.0,1,5,--
MCG+14-04-004,--,--,6,29.0,+,82,59,16.0,4.0,2.0,5.0,2.5,2,6,4
MCG+14-04-005,--,--,6,29.0,+,83,0,17.0,1.5,1.2,4.0,1.5,1,6,3
MCG+14-04-006,--,--,6,34.5,+,84,12,15.0,--,--,15.0,2.5,2,4,4
MCG+14-04-007,--,--,6,36.0,+,83,52,17.0,5.0,1.5,--,--,1,--,4
MCG+14-04-008,--,--,6,42.0,+,84,5,15.0,--,--,8.0,4.5,2,4,3
MCG+14-04-009,--,--,6,41.0,+,85,0,16.0,2.0,1.3,18.0,4.5,1,6,3
MCG+14-04-010,*,--,6,41.0,+,86,38,17.0,3.0,2.0,7.0,5.0,1,3,2
MCG+14-04-011,*,--,6,42.0,+,86,37,16.0,3.0,--,7.0,--,1,5,--
MCG+14-04-012,--,--,6,43.0,+,82,32,16.0,5.0,1.3,13.0,2.0,2,5,4
MCG+14-04-013,--,--,6,43.0,+,84,8,15.0,6.5,4.0,13.0,8.0,2,6,2
MCG+14-04-014,--,--,6,44.0,+,86,45,16.0,4.5,2.0,--,--,1,6,4
MCG+14-04-015,--,--,6,46.0,+,81,0,16.0,1.3,1.0,4.5,4.5,4,5,1
MCG+14-04-016,*,--,6,46.5,+,81,1,15.0,4.0,3.5,--,--,1,--,--
MCG+14-04-017,--,--,6,49.0,+,83,29,17.0,--,--,7.0,1.0,--,2,5
MCG+14-04-018,--,--,6,54.0,+,81,0,15.0,6.0,5.0,--,--,3,--,--
MCG+14-04-019,--,--,6,54.0,+,81,1,16.0,2.0,1.3,8.5,2.0,2,4,3
MCG+14-04-020,--,--,6,58.0,+,85,50,16.0,2.5,2.0,--,--,1,--,--
MCG+14-04-021,--,--,7,0.5,+,85,47,15.0,2.5,2.0,--,--,1,--,--
MCG+14-04-022,*,NGC 2268,7,1.0,+,84,27,12.18,9.5,6.5,32.0,19.0,2,4,2
MCG+14-04-023,--,--,7,2.0,+,81,2,16.0,4.0,3.5,11.0,6.5,4,6,2
MCG+14-04-024,--,--,7,2.0,+,85,50,16.0,7.0,1.3,--,--,3,6,5
MCG+14-04-025,--,--,7,2.0,+,85,59,17.0,2.5,2.0,--,--,2,--,--
MCG+14-04-026,--,--,7,4.0,+,85,39,16.0,6.0,2.5,7.5,3.0,1,5,3
MCG+14-04-027,--,--,7,6.0,+,86,17,16.0,4.5,2.0,9.5,3.0,4,6,4
MCG+14-04-028,*,NGC 2276,7,10.0,+,85,50,11.91,--,--,22.0,22.0,1,2,1
MCG+14-04-029,--,--,7,11.0,+,86,45,15.0,2.0,1.3,11.0,5.0,3,4,2
MCG+14-04-030,--,--,7,13.0,+,82,44,17.0,--,--,5.0,2.5,--,3,--
MCG+14-04-031,*,NGC 2300,7,16.0,+,85,48,12.25,9.5,7.5,--,20.0,1,--,--
MCG+14-04-032,--,--,7,19.0,+,81,8,17.0,1.0,0.5,7.5,1.3,3,5,5
MCG+14-04-033,--,IC  455,7,19.0,+,85,38,15.0,5.0,3.0,--,--,1,--,--
MCG+14-04-034,--,--,7,27.5,+,83,54,16.0,--,--,8.5,2.0,--,1,4
MCG+14-04-035,--,--,7,32.0,+,85,40,16.0,4.5,4.0,--,--,3,--,4
MCG+14-04-036,--,--,7,40.5,+,84,45,16.0,--,--,9.5,6.5,4,5,4
MCG+14-04-037,--,--,7,41.0,+,85,4,15.0,4.5,4.0,--,--,2,--,--
MCG+14-04-038,--,IC  469,7,41.0,+,85,17,14.0,12.0,4.0,21.0,7.5,3,4,3
MCG+14-04-039,--,--,7,42.0,+,85,50,16.0,3.0,2.5,--,--,1,--,--
MCG+14-04-040,--,--,7,44.0,+,86,51,16.0,--,--,10.0,3.0,4,5,3
MCG+14-04-041,--,--,7,51.5,+,81,24,17.0,--,--,4.0,2.0,4,5,--
MCG+14-04-042,--,--,7,52.0,+,84,45,16.0,4.5,2.5,19.0,3.0,2,4,4
MCG+14-04-043,*,--,7,53.0,+,84,55,16.0,4.0,0.5,13.0,7.5,4,6,--
MCG+14-04-044,*,--,7,57.0,+,86,16,18.0,1.3,0.5,--,--,2,--,--
MCG+14-04-045,*,--,7,57.0,+,86,16,18.0,1.0,0.7,4.5,0.5,2,--,--
MCG+14-04-046,*,--,8,8.0,+,83,24,14.0,3.0,2.5,19.0,9.5,3,5,2
MCG+14-04-047,--,--,8,12.0,+,85,7,17.0,--,--,7.5,2.0,2,4,4
MCG+14-04-048,--,--,8,13.0,+,85,46,15.0,4.5,2.5,11.0,3.0,2,4,4
MCG+14-04-049,*,--,8,17.0,+,86,7,15.0,3.0,2.5,7.5,6.0,3,5,2
MCG+14-04-050,--,--,8,18.5,+,86,6,15.0,--,--,13.0,9.5,3,4,2
MCG+14-04-051,--,--,8,22.0,+,83,28,15.0,7.5,1.3,13.0,2.0,3,5,4
MCG+14-04-052,--,--,8,28.5,+,84,37,17.0,--,--,6.5,5.0,4,5,--
MCG+14-04-053,--,--,8,30.0,+,84,49,16.0,--,--,11.0,2.0,3,4,5
MCG+14-04-054,--,IC  499,8,32.0,+,85,54,14.0,5.0,3.0,19.0,13.0,2,5,2
MCG+14-04-055,*,--,8,38.5,+,84,27,17.0,9.5,1.3,8.5,3.0,4,5,4
MCG+14-05-001,--,--,8,46.5,+,85,0,15.0,7.0,2.0,13.0,3.0,2,6,4
MCG+14-05-002,--,IC  512,8,52.0,+,85,41,14.0,7.5,6.0,20.0,17.0,2,5,2
MCG+14-05-003,--,--,8,53.0,+,86,17,17.0,2.5,1.3,7.0,3.0,4,6,3
MCG+14-05-004,--,--,9,16.0,+,85,34,17.0,1.0,--,6.0,4.5,4,5,2
MCG+14-05-005,--,--,9,30.0,+,81,21,14.0,7.5,6.0,--,--,3,--,2
MCG+14-05-006,--,--,9,34.0,+,82,19,16.0,3.0,2.5,--,--,3,6,--
MCG+14-05-007,--,--,9,35.0,+,84,3,15.0,4.0,3.5,8.5,6.5,3,5,2
MCG+14-05-008,--,--,9,53.0,+,80,58,16.0,0.5,--,9.0,--,2,5,1
MCG+14-05-009,--,--,9,54.5,+,86,30,16.0,1.3,0.5,4.5,2.0,3,5,3
MCG+14-05-010,--,NGC 3057,10,2.0,+,80,30,14.0,4.5,1.3,20.0,10.0,3,5,2
MCG+14-05-011,--,--,10,3.0,+,85,7,17.0,2.0,1.3,6.5,1.3,3,6,4
MCG+14-05-012,--,--,10,33.5,+,85,34,17.0,0.3,--,6.5,1.3,4,5,5
MCG+14-05-013,--,--,10,38.0,+,81,8,15.0,4.5,2.5,9.0,2.5,3,5,3
MCG+14-05-014,--,--,10,48.0,+,80,42,16.0,2.0,1.3,5.0,1.3,1,4,3
MCG+14-05-015,--,--,10,50.5,+,80,34,17.0,2.0,1.7,4.5,2.0,2,6,2
MCG+14-05-016,--,--,11,10.0,+,80,35,17.0,--,--,4.0,1.3,4,5,4
MCG+14-05-017,--,--,11,10.0,+,80,36,17.0,1.3,1.0,4.5,1.0,2,5,4
MCG+14-06-001,--,--,11,20.0,+,81,11,16.0,1.3,--,6.5,--,2,5,1
MCG+14-06-002,--,--,11,42.0,+,83,44,16.0,2.0,1.3,8.5,6.5,5,6,2
MCG+14-06-003,--,--,11,43.0,+,82,53,16.0,0.5,--,5.0,4.0,2,3,1
MCG+14-06-004,--,--,11,57.0,+,86,29,16.0,2.0,1.3,9.0,2.5,2,6,4
MCG+14-06-005,--,--,12,21.0,+,82,57,15.0,3.0,1.3,8.5,3.0,1,5,4
MCG+14-06-006,--,--,12,29.0,+,85,3,16.0,2.5,1.3,9.5,2.5,2,6,3
MCG+14-06-007,--,--,12,32.0,+,81,45,16.0,2.5,--,--,--,2,--,--
MCG+14-06-008,--,--,12,45.8,+,83,40,15.0,6.5,4.5,--,--,1,2,2
MCG+14-06-009,--,--,12,49.0,+,80,52,15.0,2.5,1.3,11.0,3.0,1,5,3
MCG+14-06-010,--,--,12,49.5,+,80,37,16.0,2.5,2.0,5.0,3.0,1,5,--
MCG+14-06-011,--,--,12,52.5,+,82,38,16.0,1.6,1.3,9.0,2.0,1,4,4
MCG+14-06-012,--,--,12,55.0,+,80,32,16.0,1.3,--,4.5,3.0,1,5,--
MCG+14-06-013,--,--,12,57.0,+,84,21,14.0,--,--,9.5,3.0,2,3,3
MCG+14-06-014,--,--,13,6.0,+,80,37,16.0,1.3,8.5,1.5,--,1,4,5
MCG+14-06-015,--,--,13,6.0,+,83,8,15.0,2.0,--,--,--,1,--,--
MCG+14-06-016,--,--,13,8.0,+,84,55,15.0,5.0,2.5,--,--,1,--,--
MCG+14-06-017,--,--,13,14.0,+,84,58,16.0,--,--,7.0,2.0,2,4,4
MCG+14-06-018,--,--,13,16.0,+,86,6,16.0,4.5,1.3,--,--,--,1,4
MCG+14-06-019,--,--,13,17.0,+,84,56,16.0,--,--,11.0,1.5,2,5,4
MCG+14-06-020,--,--,13,19.0,+,84,45,16.0,3.0,2.5,--,--,1,6,--
MCG+14-06-021,--,--,13,19.5,+,84,46,16.0,3.0,1.3,6.0,2.0,2,4,4
MCG+14-06-022,--,--,13,20.0,+,84,39,17.0,2.5,0.5,16.0,4.0,4,6,4
MCG+14-06-023,--,--,13,22.0,+,80,37,15.0,3.0,2.0,5.0,2.5,1,6,--
MCG+14-06-024,*,--,13,24.5,+,84,46,16.0,--,--,--,--,2,--,--
MCG+14-06-025,*,--,13,25.5,+,84,46,16.0,5.0,2.0,7.0,2.5,2,5,4
MCG+14-06-026,--,--,13,30.0,+,80,46,15.0,1.3,--,9.0,6.5,3,4,1
MCG+14-06-027,--,--,13,33.0,+,86,13,16.0,1.3,--,14.0,2.5,3,4,4
MCG+14-06-028,--,--,13,43.0,+,83,46,15.0,2.5,2.0,5.0,3.0,1,5,2
MCG+14-07-001,--,--,14,8.0,+,83,43,16.0,3.0,2.0,--,--,3,6,--
MCG+14-07-002,--,--,14,12.0,+,84,20,17.0,--,--,4.0,1.3,--,3,5
MCG+14-07-003,--,--,14,15.0,+,86,36,17.0,4.5,2.0,--,--,1,--,--
MCG+14-07-004,--,--,14,17.0,+,84,2,16.0,2.5,2.0,8.5,2.5,2,5,3
MCG+14-07-005,--,--,14,21.0,+,83,40,16.0,2.5,2.0,4.5,3.0,2,6,--
MCG+14-07-006,--,--,14,28.0,+,84,42,16.0,0.5,--,8.5,--,4,6,1
MCG+14-07-007,--,--,14,28.5,+,83,32,16.0,2.5,2.2,--,--,1,--,--
MCG+14-07-008,--,--,14,40.0,+,85,32,17.0,--,--,6.5,0.5,--,5,--
MCG+14-07-009,--,--,14,56.5,+,81,1,17.0,0.5,--,4.0,2.5,2,4,2
MCG+14-07-010,*,--,14,57.6,+,81,2,16.0,3.0,1.3,--,--,2,--,5
MCG+14-07-011,--,--,14,58.0,+,81,1,16.0,2.0,1.5,4.5,4.0,3,5,2
MCG+14-07-012,*,--,14,58.0,+,83,48,15.0,--,--,11.0,2.5,2,5,5
MCG+14-07-013,--,--,15,0.0,+,85,13,16.0,2.0,1.5,--,--,1,--,--
MCG+14-07-014,--,--,15,1.0,+,83,44,15.0,4.5,3.0,--,8.0,1,6,2
MCG+14-07-015,--,--,15,3.0,+,81,35,15.0,3.0,2.0,--,7.0,1,5,1
MCG+14-07-016,--,--,15,8.5,+,82,2,17.0,--,--,4.0,3.5,4,5,1
MCG+14-07-017,--,--,15,24.0,+,82,22,17.0,1.3,--,--,5.0,1,6,1
MCG+14-07-018,--,--,15,29.0,+,83,16,16.0,2.5,2.0,7.5,2.0,1,5,--
MCG+14-07-019,--,IC 1139,15,31.5,+,82,52,17.0,--,--,5.0,2.0,2,3,3
MCG+14-07-020,--,--,15,34.0,+,82,35,16.0,1.5,--,--,--,2,--,--
MCG+14-07-021,--,--,15,34.5,+,82,35,16.0,--,--,5.0,2.0,3,5,3
MCG+14-07-022,--,IC 1143,15,35.0,+,82,38,15.0,3.0,2.5,--,9.5,1,6,--
MCG+14-07-023,--,--,15,36.0,+,82,24,15.0,--,--,8.5,4.5,2,3,2
MCG+14-07-024,--,--,15,38.0,+,83,15,16.0,3.0,1.3,6.5,2.0,3,5,4
MCG+14-07-025,--,--,15,38.5,+,83,10,17.0,--,--,5.0,2.5,4,5,3
MCG+14-07-026,--,--,15,41.5,+,82,32,16.0,1.0,--,--,6.0,2,4,1
MCG+14-07-027,--,--,15,43.5,+,82,29,16.0,2.0,1.3,8.5,6.5,3,4,1
MCG+14-07-028,--,--,15,46.0,+,82,1,17.0,2.0,1.3,--,--,1,--,--
MCG+14-07-029,--,--,15,48.5,+,81,58,15.0,5.0,1.3,22.0,8.5,4,5,2
MCG+14-07-030,--,--,15,54.0,+,84,27,17.0,1.3,--,6.0,2.5,2,4,3
MCG+14-07-031,--,--,15,55.5,+,81,55,16.0,3.0,2.5,--,--,1,--,--
MCG+14-07-032,--,--,15,56.0,+,81,59,17.0,2.0,1.3,--,--,1,--,--
MCG+14-07-033,--,--,15,59.0,+,81,56,16.0,2.5,2.0,--,--,1,6,--
MCG+14-07-034,--,--,16,3.0,+,81,50,17.0,3.2,--,9.0,2.0,1,5,4
MCG+14-07-035,--,--,16,11.0,+,86,20,17.0,0.5,--,6.5,--,4,5,1
MCG+14-07-036,*,--,16,12.0,+,81,27,16.0,1.3,--,11.0,6.0,1,4,3
MCG+14-08-001,--,--,16,12.0,+,86,20,16.0,0.5,--,8.0,--,2,5,1
MCG+14-08-002,--,--,16,19.0,+,81,10,17.0,1.3,--,5.0,2.5,3,5,3
MCG+14-08-003,--,--,16,20.0,+,81,11,17.0,1.3,--,6.5,2.5,3,6,3
MCG+14-08-004,--,--,16,24.0,+,81,9,16.0,3.0,2.0,5.0,2.0,2,5,4
MCG+14-08-005,--,--,16,28.0,+,82,30,16.0,2.0,1.3,6.5,--,2,5,1
MCG+14-08-006,*,--,16,34.5,+,83,1,17.0,3.0,1.3,--,--,2,6,3
MCG+14-08-007,*,--,16,35.0,+,83,0,17.0,2.5,1.3,6.0,2.5,3,5,3
MCG+14-08-008,--,--,16,35.5,+,81,38,18.0,4.0,1.3,--,--,2,6,4
MCG+14-08-009,*,--,16,36.0,+,81,38,16.0,2.5,2.0,--,--,1,6,--
MCG+14-08-010,--,NGC 6251,16,37.5,+,82,37,15.0,4.0,3.5,--,--,1,5,--
MCG+14-08-011,--,NGC 6252,16,37.5,+,82,40,16.0,2.5,2.0,6.5,3.0,2,3,3
MCG+14-08-012,--,--,16,51.0,+,81,30,17.0,1.3,1.0,4.5,2.0,1,5,3
MCG+14-08-013,--,--,16,52.5,+,81,39,17.0,--,--,6.0,1.3,3,6,5
MCG+14-08-014,--,--,16,53.5,+,81,55,16.0,--,--,9.5,1.3,3,5,5
MCG+14-08-015,*,--,16,56.5,+,81,39,16.0,2.0,--,--,--,1,--,--
MCG+14-08-016,--,--,16,57.5,+,81,40,16.0,1.3,--,--,--,1,--,--
MCG+14-08-017,--,--,16,58.5,+,81,42,16.0,2.5,--,--,--,2,--,--
MCG+14-08-018,--,--,16,58.5,+,81,43,17.0,2.0,1.3,--,--,1,6,3
MCG+14-08-019,--,--,16,59.2,+,81,3,16.0,--,--,4.5,3.0,3,4,1
MCG+14-08-020,--,--,17,0.5,+,84,25,17.0,0.5,--,2.5,--,2,5,1
MCG+14-08-021,--,--,17,3.5,+,84,48,16.0,1.3,--,6.0,2.5,3,4,3
MCG+14-08-022,--,--,17,9.5,+,86,40,16.0,2.0,1.3,4.5,2.0,1,5,--
MCG+14-08-023,--,--,17,26.0,+,81,57,16.0,--,--,4.5,3.0,--,3,1
MCG+14-08-024,*,--,17,37.0,+,86,46,15.0,--,--,11.0,6.5,1,1,2
MCG+14-08-025,*,--,17,37.0,+,86,46,17.0,1.3,1.0,5.0,2.5,1,5,3
MCG+14-08-026,*,--,17,40.0,+,86,51,17.0,2.0,1.7,--,--,1,6,--
MCG+14-09-001,--,--,19,0.0,+,84,31,16.0,--,--,13.0,1.3,--,4,5
MCG+14-09-002,--,--,20,56.0,+,86,42,18.0,--,--,9.0,0.5,--,5,5
MCG+14-10-001,--,--,21,21.0,+,83,36,15.0,3.0,2.5,9.5,3.0,2,4,3
MCG+13-01-001,--,--,23,17.0,+,77,2,16.0,7.5,2.5,15.0,3.0,4,6,3
MCG+13-01-002,--,IC 1502,23,34.8,+,75,22,15.0,6.0,2.5,11.0,4.0,1,6,4
MCG+13-01-003,--,--,0,0.0,+,77,0,15.0,2.0,--,9.5,8.5,4,5,1
MCG+13-01-004,*,--,0,1.4,+,80,1,16.0,1.0,0.7,6.5,--,4,6,1
MCG+13-02-001,--,--,1,34.8,+,80,55,16.0,4.0,2.0,8.5,2.5,2,6,3
MCG+13-03-001,--,--,3,2.0,+,79,56,13.0,--,--,11.0,6.5,3,3,2
MCG+13-03-002,--,NGC 1184,3,9.0,+,80,36,13.0,20.0,4.0,26.0,5.0,1,5,5
MCG+13-03-003,--,--,3,11.0,+,80,36,17.0,2.0,1.3,4.5,2.0,2,6,3
MCG+13-03-004,--,--,3,12.8,+,80,4,15.0,3.0,1.0,7.0,--,3,5,1
MCG+13-03-005,--,--,3,13.4,+,75,54,16.0,4.0,2.5,6.0,4.5,2,5,2
MCG+13-03-006,--,--,3,34.2,+,79,21,16.0,5.0,1.3,6.0,3.0,2,4,3
MCG+13-03-007,--,IC  334,3,38.5,+,76,29,14.0,6.5,5.0,19.0,14.0,2,4,2
MCG+13-03-008,--,--,3,41.5,+,79,31,17.0,2.0,1.5,4.0,2.0,2,5,--
MCG+13-03-009,--,--,3,41.6,+,79,31,17.0,1.3,--,--,--,1,--,--
MCG+13-04-001,--,--,3,51.4,+,79,25,16.0,6.5,2.0,9.5,2.0,3,5,5
MCG+13-04-002,--,--,3,52.9,+,79,17,16.0,1.3,--,5.0,--,1,4,2
MCG+13-04-003,*,--,3,56.3,+,78,9,15.0,3.0,--,19.0,11.0,2,4,--
MCG+13-04-004,*,NGC 1530,4,17.0,+,75,11,13.0,5.0,3.0,19.0,14.0,1,3,2
MCG+13-04-005,--,--,4,26.2,+,76,28,16.0,3.0,2.5,9.5,5.0,1,3,2
MCG+13-04-006,--,--,4,33.7,+,79,52,16.0,2.5,2.0,10.0,7.0,4,5,2
MCG+13-04-007,--,IC  381,4,37.8,+,75,32,13.0,3.0,--,22.0,12.0,2,4,2
MCG+13-04-008,--,--,4,39.5,+,76,20,15.0,--,--,32.0,3.0,4,5,5
MCG+13-04-009,--,--,4,48.0,+,75,30,17.0,2.0,1.7,4.5,2.0,3,6,2
MCG+13-04-010,--,--,4,48.3,+,75,4,16.0,3.0,2.5,--,--,1,5,--
MCG+13-04-011,*,--,4,49.6,+,78,6,12.85,9.5,--,13.0,--,1,6,1
MCG+13-04-012,--,--,4,51.3,+,80,7,15.0,2.5,2.0,10.0,8.0,2,6,2
MCG+13-04-013,--,--,4,57.4,+,76,48,16.0,4.0,1.3,10.0,2.5,2,5,3
MCG+13-04-014,--,--,4,58.2,+,75,56,17.0,--,--,9.5,2.0,4,--,5
MCG+13-04-015,--,--,4,58.9,+,75,35,16.0,1.6,1.2,4.5,2.0,1,5,5
MCG+13-04-016,--,--,4,59.7,+,75,31,15.0,4.0,3.5,10.0,--,2,5,--
MCG+13-04-017,--,--,5,2.0,+,75,21,15.0,4.0,2.5,10.0,--,1,6,--
MCG+13-04-018,--,--,5,13.1,+,76,9,18.0,2.0,0.5,3.0,--,2,6,3
MCG+13-04-019,--,--,5,13.3,+,76,15,16.0,--,--,5.0,1.3,2,--,4
MCG+13-04-020,--,--,5,14.0,+,76,18,15.0,--,--,13.0,2.0,1,5,5
MCG+13-04-021,*,--,5,20.9,+,76,37,15.0,1.3,--,9.5,--,1,3,1
MCG+13-05-001,--,--,5,29.8,+,79,32,16.0,3.0,2.0,9.0,3.0,2,6,3
MCG+13-05-002,--,--,5,32.4,+,77,16,14.0,--,--,32.0,1.3,3,4,5
MCG+13-05-003,--,--,5,34.9,+,77,5,16.0,2.0,1.5,--,--,1,--,--
