#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
M108 in Ursa Major	10.7	8.7 x 2.3	16	3556	Very elongated galaxy, dust & bright knots	UMa	C	11h 11m 32s	55° 40' N
NGC3585 in Hydra	9.9	4.6 x 2.5		3585	Elongated galaxy with bright core	Hyd		11h 13m 48s	26° 49' S
NGC3607 in Leo	9.9	4.6 x 4.0		3607	Round galaxy with bright core	Leo		11h 16m 55s	18° 03' S
NGC3621 in Hydra	9.6	12.4 x 7.1	14	3621	Elongated galaxy with bright core	Hyd	c	11h 18m 17s	32° 49' S
M65 in Leo	9.3	9.0 x 2.0	14	3623	Very elongated galaxy with bright core	Leo	C	11h 18m 54s	13° 05' N
M66 in Leo	9.0	7.6 x 3.3	20	3627	Spiral galaxy structure	Leo	C	11h 20m 12s	12° 59' N
NGC3628 in Leo	9.5	10.0 x 3.3	26	3628	Very elongated galaxy, dusty	Leo	C	11h 20m 18s	13° 36' N
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
M109 in Ursa Major	10.6	7.7 x 4.7	28	3992	Elongated galaxy with bright core	UMa	D	11h 57m 36s	53° 23' N
NGC4125 in Draco	9.8	2.6 x 1.5	3	4125	Elongated galaxy with bright core	Dra		12h 08m 06s	65° 11' N
M98 in Coma Berenices	10.1	10.5 x 2.6	21	4192	Very elongated galaxy with bright core	Com	D	12h 13m 49s	14° 54' N
NGC4214 in Canis Venatici	9.7	7.5 x 6.0	35	4214	Spiral galaxy structure	CVn		12h 15m 36s	36° 20' N
NGC4236 in Draco	9.7	22.5 x 6.2	110	4236	Very elongated galaxy	Dra	b	12h 16m 42s	69° 28' N
M99 Pinwheel Galaxy in Coma Berenices	9.8	6.0 x 5.0	24	4254	Spiral galaxy structure	Com	D	12h 18m 48s	14° 25' N
M106 in Canis Venatici	8.3	12.0 x 4.0	38	4258	Spiral galaxy structure with bright knots	CVn	C	12h 19m 00s	47° 18' N
M61 in Virgo	9.7	6.0 x 5.5	26	4303	Spiral galaxy structure	Vir	D	12h 21m 54s	04° 28' N
M100 in Coma Berenices	9.4	8.8 x 6.0	41	4321	Round galaxy with bright core	Com	D	12h 22m 54s	15° 49' N
M84 in Virgo	9.3	1.3 x 1.2	1	4374	Round galaxy with bright core	Com	C	12h 25m 06s	12° 53' N
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
M85 in Coma Berenices	9.2	7.5 x 6.5	38	4382	Round galaxy with bright core	Com	C	12h 25m 24s	18° 11' N
M86 in Virgo	9.2	1.5 x 1.2	1	4406	Round galaxy with bright core	Vir	C	12h 26m 12s	12° 57' N
NGC4449 in Canis Venatici	9.4	5.5 x 4.5	19	4449	Elongated galaxy with bright core	CVn		12h 28m 12s	44° 06' N
M49 in Virgo	8.4	2.2 x 1.8	3	4472	Round galaxy with bright core	Vir	C	12h 29m 48s	08° 00' N
NGC4490 in Canis Venatici	9.8	6.0 x 3.0	14	4490	Spiral galaxy structure, attached companion	CVn		12h 30m 36s	41° 38' N
M87 in Virgo	8.6	6.0 x 5.0	24	4486	Round galaxy with bright core	Vir	D	12h 30m 48s	12° 24' N
NGC4494 in Coma Berenices	9.7	4.8 x 3.5		4494	Round galaxy with bright core	Com		12h 31m 55s	25° 43' N
M88 in Coma Berenices	9.5	6.0 x 3.0	14	4501	Very elongated galaxy with bright core	Com	D	12h 32m 00s	14° 25' N
NGC4526 in Virgo	9.6	5.0 x 2.0	8	4526	Very elongated galaxy with bright core	Vir		12h 34m 00s	07° 42' N
NGC4535 in Virgo	9.9	6.0 x 4.0	19	4535	Round galaxy with bright core	Vir		12h 34m 18s	08° 12' N
M91 in Coma Berenices	10.2	5.0 x 4.0	16	4548	Elongated galaxy with bright core	Com	D	12h 35m 24s	14° 30' N
