K 2-12         |*243-25 1 | 06 02.1 -37 25 |243.79 -25.34| U   |ESO 364-25
K 3-86         |*106- 4 1 | 22 54.8 +54 56 |106.63 -04.20|     |
K 4-17         |  33- 4 1 | 19 09.4 -01 09 |033.96 -04.52|     |
K 4-30         |  57+ 1 1 | 19 33.2 +22 59 |057.99 +01.70| ?   |
K 4-50         |*208+ 1 1 | 06 47.1 +04 37 |208.32 +01.14| H   |
Kj 1-2         |* 69+ 1 1 | 20 00.9 +33 16 |069.97 +01.60|     |Sh 2-99
Kj 2-1         |* 77+ 2 1 | 20 17.4 +39 45 |077.21 +02.35|     |
KjPn 4         |* 79+ 0 1 | 20 28.8 +40 25 |079.00 +00.93| H   |
KjPn 7         |*113+ 6 1 | 23 07.7 +66 59 |113.03 +06.13|     |
Kr 1-2         |  88+ 6 1 | 20 35.6 +51 33 |088.71 +06.56| H   |ARO 354
Lo 14          |*331+ 0 2 | 16 11.7 -51 18 |331.59 +00.07|     |
M 2-56         | 118+ 8 1 | 23 56.6 +70 48 |118.41 +08.41| H   |ARO 386,VV 288,VV' 583
MaC 1-12       |* 21+ 2 1 | 18 21.4 -08 32 |021.91 +02.73| U   |PM 1-226
MaC 1-15       |* 19- 8 1 | 18 57.2 -15 29 |019.70 -08.25| U   |
MaC 2-2        |*203-18 1 | 05 29.0 -00 41 |203.83 -18.59|     |
MaC 2-3        |*204-16 1 | 05 38.3 +00 14 |204.14 -16.10|     |
MaCCo 1        |          | 20 22.1 +40 27 |078.29 +01.99|     |VES 205
MaCCo 2        |          | 20 35.3 +36 12 |076.35 -02.58|     |VES 228
MeWe 1-2       |          | 10 14.4 -58 12 |283.44 -01.40|     |
MeWe 1-4       |          | 14 17.5 -52 26 |315.99 +08.24|     |
MeWe 2-1       |          | 08 20.9 -35 17 |253.90 +00.75|     |Wray 19-07
MeWe 2-2       |          | 09 58.2 -50 40 |277.11 +03.32|     |
MeWe 2-3       |          | 11 56.7 -34 26 |290.27 +27.09|     |ESO 379-13
MeWe 2-4       |          | 14 01.3 -50 40 |314.09 +10.68|     |
MeWe 2-5       |          | 16 34.8 -42 04 |340.94 +03.75|     |
MyCn 26        | 353+ 8 1 | 16 55.9 -29 52 |353.06 +08.39|     |ESO 453-10,He 2-192,Sa 2-166,VV 88,VV' 154
NeVe 1         |          | 17 12.4 -23 23 |000.57 +09.27|     |GN 17.09.4
NeVe 2         |          | 20 00.3 +36 59 |073.07 +03.66|     |GN 19.58.5.03
NeVe 3         |          | 02 19.8 +55 18 |135.35 -05.43|     |
NeVe 4         |          | 03 48.7 +55 54 |146.00 +01.18|     |
NeVe 5         |          | 04 49.3 +56 42 |151.42 +07.63|     |
NeVe 6         |          | 06 01.9 +26 25 |184.00 +01.84|     |
NeVe 7         |          | 06 33.5 +12 38 |199.66 +01.82|     |
NeVe 8         |          | 06 42.0 +37 08 |178.20 +14.24|     |
OH/IR 17.7-2.0 |          | 18 30.5 -14 29 |017.68 -02.03|     |
PBOZ  2        |          | 17 23.9 -28 59 |357.40 +03.97|     |PM 1-144,IRAS 17207-2856
PBOZ  3        |          | 17 25.0 -30 43 |356.08 +02.81|     |IRAS 17217-3040
PBOZ  5        |          | 17 27.6 -25 22 |000.86 +05.28|     |IRAS 17245-2519
PBOZ  7        |          | 17 40.1 -30 19 |358.19 +00.30|     |IRAS 17368-3017
PBOZ  8        |          | 17 40.6 -30 16 |358.29 +00.24|     |IRAS 17374-3013
PBOZ  9        |          | 17 43.4 -30 54 |358.07 -00.61|     |IRAS 17401-3052
PBOZ 10        |          | 17 44.5 -27 21 |001.23 +01.04|     |IRAS 17413-2719
PBOZ 11        |          | 17 44.5 -24 13 |003.90 +02.66|     |IRAS 17414-2412
PBOZ 12        |          | 17 45.7 -29 43 |359.34 -00.42|     |IRAS 17424-2941
PBOZ 13        |          | 17 46.0 -27 26 |001.33 +00.71|     |IRAS 17428-2724
PBOZ 14        |          | 17 46.7 -27 03 |001.73 +00.77|     |IRAS 17436-2702
PBOZ 15        |          | 17 47.2 -30 22 |358.95 -01.04|     |IRAS 17440-3021
PBOZ 16        |          | 17 47.5 -24 13 |004.26 +02.08|     |IRAS 17445-2412
PBOZ 17        |          | 17 18.1 -30 56 |355.06 +03.90|     |IRAS 17149-3053
PBOZ 18        |          | 17 26.4 -30 46 |356.22 +02.53|     |IRAS 17230-3042
