009.6+14.8 |NGC 6309    |17 11 15.9 -12 51 15|26 Apr 1987 05 48|70|LWP 10645 
009.6+14.8 |NGC 6309    |17 11 15.9 -12 51 15|26 Apr 1987 06 31|70|SWP 30869 
010.1+00.7 |NGC     6537|18 02 15.4 -19 50 29|24 Oct 1984 22 15|70|SWP 24281 
010.8+18.0 |M2-    9    |17 02 52.4 -10 04 30|11 Aug 1982 15 12|70|LWR 13921 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|11 Aug 1982 14 26|70|SWP 17659 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|11 Aug 1983 10 44|70|SWP 20662 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|11 Aug 1983 13 23|70|LWR 16571 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|18 Feb 1983 19 32|70|LWR 15324 
010.8+18.0 |M2-9        |17 02 52.6 -10 04 16|11 Feb 1985 06 01|71|SWP 25211 
010.8+18.0 |M2-9        |17 02 52.6 -10 04 16|11 Feb 1985 09 45|71|LWP 05337 
011.7-00.6 |NGC 6567    |18 10 48.0 -19 05 00|23 May 1982 04 40|70|SWP 17019 
011.7-00.6 |NGC 6567    |18 10 48.0 -19 05 00|24 May 1982 03 18|70|LWR 13307 
011.9+04.2 |PK11+4 1    |17 53 26.3 -16 28 40|15 Aug 1987 18 14|70|SWP 31572 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|02 Sep 1984 19 14|70|SWP 23841 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|02 Sep 1984 19 41|70|LWP 04124 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|02 Sep 1984 20 36|70|SWP 23842 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|05 Sep 1984 20 18|70|SWP 23873 
017.3-21.9 |ABELL 65    |19 43 34.3 -23 15 36|23 Nov 1982 23 59|70|SWP 18641 
017.6-10.2 |A 51        |18 58 06.0 -18 17 00|09 May 1982 00 51|70|SWP 16935 
017.6-10.2 |ABELL 51    |18 58 06.0 -18 16 33|24 Mar 1981 00 37|70|SWP 13552 
017.6-10.2 |ABELL 51    |18 58 06.0 -18 16 33|24 Mar 1981 00 43|70|FES 01316 
021.8-00.4 |M3-   28    |18 29 55.6 -10 08 05|31 May 1988 20 30|70|SWP 33679 
023.9-02.3 |23-02-1     |18 40 35.9 -09 07 52|31 Aug 1987 08 28|70|SWP 31677 
023.9-02.3 |23-02-1     |18 40 35.9 -09 07 52|31 Aug 1987 09 32|70|LWP 11536 
025.3+40.8 |HD    145649|16 09 23.0 +12 11 58|28 Jan 1979 16 33|70|SWP 04070 
025.3+40.8 |IC  4593    |16 09 23.2 +12 11 57|28 Apr 1988 22 42|71|SWP 33383 
025.3+40.8 |IC  4593    |16 09 23.2 +12 11 57|28 Apr 1988 23 31|71|LWP 13132 
025.3+40.8 |IC  4593    |16 09 23.2 +12 12 00|28 Apr 1988 21 20|71|SwP 33382 
025.3+40.8 |IC  4593    |16 09 23.2 +12 12 00|28 Apr 1988 21 53|71|LWP 13131 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 05 19|70|SWP 06645 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 05 27|70|SWP 06645 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 07 18|70|LWR 05705 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 07 28|70|LWR 05705 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 07 51|70|SWP 06646 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 08 00|70|SWP 06646 
025.3+40.8 |IC 4593     |16 09 23.0 +12 12 00|13 Sep 1982 19 03|70|SWP 17948 
025.3+40.8 |IC 4593     |16 09 23.3 +12 12 08|13 May 1988 03 54|70|SWP 33512 
025.3+40.8 |IC 4593     |16 09 23.3 +12 12 08|31 Aug 1983 18 25|70|SWP 20867 
025.3+40.8 |IC4593      |16 09 23.3 +12 12 08|04 Jul 1987 19 39|71|SWP 31290 
025.3+40.8 |IC4593      |16 09 23.3 +12 12 08|04 Jul 1987 20 15|71|SWP 31291 
025.8-17.9 |NGC     6818|19 41 06.0 -14 16 00|03 Jun 1978 10 34|70|SWP 01704 
025.8-17.9 |NGC     6818|19 41 06.0 -14 16 00|03 Jun 1978 11 54|70|LWR 01607 
025.8-17.9 |NGC     6818|19 41 06.0 -14 16 00|03 Jun 1978 12 28|70|SWP 01705 
025.8-17.9 |NGC     6818|19 41 06.0 -14 16 00|03 Jun 1978 13 38|70|LWR 01608 
025.8-17.9 |NGC     6818|19 41 09.0 -14 16 21|07 Apr 1979 12 30|70|SWP 04884 
025.8-17.9 |NGC     6818|19 41 09.0 -14 16 21|07 Apr 1979 15 36|70|LWR 04211 
025.8-17.9 |NGC     6818|19 41 09.0 -14 16 21|08 May 1981 09 05|70|SWP 13916 
025.8-17.9 |NGC     6818|19 41 09.0 -14 16 21|08 May 1981 13 10|70|LWR 10540 
025.8-17.9 |NGC     6818|19 41 09.4 -14 16 21|10 May 1981 08 53|70|SWP 13943 
025.8-17.9 |NGC     6818|19 41 09.4 -14 16 21|10 May 1981 10 01|70|LWR 10557 
025.8-17.9 |NGC     6818|19 41 09.4 -14 16 21|10 May 1981 11 05|70|SWP 13944 
026.5-03.0 |26-02-3     |18 47 02.8 -07 05 06|31 Aug 1987 14 09|70|SWP 31679 
026.5-03.0 |26-02-3     |18 47 02.8 -07 05 06|31 Aug 1987 14 34|70|LWP 11537 
027.6-09.6 |IC  4846    |19 13 00.0 -09 05 00|07 Jun 1978 17 08|70|LWR 01634 
027.6-09.6 |IC  4846    |19 13 00.0 -09 05 00|07 Jun 1978 18 37|70|SWP 01740 
027.6-09.6 |IC  4846    |19 13 44.8 -09 08 05|28 Apr 1988 17 41|70|LWP 13130 
027.6-09.6 |IC  4846    |19 13 44.8 -09 08 05|28 Apr 1988 19 10|70|SWP 33381 
029.2-05.9 |N   6751    |19 03 15.0 -06 04 00|04 Jun 1981 23 51|70|SWP 14179 
029.2-05.9 |N   6751    |19 03 15.0 -06 04 00|05 Jun 1981 01 55|70|LWR 10775 
029.2-05.9 |N   6751    |19 03 15.0 -06 04 00|05 Jun 1981 03 37|70|SWP 14180 
030.6+06.2 |S    68     |18 22 25.6 +00 49 54|08 Apr 1983 10 49|70|SWP 19676 
030.6+06.2 |S    68     |18 22 25.6 +00 49 54|08 Apr 1983 12 13|70|SWP 19677 
033.8-02.6 |NGC     6741|19 00 02.0 -00 31 12|11 May 1980 08 49|70|SWP 08970 
033.8-02.6 |NGC     6741|19 00 02.0 -00 31 12|11 May 1980 12 53|70|LWR 07721 
033.8-02.6 |NGC     6741|19 00 02.0 -00 31 12|12 May 1979 15 46|70|LWR 04508 
033.8-02.6 |NGC     6741|19 00 02.0 -00 31 12|12 May 1979 16 51|70|SWP 05213 
033.8-02.6 |NGC     6741|19 00 02.0 -00 31 12|12 May 1979 17 59|70|FES 01053 
034.5-06.7 |NGC     6778|19 15 49.3 -01 41 24|27 Sep 1979 01 51|70|SWP 06643 
034.5-06.7 |NGC     6778|19 15 49.3 -01 41 24|27 Sep 1979 03 16|70|LWR 05704 
034.6+11.8 |N   6572    |18 09 42.0 +06 50 00|04 Sep 1980 23 28|70|SWP 10001 
034.6+11.8 |NGC     6572|18 09 40.0 +06 50 25|01 Nov 1978 01 36|70|LWR 02783 
034.6+11.8 |NGC     6572|18 09 40.0 +06 50 25|01 Nov 1978 02 11|70|SWP 03200 
034.6+11.8 |NGC     6572|18 09 40.0 +06 50 25|01 Nov 1978 02 45|70|LWR 02784 
034.6+11.8 |NGC     6572|18 09 40.0 +06 50 25|01 Nov 1978 03 19|70|SWP 03201 
034.6+11.8 |NGC     6572|18 09 40.0 +06 50 25|03 Jun 1978 07 32|70|LWR 01606 
034.6+11.8 |NGC     6572|18 09 41.0 +06 50 26|05 Aug 1981 16 27|71|LWR 11242 
034.6+11.8 |NGC     6572|18 09 41.0 +06 50 26|05 Aug 1981 16 45|71|LWR 11242 
034.6+11.8 |NGC     6572|18 09 41.0 +06 50 26|05 Aug 1981 17 07|71|SWP 14652 
034.6+11.8 |NGC     6572|18 09 41.7 +06 50 37|07 Apr 1979 23 45|70|SWP 04886 
034.6+11.8 |NGC     6572|18 09 41.7 +06 50 37|08 Apr 1979 01 50|70|LWR 04213 
034.6+11.8 |NGC     6572|18 09 41.9 +06 49 59|06 Apr 1980 17 49|70|SWP 08669 
034.6+11.8 |NGC     6572|18 09 41.9 +06 49 59|06 Apr 1980 18 18|70|LWR 07421 
034.6+11.8 |NGC     6572|18 09 41.9 +06 49 59|06 Apr 1980 18 51|70|SWP 08670 
034.6+11.8 |NGC     6572|18 09 41.9 +06 49 59|06 Apr 1980 20 58|70|LWR 07422 
034.6+11.8 |NGC     6572|18 09 42.0 +06 50 25|03 Jun 1978 08 19|70|SWP 01703 
034.6+11.8 |NGC     6572|18 09 42.0 +06 50 25|03 Jun 1978 08 40|70|SWP 01703 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|04 Jul 1979 23 17|70|LWR 04945 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|04 Jul 1979 23 54|70|SWP 05716 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|05 Jul 1979 00 02|70|SWP 05716 
