002.1-02.2 |ESO-B.C+CCD 1987-07-22|b |         |         |  1356.  |    28.  |   774.  |    39.  |    10. :|    10. :
002.1-04.2 |ESO-B.C+IDS 1986-07-13|b |         |         |   436.  |    21.  |   532.  |   115.  |     2.2 |     5.
002.2+00.5 |ESO-B.C+CCD 1990-06-24|b |         |         |         |         |   100.  |  1500. :|         |
002.2-02.5 |ESO-B.C+CCD 1989-05-29|b |    71.  |         |   821.  |         |   811.  |         |         |
002.2-02.7 |ESO-B.C+IDS 1986-07-13|b |         |     8.  |  1078.  |    22.  |   451.  |    27.  |     0.8 |     1.7
002.2-06.3 |ESO-B.C+CCD 1988-08-10|b |         |     4.  |   457.  |    19.  |   437.  |    56.  |     1.0 |     1.9
002.2-09.4 |ESO-B.C+CCD 1988-08-10|b |         |     3.  |*  268.  |    24.  |         |         |    16.  |    29.
002.3+02.2 |ESO-B.C+CCD 1990-06-20|b |         |         |   792.  |         |  4199. :|  4282. :|   605.  |   476.
002.3-03.4 |ESO-B.C+IDS 1986-07-13|b |         |         |   811.  |    21.  |   559.  |   198.  |    12.  |    18.
002.3-07.8 |ESO-B.C+IDS 1986-07-12|b |    77.  |         |  1089.  |    12. :|   333.  |   499.  |    49.  |    43.
002.4+05.8 |ESO-B.C+IDS 1986-07-11|b |     5.  |     8.  |  1484.  |    36.  |  1158.  |   183.  |    10.  |    17.
002.4-03.2 |ESO-B.C+CCD 1990-06-24|b |         |         |   511.  |         |   485.  |   701.  |   137.  |    95.
002.4-03.7 |ESO-B.C+IDS 1984-04-27|b |         |         |         |     3.  |   711.  |   447.  |    21.  |    44.
002.5-01.7 |ESO-B.C+CCD 1989-06-01|b |         |         |   278.  |         |   492.  |  1068.  |   109.  |   133.
002.5-05.4 |ESO-B.C+CCD 1989-06-03|b |   141.  |         |  1519.  |         |   893.  |   204.  |         |
002.6+02.1 |ESO-B.C+CCD 1990-06-24|b |    78.  |         |  1705.  |         |  1654. :|  1396. :|   276.  |   238.
002.6+04.2 |ESO-B.C+IDS 1986-07-13|b |         |         |  1071.  |    46.  |   904.  |  1317.  |    58.  |    77.
002.6+08.1 |ESO-B.C+IDS 1986-07-13|b |         |         |   929.  |    26.  |   627.  |    28.  |         |
002.6-03.4 |ESO-B.C+IDS 1983-05-03|b |         |         |         |     5.  |   659.  |   417.  |    16.  |    28.
