018.9+04.1 |ESO-B.C+CCD 1988-08-11|a |         |         |    62.  |         |   100.  |   166.  |         |
019.2-02.2 |ESO-B.C+CCD 1989-06-02|b |     4.  |     8.  |  1780.  |         |  1654.  |   195.  |    13.  |    24.
019.4-05.3 |ESO-B.C+IDS 1985-04-26|b |     1.6 |     4.  |   914.  |    28.  |   647.  |   170.  |     4.  |     8.
019.4-13.6 |OHP-CAR+CCD 1988-06-15|b |    18. :|    18. :|   804.  |         |   318.  |   420.  |    80. :|    39. :
019.7+03.2 |ESO-B.C+CCD 1989-05-28|b |         |         |  1768.  |    78.  |  2164.  |   813.  |    24.  |    54.
019.7-04.5 |ESO-B.C+IDS 1985-08-03|b |         |         |  1212.  |    40.  |   977.  |   579.  |    15.  |    29.
019.8+05.6 |OHP-CAR+CCD 1989-10-03|b |    28.  |         |  1323.  |    59.  |  1575.  |   275.  |    27.  |    44.
019.8-23.7 |ESO-B.C+CCD 1988-08-11|a |         |         |   248.  |         |   100.  |    78.  |         |
019.9+00.9 |ESO-B.C+IDS 1985-07-19|b |         |         |   812.  |   120.  |  3074.  |  4928.  |   242.  |   406.
020.7-05.9 |ESO-B.C+CCD 1989-05-28|b |         |     4.  |   836.  |    22.  |   545.  |         |         |
020.9-01.1 |ESO-B.C+IDS 1985-07-27|b |         |         |   533.  |   107.  |  2718.  |  3735.  |    97. :|   169.
021.1-05.9 |ESO-B.C+CCD 1988-08-09|b |    20.  |    14.  |  1303.  |    19.  |   427.  |   570.  |    48.  |    75.
021.2-03.9 |ESO-B.C+CCD 1989-06-03|a |         |         |    69.  |         |   100.  |         |         |
021.7-00.6 |ESO-B.C+IDS 1985-07-19|b |         |         |   451.  |         |  1759.  |  4251.  |   185.  |   259.
021.8-00.4 |ESO-B.C+IDS 1985-07-19|b |         |         |  1973.  |    61.  |  2532.  |  4265.  |    83.  |   110.
022.0-03.1 |ESO-B.C+CCD 1989-06-05|b |    56.  |    10.  |  1435.  |    21.  |   739.  |    76.  |     9.  |    14.
022.1-02.4 |ESO-B.C+IDS 1986-07-12|b |    42.  |    16.  |  2257.  |    25.  |  1184.  |  1478.  |    73.  |   133.
022.5+01.0 |ESO-B.C+CCD 1989-06-03|b |         |         |   637.  |         |  1263.  |  3130.  |   363.  |   384.
022.5+04.8 |ESO-B.C+CCD 1989-06-03|a |         |         |   350.  |    60. :|   660.  |         |         |
023.0+04.3 |ESO-B.C+CCD 1989-06-05|b |         |         |   664.  |    45.  |  1199.  |    37.  |         |
023.3-07.6 |OHP-CAR+CCD 1989-04-10|b |         |    21.  |   803.  |    40.  |   649.  |   901.  |B  206.  |
023.8-01.7 |ESO-B.C+IDS 1985-07-18|b |         |         |         |         |  4243.  |  2620.  |   117.  |   350.
023.9+01.2 |ESO-B.C+CCD 1989-06-02|b |         |         |         |         |  4133.  |  4016.  |   139.  |   251.
023.9-02.3 |ESO-B.C+IDS 1985-08-03|b |    17.  |     7.  |  1357.  |    40.  |  1014.  |   811.  |    29.  |    55.
024.1+03.8 |ESO-B.C+IDS 1985-08-02|b |         |         |   245.  |    39.  |  1202.  |   636.  |    14.  |    18.
024.2+05.9 |ESO-B.C+IDS 1985-07-20|b |         |         |   624.  |         |  1170.  |  1567.  |   135.  |   100.
024.2-05.2 |ESO-B.C+IDS 1986-07-10|b |    59.  |         |   586.  |    21.  |   427.  |    33. :|         |
024.3-03.3 |ESO-B.C+IDS 1985-07-18|b |    70.  |         |  1485.  |    26.  |   943.  |  1033.  |    74.  |   103.
024.8-02.7 |ESO-B.C+IDS 1985-07-18|b |         |         |    42.  |    31.  |  1118.  |  1114.  |    38.  |    67.
025.0-11.6 |ESO-B.C+CCD 1989-06-05|b |         |         |   969.  |         |   454.  |         |         |
025.3+40.8 |ESO-B.C+IDS 1986-07-11|b |     3.  |         |   496.  |    14.  |   288.  |    22.  |         |     0.4:
025.3-04.6 |ESO-B.C+IDS 1986-07-11|b |         |    11.  |  1321.  |    19.  |   414.  |    43.  |     2.0 |     5.
025.4-04.7 |ESO-B.C+IDS 1986-07-11|b |    53.  |         |  1438.  |         |   319.  |    28. :|         |
025.8-17.9 |ESO-B.C+CCD 1988-08-11|b |    72.  |    22.  |  1495.  |     7.  |   298.  |    49.  |     4.  |     6.
025.9-00.9 |ESO-B.C+IDS 1986-07-09|b |         |         |   898.  |         |  1997.  |  3326.  |         |   289.
025.9-02.1 |ESO-B.C+IDS 1985-07-18|b |         |         |  1013.  |    41.  |  1019.  |    51.  |         |
025.9-10.9 |ESO-B.C+IDS 1985-08-02|b |         |         |  1415.  |    33.  |   554.  |   659.  |    20. :|    17. :
026.0-01.8 |ESO-B.C+IDS 1986-07-09|b |         |         |  1541.  |    39. :|   893.  |    80.  |    17. :|
026.3-02.2 |ESO-B.C+CCD 1988-08-09|b |    76.  |         |  1481.  |    18.  |   606.  |   159.  |    19.  |    28.
026.5-03.0 |ESO-B.C+IDS 1986-07-09|b |         |         |   822.  |    24.  |   594.  |    29.  |     2.1:|     3. :
026.6-01.5 |ESO-B.C+CCD 1989-06-01|b |    60.  |         |  1430.  |         |   507.  |  1482.  |   190.  |   168.
027.3-02.1 |ESO-B.C+IDS 1984-04-28|b |         |         |  1484.  |    74.  |  2703.  |   999.  |    23.  |    53.
027.3-03.4 |ESO-B.C+IDS 1986-07-09|b |         |         |  1205.  |         |   576.  |   558.  |         |
027.4-03.5 |ESO-B.C+CCD 1989-06-05|b |    12.  |    10.  |*  436.  |    21.  |   485.  |     4.  |         |
027.6+04.2 |ESO-B.C+IDS 1985-07-19|b |         |         |   629.  |   108.  |  5370.  |  1162.  |         |    23. :
027.6+16.9 |OHP-CAR+CCD 1988-06-15|b |   124. :|         |   214. :|         |   333.  |         |         |
027.6-09.6 |ESO-B.C+CCD 1988-08-09|b |     1.1 |     6.  |*  369.  |    21.  |   393.  |    26.  |     1.7 |     4.
027.7+00.7 |ESO-B.C+IDS 1985-07-18|b |         |         |   826.  |    78.  |  3117.  |  1036.  |    47.  |    84.
028.0+10.2 |OHP-CAR+CCD 1988-06-15|b |   117. :|         |   217. :|    92. :|   417. :|         |         |
028.2-04.0 |ESO-B.C+IDS 1985-08-03|b |   101.  |         |  1303.  |         |   534.  |    46.  |         |
028.5+01.6 |ESO-B.C+CCD 1989-06-02|b |    53.  |     7.  |  1667.  |    28.  |  1216.  |   384.  |    36.  |    60.
028.5+05.1 |ESO-B.C+IDS 1985-07-27|b |         |         |   145. :|   104.  |  3363.  |  2582.  |   118.  |   135.
028.7+02.7 |ESO-B.C+IDS 1985-08-01|a |         |         |    53.  |         |   100.  |         |         |
028.7-03.9 |ESO-B.C+IDS 1984-04-28|b |   101.  |         |   668.  |         |   726.  |         |         |
029.0+00.4 |ESO-B.C+CCD 1989-06-05|a |         |         |    11.  |     4.  |   100.  |    27.  |         |
029.8-07.8 |ESO-B.C+IDS 1984-04-28|b |    56. :|         |  1505.  |         |   509.  |    60.  |         |
031.0+04.1 |ESO-B.C+CCD 1988-08-11|a |         |         |    75.  |     6.  |   100.  |    11.  |         |
031.0-10.8 |ESO-B.C+IDS 1985-07-31|b |    27.  |    11.  |  1599.  |    16.  |   439.  |         |         |
031.2+05.9 |ESO-B.C+CCD 1988-08-11|a |         |         |    73.  |         |   100.  |         |         |
031.3-00.5 |ESO-B.C+CCD 1989-06-01|a |         |         |    57.  |         |   100.  |   486.  |    32.  |    28.
031.7+01.7 |ESO-B.C+IDS 1985-08-02|b |         |         |   793.  |    94.  |  2194.  |  1760.  |   153.  |   215.
031.9-00.3 |ESO-B.C+CCD 1989-06-05|a |         |         |    58.  |         |   100.  |   618.  |    31.  |    32.
032.0-03.0 |ESO-B.C+IDS 1985-07-18|b |         |         |    37. :|         |  2336.  |   807.  |         |
032.1+07.0 |ESO-B.C+CCD 1989-05-29|b |     5.  |    12.  |  1547.  |    30.  |   777.  |    20.  |     3.  |     4.
032.5-03.2 |ESO-B.C+IDS 1985-07-18|b |         |         |    39.  |    28.  |  1306.  |   832.  |    18.  |    49.
032.7+05.6 |ESO-B.C+CCD 1988-08-11|b |         |         |  1428.  |    34.  |   730.  |   414.  |    23.  |    42.
032.7-02.0 |ESO-B.C+IDS 1985-08-03|b |    11.  |    12.  |  1779.  |    30.  |   886.  |   218.  |     5.  |     9.
032.9+07.8 |ESO-B.C+CCD 1989-05-29|b |    78.  |    11.  |   826.  |     7.  |   559.  |         |         |
032.9-02.8 |ESO-B.C+IDS 1985-08-03|b |         |    10. :|  1905.  |    55.  |  1557.  |   528.  |    15.  |    25.
033.0-05.3 |ESO-B.C+CCD 1988-08-10|b |         |         |  1191.  |         |   680.  |   494.  |         |
033.1-06.3 |ESO-B.C+IDS 1985-08-02|b |         |         |  1217.  |         |   519.  |   270.  |         |
033.2-01.9 |ESO-B.C+CCD 1990-06-24|a |         |         |    82.  |     1.8 |   100.  |         |         |
033.8-02.6 |ESO-B.C+IDS 1985-08-02|b |    33.  |    13.  |  1655.  |    20.  |   600.  |   654.  |    23.  |    43.
034.0+02.2 |ESO-B.C+CCD 1989-06-01|b |         |         |  1529.  |         |  3158.  |  1538.  |   146.  |   175.
034.1-10.5 |ESO-B.C+CCD 1988-08-13|b |         |         |   100. :|         |   100.  |         |         |
034.3+06.2 |ESO-B.C+CCD 1989-05-29|b |    66.  |         |   321.  |         |   817.  |         |         |
034.5-06.7 |ESO-B.C+IDS 1985-08-02|b |    16.  |         |   579.  |    31.  |   434.  |   309.  |    24.  |    27.
034.6+11.8 |ESO-B.C+CCD 1988-08-11|b |         |     9.  |*  399.  |    18.  |   297.  |    62.  |     1.1 |     2.2
035.1-00.7 |ESO-B.C+CCD 1989-06-05|a |         |         |         |         |   100.  |    52.  |    12.  |    13.
035.7-05.0 |ESO-B.C+CCD 1989-06-02|b |    76.  |         |   809.  |    31.  |   639.  |    32.  |    11.  |    16.
035.9-01.1 |ESO-B.C+IDS 1986-07-11|b |         |         |  1423.  |         |  1088.  |  3888.  |   154. :|   127. :
036.0+17.6 |OHP-CAR+CCD 1987-05-23|b |         |         |   611.  |         |   333. :|         |         |
036.1-57.1 |ESO-B.C+IDS 1986-12-13|b |         |         |   592.  |    35. :|   189.  |   353.  |    14. :|
036.9-01.1 |ESO-B.C+CCD 1989-06-02|a |         |         |   109.  |         |   100.  |   130.  |    17.  |    17.
036.9-02.6 |ESO-B.C+CCD 1989-06-05|a |         |         |   106.  |         |   100.  |    94.  |         |
037.8-06.3 |ESO-B.C+IDS 1985-07-31|b |     3.  |    11.  |  1274.  |    32.  |   545.  |    71.  |     1.3 |     2.3
038.1-25.4 |ESO-B.C+IDS 1985-07-17|b |         |         |   804.  |         |   300.  |   553.  |         |
038.2+12.0 |OHP-CAR+CCD 1988-06-16|b |     0.9:|         |    22.  |     9.  |   703.  |         |    11.  |    15.
038.4-03.3 |ESO-B.C+CCD 1989-06-01|b |         |         |         |         |   982.  |   471.  |    45.  |    57.
038.7-03.3 |ESO-B.C+CCD 1989-06-02|b |    11.  |     6.  |*  443.  |    37.  |   834.  |   183.  |    12.  |    21.
039.5-02.7 |OHP-CAR+CCD 1986-08-02|b |     3.  |         |   737.  |    51.  |  1051.  |    51.  |         |
039.8+02.1 |ESO-B.C+CCD 1989-05-30|a |         |         |    24.  |         |   100.  |    69.  |     0.8 |     4.
040.3-00.4 |OHP-CAR+CCD 1986-08-02|a |         |         |   100.  |         |   100.  |   318.  |    17.  |    19.
040.4-03.1 |ESO-B.C+CCD 1989-06-02|b |         |         |  1063.  |    43.  |  1108.  |    42.  |         |
041.2-00.6 |OHP-CAR+CCD 1989-10-03|b |         |         |   230. :|         |   450. :|         |         |
041.8+04.4 |OHP-CAR+CCD 1989-03-22|b |         |         |    30.  |    14. :|   811.  |   162.  |         |
042.0+05.4 |ESO-B.C+IDS 1986-07-10|b |         |         |         |    12.  |  1156.  |   681.  |    29.  |    57.
042.5-14.5 |ESO-B.C+CCD 1988-08-12|b |   123.  |         |   951.  |         |   242.  |    25.  |         |
042.9-06.9 |OHP-CAR+CCD 1986-08-03|b |         |    13.  |  1152.  |    22.  |   386.  |    27.  |     2.0 |     3.
043.0-03.0 |ESO-B.C+CCD 1988-08-13|b |    86.  |         |  1568.  |    43.  |   907.  |  1606.  |         |
043.1+03.8 |ESO-B.C+CCD 1988-08-11|b |         |         |    17.  |    10.  |   785.  |   253.  |    12.  |    20.
043.1+37.7 |ESO-B.C+IDS 1985-07-27|b |     2.3 |     6.  |*  365.  |    14.  |   254.  |    23.  |     1.7 |     3.
043.3+11.6 |OHP-CAR+CCD 1986-07-29|b |         |    89.  |   396.  |    42.  |   644.  |         |     2.1 |     4.
043.5-13.4 |ESO-B.C+CCD 1988-08-12|b |         |         |  1020.  |         |   255.  |   110. :|         |
044.0+05.2 |ESO-B.C+IDS 1986-07-10|b |         |         |   888.  |    70.  |  1517.  |   282.  |    39.  |    47.
044.1+05.8 |ESO-B.C+CCD 1990-06-20|b |         |    76.  |   434.  |    31.  |   834.  |         |         |
044.3+10.4 |ESO-B.C+CCD 1989-06-02|a |         |         |   110.  |         |   100.  |         |         |
044.3-05.6 |ESO-B.C+CCD 1989-06-03|b |    50.  |         |   548.  |    28.  |   534.  |         |         |
045.4-02.7 |ESO-B.C+IDS 1986-07-11|b |     1.0:|     5.  |   812.  |    51.  |  1383.  |   135.  |     0.8:|     1.9
045.6+01.5 |ESO-B.C+IDS 1986-07-11|b |         |         |   103. :|   113. :|  3850.  |   154. :|         |
045.6+24.3 |OHP-CAR+CCD 1987-05-20|b |   116. :|         |   309. :|         |         |         |         |
045.9-01.9 |OHP-CAR+CCD 1988-06-14|b |         |         |   217. :|         |  2333.  |  1567.  |B  200.  |
046.3-03.1 |END                   |b |     7.  |    11.  |  1392.  |    39.  |  1238.  |    16.  |         |
046.4-04.1 |OHP-CAR+CCD 1986-07-28|b |     5.  |     6.  |  1028.  |    26.  |   411.  |   128.  |     7.  |    11.
047.1+04.1 |ESO-B.C+IDS 1986-07-12|b |         |         |   980.  |         |   728.  |  1121.  |   122.  |    99.
047.1-04.2 |ESO-B.C+CCD 1990-06-23|a |         |         |   108.  |         |   100. :|   128. :|         |
048.0-02.3 |ESO-B.C+CCD 1989-05-28|b |    54.  |         |  1659.  |    32.  |  1463.  |   234.  |    24.  |    36.
048.1+01.1 |ESO-B.C+CCD 1989-06-02|b |         |         |  2073.  |         |  3117.  |  1515.  |    45.  |    74.
048.5+04.2 |ESO-B.C+CCD 1989-06-01|b |    66.  |         |  1273.  |    24. :|   976.  |         |         |
048.7+01.9 |ESO-B.C+CCD 1989-06-02|b |         |         |   661.  |    67.  |  1596.  |  1515.  |    51.  |    97.
048.7+02.3 |ESO-B.C+IDS 1986-07-11|b |         |         |  1245.  |         |  1824.  |  2874.  |    82. :|   134. :
048.7-01.5 |OHP-CAR+CCD 1989-10-06|b |         |         |         |         |   237.  |   363.  |B  391.  |
049.3+88.1 |OHP-CAR+CCD 1987-05-21|b |    10. :|     9. :|   659.  |    15.  |   355.  |    84.  |     2.2:|
049.4+02.4 |ESO-B.C+IDS 1986-07-11|b |         |         |   353.  |         |   778.  |   363.  |    71.  |    59.
050.1+03.3 |OHP-CAR+CCD 1988-12-03|b |         |         |         |   287.  |   681.  |         |         |
050.4+05.2 |ESO-B.C+CCD 1989-06-05|a |         |         |   125.  |         |   100.  |         |         |
050.4-01.6 |ESO-B.C+CCD 1990-06-23|a |     1.5 |         |     7.  |         |   100.  |    11.  |         |
051.0+02.8 |ESO-B.C+CCD 1990-06-24|b |         |   164.  |  1425.  |   170.  |  5010.  |   471.  |         |    31.
051.0+03.0 |ESO-B.C+CCD 1989-06-03|b |         |         |   752.  |    65.  |  1736.  |   814.  |    19.  |    37.
051.0-04.5 |ESO-B.C+CCD 1989-06-05|b |   110.  |    14.  |  1138.  |         |   458.  |    89.  |    20.  |    21.
051.4+09.6 |OHP-CAR+CCD 1986-08-01|b |         |     3.  |*  151.  |    17.  |         |    70.  |         |
051.5+06.1 |ESO-B.C+CCD 1989-06-01|a |    18.  |         |   137.  |         |   100.  |         |         |
051.9-03.8 |ESO-B.C+CCD 1989-05-28|b |     1.9 |         |   325.  |    30.  |   582.  |   234.  |     6.  |    11.
052.2+07.6 |OHP-CAR+CCD 1987-05-20|b |         |         |  1305.  |    22. :|   556.  |         |         |
052.2-04.0 |OHP-CAR+CCD 1986-07-30|b |         |     8. :|  1153.  |    24.  |   614.  |    62.  |     5.  |     8.
052.5-02.9 |ESO-B.C+CCD 1989-06-03|b |     5.  |    10.  |*  324.  |    21.  |   299.  |   229.  |    14.  |    25.
052.9+02.7 |ESO-B.C+IDS 1986-07-12|b |         |         |  1896.  |    83.  |  1865.  |   597.  |         |
052.9-02.7 |ESO-B.C+CCD 1989-06-03|b |         |         |  1502.  |         |   717.  |         |         |
053.2-01.5 |ESO-B.C+CCD 1989-06-03|a |         |         |   113.  |         |   100.  |         |         |
053.3+03.0 |ESO-B.C+CCD 1989-06-05|a |         |         |    62.  |         |   100.  |   220.  |    33.  |    18.
053.3+24.0 |OHP-CAR+CCD 1986-07-31|b |    30.  |     7.  |  1167.  |    16.  |   348.  |    28.  |     4.  |     5.
053.8-03.0 |ESO-B.C+CCD 1989-06-05|b |         |         |   242.  |         |   705.  |         |         |
054.1-12.1 |ESO-B.C+IDS 1986-07-12|b |         |     5.  |   868.  |    18.  |   353.  |    12.  |         |
054.4-02.5 |ESO-B.C+IDS 1986-07-09|b |         |         |   160.  |    39.  |  1748.  |   843.  |     5.  |     7.
055.1-01.8 |ESO-B.C+CCD 1989-06-04|b |    93.  |         |  1638.  |         |  1094.  |   116.  |         |
055.2+02.8 |ESO-B.C+IDS 1986-07-12|b |         |         |  1215.  |    75.  |  3100.  |   684.  |         |
055.3+02.7 |ESO-B.C+IDS 1986-07-12|b |    66.  |         |  2189.  |    39.  |  1527.  |  1650.  |   193.  |   232.
055.3+06.6 |OHP-CAR+CCD 1989-10-05|b |    60. :|         |   525.  |         |   410.  |    95. :|         |
055.4+16.0 |OHP-CAR+CCD 1987-05-21|b |         |         |   588.  |         |   631.  |         |         |
055.5-00.5 |ESO-B.C+CCD 1989-06-03|b |         |     5.  |*  458.  |    61.  |  1245.  |   440.  |     6.  |    12.
055.6+02.1 |OHP-CAR+CCD 1987-05-20|b |         |         |         |         |  1295.  |   832.  |    36.  |   135.
056.0+02.0 |ESO-B.C+CCD 1989-06-05|b |         |         |   904.  |         |  1463.  |  4433.  |    50.  |   143.
056.4-00.9 |ESO-B.C+CCD 1989-06-05|a |         |         |    20.  |     3.  |   100.  |    20.  |         |
056.8-06.9 |ESO-B.C+IDS 1985-07-27|b |    92.  |         |   800.  |         |   712.  |         |         |
057.2-08.9 |OHP-CAR+CCD 1986-07-28|b |     3.  |     6.  |   858.  |    15.  |   286.  |     9.  |         |
057.9-01.5 |OHP-CAR+CCD 1987-05-20|b |    10. :|         |   427.  |    50. :|  1681.  |   708.  |         |
058.3-10.9 |ESO-B.C+IDS 1986-07-12|b |         |    43.  |   437.  |    42.  |   806.  |    70.  |     3.  |     6.
058.6+06.1 |OHP-CAR+CCD 1988-06-17|b |         |         |  1011.  |    89. :|   361.  |         |         |
058.9+01.3 |OHP-CAR+CCD 1987-05-21|b |         |         |   531.  |    49.  |  1158.  |   154.  |    31. :|
059.0+04.6 |OHP-CAR+CCD 1989-03-23|b |    32.  |         |   970.  |    28.  |   380.  |   713.  |    59.  |
059.0-01.7 |OHP-CAR+CCD 1986-07-29|b |         |         |  1450.  |    32.  |  1109.  |         |         |
059.4+02.3 |OHP-CAR+CCD 1988-06-17|b |         |         |  1406.  |    44.  |  1202.  |    25. :|         |
059.7-18.7 |ESO-B.C+CCD 1988-08-10|b |   127.  |         |  1748.  |         |   443.  |         |         |
059.9+02.0 |OHP-CAR+CCD 1988-06-18|b |         |         |         |         |  2522.  |  1011.  |         |
060.1-07.7 |OHP-CAR+CCD 1986-07-29|b |    37.  |    18.  |*  552.  |    18.  |   424.  |   346.  |    13.  |    16.
060.3-07.3 |OHP-CAR+CCD 1988-06-14|b |         |         |   185.  |         |   265.  |   454.  |    69. :|    42. :
060.5+01.8 |OHP-CAR+CCD 1987-05-24|b |         |         |   369.  |    61.  |  1680.  |   712.  |    25. :|
060.5-00.3 |OHP-CAR+CCD 1988-06-17|b |         |         |   236. :|         |   564.  |   855.  |         |
060.8-03.6 |OHP-CAR+CCD 1988-06-18|b |    70.  |     9. :|  1106.  |         |   262.  |   255.  |    21. :|    24. :
061.0+08.0 |OHP-CAR+CCD 1986-08-02|b |   133.  |    38.  |   271.  |         |   328.  |         |         |    12. :
061.3+03.6 |OHP-CAR+CCD 1988-06-19|b |         |    18. :|   171.  |    40.  |   929.  |   222.  |    29.  |    32.
061.4-09.5 |ESO-B.C+IDS 1986-07-12|b |    91.  |     7. :|   958.  |         |   319.  |     3. :|         |
061.8+02.1 |OHP-CAR+CCD 1987-05-21|b |    50.  |    26.  |   496.  |    27.  |         |         |    28. :|    38. :
061.9+41.3 |OHP-CAR+CCD 1988-06-19|b |         |     5.  |   437.  |    13.  |         |    39.  |     3.  |     4.
062.4+09.5 |OHP-CAR+CCD 1988-06-16|b |    76.  |    22. :|  1244.  |         |   300.  |   352.  |    83.  |    30.
062.4-00.2 |OHP-CAR+CCD 1987-05-23|b |         |         |  1317.  |         |  1476.  |  3988.  |   212.  |   124. :
063.8-03.3 |OHP-CAR+CCD 1988-06-18|a |    40. :|         |         |         |   100.  |    63.  |         |
064.6+48.2 |OHP-CAR+CCD 1987-05-20|b |    80.  |         |  1125.  |         |   346.  |         |         |
064.7+05.0 |OHP-CAR+CCD 1988-06-18|b |         |    11.  |     9.  |     8.  |         |         |     5.  |    16.
064.9+15.5 |OHP-CAR+CCD 1987-05-21|b |         |         |   618.  |    19.  |   445.  |   362.  |   103.  |
064.9-02.1 |OHP-CAR+CCD 1988-12-02|b |         |         |  2165.  |   115.  |  3025.  |   425.  |         |
065.0-27.3 |OHP-CAR+CCD 1988-06-18|b |         |         |   271.  |    19.  |   479.  |     4. :|         |
065.1-03.5 |OHP-CAR+CCD 1986-07-28|a |         |         |    69. :|         |   100.  |    67.  |         |
065.2-05.6 |OHP-CAR+CCD 1988-06-18|b |         |         |   755.  |    18. :|   459.  |   589.  |    85. :|    42. :
065.9+00.5 |OHP-CAR+CCD 1986-08-02|b |         |         |   562.  |         |   410.  |    57. :|         |
066.7-28.2 |ESO-B.C+IDS 1986-07-12|b |    51. :|         |   490.  |         |   302. :|         |         |
066.9+02.2 |OHP-CAR+CCD 1988-12-02|a |         |         |    54. :|         |   100.  |   494.  |    29. :|    33. :
066.9-05.2 |OHP-CAR+CCD 1987-05-24|b |     9.  |     3. :|  1118.  |    38.  |   958.  |    23.  |     8.  |
067.9-00.2 |OHP-CAR+CCD 1987-05-24|b |         |         |   339.  |   137.  |   957.  |  1517.  |    65. :|   117. :
068.3-02.7 |OHP-CAR+CCD 1987-05-21|b |         |         |         |         |  2128.  |  1769.  |    77.  |   113.
068.6+01.1 |OHP-CAR+CCD 1987-05-24|b |    15. :|    30. :|   951.  |    34. :|  1205.  |   778.  |   250.  |
068.7+01.9 |OHP-CAR+CCD 1988-06-19|b |         |         |  1148.  |    40.  |   967.  |    47. :|         |
068.7+03.0 |OHP-CAR+CCD 1987-05-24|b |    32.  |    22.  |  1689.  |    32.  |   991.  |   231.  |    57.  |
068.7+14.8 |OHP-CAR+CCD 1989-10-04|b |     2.4 |     5.  |   596.  |    20.  |   377.  |    26.  |B    3.  |
069.2+02.8 |OHP-CAR+CCD 1987-05-24|b |         |         |    34. :|         |  1727.  |  1037.  |         |
069.2+03.8 |OHP-CAR+CCD 1987-05-24|b |         |         |   446.  |         |   500. :|  3200.  |   423.  |
069.6-03.9 |OHP-CAR+CCD 1988-06-18|b |         |         |  1067.  |         |   846.  |   875.  |         |
069.7+00.0 |OHP-CAR+CCD 1987-05-24|a |         |         |    45.  |         |   100.  |    97.  |     9. :|    13. :
071.6-02.3 |OHP-CAR+CCD 1988-06-18|b |         |     7. :|  1123.  |    48.  |  1537.  |    34. :|     7. :|    13. :
072.1+00.1 |OHP-CAR+CCD 1988-06-18|b |    70. :|         |  1574.  |    50. :|  1598.  |   710.  |         |
073.0-02.4 |OHP-CAR+CCD 1989-03-22|b |         |         |  1511.  |    63. :|  1900.  |         |         |
074.5+02.1 |OHP-CAR+CCD 1986-07-28|b |    36.  |    12.  |  1851.  |    33.  |   985.  |   603.  |    14.  |    31.
075.6+04.3 |OHP-CAR+CCD 1988-06-19|b |         |         |   393.  |         |   287.  |   380.  |         |     7. :
075.7+35.8 |OHP-CAR+CCD 1988-06-15|b |         |         |  1543.  |    29. :|   569. :|         |         |
076.3+01.1 |OHP-CAR+CCD 1988-06-19|b |         |         |   235. :|         |   141. :|   706.  |    47. :|
076.4+01.8 |OHP-CAR+CCD 1989-03-23|b |    59. :|    80. :|    46. :|    28. :|   606.  |         |         |
077.5+03.7 |OHP-CAR+CCD 1989-03-24|b |    30.  |    12. :|  1307.  |    42.  |   995.  |    53. :|         |
077.6+14.7 |OHP-CAR+CCD 1989-10-07|b |         |         |   950. :|         |   560.  |         |         |
077.7+03.1 |OHP-CAR+CCD 1989-03-24|b |   100. :|         |  2700.  |         |   980.  |  1050.  |    63.  |    97.
078.3-02.7 |OHP-CAR+CCD 1989-03-24|b |         |         |   812.  |         |   840.  |   108.  |         |
078.5+18.7 |OHP-CAR+CCD 1988-06-16|b |    47.  |         |   981.  |    13. :|   250.  |    59.  |    10. :|     9. :
078.6+05.2 |OHP-CAR+CCD 1989-03-23|b |    29. :|         |   937.  |         |   630.  |   398.  |B   60. :|
078.9+00.7 |OHP-CAR+CCD 1986-08-02|b |         |         |   332.  |    14.  |   313.  |   202.  |         |
079.6+05.8 |OHP-CAR+CCD 1988-06-19|b |    22. :|     6. :|  1024.  |    33.  |   504.  |   326.  |         |
079.9+06.4 |OHP-CAR+CCD 1987-05-21|b |    77.  |         |   560.  |         |   826.  |         |         |
082.1+07.0 |OHP-CAR+CCD 1986-07-28|b |    21.  |     9.  |*  485.  |    20.  |   392.  |    50.  |     2.1 |     3.
082.5+11.3 |OHP-CAR+CCD 1986-07-29|b |         |    13.  |*  245.  |    16.  |         |    26.  |         |
083.5+12.7 |OHP-CAR+CCD 1986-12-20|b |     4.  |         |*  242.  |    19.  |   344.  |         |         |
083.9-08.4 |OHP-CAR+CCD 1989-10-02|b |    67.  |    29.  |  1138.  |     8. :|   364.  |         |         |
084.0+09.5 |OHP-CAR+CCD 1989-10-02|b |    30. :|         |   880.  |    16. :|   359.  |    55. :|         |
084.2-04.2 |OHP-CAR+CCD 1989-10-03|b |         |         |  1022.  |    41.  |   745.  |         |         |
084.9+04.4 |OHP-CAR+CCD 1986-08-02|a |         |         |    68. :|         |   100. :|   242. :|         |
084.9-03.4 |OHP-CAR+CCD 1986-07-31|b |    41.  |    15.  |*        |    20.  |         |         |     4.  |    10.
086.5-08.8 |OHP-CAR+CCD 1986-08-02|b |    78.  |    18.  |   796.  |    15.  |   408.  |   261.  |     8.  |    17.
087.4-03.8 |OHP-CAR+CCD 1989-10-04|b |         |         |         |         |   336.  |   108. :|B  128. :|
088.7+04.6 |OHP-CAR+CCD 1989-10-04|b |         |         |   509.  |         |   380.  |         |         |
088.7-01.6 |OHP-CAR+CCD 1986-08-03|b |    67.  |         |   965.  |         |   365.  |   516.  |         |
089.0+00.3 |OHP-CAR+CCD 1986-08-01|b |    30.  |         |   985.  |    25.  |   485.  |   174.  |    14.  |    21.
089.3-02.2 |OHP-CAR+CCD 1988-12-03|b |         |         |         |         |   770.  |   234.  |    15.  |    14.
089.8-00.6 |OHP-CAR+CCD 1986-08-03|b |   118.  |         |   433.  |         |   639.  |   823.  |         |
