006.0-41.9 |-13.3    .4    91..1504
006.1+08.3 |-11.93   .01   89...513
006.2-03.7 |-13.72         88..2065
006.3+03.3 |-13.4    .4    91..1504
006.3+04.4 |-13.15   .10   91..1504
006.4+02.0 |-11.9    .2    91..1504
006.4-04.6 |-12.1    .4    91..1504
006.5-03.1 |-13.42   .10   91..1504
006.7-02.2 |-13.5    .4    91..1504
006.8+02.0 |-13.51   .10   91..1504
006.8+02.3 |-13.1    .2    91..1504
006.8+04.1 |-12.45   .10   91..1504
006.8-03.4 |-12.89   .10   91..1504
006.8-08.6 |-12.4    .4    91..1504
006.8-19.8 |-12.0    .3    91..1504
007.0+06.3 |-12.0    .2    91..1504
007.0-06.0 |-12.4    .2    91..1504
007.0-06.8 |-11.50   .10   91..1504
007.2+01.8 |-12.05   .01   89...513
007.5+04.3 |-13.0    .3    91..1504
007.5+07.4 |-12.2    .3    91..1504
007.6+06.9 |-12.2    .2    91..1504
007.8-03.7 |-12.9    .4    91..1504
007.8-04.4 |-11.9    .2    91..1504
007.9+10.1 |-12.95   .10   91..1504
008.0+03.9 |-11.22   .01   63...352,71..9018
008.1-04.7 |-12.13   .10   91..1504
008.2+06.8 |-12.13   .10   91..1504
008.2-04.8 |-12.12   .10   91..1504
008.3-01.1 |-12.71   .01   89...513
008.3-07.3 |-10.99   .03   78...302,78...109,89...513
008.4-03.6 |-13.2    .4    91..1504
008.6-02.6 |-13.45   .10   91..1504
008.6-07.0 |-13.19   .10   91..1504
008.8+05.2 |-13.0    .4    91..1504
009.0+04.1 |-13.0    .2    91..1504
009.3+04.1 |-12.83   .10   91..1504
009.4-05.0 |-10.91   .06   81..1549,83..3099,89...513
009.4-09.8 |-11.9    .2    91..1504
009.6+10.5 |-12.24   .01   89...513
009.6+14.8 |-11.24   .03   CD 61   ,78...302,83..3099
009.6-10.6 |-12.0    .2    91..1504
009.8-04.6 |-12.24   .10   91..1504
010.1+00.7 |-11.40   .03   83....46
010.4+04.5 |-12.3    .2    91..1504
010.6+03.2 |-12.87   .10   91..1504
010.7+07.4 |-13.0    .2    91..1504
010.7-06.4 |-11.54   .03   O 63    ,78...302,83..3099,91..1504
010.7-06.7 |-12.6    .2    91..1504
010.8+18.0 |-11.66         71..9018
