144.5+06.5 | E         1.4    83.30751
144.5+06.5 | E         2.0  : 78..1992
147.4-02.3 | K         2.3  : 78..1992
148.4+57.0 | X         0.43   83.30751
148.4+57.0 | X         0.5    83.30751
165.5-15.2 | E         0.8    86..1537
165.5-15.2 | E         0.81   80..1020
165.5-15.2 | E         1.0    78..1992
165.5-15.2 | S         0.40   80..1020
165.5-15.2 | S         0.66   78..1992
166.1+10.4 | E         0.7    78..1992
166.1+10.4 | E         0.7    86..1537
166.1+10.4 | E         1.2    83.30751
166.1+10.4 | W         1.09   85....32
189.1+19.8 | E         0.50   80..1020
189.1+19.8 | W         1.64   85....32
194.2+02.5 | E         1.2    86..1537
194.2+02.5 | E         2.0    83.30751
196.6-10.9 | E         1.3    83.30751
196.6-10.9 | E         1.8    86..1537
197.8+17.3 | M         0.55   70..9096
197.8+17.3 | E         0.7    86..1537
197.8+17.3 | E         0.70   80..1020
197.8+17.3 | S         2.7    87.35002
197.8+17.3 | X  0.5  - 1.6  ? 83.30751
206.4-40.5 | M         1.5    86..1537
206.4-40.5 | S         2.1    87.35002
208.5+33.2 | D         1.41   84...469
208.5+33.2 | W         0.90   85....32
215.2-24.2 | M         0.33   78..1992
215.2-24.2 | S         2.0    87.35002
215.2-24.2 | W         0.88   85....32
215.6+03.6 | E         0.90   80..1020
215.6+03.6 | E         0.90   83.30751
215.6+03.6 | E         1.06   86..1120
215.6+03.6 | K         1.7  : 78..1992
215.6+03.6 | M         0.80   86.13556
215.6+03.6 | S         0.64   80..1020
220.3-53.9 | M         0.55   86..1537
220.3-53.9 | S         0.63   87.35002
221.3-12.3 | M         2.9    70..9096
221.3-12.3 | E         1.9    83.30751
221.3-12.3 | E         2.0    86..1537
231.8+04.1 | E         2.0    83.30751
234.8+02.4 | M         1.1    70..9096
234.8+02.4 | E         1.0    78..1992
234.8+02.4 | E         2.19   86..1120
234.8+02.4 | E  1.6  - 2.5    83.30751
234.8+02.4 | K         2.3    86..1121
234.8+02.4 | X         0.7    87.50008
243.3-01.0 | E         2.00   80..1020
243.3-01.0 | E         3.0    78..1992
243.3-01.0 | E         3.0    83.30751
243.3-01.0 | E         3.57   86..1120
261.0+32.0 | M         0.28   70..9096
261.0+32.0 | E         0.50   80..1020
