010.8+18.0 | +88.0   2.3 83...525   31. * 89..1542
010.8-01.8 |  +4.5   1.8 83...525
011.0+05.8 | -93.8   1.8 83...525   24.0  82..2586
011.0+06.2 |  +3.7  10.1 83...525
011.0-05.1 | -72.2  10.1 83...525
011.1+11.5 | +85.8  19.9 83...525
011.3-09.4 | -21.0       85..1601    5.0* 85..1601  +    2.5  85..1601
011.7-00.6 |+119.3   0.7 83...525   18.4  84..1595  +   36.   84..1595
011.7-06.6 | -22.0   5.0 83...525
011.9+04.2 | -72.8  14.0 83...525
012.5-09.8 | +34.0  25.0 83...525
012.6-02.7 |+126.0  11.0 83...525
013.1+04.1 | -37.3  10.1 83...525   12.5  84..2707
013.3+32.7 | -87.0  25.0 83...525  <10.0  83..1561
013.4-03.9 |+140.0  25.0 83...525
013.8-02.8 |                        12.5* 87..1594
014.2-07.3 | -88.6   4.7 83...525
014.6-04.3 | +27.1  10.1 83...525
015.4-04.5 | +63.0  25.0 83...525   13.0  84..2707
015.6-03.0 | +44.0   6.0 88..9285    6.0  88..9285  +
015.9+03.3 |+128.0  11.0 83...525
016.0-04.3 | -40.6  10.1 83...525
016.1-04.7 | +88.0  25.0 83...525
016.4-01.9 | +30.0   3.0 88..9285    7.0  88..9285
017.3-21.9 | +13.0   4.0 88..9285   11.0  88..9285
017.6-10.2 | +23.0  10.0 88..9285   42.0  88..9285
017.7-02.9 |+133.0   5.0 83...525
017.9-04.8 | +71.0  25.0 83...525
018.0+20.1 | +22.0  25.0 83...525   30.0  89..1542  +
018.6-02.2 |+157.0   5.0 83...525
018.9+03.6 | +28.0   5.0 83...525
018.9+04.1 | -16.0   5.0 83...525
019.2-02.2 | +50.0   5.0 83...525
019.4-05.3 | +40.8  10.1 83...525
019.7+03.2 |+174.5  10.1 83...525   12.0  89..1542      22.0  89..1542  +
019.7-04.5 | +76.0  25.0 83...525
019.9+00.9 | +35.0  11.0 83...525
020.9-01.1 |  +3.0  11.0 83...525
021.1-05.9 | +25.5  10.1 83...525    7.5  84..1287
021.7-00.6 | +26.0  11.0 83...525
021.8-00.4 | +21.0  11.0 83...525
022.0-03.1 | +60.0  25.0 83...525
022.1-02.4 | +92.4  17.3 83...525
023.9-02.3 | +99.0  11.4 83...525   13.0  84..1287
024.1+03.8 | +89.0   5.0 83...525
024.2+05.9 | -21.0  25.0 83...525
024.2-05.2 | +19.0  25.0 83...525
024.8-02.7 | +83.0  11.0 83...525
025.3+40.8 | +22.0   0.5 83...525   12.5  69..9021      12.   83..3038
025.4-04.7 | -36.0  25.0 83...525
025.8-17.9 | -13.0   3.0 88..9285   27.6  88..9285  +   31.   84..1595
027.4-03.5 |+110.0  25.0 83...525
027.6+04.2 | +95.0   5.0 83...525
027.6-09.6 |+151.0   3.0 83...525   13.1  89.50036
028.5+01.6 |+106.0  25.0 83...525   12.0  84..2707
028.5+05.1 | +42.0   3.0 83...525
029.2-00.0 | -55.   60.  91..3001
029.2-05.9 | -38.5   2.8 83...525   40.0  84..1595  +   38.   89..1542
030.6+06.2 |                         5.   89..1542  +    5.   89..1542
031.0-10.8 | +37.0  25.0 83...525   14.0  84..2707
032.1+07.0 | +20.0  25.0 83...525
032.7-02.0 | +42.6  10.1 83...525
033.1-06.3 |   0.0   4.0 88..9285   10.2  88..9285      25.   89..1542
033.8-02.6 | +41.3   1.4 83...525   23.0  84..1595  +   21.5  84..1595
034.3+06.2 |                        23.0  82..2586
034.5-06.7 | +91.0   3.0 83...525   20.0  84..1595  +
034.6+11.8 |  -8.5   0.4 83...525   16.0  84..1595  +   16.   84..1595
035.9-01.1 | +24.7   3.0 83...525   16.0  84..1595      21.5  85..2592  +
036.0+17.6 | -42.0  11.5 83...525
036.1-57.1 | -28.2   3.0 83...525   14.0  84..1595  +   24.   87..2547
037.7-34.5 | -44.0   3.0 88..9285   20.6  88..9285  +   20.0  88..9285
037.8-06.3 | +40.4   1.7 83...525   15.0  84..1595  +
038.1-25.4 | -79.0  18.0 88..9285   37.8  88..9285
038.2+12.0 |  +4.0  25.0 83...525  <10.   83..1561
038.7-03.3 |  +7.0  25.0 83...525   25.0  89..1542      30.0  89..1542
039.5-02.7 | +36.0  11.4 83...525   11.5  84..1287
041.8-02.9 |  +4.3   3.7 83...525   12.0  84..1595
042.5-14.5 | -11.0   5.0 88..9285   43.1  88..9285  +
042.9-06.9 | -67.7   3.3 83...525   13.0  84..1595  +
043.0-03.0 | +48.0  11.0 83...525
043.1+03.8 | +20.0  11.0 83...525                       11.5  89..1542  +
043.1+37.7 | -36.2   1.1 83...525   21.0  89..1542  +   35.5  84..1595
043.3+11.6 |  -6.0  25.0 83...525   13.5  84..2707
044.3+10.4 |                        33.0  89..1542  +   36.0  89..1542
045.4-02.7 | -71.4   3.9 83...525   17.5  89..1542  +   25.0  89..1542
045.7-04.5 | -12.0   3.8 83...525   24.0  84..1595  +
046.4-04.1 | +13.1   1.8 83...525   14.5  84..1595  +   20.   84..1595
047.0+42.4 |                        32.   89..1542  +   37.   89..1542
047.1-04.2 |                        13.   89..1542  +   24.   89..1542
048.7+01.9 | +14.0  11.0 83...525
049.3+88.1 |-141.0  12.0 83...525   11.   86..1554
051.3+01.8 | -13.   50.  90..2003
051.4+09.6 | +14.0   3.1 83...525    9.5  89..1542      17.0  89..1542  +
051.9-03.8 |  +6.9  10.1 83...525   11.0  84..2707
052.2-04.0 | +10.0  25.0 83...525   12.5  89..1542      22.0  89..1542  +
052.5-02.9 |  -6.0   7.0 83...525    9.0  84..1287
053.3+24.0 |-101.9   3.9 83...525   16.5  89..1542  +   11.0  89..1542
054.1-12.1 | +42.4   1.0 83...525    7.0  89..1542  +
055.5-00.5 | +50.6  10.1 83...525   16.5  89..1542  +   25.0  89..1542
057.2-08.9 |  +9.0   8.1 83...525   21.5  84..1595
058.3-10.9 | -66.2   1.3 83...525   14.5  84..1595      21.5  89..1542  +
059.7-18.7 | -58.6  23.0 83...525
