Barnard,RAJ2000,DECJ2000
B147,"20h 06' 50""",+35бу 22'
B148,"20h 47' 42""",+59бу 37'
B149,"20h 49' 01""",+59бу 31'
B150,"20h 50' 39""",+60бу 18'
B151,"21h 08' 13""",+56бу 19'
B152,"21h 14' 29""",+61бу 44'
B153,"21h 21' 03""",+56бу 26'
B154,"21h 21' 22""",+56бу 36'
B155,"21h 32' 08""",+44бу 58'
B156,"21h 33' 59""",+45бу 35'
B157,"21h 33' 41""",+54бу 40'
B158,"21h 37' 13""",+43бу 24'
B159,"21h 38' 22""",+43бу 13'
B160,"21h 37' 58""",+56бу 13'
B161,"21h 40' 22""",+57бу 49'
B162,"21h 41' 09""",+56бу 19'
B163,"21h 42' 10""",+56бу 42'
B164,"21h 46' 31""",+51бу 05'
B165,"21h 48' 56""",+60бу 12'
B166,"21h 51' 05""",+60бу 05'
B167,"21h 51' 58""",+60бу 04'
B168,"21h 53' 20""",+47бу 16'
B170,"21h 58' 02""",+58бу 57'
B169,"21h 58' 52""",+58бу 45'
B171,"22h 01' 18""",+58бу 52'
B174,"22h 07' 19""",+59бу 04'
B173,"22h 07' 28""",+59бу 40'
B175,"22h 14' 00""",+69бу 56'
B201,"2h 13' 00""",+57бу 05'
B202,"3h 25' 38""",+30бу 16'
B203,"3h 25' 50""",+30бу 46'
B204,"3h 28' 29""",+30бу 11'
B205,"3h 28' 32""",+31бу 06'
B206,"3h 29' 09""",+30бу 11'
B207,"4h 04' 35""",+26бу 20'
B208,"4h 11' 32""",+25бу 09'
B209,"4h 12' 23""",+28бу 19'
B210,"4h 15' 33""",+25бу 03'
B211,"4h 17' 12""",+27бу 48'
B212,"4h 19' 14""",+25бу 18'
B213,"4h 21' 10""",+27бу 03'
B214,"4h 21' 55""",+28бу 32'
B215,"4h 23' 34""",+25бу 02'
B216,"4h 23' 59""",+26бу 37'
B217,"4h 27' 38""",+26бу 07'
B218,"4h 28' 09""",+26бу 16'
B219,"4h 34' 00""",+29бу 35'
B220,"4h 41' 30""",+25бу 59'
B221,"4h 44' 00""",+31бу 44'
B222,"5h 08' 23""",+32бу 10'
B223,"5h 21' 28""",+08бу 19'
B224,"5h 23' 54""",+10бу 37'
B225,"5h 28' 00""",+11бу 36'
B226,"5h 36' 34""",+33бу 42'
B227,"6h 07' 23""",+19бу 39'
B228,"15h 44' 00""",-34бу 30'
B229,"16h 17' 00""",-27бу 18'
B230,"16h 27' 00""",-16бу 47'
B231,"16h 38' 24""",-35бу 25'
B232,"16h 43' 44""",-39бу 49'
B233,"16h 44' 45""",-35бу 24'
B234,"16h 46' 26""",-30бу 28'
B235,"16h 47' 06""",-44бу 28'
B236,"16h 48' 00""",-29бу 48'
B237,"16h 48' 55""",-29бу 58'
B238,"16h 52' 21""",-23бу 07'
B239,"16h 55' 00""",-31бу 07'
B240,"16h 59' 17""",-35бу 21'
B241,"16h 59' 27""",-30бу 11'
B242,"17h 05' 06""",-32бу 25'
B243,"17h 09' 46""",-29бу 34'
B244,"17h 10' 51""",-28бу 24'
B245,"17h 11' 55""",-29бу 24'
B246,"17h 12' 01""",-22бу 39'
B247,"17h 13' 06""",-30бу 15'
B248,"17h 13' 04""",-28бу 59'
B249,"17h 13' 04""",-29бу 09'
B250,"17h 13' 02""",-28бу 24'
B251,"17h 13' 48""",-20бу 09'
B252,"17h 15' 18""",-32бу 08'
B253,"17h 15' 00""",-22бу 33'
B254,"17h 20' 29""",-30бу 07'
B255,"17h 20' 35""",-23бу 27'
B256,"17h 22' 12""",-28бу 49'
B257,"17h 22' 46""",-35бу 37'
B258,"17h 22' 57""",-34бу 43'
B259,"17h 22' 01""",-19бу 17'
B260,"17h 24' 48""",-25бу 37'
B261,"17h 25' 04""",-23бу 02'
B262,"17h 25' 00""",-22бу 36'
B263,"17h 26' 56""",-42бу 46'
B264,"17h 27' 12""",-25бу 31'
B265,"17h 27' 36""",-25бу 11'
B266,"17h 28' 07""",-20бу 56'
B267,"17h 28' 31""",-25бу 13'
B268,"17h 31' 00""",-20бу 30'
B269,"17h 32' 13""",-22бу 45'
B270,"17h 32' 43""",-19бу 35'
B271,"17h 34' 00""",-34бу 15'
B272,"17h 37' 00""",-23бу 24'
B273,"17h 38' 29""",-33бу 20'
B274,"17h 38' 03""",-22бу 43'
B275,"17h 38' 59""",-32бу 19'
B276,"17h 39' 39""",-19бу 49'
B277,"17h 40' 44""",-23бу 04'
B278,"17h 42' 39""",-32бу 18'
B279,"17h 44' 00""",-22бу 33'
B280,"17h 44' 57""",-20бу 43'
B281,"17h 46' 47""",-23бу 43'
B282,"17h 48' 36""",-23бу 27'
B283,"17h 51' 00""",-33бу 52'
B284,"17h 50' 06""",-14бу 22'
B285,"17h 51' 32""",-12бу 52'
B286,"17h 53' 03""",-35бу 37'
B287,"17h 54' 26""",-35бу 11'
B288,"17h 57' 06""",-37бу 05'
B289,"17h 56' 36""",-29бу 01'
