Arp,Name,VT,u_VT,dim1,---,dim2,u_dim2,MType,Uchart,RAh,RAm,RAs,DE-,DEd,DEm,DEs
324,UGC 10143,15.2,--,--,--,--,--,E3,--,16,2,12.8,+,15,54,26
324,UGC 10143B,15.1,--,0.6,X,0.4,--,SAB(r)ab,--,16,2,13.3,+,15,56,14
324,ARP 324,--,--,1.7,X,1.0,--,--,--,16,2,15.1,+,15,56,58
324,UGC 10143A,14.2,--,--,--,--,--,E+,--,16,2,17.0,+,15,58,27
101,UGC 10164,15.5,--,1.1,X,0.9,--,E?,--,16,4,24.3,+,14,46,51
122,NGC 6040B,14.9,--,0.8,--,--,--,SA0+ pec,155,16,4,26.3,+,17,44,37
122,NGC 6040A,13.6,--,1.4,X,0.5,--,SAB(s)c,155,16,4,26.8,+,17,45,2
101,UGC 10169,14.7,--,2.1,X,0.4,--,S0 pec,--,16,4,31.6,+,14,49,8
71,NGC 6045,13.9,--,1.3,X,0.3,--,SB(s)c,155,16,5,7.8,+,17,45,27
209,NGC 6052,13.0,--,0.9,X,0.7,--,Sc,155,16,5,12.6,+,20,32,33
272,NGC 6054,15.2,--,0.7,X,0.4,--,(R')SAB(s)b,155,16,5,30.5,+,17,46,9
172,IC 1178,15.2,--,1.1,X,0.9,--,S0- pec?,--,16,5,33.0,+,17,36,5
172,IC 1181,15.9,--,0.8,X,0.7,--,SAB(rs)0/a,--,16,5,33.6,+,17,35,30
188,UGC 10214,14.4,--,3.6,X,0.8,--,SBS5P,--,16,6,3.4,+,55,25,18
2,UGC 10310,13.2,--,2.8,X,2.2,--,SB(s)m IV-V,79,16,16,18.2,+,47,2,47
66,UGC 10396,14.6,--,1.2,X,0.7,--,S4,--,16,26,52.9,+,51,33,20
185,NGC 6217,11.2,--,3.0,X,2.5,--,(R)SB(rs)bc,11,16,32,40.0,+,78,11,57
73,IC 1222,13.5,--,1.7,X,1.4,--,SXS5,--,16,35,8.9,+,46,12,50
125,UGC 10491,13.6,--,1.1,X,0.4,--,Ring B,80,16,38,13.8,+,41,55,51
125,UGC 10491,15.5,--,--,--,--,--,Ring A,--,16,38,13.8,+,41,56,19
330,I Zw 167,--,--,6.1,--,--,--,6 galaxy chain,--,16,49,7.9,+,53,25,53
103,UGC 10586,14.6,--,1.4,--,--,?,S0 pec,80,16,49,26.0,+,45,27,30
103,UGC 10586,15.2,--,0.4,--,--,--,SAB(rs)0+ pec,80,16,49,28.3,+,45,27,41
103,UGC 10586,14.6,--,0.4,--,--,--,Sa,80,16,49,33.1,+,45,29,53
312,MCG+08-31-004,14.1,--,1.1,X,0.9,--,S,--,16,49,48.4,+,46,43,5
312,ARP 312,--,--,--,--,--,--,--,--,16,49,50.2,+,46,42,50
208,MCG+08-31-011,15.0,--,0.4,X,0.3,--,S,--,16,51,1.3,+,47,13,25
208,MCG+08-31-010,14.8,--,0.4,X,0.3,--,--,--,16,51,2.8,+,47,13,15
293,NGC 6285,13.5,--,1.3,X,0.7,--,S0+? pec,52,16,58,23.9,+,58,57,21
293,NGC 6286,13.3,--,1.3,X,1.2,--,Sb: pec,52,16,58,31.4,+,58,56,13
32,UGC 10770A,14.4,--,--,--,--,--,I9P,--,17,13,7.6,+,59,19,23
32,UGC 10770B,14.3,--,1.2,X,0.6,?,--,--,17,13,10.7,+,59,19,58
124,NGC 6361,13.1,--,2.2,X,0.6,--,SAb: sp I-II,29,17,18,40.8,+,60,36,24
102,UGC 10814A,15.5,--,0.9,X,0.7,?,Sc irr,--,17,19,14.4,+,48,58,49
102,UGC 10814B,14.9,?,0.9,X,0.6,?,Sb,--,17,19,21.2,+,49,2,25
102,MCG+08-31-042,14.9,--,0.7,X,0.4,--,I,--,17,19,29.9,+,49,3,1
30,NGC 6365,12.2,--,1.3,--,--,?,Sdm,29,17,22,42.9,+,62,10,27
30,NGC 6365A,13.8,--,1.1,X,0.2,--,SBcd:,29,17,22,43.3,+,62,9,57
311,IC 1258,14.4,--,0.9,X,0.7,--,Sab?,--,17,27,17.4,+,58,29,8
310,IC 1259,15.0,--,--,--,--,--,S?,--,17,27,24.9,+,58,31,0
310,IC 1259,15.0,--,--,--,--,--,S0 pec,--,17,27,26.6,+,58,30,57
311,IC 1260,15.7,--,--,--,--,--,--,--,17,27,31.6,+,58,28,33
311,KAZ 140,15.8,--,0.6,X,0.5,--,--,--,17,27,31.7,+,58,28,33
38,NGC 6412,11.7,--,2.5,X,2.2,--,SAS5,12,17,29,36.2,+,75,42,17
81,NGC 6621,12.8,--,2.1,X,0.8,--,Sb: pec,30,18,12,54.6,+,68,21,50
81,NGC 6622,15.3,--,0.5,X,0.4,--,--,30,18,13,0.1,+,68,21,12
29,NGC 6946,8.8,--,11.6,X,9.9,--,SAB(rs)cd,32,20,34,52.2,+,60,9,14
325,ESO 601- G 018,18.1,--,1.7,X,0.7,--,--,--,22,6,22.2,-,21,4,21
325,ESO 601- G 018,17.9,--,--,--,--,--,--,--,22,6,23.2,-,21,4,39
325,ESO 601- G 018,16.1,--,--,--,--,--,--,--,22,6,24.2,-,21,4,45
169,NGC 7236,13.0,--,0.7,X,0.7,--,SA0-,212,22,14,45.0,+,13,50,46
169,NGC 7237,13.6,--,0.7,X,0.7,--,SA0-,212,22,14,46.9,+,13,50,26
278,NGC 7253A,13.6,--,1.7,X,0.5,--,SB?,122,22,19,26.2,+,29,23,53
278,NGC 7253B,14.2,--,1.6,X,0.5,--,S?,122,22,19,29.0,+,29,23,11
226,NGC 7252,11.4,--,2.0,X,1.6,--,SAB0^0? pec,347,22,20,44.8,-,24,40,43
93,NGC 7284,11.9,--,2.1,X,1.5,--,SB(s)0^0 pec,347,22,28,36.0,-,24,50,39
93,NGC 7285,11.9,--,2.4,X,1.4,--,SB(rs)a pec,347,22,28,38.0,-,24,50,27
14,NGC 7314,10.9,--,4.6,X,2.1,--,SAB(rs)c: II,347,22,35,45.7,-,26,3,3
319,NGC 7317,13.6,--,1.1,X,1.1,?,E4,123,22,35,51.9,+,33,56,41
319,NGC 7318A,13.4,--,0.9,--,--,--,E2 pec,123,22,35,56.7,+,33,57,56
319,NGC 7318B,13.4,--,1.9,X,1.2,--,E2,123,22,35,58.4,+,33,57,58
319,NGC 7319,13.1,--,1.7,X,1.3,--,SB(s)bc pec,123,22,36,3.5,+,33,58,33
319,NGC 7320,12.6,--,2.2,X,1.1,--,SA(s)d,123,22,36,4.1,+,33,56,41
3,MCG-01-57-016,13.4,--,2.5,X,2.1,--,SA(s)m,--,22,36,34.0,-,2,54,19
15,NGC 7393,12.6,--,2.0,X,0.9,--,SAB?(r:)b?,258,22,51,39.3,-,5,33,28
110,MCG-03-58-011,15.9,--,0.7,X,0.6,--,S,--,22,54,8.8,-,15,14,14
314,MCG-01-58-009,13.7,--,1.1,X,0.9,?,(R')SA(s)bc:,--,22,58,1.0,-,3,46,8
314,MCG-01-58-010,13.8,--,1.3,X,1.1,?,SB(rs)cd: pec,--,22,58,7.0,-,3,47,23
314,MCG-01-58-011,16.0,--,1.1,X,0.9,?,(R')SB(s)dm p,--,22,58,11.0,-,3,48,55
13,NGC 7448,11.6,--,2.7,X,1.2,--,SA(rs)bc,213,23,0,2.4,+,15,59,22
298,NGC 7469,12.3,--,1.5,X,1.1,--,(R')SAB(rs)a,213,23,3,15.6,+,8,52,26
298,IC 5283,13.8,--,0.8,X,0.4,--,SA(r)cd pec?,213,23,3,18.1,+,8,53,36
99,NGC 7547,13.7,--,1.1,X,0.5,--,(R')SAB(s)0/a:,168,23,15,3.6,+,18,58,23
99,NGC 7550,12.2,--,1.4,X,1.2,--,SA0-,168,23,15,16.0,+,18,57,41
99,NGC 7549,13.0,--,2.8,X,0.7,--,SB(s)cd pec,168,23,15,17.2,+,19,2,30
170,NGC 7578A,13.8,--,1.4,--,--,--,S0^0 pec,169,23,17,11.9,+,18,42,3
170,NGC 7578B,13.8,--,1.1,--,--,--,E1,169,23,17,13.4,+,18,42,28
223,NGC 7585,11.4,--,2.3,X,2.0,--,SA?0^0 pec,259,23,18,2.1,-,4,38,56
92,NGC 7603,13.2,--,1.6,X,1.0,--,SA(rs)0+: pec,259,23,18,56.6,+,0,14,38
150,NGC 7609,14.1,--,1.3,X,1.1,--,Pec,214,23,19,29.9,+,9,30,29
150,NGC 7609A,15.0,--,--,--,--,--,Sc irr,--,23,19,31.0,+,9,30,10
212,NGC 7625,12.1,--,1.6,X,1.5,--,SA(rs)a pec,169,23,20,30.0,+,17,13,32
182,NGC 7674,13.2,--,1.1,X,1.0,--,SA(r)bc pec,214,23,27,56.7,+,8,46,45
182,UGC 12608,13.6,--,0.2,X,0.2,--,SBb,--,23,27,58.8,+,8,46,58
28,NGC 7678,11.8,--,2.4,X,1.7,--,SAB(rs)c I-II,169,23,28,27.8,+,22,25,16
216,NGC 7679,12.9,--,1.4,X,0.9,--,(R':)Sc? pec,259,23,28,46.8,+,3,30,41
216,NGC 7682,13.2,--,1.2,X,1.1,--,SB(r)a: pec,259,23,29,3.9,+,3,32,0
46,UGC 12665,15.0,--,1.2,X,0.9,--,SBT7P,--,23,33,41.1,+,30,2,35
284,NGC 7714,12.5,--,1.9,X,1.4,--,SB:(s)b? pec,259,23,36,14.1,+,2,9,18
284,NGC 7715,14.2,--,2.6,X,0.5,--,Sa? pec sp,259,23,36,22.0,+,2,9,24
222,NGC 7727,10.6,--,4.7,X,3.6,--,SAB:(s?)0/a p,260,23,39,54.2,-,12,17,31
295,MCG-01-60-021,14.5,--,1.9,X,0.3,--,Sc,--,23,41,47.9,-,3,40,37
295,ARP 295,14.6,--,0.9,X,0.5,?,Sb pec,--,23,42,4.1,-,3,35,21
86,NGC 7752,14.3,--,0.8,X,0.5,?,I0:,89,23,46,58.5,+,29,27,32
86,NGC 7753,12.0,--,3.3,X,2.1,--,SAB(rs)bc I,89,23,47,4.7,+,29,29,1
68,NGC 7757,12.7,--,2.5,X,1.8,--,SAB(rs)c,215,23,48,45.1,+,4,10,24
323,NGC 7783,13.0,--,1.3,X,0.6,--,S0^0: sp,215,23,54,10.0,+,0,22,58
323,NGC 7783B,14.0,--,0.4,X,0.3,--,S0,215,23,54,12.0,+,0,22,38
262,MCG+03-01-003,14.6,--,0.5,X,0.4,--,S,125,23,56,43.8,+,16,48,27
262,UGC 12856,13.2,--,2.4,--,--,--,IB(s)m,125,23,56,44.9,+,16,48,45
50,IC 1520,14.0,--,0.5,X,0.5,--,--,--,23,57,58.0,-,14,1,48
