   1  0113+32
   2  0151+36
   3  0609+71
   4  0621+74
   5  0635+75
   6  0645+74
   7  0722+72
   8  0723+72
   9  0732+58
  10  0743+61
  11  0743+74
  12  0744+74
  13  0751+60
  14  0805+72
  15  0828+75
  16  0847+73
  17  0847+57
  18  0858+60
  19  0912+59
  20  0916+71
  21  0944+58
  22  0946+55
  23  0953+60
  24  0955+54
  25  1000+59
  26  1008+59
  27  1008+58
  28  1009+58
  29  1014+60
  30  1016+57
  31  1016+57
  32  1023+56
  33  1029+54
  34  1030+60
  35  1042+56
  36  1102+29
  37  1113+29
  38  1115+54
  39  1115+54
  40  1122+54
  41  1133+55
  42  1151+46
  43  1200+39
  44  1200+39
  45  1201+60
  46  1213+41
  47  1213+40
  48  1214+58
  49  1216+04
  50  1220+02
  51  1221+04
  52  1223+00
  53  1253+27
  54  1254+32
  55  1254+27
  56  1256+27
  57  1256+27
  58  1256+27
  59  1256+35
  60  1257+28
  61  1259+29
  62  1302+30
  63  1303+30
  64  1304+34
  65  1319+59
  66  1323+57
  67  1339+30
  68  1342+27
  69  1343+29
  70  1353+26
  71  0723+69
  72  0725+56
  73  0727+63
  74  0727+55
  75  0728+55
  76  0730+65
  77  0731+60
  78  0737+65
  79  0738+49
  80  0739+64
  81  0739+57
  82  0742+62
  83  0744+54
  84  0751+55
  85  0808+55
  86  0809+46
  87  0815+74
  88  0824+55
  89  0825+52
  90  0826+52
  91  0828+52
  92  0832+46
  93  0832+66
  94  0834+51
  95  0844+70
  96  0845+46
  97  0846+65
  98  0846+72
  99  0847+61
 100  0854+66
 101  0901+51
 102  0908+46
 103  0911+67
 104  0913+53
 105  0915+71
 106  0916+55
 107  0916+71
 108  0917+64
 109  0919+47
 110  0921+52
 111  0923+68
 112  0924+48
 112  0924+48
 113  0925+62
 114  0926+56
 115  0927+49
 116  0930+55
 117  0930+50
 118  0939+76
 119  0940+66
 120  0942+72
 121  0942+73
 122  0943+73
 123  0943+56
 124  0945+50
 125  0947+46
 126  0949+52
 127  0951+51
 128  0953+60
 129  0953+46
 130  0956+47
 131  0957+55
 132  0958+55
 133  0957+72
 134  0959+43
 135  1002+53
 136  1003+77
 137  1009+65
 138  1009+67
 139  1012+44
 140  1013+45
 141  1015+64
 142  1022+51
 143  1023+62
 144  1023+44
 145  1031+64
 146  1032+46
 147  1032+63
 148  1032+44
 149  1034+64
 150  1035+44
 151  1039+48
 152  1045+50
 153  1046+52
 154  1047+50
 155  1048+44
 156  1050+50
 157  1052+49
 158  1056+61
 159  1055+72
 160  1058+70
 161  1059+45
