ID,RA2PI,DEC2PI,VMAG,SIZED,TYPE
NGC42,0.056454129,0.385732309,13.8,0.018333333,Gxy
NGC43,0.056788651,0.539578235,12.6,0.026666667,Gxy
NGC40,0.056795923,1.265756407,12.3,0.0205,PN
NGC44,0.057697676,0.546055345,99,0,*2
IC4,0.058686696,0.305185364,13.1,0.016666667,Gxy
IC1534,0.060024782,0.840409972,13.8,0.016666667,Gxy
IC1535,0.060882902,0.840506935,14.3,0.021666667,Gxy
NGC48,0.06123924,0.841859565,13.6,0.026666667,Gxy
NGC45,0.061377412,-0.404591561,10.6,0.141666667,Gxy
NGC46,0.061813744,0.104496741,11.7,0,*
IC1536,0.062460971,0.840269376,14.3,0.011666667,Gxy
NGC49,0.062715498,0.842072883,13.7,0.018333333,Gxy
NGC47,0.063304546,-0.125101322,13.1,0.038333333,Gxy
NGC51,0.063617251,0.842228023,13.1,0.021666667,Gxy
NGC52,0.063995406,0.324311264,13.4,0.036666667,Gxy
NGC53,0.064213572,-1.052932897,12.6,0.033333333,Gxy
NGC50,0.064329927,-0.128194434,12.3,0.04,Gxy
NGC54,0.066002535,-0.124034732,13.4,0.021666667,Gxy
NGC55,0.066031623,-0.684508436,7.9,0.52,Gxy
NGC56,0.066947921,0.217196529,99,0,NF
NGC59,0.067289715,-0.37428101,12.4,0.043333333,Gxy
NGC57,0.067696958,0.302451015,11.6,0.036666667,Gxy
IC1537,0.069049589,-0.685230809,15,0.008333333,GxyP
NGC60,0.06968227,-0.005299014,14.1,0.021666667,Gxy
NGC61,0.071558499,-0.110256327,13,0.018333333,Gxy
NGC62,0.07456192,-0.23538189,13.2,0.018333333,Gxy
NGC64,0.076379971,-0.119118721,13.2,0.026666667,Gxy
IC5,0.076714493,-0.166552892,13.8,0.015,Gxy
NGC63,0.077485347,0.199840199,11.7,0.028333333,Gxy
IC1538,0.078576177,0.524083589,99,0,NF
NGC67,0.079623375,0.524704151,14.2,0.005,Gxy
NGC68,0.079863358,0.524864139,12.9,0.02,Gxy
NGC69,0.080023346,0.524306604,14.7,0.008333333,Gxy
NGC70,0.08016879,0.524975646,13.5,0.026666667,Gxy
NGC71,0.080248785,0.524699303,13.2,0.02,Gxy
NGC72,0.080605123,0.524306604,13.5,0.018333333,Gxy
NGC73,0.081368704,-0.26741353,13.7,0.028333333,Gxy
NGC74,0.082139558,0.524670214,14.8,0.013333333,Gxy
IC7,0.082394085,0.184922482,13.8,0.011666667,Gxy
IC6,0.082532257,-0.057178926,13.5,0.013333333,Gxy
NGC65,0.082808601,-0.399331333,13.9,0.016666667,Gxy
IC8,0.083092217,-0.056233539,14.4,0.013333333,Gxy
NGC66,0.083259478,-0.400315505,13.5,0.02,Gxy
NGC75,0.084815729,0.112568889,13.2,0.018333333,Gxy
NGC76,0.085644761,0.522449767,13.1,0.016666667,Gxy
IC9,0.086117454,-0.246464731,14.4,0.006666667,Gxy
IC1540,0.086451976,0.414908396,14.1,0.015,Gxy
NGC77,0.087382818,-0.393261466,14.8,0.006666667,Gxy
