ID,RA2PI,DEC2PI,VMAG,SIZED,TYPE
NGC794,0.53446345,0.320665465,12.7,0.021666667,Gxy
IC193,0.534579805,0.193610344,13.4,0.028333333,Gxy
IC192,0.534681616,0.279499935,13.5,0.015,Gxy
IC1772,0.535437926,0.135185447,13.6,0.011666667,Gxy
NGC793,0.536288774,0.558180535,99,0,*2
IC194,0.537059627,0.045620967,14.4,0.025,Gxy
NGC798,0.538114097,0.559857991,13.5,0.02,Gxy
NGC771,0.538579518,1.264001381,4,0,*
NGC797,0.53871769,0.665275878,12.7,0.026666667,Gxy
NGC806,0.538957673,-0.173359676,13.9,0.02,Gxy
IC195,0.539932149,0.256723389,13,0.025,Gxy
NGC803,0.539946693,0.279795672,12.6,0.05,Gxy
NGC801,0.539953965,0.667753276,13.1,0.051666667,Gxy
IC196,0.540303031,0.257246987,12.9,0.046666667,Gxy
NGC808,0.540797541,-0.406875034,13.5,0.02,Gxy
IC1774,0.540979346,0.267345656,13.9,0.026666667,Gxy
NGC804,0.541212057,0.538128642,13.7,0.023333333,Gxy
IC197,0.541408406,0.048636508,13.5,0.016666667,Gxy
NGC809,0.542426515,-0.15245451,13.8,0.02,Gxy
NGC805,0.543197369,0.502877839,13.5,0.018333333,Gxy
NGC811,0.54323373,-0.158926773,14.3,0.01,Gxy
NGC807,0.545088142,0.505932165,12.5,0.03,Gxy
IC1776,0.546513494,0.106562047,13.2,0.021666667,Gxy
IC1775,0.546688027,0.235716412,15,0.011666667,Gxy
IC200,0.547349798,0.544116091,12.9,0.035,Gxy
NGC810,0.547495242,0.231275518,13.9,0.028333333,Gxy
IC198,0.550004153,0.162247747,13.8,0.018333333,Gxy
IC1777,0.550404124,0.265464579,14.8,0.011666667,Gxy
IC199,0.551189522,0.161045409,14,0.023333333,Gxy
IC1779,0.551662216,0.064688689,13.8,0.006666667,Gxy
NGC822,0.552629419,-0.718324191,13.2,0.018333333,Gxy
IC1780,0.553494811,0.256951251,14.9,0.011666667,Gxy
NGC812,0.553538444,0.777936881,11.3,0.036666667,Gxy
IC1781,0.553618439,-0.009041775,14.5,0.006666667,Gxy
NGC824,0.553647528,-0.63623069,13.1,0.023333333,Gxy
IC201,0.555247413,0.159096458,16,0.01,Gxy
NGC823,0.555596479,-0.444040851,12.8,0.028333333,Gxy
IC204,0.556105533,-0.02495336,14.7,0.005,Gxy
IC205,0.556149166,-0.036511318,13.6,0.015,Gxy
IC202,0.556221888,0.160022452,14.3,0.023333333,Gxy
IC203,0.55629461,0.159227357,16.1,0.01,Gxy
NGC817,0.556585498,0.300230568,13.3,0.011666667,Gxy
NGC816,0.559145315,0.510620313,14.3,0.006666667,Gxy
NGC821,0.560032524,0.191884407,10.7,0.04,Gxy
NGC820,0.56031614,0.2504499,12.8,0.023333333,Gxy
IC208,0.560527034,0.111608958,13.4,0.021666667,Gxy
NGC825,0.560861555,0.110362986,13.2,0.033333333,Gxy
NGC819,0.561014271,0.510242159,13.5,0.01,Gxy
NGC829,0.561574231,-0.135965997,13.5,0.018333333,Gxy
NGC818,0.56173422,0.676790203,12.5,0.048333333,Gxy
NGC852,0.562519618,-0.99024164,13.4,0.021666667,Gxy
NGC827,0.562599612,0.13913183,12.8,0.033333333,Gxy
IC209,0.562766873,-0.123205701,13.1,0.028333333,Gxy
NGC830,0.562774145,-0.13556845,13.3,0.023333333,Gxy
NGC833,0.564381302,-0.176850335,12.7,0.025,Gxy
NGC835,0.564657646,-0.176893968,12.1,0.021666667,Gxy
NGC826,0.564694007,0.536504516,13.9,0.013333333,Gxy
IC210,0.564926718,-0.168943023,13.1,0.038333333,Gxy
IC206,0.565108523,-0.121630056,14.2,0.016666667,Gxy
NGC831,0.565377595,0.106406907,14.5,0.006666667,Gxy
NGC838,0.565661211,-0.177078197,13,0.02,Gxy
IC207,0.565733933,-0.120820417,13.9,0.036666667,Gxy
NGC839,0.56598846,-0.177732695,13.1,0.023333333,Gxy
NGC842,0.566555692,-0.135481183,12.7,0.026666667,Gxy
IC1783,0.567668339,-0.574906607,12.5,0.033333333,Gxy
NGC828,0.567922866,0.684013926,12.3,0.041666667,Gxy
NGC849,0.568046494,-0.389610819,14.3,0.008333333,Gxy
NGC844,0.568271932,0.10559242,14.1,0.006666667,Gxy
NGC837,0.568402832,-0.391501592,14,0.015,Gxy
NGC840,0.568402832,0.136935624,13.4,0.03,Gxy
NGC848,0.568497371,-0.180127675,13,0.025,Gxy
NGC836,0.569035514,-0.384932367,13.4,0.02,Gxy
NGC814,0.569966356,-0.275296601,13.8,0.023333333,Gxy
NGC815,0.570097256,-0.275985036,15.5,0.006666667,Gxy
NGC834,0.571682596,0.657397655,13.1,0.018333333,Gxy
IC211,0.572177106,0.067229113,13.2,0.038333333,Gxy
NGC843,0.572191651,0.560221601,99,0,*3
NGC851,0.572482539,0.065968598,13.5,0.016666667,Gxy
NGC850,0.572577078,-0.025918139,12.9,0.02,Gxy
NGC841,0.572860694,0.654454836,12.6,0.03,Gxy
NGC854,0.573820625,-0.625448434,12.9,0.03,Gxy
NGC853,0.574576934,-0.162407735,12.8,0.026666667,Gxy
NGC846,0.57683859,0.777859311,12.1,0.031666667,Gxy
NGC845,0.577391278,0.65410577,13.5,0.028333333,Gxy
NGC858,0.578154859,-0.392199724,13.7,0.021666667,Gxy
NGC857,0.578649369,-0.557535733,12.7,0.025,Gxy
NGC862,0.580525598,-0.73362491,11.8,0.013333333,Gxy
IC212,0.583099959,0.289627693,14.7,0.015,Gxy
NGC859,0.583114503,-0.012508193,13.2,0.021666667,Gxy
NGC855,0.584954371,0.48655901,12.6,0.043333333,Gxy
IC213,0.584990732,0.287213321,13.8,0.031666667,Gxy
IC214,0.585099815,0.090340181,14.2,0.011666667,Gxy
IC215,0.585361615,-0.118789048,14.8,0.018333333,Gxy
NGC863,0.587121488,-0.013371161,12.9,0.018333333,Gxy
NGC860,0.589055895,0.537202647,14.3,0.008333333,Gxy
NGC872,0.590881218,-0.310353478,13.7,0.025,Gxy
NGC864,0.591048479,0.104753692,10.9,0.078333333,Gxy
IC1788,0.59269927,-0.544562119,11.6,0.043333333,Gxy
NGC861,0.592764719,0.626815608,13.8,0.025,Gxy
IC216,0.593070152,-0.035163536,14.3,0.005,Gxy
NGC868,0.593302863,-0.012440319,13.9,0.021666667,Gxy
NGC874,0.593564662,-0.406763527,14.2,0.015,Gxy
IC1786,0.593811917,0.089816583,14.4,0.006666667,Gxy
IC217,0.594182799,-0.20814021,13.6,0.036666667,Gxy
IC1784,0.594342788,0.569835456,13.1,0.023333333,Gxy
NGC865,0.594510049,0.49917871,13.2,0.025,Gxy
IC1785,0.594939109,0.570145737,14.7,0.015,Gxy
NGC873,0.595760868,-0.198070629,12.6,0.026666667,Gxy
NGC879,0.597142587,-0.156444527,14.7,0.011666667,Gxy
NGC867,0.598124335,0.021724501,12.9,0.02,Gxy
IC218,0.598298868,0.022383848,14.9,0.013333333,Gxy
NGC870,0.598437039,0.253470289,15.5,0.005,Gxy
NGC871,0.598546123,0.253901773,13.6,0.018333333,Gxy
NGC888,0.599746036,-1.044763787,13,0.013333333,Gxy
IC1790,0.600531435,0.218326145,14.9,0.016666667,Gxy
IC1791,0.60077869,0.217647406,13.3,0.016666667,Gxy
IC1789,0.60150591,0.565409107,13.7,0.036666667,Gxy
NGC876,0.601644082,0.2534412,14.7,0.033333333,Gxy
NGC878,0.601716804,-0.408135549,13.8,0.013333333,Gxy
NGC877,0.602116775,0.253838747,11.9,0.04,Gxy
NGC880,0.604116632,-0.073395943,14.6,0.006666667,Gxy
IC219,0.604952935,-0.120481048,13.4,0.016666667,Gxy
NGC881,0.605432901,-0.115880166,12.4,0.038333333,Gxy
IC1792,0.606581909,0.601469549,13.6,0.018333333,Gxy
NGC869,0.606792803,0.997193868,5.3,0.3,OCL
NGC883,0.60688007,-0.118517552,12.6,0.02,Gxy
NGC889,0.606996425,-0.728660418,13.3,0.016666667,Gxy
IC220,0.607367307,-0.223077319,14.5,0.015,Gxy
NGC887,0.608872654,-0.280459866,12.7,0.033333333,Gxy
NGC882,0.609396253,0.276018973,13.6,0.02,Gxy
NGC893,0.610727066,-0.722614792,12.7,0.021666667,Gxy
NGC892,0.614646785,-0.403408616,14.7,0.01,Gxy
NGC897,0.615693982,-0.588539568,11.8,0.035,Gxy
IC1794,0.617417495,0.275102675,13.8,0.015,Gxy
IC1793,0.617570211,0.568002861,13.8,0.025,Gxy
NGC894,0.617737472,-0.096162794,99,0,GxyP
NGC895,0.617882916,-0.096361567,11.7,0.06,Gxy
NGC899,0.619090102,-0.36343088,12.5,0.03,Gxy
NGC890,0.619664607,0.580608016,11.2,0.041666667,Gxy
IC223,0.619664607,-0.362083098,13.4,0.02,Gxy
NGC884,0.619955495,0.997106602,6.1,0.3,OCL
NGC902,0.621177225,-0.291101527,14,0.01,Gxy
NGC891,0.621991712,0.739098457,9.9,0.195,Gxy
IC221,0.622558944,0.493176717,13,0.026666667,Gxy
NGC905,0.622755294,-0.15216847,15.1,0.008333333,Gxy
IC1796,0.623031638,-0.722057256,12,0.018333333,Gxy
IC222,0.623075271,0.203132084,14.5,0.013333333,Gxy
NGC907,0.624078835,-0.361481929,12.6,0.03,Gxy
NGC908,0.624289729,-0.370591578,10.2,0.101666667,Gxy
NGC898,0.625424193,0.73219471,12.9,0.03,Gxy
NGC886,0.625998697,1.113015857,99,0.233333333,OCL
NGC900,0.626289585,0.462720722,13.7,0.018333333,Gxy
NGC901,0.626427757,0.463501272,14.8,0.006666667,Gxy
NGC903,0.628376708,0.477468754,15.7,0.008333333,Gxy
NGC904,0.628718502,0.477226347,13.6,0.02,Gxy
IC224,0.631605567,-0.219281228,14.3,0.008333333,Gxy
NGC922,0.632936381,-0.432652577,12.1,0.033333333,Gxy
NGC906,0.633859951,0.73461393,12.9,0.03,Gxy
NGC909,0.634332644,0.733668544,13.7,0.015,Gxy
NGC910,0.634630805,0.729969415,12.2,0.026666667,Gxy
NGC896,0.634703527,1.082443506,99,0.166666667,Nb
IC1797,0.634710799,0.355969597,14.7,0.011666667,Gxy
NGC911,0.635765269,0.732281976,12.7,0.021666667,Gxy
NGC912,0.635787085,0.729164625,14.1,0.015,Gxy
NGC913,0.635939802,0.729533083,15,0.008333333,Gxy
NGC915,0.635990707,0.475107711,14.2,0.011666667,Gxy
NGC916,0.636143424,0.475481018,15.3,0.015,Gxy
NGC918,0.636376134,0.32281319,12.2,0.058333333,Gxy
NGC914,0.637416059,0.735564165,13,0.025,Gxy
NGC926,0.637525143,-0.00580322,13.3,0.03,Gxy
NGC917,0.637605137,0.556973349,13.3,0.041666667,Gxy
IC1798,0.638172369,0.234412263,15.5,0.005,Gxy
NGC919,0.638252363,0.47492833,14.5,0.02,Gxy
NGC939,0.638601429,-0.775735827,13,0.02,Gxy
IC225,0.639095939,0.020260364,13.5,0.016666667,Gxy
NGC921,0.639481366,-0.276591053,14.3,0.023333333,Gxy
NGC927,0.63975771,0.212149619,13.4,0.02,Gxy
NGC944,0.640070414,-0.253349085,14,0.018333333,Gxy
NGC924,0.640441297,0.357744015,12.4,0.038333333,Gxy
NGC925,0.642630231,0.58606217,10.1,0.175,Gxy
NGC929,0.642724769,-0.210961825,14.2,0.016666667,Gxy
IC229,0.643081107,-0.415737428,99,0,NF
NGC934,0.643801056,-0.004261512,13.1,0.021666667,Gxy
NGC923,0.643924683,0.732655283,13.7,0.013333333,Gxy
NGC936,0.644135577,-0.020182794,10.2,0.078333333,Gxy
NGC928,0.64437556,0.475093167,14,0.011666667,Gxy
IC226,0.644717353,0.492337989,14.2,0.028333333,Gxy
NGC932,0.645379124,0.354878766,12.4,0.031666667,Gxy
NGC930,0.64553184,0.355043603,14.5,0.001666667,GxyP
IC227,0.646019078,0.491756213,14.5,0.021666667,Gxy
NGC935,0.64658631,0.342069989,12.9,0.028333333,Gxy
IC1801,0.646709938,0.341788797,13.8,0.026666667,Gxy
NGC931,0.646826293,0.546481981,12.8,0.065,Gxy
NGC941,0.647793496,-0.020090679,12.4,0.045,Gxy
IC1800,0.648055296,0.548266096,99,0,*2
NGC947,0.648193468,-0.332349475,12.6,0.035,Gxy
NGC938,0.648208012,0.354020646,12.4,0.026666667,Gxy
NGC945,0.648477084,-0.183938311,12.1,0.038333333,Gxy
NGC948,0.649073404,-0.183501978,13.7,0.023333333,Gxy
NGC920,0.649102493,0.80234725,13.7,0.018333333,Gxy
IC230,0.649204304,-0.189048247,14.8,0.006666667,Gxy
NGC954,0.649524281,-0.722609944,12.8,0.026666667,Gxy
NGC951,0.649909708,-0.390066543,14.6,0.016666667,Gxy
NGC943,0.650826006,-0.188985221,12.9,0.046666667,Gxy
NGC942,0.650876911,-0.189116121,13,0.046666667,Gxy
NGC950,0.650978722,-0.19242255,13.8,0.021666667,Gxy
IC1802,0.651145983,0.402880169,13.4,0.021666667,Gxy
IC1803,0.651385966,0.403883733,15,0.005,Gxy
NGC933,0.65140051,0.801314597,13.9,0.021666667,Gxy
IC1810,0.652069553,-0.751829664,13.2,0.021666667,Gxy
NGC940,0.652127731,0.552246416,12.4,0.02,Gxy
NGC937,0.652178636,0.737396761,14.2,0.018333333,Gxy
IC1812,0.652447708,-0.747199693,12.2,0.033333333,Gxy
IC1806,0.652673146,0.400446404,15.1,0.011666667,Gxy
IC1804,0.654091226,0.403122576,13.9,0.013333333,Gxy
IC231,0.654229398,0.020585189,13.6,0.016666667,Gxy
IC1807,0.656745581,0.400557911,14.7,0.006666667,Gxy
NGC963,0.656760125,-0.073575324,13.7,0.011666667,Gxy
NGC955,0.656905569,-0.019344066,12,0.048333333,Gxy
IC1811,0.657261907,-0.59803222,13.4,0.021666667,Gxy
NGC946,0.657290996,0.737105873,13.2,0.025,Gxy
NGC958,0.657589157,-0.051327224,12.2,0.048333333,Gxy
NGC949,0.658047306,0.648142562,11.8,0.05,Gxy
IC1813,0.658105483,-0.597280759,13.2,0.02,Gxy
NGC964,0.659276308,-0.628924548,12.4,0.035,Gxy
NGC953,0.659574469,0.516423533,13.5,0.021666667,Gxy
IC232,0.659698096,0.022097808,12.7,0.021666667,Gxy
IC234,0.661603414,-0.002433765,14.5,0.01,Gxy
NGC979,0.661676136,-0.777093305,12.7,0.015,Gxy
IC1809,0.661807036,0.399985831,13.9,0.015,Gxy
IC233,0.66182158,0.049053448,14.2,0.006666667,Gxy
NGC960,0.661865213,-0.162320469,14.2,0.02,Gxy
NGC966,0.662287001,-0.347000544,13.2,0.016666667,Gxy
IC1816,0.662570617,-0.640051022,12.8,0.023333333,Gxy
NGC967,0.664155958,-0.300482671,12.5,0.026666667,Gxy
NGC956,0.664308674,0.779231333,8.9,0.15,OCL
NGC959,0.664970445,0.619504618,12.4,0.038333333,Gxy
NGC965,0.665050439,-0.325334221,14.1,0.016666667,Gxy
NGC962,0.666126726,0.489928465,12.9,0.023333333,Gxy
IC1805,0.666715774,1.072708447,6.5,0.333333333,OCL
IC235,0.666919396,0.360260198,14.4,0.006666667,Gxy
IC236,0.667283006,-0.002283472,16,0.01,Gxy
NGC981,0.667573894,-0.191525645,13.9,0.016666667,Gxy
NGC977,0.667835694,-0.187787731,13.5,0.033333333,Gxy
NGC957,0.669115602,1.004611517,7.6,0.166666667,OCL
NGC975,0.669239229,0.167585545,13.1,0.018333333,Gxy
IC237,0.669886456,0.019891905,14.7,0.008333333,Gxy
NGC986,0.670068261,-0.681478351,10.9,0.066666667,Gxy
NGC989,0.670933653,-0.2881781,14,0.013333333,Gxy
IC1817,0.67118818,0.195535054,14.7,0.006666667,Gxy
NGC976,0.67194449,0.366121596,12.4,0.026666667,Gxy
NGC968,0.672395367,0.601799222,12.2,0.045,Gxy
IC1818,0.672468089,-0.192689198,14.4,0.008333333,Gxy
NGC969,0.672533538,0.575022963,12.3,0.028333333,Gxy
NGC970,0.67280261,0.575546562,14.8,0.011666667,Gxy
NGC972,0.672918965,0.511560852,11.4,0.055,Gxy
NGC971,0.673093498,0.575595043,99,0,*
IC1815,0.673398931,0.566010276,13.3,0.023333333,Gxy
NGC973,0.673413475,0.56732897,12.8,0.061666667,Gxy
NGC974,0.673820719,0.575173255,12.8,0.028333333,Gxy
NGC985,0.674671567,-0.153327175,13.4,0.016666667,Gxy
NGC984,0.67507881,0.408644604,12.8,0.033333333,Gxy
NGC978,0.675369698,0.573253393,12.2,0.021666667,Gxy
NGC980,0.677660443,0.714309933,13,0.028333333,Gxy
IC238,0.677965876,0.224071187,12.8,0.02,Gxy
NGC982,0.678118592,0.713306369,12.5,0.025,Gxy
NGC988,0.678300397,-0.163275552,11,0.068333333,Gxy
NGC991,0.678685824,-0.124878308,11.7,0.05,Gxy
IC1819,0.679354867,0.07072462,14,0.026666667,Gxy
IC1822,0.679391228,-0.149438969,99,0,*
IC1820,0.680147537,0.105432431,14.3,0.008333333,Gxy
NGC990,0.681994677,0.20319511,12.5,0.03,Gxy
NGC1025,0.682125577,-0.957550653,13.1,0.015,Gxy
IC1821,0.682518276,0.240516067,14.3,0.01,Gxy
IC239,0.682707354,0.680135417,11.1,0.076666667,Gxy
NGC1031,0.683485479,-0.957468235,12.5,0.031666667,Gxy
NGC993,0.684023623,0.035784098,13.6,0.015,Gxy
NGC987,0.68427815,0.581669758,12.4,0.026666667,Gxy
NGC997,0.686088929,0.127515694,13.4,0.018333333,Gxy
NGC998,0.686241645,0.128034445,14.7,0.013333333,Gxy
NGC992,0.686896144,0.36826932,12.8,0.015,Gxy
NGC1010,0.687572459,-0.192427398,14.1,0.013333333,Gxy
NGC1011,0.687863347,-0.192073484,14.3,0.01,Gxy
NGC1004,0.688074241,0.034479949,12.7,0.023333333,Gxy
NGC1017,0.688670562,-0.192170447,14.4,0.011666667,Gxy
NGC1013,0.688706923,-0.200829219,14,0.013333333,Gxy
NGC1007,0.688837823,0.037621542,15.5,0.01,Gxy
IC241,0.688997811,0.040627386,13.4,0.018333333,Gxy
NGC1008,0.689055989,0.036307697,13.6,0.013333333,Gxy
NGC1014,0.689463232,-0.167061946,99,0,*2
NGC1018,0.690154092,-0.166577133,14.8,0.016666667,Gxy
NGC1015,0.69024863,-0.023009257,12.1,0.033333333,Gxy
NGC1034,0.690415891,-0.27592201,14,0.013333333,Gxy
NGC1009,0.690779501,0.040317106,14.4,0.023333333,Gxy
NGC1016,0.690830407,0.036986436,11.6,0.033333333,Gxy
IC242,0.691150384,-0.121014343,99,0,*2
NGC1019,0.691397639,0.033301852,13.5,0.016666667,Gxy
NGC995,0.691724888,0.724815846,13.4,0.021666667,Gxy
IC243,0.691739432,-0.120456807,14.2,0.02,Gxy
NGC1022,0.691768521,-0.116544361,11.3,0.04,Gxy
IC1823,0.692088498,0.559731939,13.5,0.035,Gxy
NGC996,0.692284848,0.726881152,13,0.02,Gxy
NGC1020,0.692626641,0.038940235,14.1,0.013333333,Gxy
NGC999,0.69285208,0.727298092,13.5,0.02,Gxy
NGC1021,0.692888441,0.038697828,14.2,0.011666667,Gxy
NGC1000,0.693019341,0.723618356,14.6,0.011666667,Gxy
IC245,0.693361134,-0.249688742,14.3,0.018333333,Gxy
IC1825,0.693441128,0.158771632,13.9,0.02,Gxy
NGC983,0.693455673,0.604266924,13.2,0.02,Gxy
IC240,0.69364475,0.728141668,99,0,*Grp
IC1826,0.694037449,-0.478971676,12.8,0.028333333,Gxy
NGC1024,0.694626498,0.189329439,12.1,0.065,Gxy
NGC1001,0.694684676,0.727307788,14.8,0.011666667,Gxy
NGC1012,0.694837392,0.52624101,12,0.041666667,Gxy
NGC1003,0.694975564,0.713364547,11.5,0.071666667,Gxy
NGC1026,0.695164641,0.114222103,12.6,0.028333333,Gxy
NGC1032,0.695484618,0.019091963,11.6,0.056666667,Gxy
IC244,0.695564612,0.047603855,14.8,0.011666667,Gxy
NGC1005,0.695775506,0.724195284,13.8,0.016666667,Gxy
NGC1035,0.695877317,-0.141938901,12.2,0.036666667,Gxy
NGC1029,0.69641546,0.188379204,13.2,0.023333333,Gxy
NGC1028,0.696466366,0.189251869,14.8,0.015,Gxy
IC1827,0.697142681,0.027198048,13.7,0.018333333,Gxy
NGC1049,0.697266308,-0.597920713,12.9,0.02,GCL
NGC1030,0.697440841,0.314576205,13.3,0.026666667,Gxy
NGC1037,0.698008073,-0.030266918,99,0,NF
NGC1038,0.69858985,0.026344775,13.4,0.02,Gxy
IC247,0.698764383,-0.204785299,14,0.02,Gxy
NGC1033,0.699302526,-0.153176883,13.8,0.02,Gxy
NGC1042,0.699869758,-0.147203978,11,0.071666667,Gxy
NGC1023,0.699884302,0.681783783,9.4,0.123333333,Gxy
NGC1041,0.699964297,-0.094945911,13.3,0.028333333,Gxy
IC246,0.700204279,0.043269621,14.3,0.013333333,Gxy
NGC1036,0.70024064,0.336795216,13.2,0.025,Gxy
NGC1045,0.700247913,-0.196834355,12.4,0.026666667,Gxy
NGC1047,0.700516984,-0.142195853,13.5,0.021666667,Gxy
IC1829,0.700516984,0.249548146,14.6,0.013333333,Gxy
NGC1048,0.700887867,-0.148939611,14.5,0.016666667,Gxy
NGC1043,0.701513276,0.023440741,15,0.015,Gxy
IC250,0.702073236,-0.232366349,13.9,0.015,Gxy
NGC1051,0.702655012,-0.12104828,12.8,0.031666667,Gxy
NGC1052,0.702829545,-0.144072082,10.5,0.046666667,Gxy
NGC1044,0.702938628,0.152517536,13.2,0.008333333,Gxy
NGC1046,0.703425866,0.152192711,13.2,0.006666667,Gxy
IC251,0.703498588,-0.261067319,14,0.01,Gxy
IC248,0.704356708,0.310877077,13.4,0.015,Gxy
IC1833,0.705302095,-0.491688339,13.1,0.025,Gxy
IC252,0.705767516,-0.259142609,14.7,0.011666667,Gxy
NGC1055,0.705789333,0.00772793,10.6,0.126666667,Gxy
IC1832,0.706683814,0.332145853,14.1,0.011666667,Gxy
IC254,0.707207413,-0.263670769,15.2,0.006666667,Gxy
NGC1039,0.707221957,0.746331877,5.2,0.416666667,OCL
IC253,0.707272863,-0.262623571,13.9,0.015,Gxy
NGC1065,0.707309224,-0.263399273,14.1,0.013333333,Gxy
NGC1063,0.707578295,-0.097185751,13.8,0.023333333,Gxy
NGC1054,0.708007355,0.317955356,13.7,0.015,Gxy
NGC1064,0.708552771,-0.163411299,14.3,0.018333333,Gxy
NGC1059,0.70943998,0.314091391,99,0,*2
NGC1050,0.709447252,0.60674917,12.6,0.028333333,Gxy
NGC1027,0.709476341,1.075035553,6.7,0.25,OCL
NGC1068,0.709825407,-0.000223014,8.9,0.118333333,Gxy
IC1834,0.710349006,0.053824015,14,0.015,Gxy
NGC1056,0.710378094,0.498718137,12.4,0.04,Gxy
NGC1069,0.711214398,-0.144668402,13.5,0.023333333,Gxy
NGC1057,0.711425292,0.567086563,14.2,0.02,Gxy
NGC1071,0.711788902,-0.153138097,14.4,0.02,Gxy
NGC1040,0.712130696,0.724316488,12.9,0.028333333,Gxy
NGC1060,0.712312501,0.565918162,11.8,0.038333333,Gxy
NGC1061,0.712370679,0.566659927,14.1,0.015,Gxy
NGC1070,0.712821555,0.086718623,11.9,0.038333333,Gxy
IC1836,0.712916094,0.054192473,15.5,0.008333333,Gxy
NGC1062,0.712996088,0.566577508,99,0,*
NGC1076,0.713337882,-0.257523331,12.7,0.033333333,Gxy
NGC1058,0.71339606,0.651730183,11.2,0.041666667,Gxy
NGC1072,0.71349787,0.005357191,13.4,0.025,Gxy
NGC1075,0.713657859,-0.282762731,14.3,0.013333333,Gxy
NGC1074,0.713839664,-0.284435339,14.3,0.033333333,Gxy
NGC1073,0.714152369,0.02401767,11,0.081666667,Gxy
NGC1105,0.714268724,-0.274118503,14.3,0.011666667,Gxy
NGC1079,0.714457802,-0.506193964,11.5,0.091666667,Gxy
IC1835,0.714785051,0.259869829,14.6,0.008333333,Gxy
NGC1096,0.714806867,-1.045694629,12.8,0.031666667,Gxy
NGC1066,0.714850501,0.566805371,13.3,0.028333333,Gxy
NGC1067,0.714901406,0.567435629,13.7,0.018333333,Gxy
IC1845,0.715345011,-0.488134655,99,0,*2
IC1831,0.715584993,1.099731962,99,2,Nb
NGC1078,0.71616677,-0.164967551,14.3,0.015,Gxy
IC1838,0.718712042,0.339553806,14.6,0.008333333,Gxy
IC1839,0.718712042,0.265978482,14.3,0.016666667,Gxy
NGC1098,0.719482895,-0.30821545,12.6,0.028333333,Gxy
NGC1081,0.720341016,-0.272053197,13.3,0.026666667,Gxy
NGC1080,0.720682809,-0.082219552,13.5,0.018333333,Gxy
NGC1099,0.721242769,-0.30907357,13.1,0.031666667,Gxy
NGC1091,0.721570018,-0.306014396,14.1,0.015,Gxy
IC1842,0.721650012,0.19999534,14.5,0.018333333,Gxy
IC1843,0.721759096,0.050275179,13.1,0.018333333,Gxy
NGC1092,0.722093617,-0.306174384,14,0.015,Gxy
NGC1100,0.722559038,-0.308724504,13,0.028333333,Gxy
IC1841,0.722588127,0.330376283,14.3,0.011666667,Gxy
NGC1083,0.722908104,-0.268034092,14.4,0.026666667,Gxy
NGC1082,0.722944465,-0.142767933,14,0.015,Gxy
IC1844,0.723526241,0.056383831,14.4,0.013333333,Gxy
NGC1084,0.724297095,-0.132257172,10.7,0.046666667,Gxy
NGC1077,0.724355273,0.699702497,13.6,0.018333333,Gxy
NGC1089,0.72503886,-0.263084144,13.5,0.015,Gxy
NGC1097,0.72572972,-0.528408127,9.5,0.156666667,Gxy
NGC1085,0.726144235,0.062967601,12.4,0.03,Gxy
NGC1087,0.726144235,-0.008712102,10.9,0.065,Gxy
NGC1090,0.726784189,-0.004324538,11.8,0.065,Gxy
IC255,0.728914945,0.284294743,14.9,0.011666667,Gxy
NGC1088,0.728958579,0.282748187,13.6,0.016666667,Gxy
NGC1102,0.729605805,-0.387618234,14.5,0.013333333,Gxy
NGC1094,0.730696636,-0.004979037,12.5,0.021666667,Gxy
NGC1095,0.731416584,0.08094934,13.3,0.021666667,Gxy
NGC1109,0.731838372,0.231353089,14.4,0.01,Gxy
IC1849,0.731925638,0.16330464,14.4,0.015,Gxy
IC1847,0.732572865,0.253169704,14.6,0.006666667,Gxy
NGC1086,0.732761942,0.719890139,12.8,0.025,Gxy
IC1853,0.733350991,-0.24422974,13.7,0.018333333,Gxy
NGC1103,0.733474618,-0.243638267,12.9,0.036666667,Gxy
NGC1101,0.7341073,0.079911839,13,0.021666667,Gxy
NGC1093,0.734209111,0.600742329,13.1,0.023333333,Gxy
NGC1119,0.734274561,-0.313950795,13.8,0.008333333,Gxy
NGC1108,0.735838085,-0.138763372,13.9,0.013333333,Gxy
NGC1104,0.735852629,-0.00473663,13.6,0.02,Gxy
NGC1111,0.735896262,0.231416114,15.2,0.008333333,Gxy
IC264,0.736507128,-0.001895621,14.7,0.006666667,Gxy
IC1856,0.736732566,-0.013390554,13.5,0.018333333,Gxy
NGC1112,0.737430698,0.230795553,13.8,0.02,Gxy
IC1859,0.737677953,-0.544062761,13.3,0.02,Gxy
NGC1120,0.737692497,-0.252553991,13.6,0.021666667,Gxy
IC1855,0.737714314,0.234620733,15,0.005,Gxy
NGC1113,0.73773613,0.23225969,15.2,0,*
NGC1114,0.737910663,-0.296599314,12.5,0.03,Gxy
IC1858,0.738012474,-0.546103827,13.1,0.028333333,Gxy
NGC1110,0.738085196,-0.136799876,13.9,0.048333333,Gxy
NGC1107,0.738819689,0.141255314,12.2,0.03,Gxy
IC1854,0.738899683,0.336926116,13.9,0.01,Gxy
IC1860,0.739852342,-0.544363346,12.7,0.036666667,Gxy
IC1857,0.740223225,0.255167137,14,0.016666667,Gxy
IC263,0.740303219,-0.001216882,14.1,0.01,Gxy
IC256,0.740332308,0.819509654,16.9,0.008333333,Gxy
IC259,0.740368669,0.716554621,14.3,0.011666667,Gxy
IC257,0.740688646,0.819878112,12.6,0.023333333,Gxy
IC258,0.740739551,0.716491595,14.1,0.016666667,Gxy
