Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 4605,GX,SBcp,12 39 59.4,+61 36 33,5.8x2.2,125.0,10.3,10.9,12.9,UMa,"B,L,vmE118,glbM",I 254
NGC 4598,GX,SB0,12 40 11.9,+08 23 02,1.4x1.1,,12.7,13.7,13.1,Vir,"eF,L,R,vlbM",III 105
NGC 4597,GX,SBm,12 40 12.8,-05 47 59,4.1x1.9,30.0,12.1,12.6,14.2,Vir,"F,vL,bM",II 636
NGC 4600,GX,S0,12 40 22.9,+03 07 04,1.2x0.8,60.0,12.7,13.7,12.6,Vir,"F,S,R,2 * 8 f",II 577
NGC 4599,GX,S0,12 40 27.1,+01 11 48,1.7x0.8,144.0,12.6,13.6,12.8,Vir,"vF,vS",III 509
NGC 4602,GX,Sbc,12 40 36.7,-05 07 55,3.4x1.2,105.0,11.5,12.3,12.9,Vir,"F,L,E,vglbM",II 184
NGC 4606,GX,SBa,12 40 57.5,+11 54 41,3.2x1.6,33.0,11.8,12.7,13.5,Vir,"vF,pS,E,2 or 3 vS * inv",III 43
NGC 4617,GX,Sb,12 41 05.8,+50 23 36,3.0x0.5,179.0,13.2,14.0,13.6,CVn,"pF,S,iR,er",II 744
NGC 4608,GX,SB0,12 41 13.6,+10 09 23,3.2x2.7,,11.0,12.0,13.2,Vir,"pB,pL,R,psbM,r,* np 1'",II 69
NGC 4618,GX,SBm,12 41 32.5,+41 09 02,4.2x3.4,25.0,10.8,11.2,13.5,CVn,"B,L,E,mbM,curved branch n","I 178, I 179"
NGC 4612,GX,S0,12 41 32.7,+07 18 53,2.5x1.9,145.0,10.9,11.9,12.5,Vir,"pB,S,R,psmbM",II 148=II 20
NGC 4619,GX,SBbp,12 41 44.4,+35 03 46,1.3x1.3,,12.7,13.5,13.1,CVn,"F,pS,R,lbM,*8-9f",II 411
NGC 4648,GX,E3,12 41 44.4,+74 25 16,2.1x1.6,70.0,12.0,13.0,13.3,Dra,"pB,cS,R,gbM,**p,vBN",I 274
NGC 4625,GX,Smp,12 41 52.7,+41 16 26,2.2x1.9,,12.3,12.9,13.8,CVn,"pF,S,R",II 660
NGC 4627,GX,E4p,12 41 59.7,+32 34 26,2.6x1.8,10.0,12.4,13.1,14.1,CVn,"F,S,R,np of 2,BM no BN",II 659
NGC 4631,GX,SBm,12 42 06.5,+32 32 24,15.5x2.7,86.0,9.2,9.8,13.1,CVn,"vB,vL,eE70,bMN,*12 att n",V 42
NGC 4623,GX,SB0+,12 42 10.6,+07 40 36,2.2x0.7,176.0,12.2,13.2,12.6,Vir,"cF,pL,E,pslbM",II 149
NGC 4626,GX,SBbc,12 42 25.3,-07 02 39,1.5x0.5,35.0,11.9,12.7,11.4,Vir,"vF,cS,lE,glbM",II 772
NGC 4628,GX,Sb,12 42 25.3,-06 58 17,1.8x0.6,46.0,13.7,14.5,13.6,Vir,"cF,S,E,gbM",II 773
NGC 4630,GX,IBmp,12 42 31.2,+03 57 30,1.8x1.3,10.0,12.7,13.2,13.4,Vir,"cF,S,R,lbM",II 532
NGC 4632,GX,Sc,12 42 32.1,-00 04 57,3.1x1.2,63.0,11.7,12.4,12.9,Vir,"pB,L,E45,BM no def BN",I 14
NGC 4634,GX,SBcd:,12 42 41.0,+14 17 46,2.6x0.7,156.0,12.4,13.2,12.8,Com,"vF,L,mE135,vgbM",III 603
NGC 4644,GX,SBbp,12 42 42.6,+55 08 43,1.6x0.5,53.0,13.9,14.6,13.5,UMa,"vF,S,R,gbM",II 794.1
NGC 4638,GX,E-S0,12 42 47.4,+11 26 32,2.2x1.4,125.0,11.2,12.1,12.3,Vir,"F,R,gbM,vB cent",II 70=II 176
NGC 4636,GX,E1,12 42 49.6,+02 41 18,6.0x4.7,150.0,9.5,10.4,13.1,Vir,"B,L,iR,vgvmbM,r",II 38
NGC 4646,GX,S0:,12 42 52.1,+54 51 21,0.6x0.3,18.0,13.4,14.4,11.4,UMa,"F,S,4 vS * sp",II 794.2
NGC 4639,GX,Sbc,12 42 52.3,+13 15 26,2.8x1.9,123.0,11.5,12.2,13.2,Vir,"pB,S,E,R,*12 sf 1'",II 125
NGC 4642,GX,Sbcp,12 43 17.7,-00 38 40,1.9x0.6,37.0,12.9,13.8,12.9,Vir,"vF,cS,E",III 494
NGC 4643,GX,SBa,12 43 20.2,+01 58 41,3.1x2.3,130.0,10.8,11.7,12.7,Vir,"cB,pS,lE,mbM",I 10
NGC 4647,GX,Sc,12 43 32.5,+11 34 56,2.9x2.3,125.0,11.3,11.9,13.2,Vir,"pF,pL,lE115,np of Dneb",III 44
NGC 4655,GX,,12 43 36.5,+41 01 07,1.0x1.0,,14.1,15.1,13.9,CVn,"vF,vS,stellar,*15 f",II 661
NGC 4651,GX,Sc,12 43 42.6,+16 23 36,4.0x2.6,80.0,10.8,11.4,13.2,Com,"cB,L,E90,gbM,r",II 12
NGC 4653,GX,Scd,12 43 51.0,-00 33 40,3.1x2.7,30.0,12.2,12.7,14.4,Vir,"vF,pL",III 662
NGC 4654,GX,Scd,12 43 56.5,+13 07 33,4.9x2.8,128.0,10.5,11.1,13.2,Vir,"F,vL,pmE(D?),3 * nr",II 126
NGC 4656,GX,SBmp,12 43 58.2,+32 10 13,15.1x3.0,33.0,10.5,11.0,14.5,CVn,"pB,L,vmE34,sp of 2",I 176
NGC 4657,GX,Ir,12 44 08.2,+32 12 32,1.1x0.7,90.0,,,,CVn,"pF,L,E90,nf of 2",I 177
NGC 4662,GX,SBbc,12 44 26.3,+37 07 15,1.9x1.6,55.0,12.7,13.5,13.8,CVn,"pF,pL,R,gbM,r",II 643
NGC 4659,GX,S0/a,12 44 29.4,+13 29 55,1.7x1.3,173.0,12.1,13.1,12.8,Com,"F,cS,R,bM,r",II 127
NGC 4660,GX,E5,12 44 32.3,+11 11 27,2.2x1.6,100.0,11.2,12.2,12.6,Vir,"vB,S,vsvmbMN",II 71
NGC 4658,GX,SBb,12 44 37.7,-10 05 03,2.1x0.9,0.0,12.5,13.0,13.0,Vir,"vF,L,E,*16 att,*9 p",II 558
NGC 4669,GX,S,12 44 46.8,+54 52 33,1.4x0.4,177.0,13.2,14.1,12.3,UMa,"F,E,r?",III 778
