Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 7805,GX,S0p,00 01 26.8,+31 26 01,1.2x0.9,,13.3,14.2,13.2,Peg,"eF,S,R,sbM,stellar,sp of 2",III 855
NGC 7806,GX,Sbcp,00 01 30.1,+31 26 31,1.1x0.8,20.0,13.5,14.3,13.2,Peg,"eF,S,R,stellar,nf of 2",III 856
NGC 7810,GX,S0,00 02 19.2,+12 58 18,1.2x0.9,80.0,13.0,14.0,13.0,Peg,"pF,stellar,2 st np in line",(III 984)
NGC 7814,GX,Sab,00 03 14.9,+16 08 43,5.5x2.3,135.0,10.6,11.6,13.2,Peg,"cB,cL,E,vgbM",II 240
NGC 7816,GX,Sbc,00 03 48.9,+07 28 43,1.7x1.5,,12.8,13.6,13.7,Psc,"vF,pL,R,gbM",III 436
NGC 7817,GX,Sbc,00 03 58.8,+20 45 03,3.5x0.9,45.0,11.8,12.6,12.9,Peg,"pF,cL,mE approx 45°,lbM",II 227
NGC 7826,AST,IV 3 p,00 05 17,-20 41.5,,,,,,Cet,"Cl,vP,vlC",VIII 29
NGC 7832,GX,E4/S0-,00 06 28.5,-03 42 58,1.9x1.0,25.0,12.3,13.3,12.8,Psc,"vF,vS,R,vgpsmbM,2 st 9 sf",III 190
NGC 0012,GX,SBbc,00 08 44.8,+04 36 45,1.7x1.5,125.0,13.1,13.8,14.0,Psc,"eF,pL,vglbM",III 868
NGC 0014,GX,Irp,00 08 46.1,+15 48 56,2.8x2.1,25.0,12.1,12.7,13.9,Peg,"vF,pS,R,glbM",II 591
NGC 0013,GX,Sa,00 08 47.7,+33 25 59,2.5x0.7,53.0,13.2,14.0,13.5,And,"vF,vS,S st + neb",III 866
NGC 0016,GX,E3,00 09 04.3,+27 43 46,1.8x1.0,16.0,12.0,13.0,12.4,Peg,"pB,S,R,bM",IV 15
NGC 0023,GX,Sbp,00 09 53.3,+25 55 26,2.2x1.6,8.0,12.0,12.9,13.0,Peg,3 S st + neb,III 147
NGC 0024,GX,Sb,00 09 56.4,-24 57 49,5.5x1.6,46.0,11.6,12.2,13.7,Scl,"vF,cL,mE,gbm",III 461
NGC 0029,GX,Sb,00 10 46.9,+33 21 10,1.7x0.8,154.0,12.7,13.5,12.9,And,"pB,pL,E 0 degrees",II 853
NGC 0036,GX,Sb,00 11 22.3,+06 23 21,2.2x1.3,21.0,13.2,14.0,14.2,Psc,"vF,pS,iF",III 456
NGC 0039,GX,Sc,00 12 19.0,+31 03 42,1.1x1.0,,13.5,14.2,13.6,And,"vF,pS,R",III 861
NGC 0040,PN,3b(3),00 13 01.0,+72 31 19,"38""x35""",,10.6,,,Cep,"F,vS,R,vsmbM,*12 sp",IV 58
NGC 0052,GX,S:,00 14 40.1,+18 34 54,2.1x0.4,127.0,13.3,14.3,13.1,Peg,"vF,S,E",III 183
NGC 0057,GX,E,00 15 30.9,+17 19 43,2.2x1.9,40.0,11.6,12.7,13.2,Psc,"F,S,R,sbM",II 241=II 243
NGC 0061,GX,S0:p,00 16 24.5,-06 19 21,1.1x0.7,,13.6,14.4,13.2,Psc,"vF,S,iR,psvlbM",III 428
NGC 0068,GX,S0,00 18 18.5,+30 04 18,1.2x1.1,,12.9,13.9,,And,"eF,L,3 or 4 st+neb",V 16
NGC 0095,GX,Sc,00 22 13.6,+10 29 31,1.9x1.1,75.0,12.5,13.2,13.2,Psc,"F,pL,R,gbM",II 257
NGC 0108,GX,SB0,00 25 59.8,+29 12 43,2.0x1.6,,12.1,13.1,13.3,And,"pF,pL,R,pslbM",III 148
NGC 0125,GX,Sa,00 28 50.3,+02 50 19,1.2x1.2,85.0,12.1,13.1,12.4,Psc,"vF,S,bM,D* sp",III 869
NGC 0128,GX,S0p,00 29 15.1,+02 51 51,2.5x0.7,1.0,11.8,12.8,12.2,Psc,"pB,pS,lE 2 degrees,bM",II 854
NGC 0129,OC,IV 2 p,00 29 58.5,+60 12 43,21.0,,6.5,,,Cas,"Cl,vL,pRi,lC,st 9...13",VIII 79
NGC 0132,GX,Sbc,00 30 10.6,+02 05 34,1.9x1.4,40.0,12.6,13.5,13.6,Cet,"pF,cL,R,vglbM,R",II 855
NGC 0137,GX,S0,00 30 58.1,+10 12 30,1.3x1.3,,12.8,13.7,13.2,Psc,"F,iF,lbM",II 471
NGC 0136,OC,II 2 p,00 31 31,+61 30.6,1.0,,,,,Cas,"vF,S,eC",VI 35
NGC 0151,GX,SBbc,00 34 02.5,-09 42 20,3.7x1.7,75.0,11.6,12.3,13.4,Cet,"pF,pL,lE 90 degrees,vglbM",II 478
NGC 0154,GX,E2,00 34 19.4,-12 39 24,1.0x0.8,,13.1,14.1,12.7,Cet,"eF,vS,R",III 467
NGC 0157,GX,Sc,00 34 46.6,-08 23 48,4.2x2.7,40.0,10.4,11.0,12.9,Cet,"pB,L,E,bet 2 cB st",II 3
NGC 0163,GX,E0,00 35 59.8,-10 07 18,1.5x1.2,85.0,12.7,13.6,13.4,Cet,"vF,vS",III 954
NGC 0160,GX,S0p,00 36 04.1,+23 57 29,3.0x1.7,45.0,12.6,13.6,14.3,And,"vF,vS,stell,*8,17 degrees,4'",III 476
NGC 0173,GX,Sbc,00 37 12.4,+01 56 32,3.2x2.6,90.0,13.0,13.7,15.2,Cet,"vF,S,R,vgbM,*11 sp 80''",III 871
NGC 0171,Dup,,00 37 21.6,-19 56 04,,,,,,Cet,"vF,pL,lE,2 pB st sf",III 223??
NGC 0175,GX,SBb,00 37 21.6,-19 56 04,2.1x1.9,109.0,12.2,12.9,13.5,Cet,"pB,pL,E,gbM,r",III 223?
NGC 0180,GX,SBbc,00 37 57.7,+08 38 06,2.4x1.9,160.0,12.9,13.7,14.4,Psc,"vF,pL,iR,* np inv",III 876
NGC 0182,GX,Sa,00 38 12.4,+02 43 43,2.0x1.7,75.0,12.4,13.3,13.6,Psc,"vF,S,iR,vgbM",III 870
NGC 0185,GX,dE0,00 38 57.2,+48 20 15,11.7x10.0,35.0,9.2,10.1,14.3,Cas,"pB,vL,iR,vgmbM,r",II 707
NGC 0191,GX,Scp,00 38 59.3,-09 00 09,1.5x1.3,125.0,13.3,14.1,13.9,Cet,"pB,pL,iE 0 degrees",II 479
NGC 0192,GX,SBa,00 39 13.5,+00 51 49,1.9x0.9,167.0,12.6,13.4,13.1,Cet,"F,pS,pmE,bM",III 872
NGC 0196,GX,SB0,00 39 17.8,+00 54 46,1.1x0.8,3.0,12.9,13.8,12.6,Cet,"F,pS,R,psmbM",II 860
NGC 0194,GX,E1,00 39 18.4,+03 02 14,1.5x1.4,30.0,12.2,13.2,13.0,Psc,"pB,S,R,vgbM",II 856
NGC 0193,GX,S0,00 39 18.5,+03 19 52,1.4x1.2,55.0,12.2,13.3,12.7,Psc,"F,L,p of 2,* 15 close sp",III 595
NGC 0198,GX,Sc,00 39 22.9,+02 47 52,1.2x1.2,80.0,13.2,13.9,13.4,Psc,"F,S,vgbM",II 857
NGC 0200,GX,SBbc,00 39 34.8,+02 53 15,1.9x1.0,161.0,12.6,13.5,13.1,Psc,"pB,S,vgbM",II 858
NGC 0201,GX,Sc,00 39 34.9,+00 51 35,1.8x1.4,155.0,12.9,13.6,13.8,Cet,"vF,cL,E,vglbM",III 873
NGC 0205,GX,E6,00 40 22.0,+41 41 07,21.9x11.0,170.0,8.1,8.9,14.0,And,"vB,vL,mE 165 degrees,vgvmbM",V 18
NGC 0206,C+N,,00 40 31.3,+40 44 22,4.2x1.5,0.0,,,,And,"vF,vL,mE 0 degrees",V 36
NGC 0210,GX,Sab,00 40 34.8,-13 52 28,5.0x3.3,160.0,10.9,11.6,13.8,Cet,"B,pS,R,psbM,r,* 11 p 2'",II 452
NGC 0213,GX,SBa,00 41 10.0,+16 28 09,1.7x1.4,,13.3,14.2,14.1,Psc,"F,S,bet 2 S st",III 200
NGC 0216,GX,Ir,00 41 27.1,-21 02 44,1.8x0.7,27.0,13.2,13.7,13.5,Cet,"eF,vS,lE",III 244
NGC 0214,GX,Sb,00 41 28.0,+25 29 58,2.2x1.7,35.0,12.3,13.0,13.1,And,"pF,pS,gvlbM,R",II 209
NGC 0217,GX,S0/a,00 41 33.8,-10 01 20,2.5x0.7,110.0,12.7,13.5,13.2,Cet,"F,S,lE 90 degrees,glbM",II 480
NGC 0227,GX,E2,00 42 36.8,-01 31 43,1.6x1.3,155.0,12.1,13.1,12.8,Cet,"F,pL,lbM",II 444
NGC 0234,GX,Sc,00 43 32.4,+14 20 33,1.6x1.6,,12.5,13.2,13.4,Psc,"F,pS,ilE,bM",II 245
NGC 0233,GX,E,00 43 36.6,+30 35 13,1.7x1.5,,12.4,13.4,13.5,And,"F,vS,R,lbM",III 149
NGC 0225,OC,III 1 p,00 43.5,+61 47,12.0,,7.0,,,Cas,"Cl,L,lC,st 9...10",VIII 78
NGC 0244,GX,S0p,00 45 46.7,-15 35 50,1.5x0.9,50.0,12.9,,13.1,Cet,"vF,S,iR,r,* 10 s 5'",III 485
NGC 0245,GX,Sbp,00 46 05.5,-01 43 22,1.4x1.2,145.0,12.2,13.0,12.6,Cet,"F,pS,iF,er",II 445
NGC 0246,PN,3b,00 47 03.3,-11 52 19,"240""x210""",,10.4,,,Cet,"vF, L, 4 st in dif neb",V 25
NGC 0247,GX,Sd/Ir,00 47 08.2,-20 45 37,21.4x6.9,174.0,9.1,9.7,14.4,Cet,"F,eL,vmE 172 degrees",V 20
NGC 0253,GX,Scp,00 47 33.1,-25 17 17,27.5x6.8,52.0,7.2,8.0,12.7,Scl,"!!vvB,vvL,vmE 54 degrees,gbM",V 1
NGC 0255,GX,Sbc,00 47 47.1,-11 28 07,3.0x2.5,15.0,11.9,12.4,13.9,Cet,"F,pS,R,gbM",II 472
NGC 0251,GX,Sc,00 47 54.0,+19 35 48,2.4x1.9,105.0,13.2,13.9,14.7,Psc,"vF,S,R,lbM,* inv,2 vS st f",III 204
NGC 0252,GX,Sa,00 48 01.5,+27 37 26,1.5x1.1,80.0,12.4,13.4,12.8,And,"pB,S,R,pmbM,r,** p",II 609
NGC 0257,GX,Sc,00 48 01.6,+08 17 48,1.9x1.3,105.0,12.6,13.3,13.4,Psc,"PL,lE,gbM,r",II 863
NGC 0259,GX,Sbc,00 48 03.2,-02 46 31,2.3x0.7,140.0,12.5,13.3,12.9,Cet,"F,S,E 135 degrees,lbM",II 703= II 621
NGC 0266,GX,SBab,00 49 47.8,+32 16 40,3.0x2.9,,11.6,12.5,13.8,Psc,"pB,pS,lE,psbM,r,* 8 sf 4'",III 153
NGC 0268,GX,Sc,00 50 09.4,-05 11 38,1.6x1.1,95.0,13.1,13.6,13.6,Cet,"vF,pS,ilE,r",III 463
NGC 0270,GX,S0+,00 50 32.4,-08 39 07,2.0x1.7,25.0,12.1,12.9,13.3,Cet,"pF,vS,iR,pgbM",III 955
NGC 0271,GX,SBab,00 50 41.9,-01 54 37,2.1x1.7,130.0,12.0,12.9,13.3,Cet,"pF,S,lE,psbM,* 8 f 5 sec.",II 446
NGC 0273,GX,S0,00 50 48.4,-06 53 08,2.2x0.7,105.0,12.9,13.9,13.2,Cet,"vF,vS",III 430
NGC 0274,GX,E1,00 51 01.9,-07 03 28,1.5x1.5,155.0,11.8,12.8,12.6,Cet,"pB,pS,smbM,np of 2",III 429
NGC 0278,GX,E0p,00 52 04.3,+47 33 02,2.1x2.0,,10.8,11.5,12.2,Cas,"cB,pL,R,2 st 10 nr",I 159
NGC 0279,GX,S0,00 52 08.9,-02 13 07,1.6x1.2,5.0,12.7,13.7,13.3,Cet,"vF,S,iR,bM,stellar",III 439
NGC 0280,GX,SB:,00 52 29.9,+24 21 01,1.7x1.1,95.0,13.2,14.2,13.8,And,"eF,S,R",III 477
NGC 0288,GC,10.0,00 52 47.4,-26 35 24,13.8,,8.1,,,Scl,"B,L,lE,st 12...16",VI 20
NGC 0296,GX,Sb,00 55 07.6,+31 32 32,2.0x0.8,164.0,12.6,13.4,13.0,Psc,"F,LF,* 10 nf 2'",II 214
NGC 0315,GX,S0,00 57 48.8,+30 21 09,3.2x2.0,40.0,11.2,12.2,13.2,Psc,"pB,pL,R,gbM,* 9 nf 3'",II 210
NGC 0337,GX,SB(s)d,00 59 50.3,-07 34 43,2.9x1.8,130.0,11.6,12.1,13.3,Cet,"pF,L,E,glbM,* 10 f 21 sec",II 433
NGC 0352,GX,SBbc,01 02 09.2,-04 14 45,2.4x0.9,165.0,12.6,13.5,13.3,Cet,"pF,S,iE,* 8 f 97 sec",III 191
NGC 0357,GX,SBa,01 03 21.9,-06 20 22,2.4x1.7,20.0,12.0,13.1,13.4,Cet,"F,S,iR,sbM,* 14 nf 20''",II 434
NGC 0379,GX,S0,01 07 15.7,+32 31 13,1.4x0.8,0.0,12.9,13.8,12.9,Psc,"pF,S,R,bM",II 215
NGC 0380,GX,E2,01 07 17.6,+32 28 59,1.3x1.3,,12.5,13.5,13.2,Psc,"pF,S,R,sbM",II 216
NGC 0383,GX,S0,01 07 24.9,+32 24 45,1.4x1.4,30.0,12.4,13.4,13.0,Psc,"pF,pL,R,gbM,nf Dneb",II 217
NGC 0392,GX,E-S0,01 08 23.5,+33 08 00,1.2x0.9,50.0,12.7,13.7,12.7,Psc,"F,vS,R,mbM,bet 2 st",II 218
NGC 0393,GX,E/S0,01 08 37.0,+39 38 39,1.7x1.4,20.0,12.5,13.6,13.4,And,"F,vS,vlE,gbM,4 S st nr",I 54
NGC 0381,OC,III 2 p,01 08.3,+61 35,6.0,,,9.3p,,Cas,"Cl,pC",VIII 64
NGC 0404,GX,E0,01 09 26.9,+35 43 05,3.5x3.5,,10.3,11.2,12.8,And,"pB,cL,R,gbM",II 224
NGC 0407,GX,Sa,01 10 36.5,+33 07 35,1.7x0.4,0.0,13.4,14.3,12.9,Psc,"vF,vS,sp of 2",II 219
NGC 0410,GX,SB0,01 10 58.9,+33 09 07,2.4x1.3,30.0,11.5,12.5,12.7,Psc,"pB,pL,nf of 2",II 220
NGC 0420,GX,S0:,01 12 09.6,+32 07 24,2.0x2.0,,12.1,13.1,13.5,Psc,"F,pS,R,bM",III 154
NGC 0426,GX,E+,01 12 48.6,-00 17 25,1.4x1.0,140.0,12.9,13.8,13.2,Cet,"vF,vS,R",III 592
NGC 0428,GX,Scp,01 12 55.6,+00 58 54,4.1x3.1,120.0,11.5,11.9,14.1,Cet,"F,L,R,bM,er",II 622
NGC 0429,GX,S0,01 12 57.4,-00 20 43,1.4x0.3,19.0,13.4,14.4,12.3,Cet,"vF,vS",III 593
NGC 0421,NF,,01 12.2,+32 07,,,,,,Psc,"eF,vS",III 155
NGC 0430,GX,E:,01 13 00.0,-00 15 09,1.3x1.1,155.0,12.5,13.5,12.9,Cet,"F,vS,R,vsbM*",II 447
NGC 0450,GX,Sc,01 15 30.4,-00 51 40,3.1x2.3,72.0,11.5,12.2,13.5,Cet,"vF,L",III 440
NGC 0436,OC,I 3 m,01 15 58,+58 49.0,6.0,,8.8,,,Cas,"Cl,S,iF,pC",VII 45
NGC 0459,GX,Sbc,01 18 08.1,+17 33 44,1.0x0.9,,14.4,15.2,14.1,Psc,eF,III 205
NGC 0467,GX,S0p,01 19 10.1,+03 18 02,1.7x1.7,,11.9,12.9,12.9,Psc,"pB,pL,R,gbM",I 108
NGC 0457,OC,I 3 r,01 19 33,+58 17.5,13.0,,6.4,,,Cas,"Cl,B,L,pRi,*7,8,10",VII 42
NGC 0470,GX,Sc,01 19 44.8,+03 24 36,2.8x1.7,155.0,11.8,12.5,13.4,Psc,"pB,L,iR",III 250
NGC 0473,GX,E4p,01 19 55.1,+16 32 41,1.7x1.1,153.0,12.5,13.3,13.1,Psc,"eF,S",III 206
NGC 0474,GX,S0,01 20 06.7,+03 24 56,7.1x6.3,75.0,11.5,12.4,15.5,Psc,"pB,S,smbM,F of 2",III 251
NGC 0477,GX,Sc,01 21 20.3,+40 29 17,2.2x1.2,135.0,13.0,13.7,13.9,And,"vF,pS,vlE,vglbM",III 577
NGC 0488,GX,Sab,01 21 46.8,+05 15 25,5.2x3.9,15.0,10.3,11.2,13.4,Psc,"pB,L,R,svmbM,*8F10'",III 252
NGC 0493,GX,SBc,01 22 09.1,+00 56 47,3.4x1.0,58.0,12.5,12.9,13.7,Cet,"vF,L,mE60,lbM",III 594
NGC 0495,GX,SBap,01 22 55.9,+33 28 18,1.3x0.8,170.0,12.9,13.9,12.9,Psc,"vF,S,1st of 3",III 156
NGC 0499,GX,S0,01 23 11.5,+33 27 37,1.6x1.3,82.0,12.1,13.2,12.8,Psc,"pB,pL,R,3rd of 3",III 158
NGC 0496,GX,Sbc,01 23 11.6,+33 31 48,1.6x0.9,28.0,13.3,14.1,13.5,Psc,"vF,vS,2nd of 3",III 157
NGC 0507,GX,S0,01 23 40.0,+33 15 22,3.1x3.1,,11.2,12.2,13.5,Psc,"vF,pL,R,bM,s of 2",III 159
NGC 0508,GX,E0,01 23 40.6,+33 16 51,1.3x1.3,,13.1,14.1,13.6,Psc,"vF,S,N of 2",III 160
NGC 0514,GX,Sc,01 24 03.9,+12 55 03,3.5x2.8,110.0,11.6,12.2,14.0,Psc,"F,L,lE,vglbM,**F",II 252
NGC 0513,GX,S:,01 24 26.8,+33 47 59,0.7x0.3,75.0,12.9,13.9,11.1,And,"F,S,stellar",III 169
NGC 0521,GX,Sb,01 24 33.8,+01 43 53,3.2x2.9,20.0,11.7,12.6,14.0,Cet,"F,pL,R,gbM",II 461
NGC 0520,GX,P,01 24 34.4,+03 47 42,4.5x1.8,130.0,11.4,12.2,13.6,Psc,"F,cL,E137",III 253
NGC 0515,GX,S0,01 24 38.6,+33 28 23,1.4x1.1,,13.0,14.0,13.4,Psc,"pF,vS,R,np of 2",III 167
NGC 0517,GX,S0,01 24 43.8,+33 25 47,2.0x1.0,20.0,12.4,13.4,13.0,Psc,"pF,R,stellar,sf of 2",III 168
NGC 0524,GX,E1,01 24 47.8,+09 32 19,2.8x2.8,,10.3,11.3,12.3,Psc,"vB,pL,mbM,4S* nr",I 151
NGC 0532,GX,Sa,01 25 17.3,+09 15 51,2.5x0.8,28.0,12.9,14.0,13.5,Psc,"vF,pL,E30,bM",III 556
NGC 0523,GX,P,01 25 20.8,+34 01 30,2.5x0.7,108.0,12.7,13.5,13.2,And,"Dneb,vF,vS",III 170?
NGC 0537,Dup,,01 25 20.8,+34 01 30,,,,,,And,stellar (?=N523),III 170
NGC 0533,GX,E2,01 25 31.4,+01 45 33,3.8x2.3,50.0,11.4,12.4,13.8,Cet,"pB,pL,R,gbM",II 462
NGC 0545,GX,S0,01 25 59.1,-01 20 25,2.4x1.6,55.0,12.2,13.2,13.5,Cet,"stellar,p of Dneb",II 448
NGC 0547,GX,E1,01 26 00.7,-01 20 43,1.3x1.3,85.0,12.2,13.2,12.7,Cet,"stellar,f of Dneb",II 449
NGC 0552,*,,01 26 10.1,+33 24 21,,,,,,Psc,"vS,stellar,p of 2",III 172
NGC 0553,GX,,01 26 12.6,+33 24 19,0.9x0.3,15.0,14.0,15.0,12.5,Psc,"vS,stellar,f of 2",III 173
NGC 0536,GX,SBb,01 26 21.7,+34 42 13,3.0x1.1,62.0,12.4,13.2,13.5,And,"pB,pL,gbM,f of 2",III 171
NGC 0550,GX,SBa:,01 26 42.5,+02 01 20,1.5x0.6,120.0,12.7,13.6,12.5,Cet,"F,S,E90,bM,r",II 463
NGC 0560,GX,S0,01 27 25.4,-01 54 47,1.9x0.6,178.0,13.0,14.0,12.9,Cet,"vF,vS,lE,p of 2",III 441
NGC 0551,GX,SBbc,01 27 40.6,+37 10 59,1.8x0.8,140.0,12.7,13.5,12.9,And,"vF,S,E,vglbM,*13 nr",III 560
NGC 0564,GX,E2,01 27 48.2,-01 52 46,1.4x1.2,145.0,12.5,13.5,13.1,Cet,"vF,vS,iF,f of 2",III 442
NGC 0559,OC,II 2 m,01 29 34,+63 18.2,4.0,,9.5,,,Cas,"Cl,B,pL,pRi",VII 48
NGC 0584,GX,E4,01 31 20.7,-06 52 06,4.2x2.3,55.0,10.5,11.4,12.9,Cet,"vB,pL,R,mbM,p of 2",I 100
NGC 0586,GX,Sa,01 31 37.0,-06 53 38,1.6x0.8,10.0,13.2,14.1,13.2,Cet,"vF,vS,R",III 431
NGC 0596,GX,E2,01 32 51.9,-07 01 54,3.2x2.1,40.0,10.9,11.8,13.0,Cet,"pB,R,bM,R,*6f12'", II 4
NGC 0599,GX,S0-,01 32 53.7,-12 11 28,1.7x1.4,135.0,13.7,14.5,14.5,Cet,"F,S,iF,eR",II 473
NGC 0600,GX,SBd,01 33 05.3,-07 18 43,3.3x2.8,85.0,12.4,12.9,14.6,Cet,eeF,III 432
NGC 0598,GX,Sc,01 33 50.9,+30 39 37,70.8x41.7,23.0,5.7,6.3,14.2,Tri,"eB,eL,R,vgbMN",V 17
NGC 0613,GX,Sbc,01 34 17.5,-29 24 58,5.5x4.2,120.0,10.1,10.7,13.3,Scl,"vB,vL,vmE118,sbM,* nf",I 281
NGC 0604,M33-KNT,,01 34 31.9,+30 47 13,,,,,,Tri,"B,vS,R,vvlBM",III 150
NGC 0615,GX,Sb,01 35 05.6,-07 20 27,3.6x1.4,155.0,11.6,12.5,13.3,Cet,"pB,pL,ilE,gbM,*8 np 10",II 282
NGC 0624,GX,SBbp,01 35 51.0,-10 00 10,1.7x1.0,100.0,12.8,13.6,13.2,Cet,"eF,S,am vS st",III 471
NGC 0614,GX,S0:,01 35 52.3,+33 40 55,1.4x1.4,,12.7,13.7,13.3,Tri,"pF,psbM,stellar",III 174
NGC 0622,GX,SBbc,01 36 00.1,+00 39 49,1.8x1.3,45.0,12.9,13.7,13.7,Cet,"eF,pL,dif",III 454
NGC 0636,GX,E1,01 39 06.5,-07 30 46,2.8x2.1,140.0,11.5,12.4,13.4,Cet,"pB,vS,R,mbM,R",II 283
NGC 0651,PN,,01 42 21.9,+51 34 49,,,10.1,,,Per,"vB,f of Dneb",I 193
NGC 0660,GX,SBap,01 43 01.7,+13 38 35,8.3x3.2,170.0,11.2,12.0,14.6,Psc,"pB,pL,E,bM,r",II 253
NGC 0637,OC,I 3 p,01 43 03,+64 02.2,4.0,,8.2,,,Cas,"Cl,pS,B & vF stars",VII 49
NGC 0654,OC,II 3 m,01 43 59,+61 53.0,5.0,,6.5,,,Cas,"Cl,iF,Ri,1*6.7m",VII 46
NGC 0661,GX,E-S0,01 44 14.6,+28 42 22,1.7x1.4,60.0,12.2,13.2,13.2,Tri,"F,S,R,bM,r",II 610
NGC 0659,OC,III 1 p,01 44 23,+60 40.2,5.0,,7.9,,,Cas,"Cl,lRi,st B",VIII 65
NGC 0665,GX,S0,01 44 56.1,+10 25 22,2.4x1.6,125.0,12.1,13.2,13.5,Psc,"F,S,lE,bM,r",II 588
NGC 0663,OC,III 2 m,01 46 16,+61 13.1,16.0,,7.1,,,Cas,"Cl,B,L,eRi,st pL",VI 31
NGC 0670,GX,E4,01 47 24.9,+27 53 09,2.0x1.0,172.0,12.7,13.6,13.3,Tri,"F,S,lE",II 611
NGC 0672,GX,SBc,01 47 53.9,+27 25 56,7.2x2.6,65.0,10.9,11.5,13.9,Tri,"F,pL,mE80",I 157
NGC 0673,GX,Sc,01 48 22.5,+11 31 18,2.1x1.7,0.0,12.6,13.2,13.8,Ari,"pF,pL,E,lbM,*11 nf 3'",II 589
NGC 0686,GX,S0,01 48 56.1,-23 47 54,1.8x1.4,0.0,12.4,13.4,13.2,For,"vF,vS,R,gbM,er,2* nr",III 459
NGC 0676,GX,S0/a:,01 48 57.3,+05 54 24,4.0x1.2,172.0,9.6,10.5z,,Psc,"vF,E161,sbM*9",IV 42
NGC 0682,GX,S0-,01 49 04.5,-14 58 29,1.4x1.1,95.0,12.7,13.5,12.9,Cet,"cF,S,R,gvlbM",II 501
NGC 0681,GX,Sab,01 49 10.7,-10 25 35,2.6x1.6,68.0,12.0,12.8,13.4,Cet,"pF,cL,R,glbM,S*p90''",II 481
NGC 0678,GX,SBb,01 49 24.8,+21 59 51,4.5x0.8,78.0,12.2,13.3,13.4,Ari,"pB,S,iR,mbM,p of 2",II 228
NGC 0679,GX,S0,01 49 43.7,+35 47 08,2.1x2.1,,12.3,13.3,13.8,And,"F,stellar",III 175
NGC 0680,GX,S0p,01 49 47.3,+21 58 16,1.9x1.6,156.0,11.9,12.9,13.1,Ari,"pB,S,iR,mbM,f of 2",II 229
NGC 0684,GX,Sb,01 50 14.0,+27 38 48,3.2x0.6,90.0,12.4,13.3,12.9,Tri,"F,vlE,*13f100''",II 612
NGC 0693,GX,Sa,01 50 30.9,+06 08 42,2.1x1.0,106.0,12.4,13.2,13.1,Psc,"pF,S,E90,vglbM,*10 nf",II 859
NGC 0687,GX,S0,01 50 33.2,+36 22 15,1.4x1.4,,12.3,13.3,12.9,And,"vF,stellar",III 561
NGC 0691,GX,Sbc,01 50 41.7,+21 45 35,3.5x2.6,95.0,11.4,12.2,13.7,Ari,"F,cL,vglbM",II 617
NGC 0701,GX,SBc,01 51 03.7,-09 42 10,2.5x1.2,40.0,12.2,12.8,13.2,Cet,"F,pL,E,vgvlbM,r",I 62
NGC 0695,GX,S0p,01 51 14.2,+22 34 57,0.8x0.7,40.0,12.8,13.8,12.1,Ari,"VS,stellar",II 618
NGC 0697,GX,Sbc,01 51 17.4,+22 21 28,4.5x1.5,105.0,12.0,12.8,13.9,Ari,"F,cL,E,mbM",III 179
NGC 0702,GX,SBbcp,01 51 19.0,-04 03 17,1.5x1.1,155.0,13.1,13.9,13.6,Cet,"eF,vlE 0,*13s90''",III 192
NGC 0706,GX,Sb,01 51 50.5,+06 17 48,1.9x1.4,,12.5,13.2,13.4,Psc,"F,S,bM,*13n1'",II 596
NGC 0704,GX,Dbl,01 52 37.7,+36 07 37,0.6x0.5,,13.1,14.1z,,And,"vF,vS,R,2nd of 4",III 563
NGC 0703,GX,S0,01 52 39.6,+36 10 17,1.2x0.9,50.0,13.3,14.3,13.2,And,"vF,vS,R,1st of 4",III 562
NGC 0705,GX,S0-a,01 52 41.5,+36 08 39,1.2x0.3,117.0,13.6,14.6,12.3,And,"vF,vS,R,3rd of 4",III 564
NGC 0708,GX,E2,01 52 46.4,+36 09 08,3.0x2.5,35.0,12.7,13.7,14.9,And,"F,pL,bM,4th of 4",III 565
NGC 0720,GX,E4,01 53 00.4,-13 44 20,4.7x2.4,135.0,10.2,11.2,12.8,Cet,"cB,pL,lE,psmbM",I 105
NGC 0718,GX,Sb,01 53 13.2,+04 11 45,2.3x2.0,45.0,11.7,12.6,13.3,Psc,"pB,S,iR,psmbM",II 270
NGC 0723,GX,Sa,01 53 45.6,-23 45 28,1.5x1.3,,12.4,13.2,13.0,Cet,"pF,vS,R,vgbM",III 460
NGC 0731,GX,E0,01 54 56.1,-09 00 38,1.7x1.7,,12.1,13.0,13.1,Cet,"eF,stellar",III 266
NGC 0741,GX,E1,01 56 21.0,+05 37 44,3.0x2.9,,11.1,12.2,13.5,Psc,"pF,S,R,p of 2",II 271
NGC 0748,GX,Sbp,01 56 21.7,-04 28 03,2.3x1.1,138.0,12.6,13.4,13.5,Cet,"pF,*9 np",III 193
NGC 0755,GX,SBb,01 56 22.5,-09 03 42,3.4x1.1,50.0,12.6,13.1,13.9,Cet,"vF,pS,vlE",III 265
NGC 0742,GX,E0,01 56 24.1,+05 37 35,0.2x0.2,,14.3,15.3,10.8,Psc,"vF,vS,R,sbM,f of 2",II 272
NGC 0735,GX,Sb,01 56 38.0,+34 10 37,1.8x0.9,138.0,13.3,14.1,13.6,Tri,"eeF,stellar",III 176
NGC 0736,GX,S0,01 56 40.9,+33 02 37,1.5x1.5,,12.1,13.2,13.0,Tri,"pB,R,bM",II 221?
